date,ActivFit
2016-03-08 00:00:00,still
2016-03-08 00:16:20,walking
2016-03-08 00:20:05,still
2016-03-08 06:55:31,still
2016-03-08 07:42:00,walking
2016-03-08 07:43:38,in_vehicle
2016-03-08 08:53:18,walking
2016-03-08 08:57:56,still
2016-03-08 09:21:26,walking
2016-03-08 09:25:07,still
2016-03-08 09:34:25,still
2016-03-08 09:41:27,walking
2016-03-08 09:42:32,still
2016-03-08 09:44:45,walking
2016-03-08 09:48:21,still
2016-03-08 09:50:22,walking
2016-03-08 09:52:40,still
2016-03-08 10:02:03,walking
2016-03-08 10:13:20,still
2016-03-08 10:21:00,walking
2016-03-08 10:22:54,still
2016-03-08 10:28:58,walking
2016-03-08 10:29:58,still
2016-03-08 10:43:31,walking
2016-03-08 10:46:08,still
2016-03-08 10:50:39,walking
2016-03-08 11:04:36,walking
2016-03-08 11:20:03,in_vehicle
2016-03-08 11:28:04,walking
2016-03-08 11:46:30,walking
2016-03-08 11:52:38,still
2016-03-08 11:59:46,walking
2016-03-08 12:06:09,still
2016-03-08 12:10:47,walking
2016-03-08 12:15:00,still
2016-03-08 12:18:02,walking
2016-03-08 12:27:43,still
2016-03-08 12:29:26,walking
2016-03-08 12:32:29,still
2016-03-08 12:41:52,walking
2016-03-08 12:43:07,still
2016-03-08 12:44:12,walking
2016-03-08 12:48:51,in_vehicle
2016-03-08 13:17:09,walking
2016-03-08 13:21:15,still
2016-03-08 13:23:37,walking
2016-03-08 13:32:45,walking
2016-03-08 13:36:16,still
2016-03-08 13:43:37,still
2016-03-08 13:45:47,walking
2016-03-08 13:47:09,still
2016-03-08 13:50:08,walking
2016-03-08 13:52:35,still
2016-03-08 13:57:37,walking
2016-03-08 14:03:21,in_vehicle
2016-03-08 14:16:27,walking
2016-03-08 14:18:28,walking
2016-03-08 14:21:16,still
2016-03-08 14:31:08,walking
2016-03-08 14:32:09,walking
2016-03-08 14:33:25,still
2016-03-08 14:35:43,walking
2016-03-08 14:38:42,still
2016-03-08 14:46:55,walking
2016-03-08 15:00:38,walking
2016-03-08 15:06:27,walking
2016-03-08 15:10:16,still
2016-03-08 15:16:00,walking
2016-03-08 15:49:56,walking
2016-03-08 16:01:45,walking
2016-03-08 16:04:43,still
2016-03-08 16:08:32,walking
2016-03-08 16:11:46,still
2016-03-08 16:40:08,walking
2016-03-08 16:47:52,in_vehicle
2016-03-08 17:47:10,walking
2016-03-08 17:50:14,still
2016-03-08 18:04:18,still
2016-03-08 18:16:58,still
2016-03-08 18:48:56,still
2016-03-09 00:00:00,still
2016-03-09 07:09:45,walking
2016-03-09 07:11:16,still
2016-03-09 07:28:11,walking
2016-03-09 07:30:17,still
2016-03-09 07:35:12,in_vehicle
2016-03-09 08:46:32,walking
2016-03-09 08:50:29,still
2016-03-09 08:52:42,walking
2016-03-09 09:02:17,still
2016-03-09 09:05:10,walking
2016-03-09 09:09:29,in_vehicle
2016-03-09 09:16:09,walking
2016-03-09 09:26:33,still
2016-03-09 09:28:50,walking
2016-03-09 09:38:54,still
2016-03-09 09:43:55,walking
2016-03-09 09:47:23,still
2016-03-09 09:57:45,in_vehicle
2016-03-09 10:07:10,walking
2016-03-09 10:14:55,still
2016-03-09 10:18:03,walking
2016-03-09 10:21:14,walking
2016-03-09 10:22:58,walking
2016-03-09 10:26:50,still
2016-03-09 10:28:08,walking
2016-03-09 10:43:08,still
2016-03-09 11:10:41,walking
2016-03-09 11:13:29,still
2016-03-09 11:15:28,walking
2016-03-09 11:28:48,walking
2016-03-09 11:43:56,still
2016-03-09 11:49:01,walking
2016-03-09 11:54:07,still
2016-03-09 12:00:46,walking
2016-03-09 12:06:43,walking
2016-03-09 12:15:29,still
2016-03-09 12:16:52,walking
2016-03-09 12:18:04,still
2016-03-09 12:19:21,walking
2016-03-09 12:23:00,in_vehicle
2016-03-09 12:38:41,still
2016-03-09 13:48:38,walking
2016-03-09 13:53:05,walking
2016-03-09 13:59:16,still
2016-03-09 14:02:28,in_vehicle
2016-03-09 14:09:01,walking
2016-03-09 14:17:05,still
2016-03-09 14:19:11,walking
2016-03-09 14:30:33,still
2016-03-09 14:36:27,walking
2016-03-09 14:40:28,still
2016-03-09 14:46:08,in_vehicle
2016-03-09 15:19:54,walking
2016-03-09 15:23:53,still
2016-03-09 15:38:43,walking
2016-03-09 15:45:21,walking
2016-03-09 15:52:36,still
2016-03-09 16:10:38,walking
2016-03-09 16:15:50,still
2016-03-09 16:26:00,walking
2016-03-09 16:27:14,still
2016-03-09 16:30:30,walking
2016-03-09 16:32:04,still
2016-03-09 16:36:28,walking
2016-03-09 16:39:58,still
2016-03-09 16:44:09,walking
2016-03-09 16:48:48,still
2016-03-09 16:52:25,walking
2016-03-09 16:56:28,in_vehicle
2016-03-09 17:35:43,walking
2016-03-09 17:37:12,in_vehicle
2016-03-09 17:59:13,walking
2016-03-09 18:04:49,still
2016-03-09 18:40:29,still
2016-03-09 18:53:54,still
2016-03-09 19:08:49,walking
2016-03-09 19:14:08,still
2016-03-09 19:34:33,walking
2016-03-09 19:39:30,still
2016-03-09 19:54:25,walking
2016-03-09 19:56:54,still
2016-03-10 00:00:00,still
2016-03-10 06:41:54,walking
2016-03-10 06:44:42,still
2016-03-10 07:27:52,still
2016-03-10 07:30:47,in_vehicle
2016-03-10 09:00:52,still
2016-03-10 09:33:23,in_vehicle
2016-03-10 09:42:30,walking
2016-03-10 09:48:36,still
2016-03-10 09:54:22,walking
2016-03-10 09:57:53,still
2016-03-10 10:11:55,walking
2016-03-10 10:20:21,still
2016-03-10 10:24:00,walking
2016-03-10 10:40:07,still
2016-03-10 10:41:51,walking
2016-03-10 10:44:12,still
2016-03-10 10:54:23,walking
2016-03-10 10:58:05,still
2016-03-10 10:59:10,walking
2016-03-10 11:01:20,still
2016-03-10 11:02:33,walking
2016-03-10 11:04:59,still
2016-03-10 11:09:01,walking
2016-03-10 11:12:43,in_vehicle
2016-03-10 11:26:38,still
2016-03-10 11:29:15,walking
2016-03-10 11:36:38,still
2016-03-10 11:44:02,walking
2016-03-10 11:50:50,still
2016-03-10 12:17:55,still
2016-03-10 12:19:51,walking
2016-03-10 12:28:36,in_vehicle
2016-03-10 12:39:58,walking
2016-03-10 12:43:21,walking
2016-03-10 12:45:40,still
2016-03-10 12:47:23,in_vehicle
2016-03-10 13:00:16,still
2016-03-10 13:10:42,walking
2016-03-10 13:12:20,in_vehicle
2016-03-10 13:20:56,walking
2016-03-10 13:27:59,still
2016-03-10 13:31:01,walking
2016-03-10 13:32:02,still
2016-03-10 13:34:37,walking
2016-03-10 13:54:12,walking
2016-03-10 14:02:58,walking
2016-03-10 14:10:24,still
2016-03-10 14:22:11,walking
2016-03-10 14:25:01,still
2016-03-10 14:35:06,walking
2016-03-10 14:46:15,still
2016-03-10 14:49:07,walking
2016-03-10 14:50:43,still
2016-03-10 14:51:52,walking
2016-03-10 14:54:35,still
2016-03-10 14:58:17,walking
2016-03-10 15:17:32,walking
2016-03-10 15:20:35,still
2016-03-10 15:27:01,walking
2016-03-10 15:41:37,walking
2016-03-10 16:02:22,still
2016-03-10 16:17:55,still
2016-03-10 16:30:59,still
2016-03-10 16:37:16,walking
2016-03-10 16:42:58,still
2016-03-10 16:47:00,walking
2016-03-10 16:52:11,walking
2016-03-10 17:02:27,still
2016-03-10 17:14:52,walking
2016-03-10 17:20:25,still
2016-03-10 17:23:33,walking
2016-03-10 17:26:04,in_vehicle
2016-03-10 18:21:15,still
2016-03-10 19:01:46,in_vehicle
2016-03-10 19:20:22,still
2016-03-10 19:38:45,walking
2016-03-10 19:42:45,still
2016-03-10 19:57:58,still
2016-03-15 00:30:00,still
2016-03-15 08:52:08,in_vehicle
2016-03-15 09:10:18,walking
2016-03-15 09:11:34,still
2016-03-15 09:13:05,in_vehicle
2016-03-15 09:58:03,walking
2016-03-15 10:02:50,still
2016-03-15 10:05:35,walking
2016-03-15 10:16:16,still
2016-03-15 10:18:12,walking
2016-03-15 10:38:41,still
2016-03-15 10:41:33,walking
2016-03-15 11:35:21,still
2016-03-15 11:37:14,walking
2016-03-15 11:41:19,still
2016-03-15 11:48:02,walking
2016-03-15 11:51:19,in_vehicle
2016-03-15 12:07:23,walking
2016-03-15 12:09:11,still
2016-03-15 12:16:46,in_vehicle
2016-03-15 12:27:11,walking
2016-03-15 12:36:32,still
2016-03-15 12:38:33,walking
2016-03-15 12:59:53,walking
2016-03-15 13:01:06,walking
2016-03-15 13:11:16,still
2016-03-15 13:22:29,walking
2016-03-15 13:35:14,walking
2016-03-15 13:36:15,walking
2016-03-15 13:52:54,walking
2016-03-15 14:08:22,walking
2016-03-15 14:09:50,walking
2016-03-15 14:25:12,walking
2016-03-15 14:37:22,walking
2016-03-15 14:51:27,still
2016-03-15 14:55:33,walking
2016-03-15 14:57:00,walking
2016-03-15 15:06:38,in_vehicle
2016-03-15 15:56:25,walking
2016-03-15 16:06:30,still
2016-03-15 16:07:42,walking
2016-03-15 16:10:14,still
2016-03-15 16:35:14,walking
2016-03-15 16:58:49,still
2016-03-15 17:01:27,in_vehicle
2016-03-15 18:01:32,walking
2016-03-15 18:15:34,walking
2016-03-15 18:17:19,in_vehicle
2016-03-15 18:23:45,walking
2016-03-15 18:31:46,still
2016-03-15 19:00:04,still
2016-03-15 19:02:43,walking
