date,ActivFit
2016-01-02 04:43:38,walking
2016-01-02 05:43:01,walking
2016-01-02 05:47:03,walking
2016-01-02 05:59:01,walking
2016-01-02 07:14:07,walking
2016-01-02 08:06:02,walking
2016-01-02 09:26:01,walking
2016-01-02 09:43:00,walking
2016-01-02 10:01:20,walking
2016-01-02 10:16:54,walking
2016-01-02 10:20:01,walking
2016-01-02 10:58:00,walking
2016-01-02 11:03:39,walking
2016-01-02 11:11:32,walking
2016-01-02 11:15:00,walking
2016-01-02 11:38:00,walking
2016-01-02 11:48:01,walking
2016-01-02 11:50:14,walking
2016-01-02 12:23:09,walking
2016-01-02 12:26:04,walking
2016-01-02 12:37:19,walking
2016-01-02 12:40:02,walking
2016-01-02 12:42:01,walking
2016-01-02 12:46:00,walking
2016-01-02 12:54:15,walking
2016-01-02 12:56:42,walking
2016-01-02 13:02:00,walking
2016-01-02 13:03:29,walking
2016-01-02 13:51:00,walking
2016-01-02 14:07:54,walking
2016-01-02 14:19:14,walking
2016-01-02 14:26:31,walking
2016-01-02 14:30:02,walking
2016-01-02 14:33:39,walking
2016-01-02 14:39:23,walking
2016-01-02 14:40:59,walking
2016-01-02 15:17:37,walking
2016-01-02 15:19:35,walking
2016-01-02 15:23:09,walking
2016-01-02 15:46:01,walking
2016-01-02 16:00:50,walking
