date,ActivFit
2017-04-12 00:00:00,still
2017-04-12 07:28:23,walking
2017-04-12 07:32:39,in_vehicle
2017-04-12 07:57:03,walking
2017-04-12 07:58:48,in_vehicle
2017-04-12 08:04:58,walking
2017-04-12 08:07:07,still
2017-04-12 08:14:13,walking
2017-04-12 08:15:29,still
2017-04-12 10:24:22,walking
2017-04-12 10:27:27,still
2017-04-12 12:11:20,still
2017-04-12 12:21:47,still
2017-04-12 13:03:24,walking
2017-04-12 13:04:47,walking
2017-04-12 13:06:24,still
2017-04-12 14:35:39,still
2017-04-12 17:18:01,walking
2017-04-12 17:30:35,in_vehicle
2017-04-12 17:36:39,walking
2017-04-12 17:43:57,still
2017-04-12 17:53:10,walking
2017-04-12 17:57:23,walking
2017-04-12 17:59:50,in_vehicle
2017-04-12 18:12:24,walking
2017-04-12 18:16:09,still
2017-04-12 22:09:29,still
2017-04-14 00:00:00,still
2017-04-14 13:25:18,walking
2017-04-14 13:31:19,still
2017-04-14 13:40:22,in_vehicle
2017-04-14 13:45:27,walking
2017-04-14 13:53:42,in_vehicle
2017-04-14 15:10:06,walking
2017-04-14 15:15:11,walking
2017-04-14 15:26:25,still
2017-04-14 15:33:01,still
2017-04-14 15:36:33,walking
2017-04-14 15:38:15,in_vehicle
2017-04-14 16:20:26,still
2017-04-14 19:04:57,still
2017-04-14 20:12:00,still
2017-04-14 21:12:46,in_vehicle
2017-04-14 21:33:07,still
2017-04-15 00:00:00,still
2017-04-15 08:37:25,in_vehicle
2017-04-15 08:45:45,still
2017-04-15 09:06:09,walking
2017-04-15 09:08:18,still
2017-04-15 09:10:51,in_vehicle
2017-04-15 09:53:09,walking
2017-04-15 09:56:01,still
2017-04-15 10:06:46,walking
2017-04-15 10:09:46,still
2017-04-15 10:12:52,walking
2017-04-15 10:14:52,still
2017-04-15 10:19:55,in_vehicle
2017-04-15 10:31:47,still
2017-04-15 10:35:41,walking
2017-04-15 10:36:42,still
2017-04-15 11:58:39,walking
2017-04-15 12:00:02,still
2017-04-15 12:01:05,in_vehicle
2017-04-15 13:03:54,walking
2017-04-15 13:43:14,walking
2017-04-15 13:46:29,walking
2017-04-15 14:21:39,still
2017-04-15 14:25:23,in_vehicle
2017-04-15 15:14:55,walking
2017-04-15 15:30:47,in_vehicle
2017-04-15 15:45:25,walking
2017-04-15 15:47:13,still
2017-04-15 15:56:28,walking
2017-04-15 15:59:32,still
2017-04-15 16:00:54,in_vehicle
2017-04-15 16:13:31,in_vehicle
2017-04-15 16:17:56,still
2017-04-15 21:27:04,still
2017-04-15 21:50:17,still
2017-04-18 23:00:00,still
2017-04-19 00:00:00,still
2017-04-19 07:09:09,in_vehicle
2017-04-19 07:19:40,still
2017-04-19 07:25:04,walking
2017-04-19 07:32:09,in_vehicle
2017-04-19 07:41:22,still
2017-04-19 07:44:01,walking
2017-04-19 07:48:07,in_vehicle
2017-04-19 07:56:06,walking
2017-04-19 07:57:58,in_vehicle
2017-04-19 08:00:07,still
2017-04-19 09:30:43,walking
2017-04-19 09:37:43,walking
2017-04-19 09:41:43,still
2017-04-19 10:59:10,walking
2017-04-19 11:05:47,still
2017-04-19 12:10:18,still
2017-04-19 12:29:15,still
2017-04-19 13:55:08,walking
2017-04-19 14:00:40,still
2017-04-19 14:06:42,still
2017-04-19 14:08:29,still
2017-04-19 15:34:22,walking
2017-04-19 15:49:30,still
2017-04-19 15:54:43,in_vehicle
2017-04-19 16:10:05,still
2017-04-19 17:28:21,walking
2017-04-19 17:29:47,still
2017-04-19 18:56:52,walking
2017-04-19 19:10:59,still
2017-04-19 19:17:29,in_vehicle
2017-04-19 19:32:19,walking
2017-04-19 19:34:41,still
2017-04-19 21:10:32,still
2017-04-20 00:00:00,still
2017-04-20 07:43:21,still
2017-04-20 07:45:00,walking
2017-04-20 07:50:01,in_vehicle
2017-04-20 07:55:21,still
2017-04-20 08:02:57,walking
2017-04-20 08:05:56,walking
2017-04-20 08:08:59,still
2017-04-20 08:15:15,walking
2017-04-20 08:16:42,still
2017-04-20 08:20:31,still
2017-04-20 08:21:36,still
2017-04-20 08:38:33,walking
2017-04-20 08:40:00,walking
2017-04-20 08:46:10,walking
2017-04-20 08:47:12,still
2017-04-20 08:49:20,still
2017-04-20 08:50:50,still
2017-04-20 08:55:10,still
2017-04-20 09:01:36,still
2017-04-20 09:45:16,still
2017-04-20 09:48:12,still
2017-04-20 09:51:25,still
2017-04-20 11:18:05,still
2017-04-20 11:20:06,still
2017-04-20 12:02:39,still
2017-04-20 12:07:19,walking
2017-04-20 12:10:29,walking
2017-04-20 12:14:13,still
2017-04-20 12:15:23,still
2017-04-20 13:09:04,still
2017-04-20 13:38:50,still
2017-04-20 13:39:53,still
2017-04-20 13:48:45,still
2017-04-20 14:08:46,still
2017-04-20 14:10:51,still
2017-04-20 14:57:34,walking
2017-04-20 14:59:00,walking
2017-04-20 15:00:46,walking
2017-04-20 15:04:16,still
2017-04-20 15:05:35,still
2017-04-20 16:24:34,still
2017-04-20 16:33:02,walking
2017-04-20 16:35:16,still
2017-04-20 16:55:02,still
2017-04-20 16:56:28,still
2017-04-20 17:22:35,walking
2017-04-20 17:25:02,walking
2017-04-20 17:29:19,walking
2017-04-20 17:35:45,still
2017-04-20 17:36:53,walking
2017-04-20 17:40:04,walking
2017-04-20 17:45:10,walking
2017-04-20 17:50:16,walking
2017-04-20 17:52:00,in_vehicle
2017-04-20 17:56:13,in_vehicle
2017-04-20 18:02:41,walking
2017-04-20 18:04:50,walking
2017-04-20 18:06:16,still
2017-04-20 18:09:45,still
2017-04-20 18:17:43,still
2017-04-20 18:53:30,still
2017-04-20 19:11:30,still
2017-04-20 20:25:10,still
2017-04-20 20:27:43,still
2017-04-20 20:58:44,still
2017-04-21 00:00:00,still
2017-04-21 07:43:28,still
2017-04-21 07:45:04,walking
2017-04-21 07:47:18,in_vehicle
2017-04-21 07:57:36,still
2017-04-21 08:05:55,walking
2017-04-21 08:07:20,walking
2017-04-21 08:09:18,in_vehicle
2017-04-21 08:12:32,still
2017-04-21 08:14:34,in_vehicle
2017-04-21 08:19:33,still
2017-04-21 08:21:00,still
2017-04-21 09:31:34,still
2017-04-21 09:33:35,still
2017-04-21 09:35:19,still
2017-04-21 09:39:02,in_vehicle
2017-04-21 09:44:17,still
2017-04-21 09:45:20,still
2017-04-21 10:09:45,still
2017-04-21 11:27:43,still
