date,ActivFit
2016-01-07 07:39:00,still
2016-01-07 07:44:00,walking
2016-01-07 07:45:00,still
2016-01-07 08:40:56,still
2016-01-07 08:48:08,still
2016-01-07 08:50:00,still
2016-01-07 09:04:00,still
2016-01-07 09:05:59,walking
2016-01-07 09:08:27,still
2016-01-07 09:52:00,in_vehicle
2016-01-07 11:31:59,still
2016-01-07 12:12:00,still
2016-01-07 13:33:00,still
2016-01-07 14:11:59,walking
2016-01-07 14:18:00,still
2016-01-07 17:51:00,still
2016-01-07 18:05:08,still
2016-01-07 18:22:00,walking
2016-01-07 20:26:00,still
2016-01-07 21:07:59,still
2016-01-07 21:18:00,still
2016-01-09 07:21:27,still
2016-01-09 08:26:44,walking
2016-01-09 08:55:59,still
2016-01-09 11:33:00,in_vehicle
2016-01-09 12:07:00,still
2016-01-09 12:20:35,walking
2016-01-09 12:36:59,still
2016-01-09 14:51:00,still
2016-01-09 17:23:00,still
2016-01-09 17:50:51,still
2016-01-09 17:55:31,still
2016-01-09 18:14:00,still
2016-01-09 19:02:55,walking
2016-01-09 19:04:36,still
2016-01-09 19:41:00,still
2016-01-10 03:28:44,still
2016-01-10 11:04:47,walking
2016-01-10 11:08:56,walking
2016-01-10 11:16:50,walking
2016-01-10 11:28:47,walking
2016-01-10 11:36:46,still
2016-01-10 11:42:49,walking
2016-01-10 11:46:42,still
2016-01-10 11:56:48,still
2016-01-10 13:09:41,still
2016-01-10 13:22:01,still
2016-01-10 14:12:00,still
2016-01-10 14:51:58,still
2016-01-10 15:06:26,still
2016-01-10 15:15:55,still
2016-01-10 15:42:59,still
2016-01-10 16:25:00,walking
2016-01-10 16:37:17,walking
2016-01-10 18:23:00,still
2016-01-10 18:33:00,still
2016-01-10 20:08:00,still
2016-01-10 22:03:13,still
2016-01-11 02:32:55,still
2016-01-11 07:37:59,still
2016-01-11 08:01:00,still
2016-01-11 08:10:00,in_vehicle
2016-01-11 08:42:00,walking
2016-01-11 09:17:00,still
2016-01-11 09:25:56,still
2016-01-11 11:29:14,still
2016-01-11 12:14:15,walking
2016-01-11 12:25:49,walking
2016-01-11 12:31:50,walking
2016-01-11 12:36:59,still
2016-01-11 15:00:13,still
2016-01-11 16:09:59,still
2016-01-11 16:12:02,still
2016-01-11 16:35:00,still
2016-01-11 16:48:42,walking
2016-01-11 16:55:00,in_vehicle
2016-01-11 17:36:59,still
2016-01-11 17:50:59,still
2016-01-11 18:11:59,still
2016-01-11 18:52:01,still
2016-01-11 19:04:16,still
2016-01-11 19:21:59,still
2016-01-11 19:59:47,still
2016-01-12 07:09:00,still
2016-01-12 07:15:03,still
2016-01-12 07:53:00,biking
2016-01-12 08:32:59,walking
2016-01-12 08:38:00,still
2016-01-12 11:08:52,still
2016-01-12 12:10:55,walking
2016-01-12 12:13:01,walking
2016-01-12 12:26:00,still
2016-01-12 12:35:59,walking
2016-01-12 12:51:00,still
2016-01-12 14:39:54,still
2016-01-12 15:11:34,still
2016-01-12 15:57:47,still
2016-01-12 16:11:15,still
2016-01-12 16:23:22,walking
2016-01-12 16:32:59,in_vehicle
2016-01-12 17:13:02,still
2016-01-12 17:43:01,walking
2016-01-12 17:48:00,still
2016-01-12 17:59:30,walking
2016-01-12 18:02:00,still
2016-01-12 18:03:01,walking
2016-01-12 18:06:49,walking
2016-01-12 18:43:01,in_vehicle
2016-01-12 19:33:01,still
2016-01-12 20:23:01,still
2016-01-13 07:29:59,in_vehicle
2016-01-13 08:21:58,walking
2016-01-13 08:28:00,still
2016-01-13 10:27:31,still
2016-01-13 11:38:59,walking
2016-01-13 11:39:59,walking
2016-01-13 11:55:00,walking
2016-01-13 11:59:01,walking
2016-01-13 12:04:59,still
2016-01-13 13:50:59,still
2016-01-13 13:54:59,walking
2016-01-13 13:58:30,still
2016-01-13 13:59:35,walking
2016-01-13 14:05:59,still
2016-01-13 15:44:23,still
2016-01-13 15:50:43,still
2016-01-13 16:00:00,walking
2016-01-13 16:05:59,in_vehicle
2016-01-13 16:46:00,still
2016-01-13 16:57:01,still
2016-01-13 20:04:00,still
2016-01-13 20:26:39,walking
2016-01-13 20:32:59,walking
2016-01-13 20:48:59,still
2016-01-14 07:16:01,still
2016-01-14 07:31:49,still
2016-01-14 07:47:59,in_vehicle
2016-01-14 08:38:00,still
2016-01-14 10:20:48,still
2016-01-14 11:01:52,still
2016-01-14 11:24:00,still
2016-01-14 12:17:59,walking
2016-01-14 12:36:15,walking
2016-01-14 12:41:58,walking
2016-01-14 12:48:59,still
2016-01-14 12:56:39,walking
2016-01-14 13:28:59,still
2016-01-14 14:47:58,still
2016-01-14 16:17:34,still
2016-01-14 19:18:01,still
2016-01-14 20:44:47,still
2016-01-14 21:49:25,still
2016-01-14 22:45:57,still
2016-01-15 00:00:00,still
2016-01-15 07:10:51,walking
2016-01-15 07:16:00,still
2016-01-15 07:36:00,biking
2016-01-15 08:20:00,walking
2016-01-15 08:23:38,still
2016-01-15 11:33:00,walking
2016-01-15 11:34:00,walking
2016-01-15 11:38:07,walking
2016-01-15 11:52:59,walking
2016-01-15 11:58:59,still
2016-01-15 12:38:40,walking
2016-01-15 12:42:59,still
2016-01-15 12:49:00,still
2016-01-15 15:36:01,still
2016-01-15 15:58:17,still
2016-01-15 16:34:59,walking
2016-01-15 16:50:00,still
2016-01-15 16:52:30,walking
2016-01-15 16:57:45,still
2016-01-15 17:03:00,biking
2016-01-15 17:45:00,still
2016-01-15 19:48:38,still
2016-01-15 21:40:47,still
2016-01-16 00:00:00,still
2016-01-16 07:53:59,in_vehicle
2016-01-16 10:20:16,walking
2016-01-16 10:38:09,walking
2016-01-16 10:48:59,still
2016-01-16 10:54:17,still
2016-01-16 10:56:19,still
2016-01-16 11:54:01,still
2016-01-16 12:53:59,still
2016-01-16 13:15:01,still
2016-01-16 13:44:59,still
2016-01-16 13:55:01,in_vehicle
2016-01-16 14:50:00,still
2016-01-16 15:10:32,still
2016-01-16 15:32:00,still
2016-01-16 15:33:00,still
2016-01-16 15:38:35,still
2016-01-16 16:01:49,still
2016-01-16 16:03:03,still
2016-01-16 16:18:33,still
2016-01-16 17:21:53,still
2016-01-16 17:40:59,still
2016-01-16 17:57:40,still
2016-01-16 18:16:49,still
2016-01-16 18:22:59,still
2016-01-16 20:09:59,still
2016-01-17 07:16:54,still
2016-01-17 17:27:59,still
2016-01-17 19:00:01,still
2016-01-18 00:00:00,still
2016-01-18 07:06:00,still
2016-01-18 07:18:27,still
2016-01-18 07:26:00,biking
2016-01-18 08:01:00,still
2016-01-18 08:02:20,walking
2016-01-18 08:08:00,still
2016-01-18 10:54:00,walking
2016-01-18 11:08:00,still
2016-01-18 11:41:59,walking
2016-01-18 11:42:59,walking
2016-01-18 11:50:16,walking
2016-01-18 12:03:00,still
2016-01-18 13:09:00,still
2016-01-18 13:34:00,still
2016-01-18 16:49:00,in_vehicle
2016-01-18 18:12:41,still
2016-01-18 18:23:59,walking
2016-01-18 18:33:59,still
2016-01-18 18:41:40,still
2016-01-18 21:39:59,in_vehicle
2016-01-18 22:55:48,still
2016-01-19 00:00:00,still
2016-01-19 07:46:04,still
2016-01-19 08:10:59,biking
2016-01-19 08:55:59,still
2016-01-19 08:59:59,walking
2016-01-19 09:06:01,still
2016-01-19 10:05:59,still
2016-01-19 12:07:50,still
2016-01-19 12:08:58,walking
2016-01-19 12:17:21,walking
2016-01-19 12:20:46,walking
2016-01-19 12:21:51,still
2016-01-19 12:24:11,still
2016-01-19 14:21:39,still
2016-01-19 14:51:00,still
2016-01-19 15:39:07,still
2016-01-19 15:53:00,biking
2016-01-19 16:48:00,still
2016-01-19 17:05:29,still
2016-01-19 18:25:14,still
2016-01-19 19:01:00,walking
2016-01-19 19:45:00,still
2016-01-19 19:53:46,walking
2016-01-19 20:34:00,still
2016-01-20 07:22:00,still
2016-01-20 07:24:47,still
2016-01-20 07:44:59,still
2016-01-20 08:02:00,biking
2016-01-20 08:43:00,walking
2016-01-20 08:51:59,still
2016-01-20 09:41:59,still
2016-01-20 12:03:25,still
2016-01-20 12:08:00,still
2016-01-20 12:17:53,walking
2016-01-20 12:18:59,walking
2016-01-20 12:23:00,walking
2016-01-20 12:28:57,walking
2016-01-20 12:34:58,walking
2016-01-20 12:38:58,walking
2016-01-20 12:45:58,walking
2016-01-20 12:48:57,walking
2016-01-20 13:09:00,still
2016-01-20 15:06:41,still
2016-01-20 16:37:38,walking
2016-01-20 16:41:58,walking
2016-01-20 16:49:00,still
2016-01-20 16:59:00,biking
2016-01-20 17:44:00,still
2016-01-20 18:29:00,still
2016-01-20 19:09:03,still
2016-01-20 19:34:28,still
2016-01-20 20:25:15,still
2016-01-20 20:44:57,still
2016-01-21 00:00:00,still
2016-01-21 07:59:00,biking
2016-01-21 08:54:00,walking
2016-01-21 09:04:00,still
2016-01-21 10:18:45,still
2016-01-21 11:15:46,walking
2016-01-21 11:35:59,walking
2016-01-21 11:41:00,still
2016-01-21 11:51:36,still
2016-01-21 12:15:01,still
2016-01-21 12:23:53,walking
2016-01-21 12:36:00,still
2016-01-21 12:38:33,walking
2016-01-21 12:51:00,still
2016-01-21 13:23:18,still
2016-01-21 13:58:31,still
2016-01-21 14:58:00,still
2016-01-21 16:43:57,walking
2016-01-21 16:57:00,biking
2016-01-21 17:47:00,still
2016-01-21 17:49:06,still
2016-01-21 18:02:00,still
2016-01-21 18:25:51,still
2016-01-21 18:29:51,still
2016-01-21 18:37:00,in_vehicle
2016-01-21 19:17:00,still
2016-01-21 19:36:00,still
2016-01-21 21:44:59,still
2016-01-22 08:47:00,still
2016-01-22 09:17:00,still
2016-01-22 11:58:00,walking
2016-01-22 12:11:15,walking
2016-01-22 12:49:00,still
2016-01-22 15:45:15,walking
2016-01-22 16:05:00,still
2016-01-22 16:32:19,still
2016-01-22 18:15:59,still
2016-01-22 19:03:29,still
2016-01-23 07:46:55,walking
2016-01-23 07:47:59,still
2016-01-23 07:55:00,walking
2016-01-23 07:56:04,still
2016-01-23 08:08:00,in_vehicle
2016-01-23 11:36:00,still
