date,ActivFit
2016-01-01 00:02:09,still
2016-01-01 18:39:32,still
2016-01-01 19:30:12,still
2016-01-01 19:59:50,still
2016-01-01 20:37:00,in_vehicle
2016-01-01 21:01:02,walking
2016-01-01 21:05:31,still
2016-01-01 23:33:55,walking
2016-01-01 23:38:07,in_vehicle
2016-01-02 00:00:00,in_vehicle
2016-01-02 00:02:46,walking
2016-01-02 00:06:11,still
2016-01-02 13:53:53,walking
2016-01-02 13:58:46,walking
2016-01-02 14:01:22,still
2016-01-02 15:25:21,walking
2016-01-02 15:36:43,still
2016-01-02 23:47:57,still
