date,ActivFit
2017-01-19 00:00:00,still
2017-01-19 07:50:11,still
2017-01-19 08:30:27,walking
2017-01-19 08:34:34,in_vehicle
2017-01-19 08:51:50,walking
2017-01-19 08:54:45,still
2017-01-19 09:00:11,in_vehicle
2017-01-19 09:05:47,walking
2017-01-19 09:11:52,still
2017-01-19 10:12:04,walking
2017-01-19 10:15:05,still
2017-01-19 10:39:42,walking
2017-01-19 10:41:25,in_vehicle
2017-01-19 10:51:08,still
2017-01-19 12:33:02,walking
2017-01-19 12:35:19,walking
2017-01-19 12:42:37,still
2017-01-19 13:51:59,in_vehicle
2017-01-19 14:04:00,still
2017-01-19 14:50:55,walking
2017-01-19 14:58:35,still
2017-01-19 15:56:06,walking
2017-01-19 15:57:56,still
2017-01-19 16:18:54,walking
2017-01-19 16:20:25,in_vehicle
2017-01-19 16:28:37,still
2017-01-19 17:28:21,still
2017-01-19 17:58:28,walking
2017-01-19 18:09:49,in_vehicle
2017-01-19 18:28:13,walking
2017-01-19 18:31:38,still
2017-01-19 18:41:37,walking
2017-01-19 18:45:35,still
2017-01-19 18:48:51,walking
2017-01-19 18:54:14,still
2017-01-19 22:22:08,still
2017-01-21 00:00:00,still
2017-01-21 10:08:52,still
2017-01-21 10:37:45,still
2017-01-21 11:06:24,still
2017-01-21 14:26:41,walking
2017-01-21 14:37:50,walking
2017-01-21 14:40:17,walking
2017-01-21 14:43:40,walking
2017-01-21 14:44:42,walking
2017-01-21 14:51:50,walking
2017-01-21 15:01:32,still
2017-01-21 15:09:35,still
2017-01-21 15:10:36,walking
2017-01-21 15:14:38,still
2017-01-21 16:01:24,in_vehicle
2017-01-21 16:18:26,still
2017-01-21 19:39:02,still
2017-01-21 20:46:23,still
2017-01-21 20:47:28,in_vehicle
2017-01-21 21:05:08,still
2017-01-21 21:10:54,still
2017-01-21 21:54:18,still
2017-01-21 22:05:51,still
2017-01-21 22:32:42,still
