date,ActivFit
2016-09-05 00:00:00,still
2016-09-05 11:06:08,walking
2016-09-05 11:07:11,still
2016-09-05 11:09:13,still
2016-09-05 11:13:25,walking
2016-09-05 11:15:43,still
2016-09-05 11:50:09,still
2016-09-05 12:00:38,still
2016-09-05 12:05:03,walking
2016-09-05 12:07:51,in_vehicle
2016-09-05 12:15:16,still
2016-09-05 18:00:04,still
2016-09-05 18:08:56,still
2016-09-07 00:00:00,still
2016-09-07 07:14:05,still
2016-09-07 07:39:06,in_vehicle
2016-09-07 07:56:51,walking
2016-09-07 07:59:08,still
