date,ActivFit
2016-05-15 00:00:00,still
2016-05-15 01:54:24,walking
2016-05-15 01:56:52,still
2016-05-15 09:16:39,in_vehicle
2016-05-15 09:29:25,still
2016-05-15 10:29:43,walking
2016-05-15 10:31:18,in_vehicle
2016-05-15 10:45:29,still
2016-05-15 13:29:41,in_vehicle
2016-05-15 13:46:30,still
2016-05-15 13:47:59,walking
2016-05-15 13:58:58,still
2016-05-15 14:09:09,walking
2016-05-15 14:10:40,still
2016-05-15 14:11:41,walking
2016-05-15 14:19:48,in_vehicle
2016-05-15 14:26:54,walking
2016-05-15 14:31:06,still
2016-05-15 15:04:42,walking
2016-05-15 15:05:43,walking
2016-05-15 15:08:44,still
2016-05-15 15:12:47,walking
2016-05-15 15:26:44,walking
2016-05-15 15:31:01,still
2016-05-15 15:40:44,still
2016-05-15 16:05:09,still
2016-05-15 16:13:20,still
2016-05-15 16:38:22,walking
2016-05-15 16:39:24,walking
2016-05-15 16:43:59,walking
2016-05-15 16:50:02,still
2016-05-15 16:51:33,walking
2016-05-15 16:55:06,still
2016-05-15 16:59:00,walking
2016-05-15 17:08:14,still
2016-05-15 17:26:53,still
2016-05-15 17:38:35,walking
2016-05-15 17:42:47,still
2016-05-15 17:54:17,walking
2016-05-15 18:02:27,still
2016-05-15 19:12:01,still
2016-05-15 19:14:03,walking
2016-05-15 19:17:11,still
2016-05-15 20:01:17,walking
2016-05-15 20:03:50,walking
2016-05-15 20:07:05,still
2016-05-15 21:19:37,still
2016-05-15 21:49:47,still
2016-05-16 00:00:00,still
2016-05-16 07:44:50,walking
2016-05-16 07:46:51,still
2016-05-16 09:38:13,walking
2016-05-16 09:39:45,still
2016-05-16 12:38:12,still
2016-05-16 13:27:54,walking
2016-05-16 13:31:51,walking
2016-05-16 13:33:22,walking
2016-05-16 13:40:35,in_vehicle
2016-05-16 13:49:07,still
2016-05-16 14:16:09,still
2016-05-16 16:08:31,walking
2016-05-16 16:09:56,still
2016-05-16 20:34:24,still
2016-05-16 21:47:20,still
2016-05-17 00:00:00,still
2016-05-17 06:04:26,walking
2016-05-17 06:05:59,still
2016-05-18 00:00:00,still
2016-05-18 06:28:14,still
2016-05-18 06:44:25,still
2016-05-18 07:18:52,walking
2016-05-18 07:19:56,still
2016-05-18 08:21:47,still
2016-05-18 09:41:30,still
2016-05-18 09:49:44,in_vehicle
2016-05-18 10:06:02,walking
2016-05-18 10:07:07,still
2016-05-18 13:06:26,walking
2016-05-18 13:09:22,still
2016-05-18 13:24:17,walking
2016-05-18 13:38:40,still
2016-05-18 13:51:13,walking
2016-05-18 13:53:46,walking
2016-05-18 14:02:25,still
2016-05-18 14:19:39,still
2016-05-18 14:23:05,walking
2016-05-18 14:24:05,still
2016-05-18 14:40:55,walking
2016-05-18 14:42:58,walking
2016-05-18 14:47:19,still
2016-05-18 14:49:52,walking
2016-05-18 14:54:28,still
2016-05-18 15:17:26,still
2016-05-18 15:26:53,still
2016-05-18 15:43:39,walking
2016-05-18 15:47:59,still
2016-05-18 16:28:31,still
2016-05-18 16:55:52,still
2016-05-18 18:49:36,walking
2016-05-18 18:55:12,still
2016-05-18 19:01:42,walking
2016-05-18 19:12:19,still
2016-05-18 20:10:31,walking
2016-05-18 20:13:36,still
2016-05-18 20:27:28,walking
2016-05-18 20:28:59,walking
2016-05-18 20:38:32,still
2016-05-18 20:45:43,walking
2016-05-18 20:49:39,still
2016-05-18 22:39:12,still
2016-05-19 00:00:00,still
2016-05-19 00:30:42,still
2016-05-19 07:49:55,still
2016-05-19 09:09:52,walking
2016-05-19 09:11:31,still
2016-05-19 09:43:14,walking
2016-05-19 09:44:23,still
2016-05-19 13:46:16,still
2016-05-19 13:52:46,still
2016-05-19 14:01:42,walking
2016-05-19 14:19:25,still
2016-05-19 14:23:24,walking
2016-05-19 14:28:08,still
2016-05-19 14:35:52,walking
2016-05-19 14:36:53,walking
2016-05-19 14:43:06,still
2016-05-19 15:06:11,still
2016-05-19 15:11:55,still
2016-05-19 15:17:10,still
2016-05-19 15:34:53,walking
2016-05-19 15:42:11,still
2016-05-19 15:50:25,walking
2016-05-19 15:54:17,still
2016-05-19 16:14:46,walking
2016-05-19 16:19:21,still
2016-05-19 16:26:31,still
2016-05-19 16:30:34,still
2016-05-19 16:38:17,in_vehicle
2016-05-19 17:05:53,walking
2016-05-19 17:12:13,still
2016-05-19 17:14:14,in_vehicle
2016-05-19 17:40:38,walking
2016-05-19 17:47:50,still
2016-05-19 17:49:56,in_vehicle
2016-05-19 18:05:44,walking
2016-05-19 18:11:00,still
2016-05-19 18:49:29,walking
2016-05-19 18:53:02,still
2016-05-19 18:58:40,in_vehicle
2016-05-19 19:12:05,walking
2016-05-19 19:15:08,walking
2016-05-19 19:16:20,still
2016-05-19 19:43:24,still
2016-05-19 19:49:52,walking
2016-05-19 19:57:03,in_vehicle
2016-05-19 20:25:23,still
2016-05-19 20:29:46,running
2016-05-19 20:30:56,still
2016-05-19 21:25:09,still
2016-05-22 00:00:00,still
2016-05-22 01:19:59,walking
2016-05-22 01:21:06,still
2016-05-22 05:50:33,still
2016-05-22 11:02:06,still
2016-05-22 12:58:59,walking
2016-05-22 13:03:15,walking
2016-05-22 13:05:51,still
2016-05-22 14:09:18,walking
2016-05-22 14:11:02,still
2016-05-22 14:41:41,walking
2016-05-22 14:53:10,walking
2016-05-22 15:16:24,still
2016-05-22 15:32:08,walking
2016-05-22 15:33:53,still
2016-05-22 16:16:01,walking
2016-05-22 16:30:42,still
2016-05-22 17:20:36,still
2016-05-22 17:42:55,still
2016-05-22 17:49:16,still
2016-05-22 18:16:45,still
2016-05-22 18:21:18,still
2016-05-22 18:27:51,still
2016-05-22 18:40:59,walking
2016-05-22 18:44:00,still
2016-05-22 18:51:29,still
2016-05-22 19:00:57,walking
2016-05-22 19:02:23,still
2016-05-22 19:19:19,still
2016-05-22 20:18:56,still
2016-05-22 21:18:37,still
2016-05-22 21:21:59,walking
2016-05-22 21:25:32,still
2016-05-22 22:25:08,still
2016-05-22 22:47:50,still
2016-05-23 00:00:00,still
2016-05-23 02:54:02,still
2016-05-23 07:18:39,still
2016-05-23 07:28:02,walking
2016-05-23 07:30:04,still
2016-05-23 09:49:57,in_vehicle
2016-05-23 13:44:16,still
2016-05-23 14:10:41,walking
2016-05-23 14:12:50,still
2016-05-23 22:09:32,still
