date,ActivFit
2016-06-27 00:03:58,still
2016-06-27 00:06:58,walking
2016-06-27 00:08:07,still
2016-06-27 00:20:31,walking
2016-06-27 00:22:42,still
2016-06-27 00:44:26,walking
2016-06-27 01:12:28,walking
2016-06-27 01:20:08,still
2016-06-27 07:56:10,walking
2016-06-27 08:12:59,still
2016-06-27 08:24:46,walking
2016-06-27 08:36:18,still
2016-06-27 08:59:52,walking
2016-06-27 09:01:24,still
2016-06-27 09:09:54,walking
2016-06-27 09:22:09,walking
2016-06-27 09:32:11,still
2016-06-27 10:13:57,still
2016-06-27 11:08:28,still
2016-06-27 11:15:03,walking
2016-06-27 11:22:59,still
2016-06-27 11:32:17,still
2016-06-27 11:49:52,walking
2016-06-27 11:52:44,still
2016-06-27 12:34:30,walking
2016-06-27 12:37:56,still
2016-06-27 13:27:55,still
2016-06-27 14:31:50,walking
2016-06-27 14:46:37,still
2016-06-27 15:12:57,still
2016-06-27 15:28:53,walking
2016-06-27 15:29:53,walking
2016-06-27 15:38:57,still
2016-06-27 15:41:44,walking
2016-06-27 15:42:54,still
2016-06-27 16:09:43,walking
2016-06-27 16:21:53,still
2016-06-27 16:28:51,walking
2016-06-27 16:33:27,still
2016-06-27 17:05:01,still
