date,ActivFit
2016-01-20 00:02:06,still
2016-01-20 00:14:18,still
2016-01-20 04:09:33,still
2016-01-20 04:12:32,still
2016-01-20 04:16:57,still
2016-01-20 04:25:26,still
2016-01-20 04:36:42,still
2016-01-20 04:39:22,still
2016-01-20 04:56:43,still
2016-01-20 04:59:36,still
2016-01-20 05:05:45,still
2016-01-20 05:09:32,still
2016-01-20 05:11:42,still
2016-01-20 05:34:43,still
2016-01-20 05:53:46,still
2016-01-20 06:01:40,in_vehicle
2016-01-20 06:22:53,walking
2016-01-20 06:25:59,still
2016-01-20 06:33:31,still
2016-01-20 06:47:47,still
2016-01-20 07:28:53,still
2016-01-20 07:31:33,still
2016-01-20 07:34:15,still
2016-01-20 07:36:16,still
2016-01-20 07:46:29,walking
2016-01-20 07:48:09,still
2016-01-20 08:16:45,walking
2016-01-20 08:20:01,still
2016-01-20 08:24:03,still
2016-01-20 08:36:24,still
2016-01-20 08:43:31,still
2016-01-20 09:33:37,still
2016-01-20 09:36:09,still
2016-01-20 09:43:58,still
2016-01-20 09:45:47,still
2016-01-20 10:01:14,walking
2016-01-20 10:03:02,in_vehicle
2016-01-20 10:24:13,walking
2016-01-20 10:27:41,walking
2016-01-20 10:31:17,walking
2016-01-20 10:39:16,still
2016-01-20 10:46:18,still
2016-01-20 10:48:54,walking
2016-01-20 10:50:02,still
2016-01-20 10:58:41,walking
2016-01-20 11:01:03,still
2016-01-20 11:04:04,still
2016-01-20 12:17:57,walking
2016-01-20 12:19:48,still
2016-01-20 12:26:01,walking
2016-01-20 12:28:43,still
2016-01-20 13:53:01,walking
2016-01-20 13:54:02,still
2016-01-20 13:58:11,walking
2016-01-20 13:59:30,still
2016-01-20 14:09:28,walking
2016-01-20 14:10:39,still
2016-01-20 16:43:14,still
2016-01-20 16:54:21,still
2016-01-20 17:20:32,still
2016-01-20 17:44:17,still
2016-01-20 17:52:09,still
2016-01-20 18:01:13,still
2016-01-20 18:26:23,still
2016-01-20 18:35:42,still
2016-01-20 19:10:29,still
2016-01-20 19:46:10,still
2016-01-20 19:51:52,still
2016-01-20 19:55:20,still
2016-01-20 20:23:55,still
2016-01-20 20:30:36,still
2016-01-20 20:46:48,still
2016-01-20 20:51:01,still
2016-01-20 21:09:54,still
2016-01-20 21:13:45,still
2016-01-20 21:20:10,still
2016-01-20 21:23:47,still
2016-01-20 21:29:41,still
2016-01-20 21:37:42,still
2016-01-20 21:42:34,still
2016-01-20 21:49:58,still
2016-01-20 21:53:50,still
2016-01-20 22:13:52,still
2016-01-21 00:00:00,still
2016-01-21 05:02:25,walking
2016-01-21 05:03:35,still
2016-01-21 05:20:25,still
2016-01-21 05:28:47,walking
2016-01-21 05:30:51,still
2016-01-21 05:37:25,still
2016-01-21 05:43:52,still
2016-01-21 05:51:59,still
2016-01-21 05:58:30,still
2016-01-21 06:11:29,still
2016-01-21 06:15:28,still
2016-01-21 06:16:51,still
2016-01-21 06:30:20,in_vehicle
2016-01-21 06:44:11,walking
2016-01-21 06:45:34,still
2016-01-21 06:47:39,still
2016-01-21 06:53:53,walking
2016-01-21 06:55:53,still
2016-01-21 07:01:09,still
2016-01-21 07:05:34,walking
2016-01-21 07:06:58,still
2016-01-21 07:10:54,still
2016-01-21 07:12:21,walking
2016-01-21 07:13:45,walking
2016-01-21 07:17:26,still
2016-01-21 07:21:54,walking
2016-01-21 07:23:42,still
2016-01-21 07:57:20,walking
2016-01-21 08:00:21,still
2016-01-21 08:23:14,still
2016-01-21 08:26:20,walking
2016-01-21 08:27:52,still
2016-01-21 08:32:14,still
2016-01-21 08:47:24,walking
2016-01-21 08:53:46,walking
2016-01-21 08:57:20,still
2016-01-21 09:02:39,in_vehicle
2016-01-21 09:15:19,walking
2016-01-21 09:17:32,walking
2016-01-21 09:20:51,still
2016-01-21 09:28:42,still
2016-01-21 09:29:47,walking
2016-01-21 09:33:17,walking
2016-01-21 09:39:13,walking
2016-01-21 09:43:48,walking
2016-01-21 09:46:08,still
2016-01-21 09:51:27,still
2016-01-21 10:02:20,still
2016-01-21 10:05:12,still
2016-01-21 10:19:13,still
2016-01-21 10:22:40,still
2016-01-21 10:27:37,still
2016-01-21 10:37:23,walking
2016-01-21 10:43:58,walking
2016-01-21 10:46:20,walking
2016-01-21 10:49:25,still
2016-01-21 10:57:21,walking
2016-01-21 10:59:01,still
2016-01-21 11:05:57,in_vehicle
2016-01-21 11:15:49,walking
2016-01-21 11:18:40,still
2016-01-21 11:21:45,still
2016-01-21 11:25:43,still
2016-01-21 11:45:20,still
2016-01-21 11:48:19,walking
2016-01-21 11:50:00,still
2016-01-21 12:27:38,still
2016-01-21 12:33:11,still
2016-01-21 12:39:33,still
2016-01-21 12:52:55,still
2016-01-21 12:59:01,still
2016-01-21 13:00:34,walking
2016-01-21 13:04:25,in_vehicle
2016-01-21 13:10:55,still
2016-01-21 13:53:38,still
2016-01-21 14:02:22,still
2016-01-21 14:21:49,still
2016-01-21 14:44:09,in_vehicle
2016-01-21 14:57:11,walking
2016-01-21 15:01:25,still
2016-01-21 15:34:31,still
2016-01-21 15:36:38,still
2016-01-21 15:40:11,still
2016-01-21 16:06:16,still
2016-01-21 16:08:59,still
2016-01-21 16:26:55,walking
2016-01-21 16:31:06,in_vehicle
2016-01-21 16:43:22,still
2016-01-21 17:46:36,still
2016-01-21 17:53:10,still
2016-01-21 17:54:58,still
2016-01-21 18:22:52,still
2016-01-21 18:42:52,still
2016-01-21 18:47:18,still
2016-01-21 19:01:06,still
2016-01-21 19:04:09,still
2016-01-21 19:08:22,walking
2016-01-21 19:10:22,still
2016-01-21 19:16:12,still
2016-01-21 19:21:43,walking
2016-01-21 19:24:41,still
2016-01-21 19:31:35,still
2016-01-21 19:36:39,still
2016-01-21 19:41:46,walking
2016-01-21 19:42:48,still
2016-01-21 19:45:05,walking
2016-01-21 19:47:08,still
2016-01-21 19:49:17,walking
2016-01-21 19:51:25,other
2016-01-21 20:13:30,circuit_training
2016-01-21 20:19:26,other
2016-01-21 20:43:37,other
2016-01-21 21:02:02,still
2016-01-21 21:11:42,still
2016-01-21 21:18:13,still
2016-01-21 21:23:01,walking
2016-01-21 21:31:39,still
2016-01-21 21:38:20,still
2016-01-21 21:41:13,walking
2016-01-21 21:44:41,still
2016-01-21 21:55:16,still
2016-01-21 22:07:55,still
2016-01-21 22:35:23,still
2016-01-21 22:44:39,still
2016-01-21 22:51:47,still
2016-01-21 22:59:23,still
2016-01-21 23:16:30,still
2016-01-21 23:23:56,walking
2016-01-21 23:25:09,still
2016-01-23 00:03:25,still
2016-01-23 00:05:33,still
2016-01-23 07:05:28,still
2016-01-23 07:10:01,still
2016-01-23 07:56:35,still
2016-01-23 08:00:11,still
2016-01-23 08:30:01,still
2016-01-23 08:36:10,still
2016-01-23 08:46:27,still
2016-01-23 08:53:17,still
2016-01-23 09:03:12,still
2016-01-23 09:05:33,still
2016-01-23 09:10:28,still
2016-01-23 09:13:36,still
2016-01-23 09:26:00,still
2016-01-23 10:02:18,still
2016-01-23 10:28:48,still
2016-01-23 10:36:57,still
2016-01-23 10:38:28,still
2016-01-23 10:41:13,still
2016-01-23 10:45:17,still
2016-01-23 10:56:29,still
2016-01-23 11:06:09,still
2016-01-23 11:19:41,still
2016-01-23 11:34:41,still
2016-01-23 11:56:28,walking
2016-01-23 11:58:19,walking
2016-01-23 12:33:42,walking
2016-01-23 12:59:42,still
2016-01-23 13:02:32,still
2016-01-23 13:36:19,still
2016-01-23 13:38:03,still
2016-01-23 13:45:09,still
2016-01-23 14:06:37,still
2016-01-23 14:16:13,still
2016-01-23 14:20:05,in_vehicle
2016-01-23 14:32:52,walking
2016-01-23 14:34:56,still
2016-01-23 14:37:41,still
2016-01-23 14:55:32,still
2016-01-23 15:03:44,still
2016-01-23 15:44:07,still
2016-01-23 15:51:28,still
2016-01-23 16:10:19,still
2016-01-23 16:38:42,still
2016-01-23 16:47:04,still
2016-01-23 16:49:00,still
2016-01-23 17:32:22,still
2016-01-23 17:41:58,still
2016-01-23 18:16:11,walking
2016-01-23 18:17:32,in_vehicle
2016-01-23 18:33:11,walking
2016-01-23 18:36:27,still
2016-01-23 18:42:58,still
2016-01-23 18:51:17,still
2016-01-23 18:59:54,still
2016-01-23 19:32:06,in_vehicle
2016-01-23 19:43:15,still
2016-01-23 19:49:11,still
2016-01-23 19:53:15,still
2016-01-23 19:56:44,still
2016-01-23 20:43:44,still
2016-01-23 21:11:12,still
2016-01-23 21:17:50,still
2016-01-23 21:31:45,still
2016-01-23 21:43:24,still
2016-01-24 00:00:00,still
2016-01-24 08:10:03,still
2016-01-24 08:11:50,still
2016-01-24 08:14:51,still
2016-01-24 08:25:23,still
2016-01-24 09:11:19,still
2016-01-24 09:17:47,still
2016-01-24 09:47:07,still
2016-01-24 10:50:01,still
2016-01-24 11:30:17,still
2016-01-24 12:03:00,still
2016-01-24 12:33:58,still
2016-01-24 12:45:26,still
2016-01-24 12:52:32,still
2016-01-24 12:57:26,still
2016-01-24 13:03:51,still
2016-01-24 13:06:45,walking
2016-01-24 13:08:02,still
2016-01-24 13:12:46,running
2016-01-24 13:13:50,other
2016-01-24 13:23:33,still
2016-01-24 13:37:09,other
2016-01-24 14:13:46,still
2016-01-24 14:33:31,other
2016-01-24 14:41:15,still
2016-01-24 14:51:26,walking
2016-01-24 14:52:35,still
2016-01-24 15:16:06,walking
2016-01-24 15:20:49,still
2016-01-24 15:59:05,walking
2016-01-24 16:06:23,still
2016-01-24 16:07:28,walking
2016-01-24 16:12:57,still
2016-01-24 16:17:07,still
2016-01-24 16:29:39,still
2016-01-24 16:36:05,still
2016-01-24 16:41:06,still
2016-01-24 16:53:41,still
2016-01-24 17:15:28,still
2016-01-24 17:22:43,still
2016-01-24 17:23:49,walking
2016-01-24 17:25:31,still
2016-01-24 17:38:12,still
2016-01-24 17:48:29,still
2016-01-24 17:58:59,still
2016-01-24 18:01:14,still
2016-01-24 18:10:22,still
2016-01-24 18:21:13,still
2016-01-24 18:26:17,still
2016-01-24 18:33:54,still
2016-01-24 18:40:52,still
2016-01-24 18:45:33,still
2016-01-24 18:52:42,still
2016-01-24 18:55:50,still
2016-01-24 19:09:09,still
2016-01-24 19:16:09,still
2016-01-24 19:19:27,still
2016-01-24 19:32:46,walking
2016-01-24 19:38:50,walking
2016-01-24 19:42:10,walking
