date,ActivFit
2016-02-19 00:00:00,still
2016-02-19 01:41:04,still
2016-02-19 01:42:04,still
2016-02-19 06:39:20,still
2016-02-19 06:50:15,walking
2016-02-19 06:51:44,still
2016-02-19 07:11:25,walking
2016-02-19 07:13:25,still
2016-02-19 07:15:56,walking
2016-02-19 07:27:48,still
2016-02-19 08:08:35,walking
2016-02-19 08:10:50,in_vehicle
2016-02-20 00:00:00,still
2016-02-20 09:10:45,walking
2016-02-20 09:21:57,still
2016-02-20 09:23:00,walking
2016-02-20 09:28:20,still
2016-02-20 09:56:32,walking
2016-02-20 09:57:54,still
2016-02-20 10:44:00,walking
2016-02-20 10:49:27,still
2016-02-20 10:55:00,walking
2016-02-20 10:58:29,still
2016-02-20 11:14:02,still
2016-02-20 11:58:58,walking
2016-02-20 12:02:02,in_vehicle
2016-02-20 12:31:05,walking
2016-02-20 12:33:47,walking
2016-02-20 12:37:50,still
2016-02-20 12:55:14,still
2016-02-20 13:19:37,still
2016-02-20 13:21:30,walking
2016-02-20 13:35:05,still
2016-02-20 14:12:19,walking
2016-02-20 14:13:21,still
2016-02-20 14:14:34,walking
2016-02-20 14:15:35,still
2016-02-20 14:20:50,walking
2016-02-20 14:24:10,in_vehicle
2016-02-20 14:42:49,still
2016-02-20 15:17:01,walking
2016-02-20 15:18:50,still
2016-02-20 15:21:28,walking
2016-02-20 15:24:05,still
2016-02-20 19:42:01,walking
2016-02-20 19:50:52,still
2016-02-20 19:52:01,walking
2016-02-20 20:00:59,still
2016-02-21 00:00:00,still
2016-02-21 06:58:57,still
2016-02-21 08:25:07,in_vehicle
2016-02-21 08:36:10,still
2016-02-21 09:24:59,walking
2016-02-21 09:27:37,walking
2016-02-21 09:29:21,still
2016-02-21 09:31:44,walking
2016-02-21 09:42:47,still
2016-02-21 09:43:54,weightlifting
2016-02-21 10:17:27,still
2016-02-21 10:21:07,still
2016-02-21 10:27:36,walking
2016-02-21 10:28:37,still
2016-02-21 11:21:53,walking
2016-02-21 11:34:42,walking
2016-02-21 11:37:02,still
2016-02-21 11:38:43,walking
2016-02-21 11:39:54,still
2016-02-21 17:43:24,walking
2016-02-21 17:49:10,walking
2016-02-21 17:56:24,walking
2016-02-21 18:01:32,still
2016-02-22 00:00:00,still
2016-02-22 08:17:31,walking
2016-02-22 08:22:05,walking
2016-02-22 08:35:01,still
2016-02-22 17:47:09,still
2016-02-22 19:13:50,walking
2016-02-22 19:18:33,still
2016-02-22 19:20:06,walking
2016-02-22 19:24:59,still
2016-02-22 19:27:00,walking
2016-02-22 19:33:44,still
2016-02-23 00:00:00,still
2016-02-23 06:42:12,in_vehicle
2016-02-23 06:54:20,walking
2016-02-23 06:56:13,in_vehicle
2016-02-23 07:03:45,still
2016-02-23 07:13:33,walking
2016-02-23 07:17:23,still
2016-02-23 07:19:45,walking
2016-02-23 07:30:54,still
2016-02-23 08:11:52,walking
2016-02-23 08:14:31,in_vehicle
2016-02-23 08:23:34,still
2016-02-23 20:01:04,walking
2016-02-24 00:00:00,still
2016-02-24 05:11:25,still
2016-02-24 08:24:19,walking
2016-02-24 08:43:48,still
2016-02-24 11:54:22,still
2016-02-24 20:26:13,still
2016-02-24 20:27:13,in_vehicle
2016-02-24 20:55:27,walking
2016-02-24 20:56:57,in_vehicle
2016-02-24 20:58:32,walking
2016-02-24 21:00:01,in_vehicle
2016-02-24 21:03:04,walking
2016-02-24 21:04:18,in_vehicle
2016-02-24 22:11:22,walking
2016-02-24 22:31:31,still
2016-02-24 22:51:46,walking
2016-02-24 22:53:35,still
2016-02-24 22:54:42,in_vehicle
2016-02-24 23:34:57,still
2016-02-25 00:00:00,still
2016-02-25 06:53:04,in_vehicle
2016-02-25 07:46:08,still
2016-02-25 07:56:08,still
2016-02-25 08:07:07,still
2016-02-25 08:46:27,walking
2016-02-25 08:51:48,walking
2016-02-25 09:08:04,still
2016-02-25 09:26:15,walking
2016-02-25 09:27:35,still
2016-02-25 10:24:55,walking
2016-02-25 10:27:38,still
2016-02-25 10:58:41,still
2016-02-25 12:12:57,walking
2016-02-25 12:14:24,walking
2016-02-25 12:16:13,still
2016-02-25 12:25:57,walking
2016-02-25 12:28:07,still
2016-02-25 12:32:23,in_vehicle
2016-02-25 12:42:23,still
2016-02-25 16:26:28,walking
2016-02-25 16:27:34,still
2016-02-25 16:31:45,walking
2016-02-25 16:41:58,walking
2016-02-25 16:44:03,walking
2016-02-25 16:46:28,still
2016-02-25 16:50:41,walking
2016-02-25 16:52:17,still
2016-02-25 17:31:21,in_vehicle
2016-02-25 17:41:21,still
2016-02-25 18:03:12,in_vehicle
2016-02-25 18:08:05,in_vehicle
2016-02-25 18:36:41,in_vehicle
2016-02-25 19:14:49,still
2016-02-25 19:27:34,walking
2016-02-25 19:31:02,still
2016-02-26 00:00:00,still
2016-02-26 06:56:16,walking
2016-02-26 06:59:07,walking
2016-02-26 07:01:01,still
2016-02-26 07:02:44,walking
2016-02-26 07:14:45,still
2016-02-26 07:59:59,walking
2016-02-26 08:01:49,still
2016-02-26 17:27:54,in_vehicle
2016-02-26 18:01:19,still
2016-02-26 19:27:07,in_vehicle
2016-02-26 19:34:29,still
2016-02-26 23:14:20,still
2016-02-27 00:00:00,still
2016-02-27 08:53:31,walking
2016-02-27 09:13:43,still
2016-02-27 14:14:21,in_vehicle
2016-02-27 14:46:18,still
2016-02-27 15:36:10,still
2016-02-27 16:44:42,walking
2016-02-27 16:50:01,still
2016-02-27 17:28:15,walking
2016-02-27 17:29:50,still
2016-02-27 17:37:17,walking
2016-02-27 17:38:25,still
2016-02-27 18:05:58,still
2016-02-27 19:55:35,walking
2016-02-27 20:01:48,walking
2016-02-27 20:04:37,walking
2016-02-27 20:07:45,walking
2016-02-27 20:14:58,still
2016-02-27 23:00:57,still
2016-02-28 00:00:00,still
2016-02-28 08:44:54,weightlifting
2016-02-28 09:28:50,still
2016-02-28 10:29:32,walking
2016-02-28 10:34:03,walking
2016-02-28 10:48:37,still
2016-02-28 17:30:30,still
2016-02-28 22:27:10,still
2016-02-29 00:00:00,still
2016-02-29 08:14:59,walking
2016-02-29 08:21:08,walking
2016-02-29 08:30:52,still
2016-02-29 18:27:02,walking
2016-02-29 18:29:07,walking
2016-02-29 18:31:05,still
2016-02-29 18:32:06,walking
2016-02-29 18:41:09,walking
2016-02-29 18:42:35,still
2016-02-29 22:39:01,still
2016-02-29 22:46:03,still
2016-03-01 00:00:00,still
2016-03-01 06:31:51,walking
2016-03-01 06:33:13,still
2016-03-01 06:50:00,walking
2016-03-01 06:51:01,still
2016-03-01 06:56:33,walking
2016-03-01 07:08:05,still
2016-03-01 07:11:16,weightlifting
2016-03-01 07:29:38,still
2016-03-01 07:44:58,walking
2016-03-01 07:45:59,still
2016-03-01 08:09:12,in_vehicle
2016-03-01 08:19:12,still
2016-03-01 09:06:24,still
2016-03-01 19:06:08,walking
2016-03-01 19:24:10,still
2016-03-01 23:04:22,still
2016-03-02 00:00:00,still
2016-03-02 05:59:08,still
2016-03-02 06:21:38,still
2016-03-02 07:21:05,in_vehicle
2016-03-02 08:10:01,walking
2016-03-02 08:16:56,walking
2016-03-02 12:31:04,still
2016-03-02 20:38:55,in_vehicle
2016-03-02 21:01:24,walking
2016-03-02 22:09:11,walking
2016-03-02 23:12:05,walking
2016-03-02 23:13:44,in_vehicle
