date,ActivFit
2016-01-03 00:00:00,still
2016-01-03 01:13:14,walking
2016-01-03 01:14:42,still
2016-01-03 12:18:23,walking
2016-01-03 12:20:32,still
2016-01-03 13:06:54,walking
2016-01-03 13:08:42,still
2016-01-03 13:19:22,walking
2016-01-03 13:20:53,still
2016-01-03 13:24:20,walking
2016-01-03 13:27:17,in_vehicle
2016-01-03 13:47:29,walking
2016-01-03 13:49:18,still
2016-01-03 15:20:30,walking
2016-01-03 15:22:38,still
2016-01-03 16:24:08,walking
2016-01-03 16:25:46,in_vehicle
2016-01-03 16:50:00,walking
2016-01-03 16:51:04,in_vehicle
2016-01-03 16:53:50,still
2016-01-03 19:15:49,in_vehicle
2016-01-03 19:31:18,still
2016-01-03 21:21:43,still
2016-01-03 22:14:02,in_vehicle
2016-01-04 08:00:22,still
2016-01-04 08:15:57,walking
2016-01-04 08:17:05,in_vehicle
2016-01-04 08:41:23,walking
2016-01-04 08:42:40,walking
2016-01-04 08:44:45,still
2016-01-04 08:47:47,in_vehicle
2016-01-04 08:58:12,walking
2016-01-04 09:06:34,in_vehicle
2016-01-04 09:17:48,walking
2016-01-04 09:19:30,in_vehicle
2016-01-04 09:25:39,walking
2016-01-04 09:38:35,still
2016-01-04 12:30:44,walking
2016-01-04 12:33:56,in_vehicle
2016-01-04 13:07:36,still
2016-01-04 14:50:46,walking
2016-01-04 16:08:50,still
2016-01-04 19:33:39,walking
2016-01-04 19:36:01,still
2016-01-04 19:43:40,walking
2016-01-04 19:46:26,still
2016-01-04 22:42:12,still
2016-01-05 00:00:00,still
2016-01-05 00:56:49,walking
2016-01-05 00:58:07,still
2016-01-05 10:58:35,walking
2016-01-05 11:00:10,still
2016-01-05 11:01:30,walking
2016-01-05 11:02:32,still
2016-01-05 11:07:02,walking
2016-01-05 11:51:01,walking
2016-01-05 11:54:48,walking
2016-01-05 11:56:11,walking
2016-01-05 12:26:24,still
2016-01-05 15:53:44,walking
2016-01-05 15:56:35,in_vehicle
2016-01-05 16:30:33,walking
2016-01-05 16:36:07,still
2016-01-05 16:59:01,walking
2016-01-05 17:36:23,still
2016-01-05 17:38:09,walking
2016-01-05 17:40:05,still
2016-01-05 17:46:20,walking
2016-01-05 17:50:01,still
2016-01-05 17:54:22,walking
2016-01-05 17:58:17,still
2016-01-05 18:08:05,walking
2016-01-05 18:09:10,still
2016-01-05 18:28:40,walking
2016-01-05 18:30:19,walking
2016-01-05 18:38:23,still
2016-01-05 19:11:46,walking
2016-01-05 19:14:51,still
2016-01-05 21:40:56,walking
2016-01-05 22:08:56,walking
2016-01-05 22:22:33,still
2016-01-05 22:29:58,walking
2016-01-05 22:33:50,still
2016-01-06 00:00:00,still
2016-01-06 00:35:06,walking
2016-01-06 00:36:20,still
2016-01-06 09:57:02,still
2016-01-06 12:03:22,walking
2016-01-06 13:31:01,still
2016-01-06 21:17:01,walking
2016-01-06 21:18:13,still
2016-01-06 22:59:02,still
2016-01-07 00:00:00,still
2016-01-07 07:12:07,walking
2016-01-07 07:13:14,still
2016-01-07 07:46:20,walking
2016-01-07 07:50:45,in_vehicle
2016-01-07 08:26:02,walking
2016-01-07 08:35:02,walking
2016-01-07 08:40:11,still
2016-01-07 12:55:11,in_vehicle
2016-01-07 13:07:00,walking
2016-01-07 13:08:00,in_vehicle
2016-01-07 13:39:16,walking
2016-01-07 13:40:55,in_vehicle
2016-01-07 13:56:43,walking
2016-01-07 13:59:07,still
2016-01-07 14:25:11,walking
2016-01-07 14:26:24,in_vehicle
2016-01-07 15:28:47,walking
2016-01-07 15:35:55,walking
2016-01-07 15:40:21,still
2016-01-07 15:44:57,walking
2016-01-07 15:46:11,walking
2016-01-07 15:49:29,still
2016-01-07 16:38:52,in_vehicle
2016-01-07 16:54:50,walking
2016-01-07 16:58:55,still
2016-01-07 17:19:00,walking
2016-01-07 17:20:55,in_vehicle
2016-01-07 17:43:19,walking
2016-01-07 17:46:59,still
2016-01-07 17:49:55,walking
2016-01-07 17:50:55,still
2016-01-07 20:03:17,walking
