date,ActivFit
2016-07-08 00:00:00,still
2016-07-08 07:25:37,walking
2016-07-08 07:32:36,still
2016-07-08 07:35:29,walking
2016-07-08 07:44:06,still
2016-07-08 08:29:47,walking
2016-07-08 08:49:30,still
2016-07-08 08:55:05,walking
2016-07-08 08:59:17,still
2016-07-08 09:06:22,walking
2016-07-08 09:13:49,still
2016-07-08 09:33:11,walking
2016-07-08 09:40:13,walking
2016-07-08 09:43:52,still
2016-07-08 09:59:38,walking
2016-07-08 10:05:19,still
2016-07-08 10:07:10,walking
2016-07-08 10:21:31,still
2016-07-08 10:24:21,walking
2016-07-08 10:30:44,still
2016-07-08 10:37:34,walking
2016-07-08 10:53:00,still
2016-07-08 10:55:06,walking
2016-07-08 11:08:15,still
2016-07-08 12:21:57,still
