date,ActivFit
2016-04-20 00:00:00,still
2016-04-20 08:12:07,walking
2016-04-20 08:13:13,still
2016-04-20 09:20:00,walking
2016-04-20 09:21:26,still
2016-04-20 10:35:43,walking
2016-04-20 10:36:51,still
2016-04-20 15:20:29,still
2016-04-20 17:10:07,walking
2016-04-20 17:11:45,still
2016-04-20 18:23:03,walking
2016-04-20 18:24:56,still
2016-04-20 18:44:19,still
2016-04-20 18:57:42,still
2016-04-20 19:14:17,walking
2016-04-20 19:16:09,still
2016-04-20 19:21:49,walking
2016-04-20 19:26:15,walking
2016-04-20 19:29:17,walking
2016-04-20 19:31:23,in_vehicle
2016-04-20 19:49:27,walking
2016-04-20 19:56:17,walking
2016-04-20 20:03:00,walking
2016-04-20 20:07:41,walking
2016-04-20 20:11:38,walking
2016-04-20 20:12:41,walking
2016-04-20 20:31:42,still
2016-04-20 21:11:01,walking
2016-04-20 22:08:06,walking
2016-04-20 22:20:47,still
2016-04-20 22:22:31,walking
2016-04-20 22:23:56,walking
2016-04-20 22:25:40,in_vehicle
2016-04-21 00:00:00,still
2016-04-21 13:30:00,still
2016-04-21 13:32:38,walking
2016-04-21 13:34:52,still
2016-04-21 18:36:53,walking
2016-04-21 18:37:54,walking
2016-04-21 18:39:36,walking
2016-04-21 18:41:52,still
2016-04-21 18:45:01,walking
2016-04-21 18:47:49,walking
2016-04-21 18:50:16,walking
2016-04-21 18:53:19,still
2016-04-21 19:03:10,still
2016-04-21 19:34:30,still
2016-04-21 19:40:30,walking
2016-04-21 19:43:08,walking
2016-04-21 19:49:11,still
2016-04-21 20:00:08,in_vehicle
2016-04-21 20:03:44,walking
2016-04-21 20:06:07,walking
2016-04-21 20:09:19,walking
2016-04-21 20:12:18,in_vehicle
2016-04-21 20:13:53,walking
2016-04-21 20:15:48,walking
2016-04-21 20:18:11,in_vehicle
2016-04-21 20:20:04,walking
2016-04-21 20:21:09,walking
2016-04-21 20:22:10,walking
2016-04-21 20:23:26,in_vehicle
2016-04-21 20:38:23,walking
2016-04-21 20:40:03,walking
2016-04-21 20:41:25,walking
2016-04-21 20:42:29,in_vehicle
2016-04-21 20:54:08,walking
2016-04-21 20:55:09,walking
2016-04-21 20:56:24,walking
2016-04-21 20:58:44,walking
2016-04-21 20:59:52,in_vehicle
2016-04-21 21:02:01,still
2016-04-21 21:03:19,walking
2016-04-21 21:05:44,still
2016-04-21 21:12:59,walking
2016-04-21 21:14:06,walking
2016-04-21 21:21:04,walking
2016-04-21 21:22:10,walking
2016-04-21 21:32:23,still
2016-04-21 21:34:29,walking
2016-04-21 21:37:00,still
