date,ActivFit
2016-09-25 00:00:00,still
2016-09-25 11:03:41,walking
2016-09-25 11:04:55,walking
2016-09-25 11:10:36,in_vehicle
2016-09-25 12:16:19,still
2016-09-25 12:22:03,still
2016-09-25 12:24:40,walking
2016-09-25 12:29:01,still
2016-09-25 12:32:49,walking
2016-09-25 12:35:12,walking
2016-09-25 12:43:00,still
2016-09-25 12:51:33,still
2016-09-25 12:53:05,walking
2016-09-25 12:54:29,walking
2016-09-25 12:59:34,still
2016-09-25 13:08:06,still
2016-09-25 13:14:58,still
2016-09-25 13:27:47,still
2016-09-25 13:38:02,still
2016-09-25 13:45:58,walking
2016-09-25 13:53:21,still
2016-09-25 13:56:29,walking
2016-09-25 13:57:49,walking
2016-09-25 14:07:05,still
2016-09-25 14:11:04,still
2016-09-25 14:16:41,still
2016-09-25 14:26:32,walking
2016-09-25 14:28:48,walking
2016-09-25 14:32:34,walking
2016-09-25 14:34:36,walking
2016-09-25 14:37:24,still
2016-09-25 14:41:35,walking
2016-09-25 14:42:36,still
2016-09-25 14:49:09,still
2016-09-25 14:51:51,walking
2016-09-25 14:53:12,walking
2016-09-25 15:02:10,still
2016-09-25 15:06:43,walking
2016-09-25 15:09:07,still
2016-09-25 15:20:29,walking
2016-09-25 15:24:46,still
2016-09-25 15:27:46,walking
2016-09-25 15:29:07,walking
2016-09-25 15:31:44,still
2016-09-25 15:42:24,walking
2016-09-25 15:44:28,still
2016-09-25 15:50:09,still
2016-09-25 15:51:22,in_vehicle
2016-09-25 16:01:16,still
2016-09-25 16:04:18,walking
2016-09-25 16:07:10,still
2016-09-25 16:08:21,walking
2016-09-25 16:15:53,still
2016-09-25 16:32:42,still
2016-09-25 16:42:19,still
2016-09-25 16:50:27,still
2016-09-25 16:54:09,in_vehicle
2016-09-25 17:28:24,in_vehicle
2016-09-25 17:42:44,still
2016-09-25 18:47:53,in_vehicle
2016-09-25 18:57:20,still
2016-09-25 19:05:49,walking
2016-09-25 19:10:02,still
2016-09-25 19:29:30,still
2016-09-25 19:32:13,still
2016-09-25 19:38:29,still
2016-09-25 19:56:39,in_vehicle
2016-09-25 20:37:30,walking
2016-09-25 20:39:02,walking
2016-09-25 20:43:33,still
2016-09-25 22:07:00,still
2016-09-25 22:31:44,in_vehicle
2016-09-25 22:34:46,still
2016-09-25 23:03:09,still
2016-09-26 00:00:00,still
2016-09-26 04:01:15,still
2016-09-26 07:10:13,still
2016-09-26 08:19:47,walking
2016-09-26 08:45:36,still
2016-09-26 08:49:05,in_vehicle
2016-09-26 09:07:38,walking
2016-09-26 09:08:40,walking
2016-09-26 09:10:02,walking
2016-09-26 09:16:15,still
2016-09-26 10:25:21,walking
2016-09-26 10:26:22,walking
2016-09-26 10:30:10,still
2016-09-26 10:31:41,walking
2016-09-26 10:32:43,still
2016-09-26 10:49:36,walking
2016-09-26 10:51:22,walking
2016-09-26 10:57:01,still
2016-09-26 11:52:18,walking
2016-09-26 11:53:28,walking
2016-09-26 11:54:36,walking
2016-09-26 11:58:18,still
2016-09-26 12:02:35,walking
2016-09-26 12:04:16,walking
2016-09-26 12:06:37,still
2016-09-26 12:20:10,still
2016-09-26 13:17:28,walking
2016-09-26 13:19:08,walking
2016-09-26 13:21:05,still
2016-09-26 13:25:01,still
2016-09-26 13:51:49,in_vehicle
2016-09-26 14:16:35,still
2016-09-26 14:32:06,walking
2016-09-26 14:33:20,still
2016-09-26 14:46:52,walking
2016-09-26 14:49:23,walking
2016-09-26 14:51:45,still
2016-09-26 14:59:19,walking
2016-09-26 15:03:36,still
2016-09-26 17:49:34,still
2016-09-26 17:55:48,walking
2016-09-26 17:57:14,walking
2016-09-26 18:14:22,in_vehicle
2016-09-26 18:26:52,walking
2016-09-26 18:33:46,walking
2016-09-26 18:50:52,still
2016-09-26 22:05:25,still
2016-09-26 22:18:40,still
2016-09-26 23:08:11,still
2016-09-27 00:00:00,still
2016-09-27 07:15:08,still
2016-09-27 07:21:17,in_vehicle
2016-09-27 08:06:33,walking
2016-09-27 08:11:05,still
2016-09-27 08:31:02,still
2016-09-27 08:33:36,in_vehicle
2016-09-27 09:02:26,walking
2016-09-27 09:24:28,in_vehicle
2016-09-27 09:47:06,walking
2016-09-27 09:52:37,walking
2016-09-27 09:53:49,still
2016-09-27 11:34:06,walking
2016-09-27 11:35:17,still
2016-09-27 11:38:51,still
2016-09-27 11:55:21,still
