date,ActivFit
2016-06-19 00:00:00,still
2016-06-19 10:02:50,walking
2016-06-19 10:04:04,still
2016-06-19 10:13:38,walking
2016-06-19 10:19:15,still
2016-06-19 12:20:00,walking
2016-06-19 12:21:22,still
2016-06-19 16:11:28,still
2016-06-19 16:58:20,still
2016-06-19 17:29:51,in_vehicle
2016-06-19 17:45:50,still
2016-06-20 08:19:03,still
2016-06-20 09:48:05,in_vehicle
2016-06-20 10:31:56,still
2016-06-20 12:03:07,in_vehicle
2016-06-20 13:33:43,still
2016-06-20 14:25:13,walking
2016-06-20 14:27:01,still
2016-06-22 00:00:00,still
2016-06-22 06:58:58,in_vehicle
2016-06-22 07:13:11,walking
2016-06-22 07:19:00,still
2016-06-22 13:38:43,walking
2016-06-22 13:49:56,still
2016-06-22 14:19:13,still
2016-06-22 14:30:55,still
