date,ActivFit
2016-06-19 00:00:00,still
2016-06-19 02:22:06,in_vehicle
2016-06-19 02:40:13,still
2016-06-19 10:18:31,still
2016-06-19 11:16:17,in_vehicle
2016-06-19 11:50:44,still
2016-06-19 12:06:35,still
2016-06-19 12:08:06,in_vehicle
2016-06-19 12:23:23,walking
2016-06-19 12:25:16,still
2016-06-19 13:25:58,still
2016-06-19 13:27:31,in_vehicle
2016-06-19 14:07:49,still
2016-06-19 18:22:24,walking
2016-06-19 18:23:56,still
2016-06-19 18:37:50,in_vehicle
2016-06-19 18:46:01,walking
2016-06-19 18:48:33,walking
2016-06-19 18:51:12,in_vehicle
2016-06-19 19:09:26,still
2016-06-19 19:12:38,walking
2016-06-19 19:15:28,still
2016-06-19 19:28:02,walking
2016-06-19 19:32:19,still
2016-06-19 20:09:28,in_vehicle
2016-06-19 20:53:27,still
2016-06-19 21:53:38,still
2016-06-19 22:28:19,in_vehicle
2016-06-19 22:48:02,still
2016-06-20 00:00:00,still
2016-06-20 04:39:49,walking
2016-06-20 04:41:57,still
2016-06-20 04:53:59,still
2016-06-20 04:55:57,in_vehicle
2016-06-20 06:37:23,still
2016-06-20 07:09:10,still
2016-06-20 08:11:55,in_vehicle
2016-06-20 08:29:05,still
2016-06-20 08:51:14,still
2016-06-20 08:52:17,in_vehicle
2016-06-20 10:02:47,walking
2016-06-20 10:06:25,still
2016-06-20 11:21:31,walking
2016-06-20 11:23:41,still
2016-06-20 11:51:37,still
2016-06-20 12:01:16,walking
2016-06-20 12:02:21,still
2016-06-20 13:14:16,walking
2016-06-20 13:18:51,in_vehicle
2016-06-20 14:08:57,walking
2016-06-20 14:12:35,still
2016-06-20 16:21:09,still
2016-06-20 16:24:28,still
2016-06-20 17:33:57,walking
2016-06-20 17:35:03,in_vehicle
2016-06-20 18:10:31,walking
2016-06-20 18:11:59,still
2016-06-20 18:19:34,walking
2016-06-20 18:22:26,still
2016-06-20 18:35:59,walking
2016-06-20 18:40:04,still
2016-06-20 18:42:06,walking
2016-06-20 18:48:40,still
2016-06-20 20:13:29,walking
2016-06-20 20:17:28,still
2016-06-20 22:40:28,still
2016-06-21 00:00:00,still
2016-06-21 07:33:45,walking
2016-06-21 07:34:47,still
2016-06-21 08:39:19,biking
2016-06-21 09:02:38,still
2016-06-21 09:18:09,in_vehicle
2016-06-21 10:05:57,walking
2016-06-21 10:08:46,still
2016-06-21 13:10:42,still
2016-06-21 13:29:19,walking
2016-06-21 13:31:21,still
2016-06-21 13:46:04,walking
2016-06-21 13:51:08,still
2016-06-21 14:12:59,still
2016-06-21 15:04:33,walking
2016-06-21 15:09:09,walking
2016-06-21 15:29:34,walking
2016-06-21 15:31:06,still
2016-06-21 16:29:39,in_vehicle
2016-06-21 16:51:22,still
2016-06-21 17:14:46,walking
2016-06-21 17:23:53,walking
2016-06-21 17:27:31,in_vehicle
2016-06-21 18:17:19,walking
2016-06-21 18:18:33,still
2016-06-21 19:22:15,in_vehicle
2016-06-21 20:02:33,still
2016-06-21 21:04:24,walking
2016-06-21 21:07:24,still
2016-06-21 22:19:03,still
2016-06-21 22:39:27,still
2016-06-22 00:00:00,still
2016-06-22 07:46:52,in_vehicle
2016-06-22 08:09:52,still
2016-06-22 09:13:32,still
2016-06-22 09:17:04,walking
2016-06-22 09:18:40,in_vehicle
2016-06-22 09:52:04,walking
2016-06-22 09:55:02,still
2016-06-22 10:57:02,in_vehicle
2016-06-22 11:07:10,still
2016-06-22 13:27:59,still
2016-06-22 13:50:00,still
2016-06-22 14:25:16,still
2016-06-22 14:41:36,walking
2016-06-22 14:45:10,walking
2016-06-22 15:02:57,still
2016-06-22 15:37:05,still
2016-06-22 15:54:27,walking
2016-06-22 16:18:38,still
2016-06-22 17:38:52,walking
2016-06-22 17:42:05,in_vehicle
