date,ActivFit
2016-03-15 13:55:17,still
2016-03-15 14:34:23,walking
2016-03-15 14:37:00,still
2016-03-15 14:38:37,walking
2016-03-15 14:40:56,still
2016-03-15 14:42:57,walking
2016-03-15 14:44:00,still
2016-03-15 14:46:05,walking
2016-03-15 14:47:11,still
2016-03-15 14:56:28,still
2016-03-15 15:17:18,in_vehicle
2016-03-15 16:16:37,still
2016-03-15 16:56:38,still
2016-03-15 17:02:44,walking
2016-03-15 17:13:09,in_vehicle
2016-03-15 17:48:06,still
2016-03-15 18:14:46,walking
2016-03-15 18:17:57,in_vehicle
2016-03-15 18:36:31,still
2016-03-15 18:51:07,still
2016-03-15 18:59:33,walking
2016-03-15 19:03:35,still
2016-03-15 19:20:50,walking
2016-03-15 19:23:20,still
2016-03-15 20:07:32,walking
2016-03-15 20:09:46,in_vehicle
2016-03-15 20:28:53,still
2016-03-15 20:36:33,walking
2016-03-15 20:54:26,still
2016-03-15 20:56:27,walking
2016-03-15 21:08:32,still
2016-03-15 21:14:00,in_vehicle
2016-03-15 21:51:45,walking
2016-03-15 22:06:37,still
2016-03-15 22:13:16,walking
2016-03-15 22:25:03,still
2016-03-15 22:30:49,walking
2016-03-15 22:32:40,still
2016-03-16 00:00:00,still
2016-03-16 00:11:54,walking
2016-03-16 00:17:28,still
2016-03-16 01:23:37,still
2016-03-16 01:26:38,walking
2016-03-16 01:49:05,still
2016-03-16 02:02:31,walking
2016-03-16 02:05:01,still
2016-03-16 02:22:16,walking
2016-03-16 02:24:24,still
2016-03-16 02:36:55,walking
2016-03-16 02:45:55,walking
2016-03-16 03:01:17,still
2016-03-16 03:03:16,walking
2016-03-16 03:04:24,still
2016-03-16 04:13:21,walking
2016-03-16 04:50:46,still
2016-03-16 15:54:45,still
2016-03-16 17:07:51,walking
2016-03-16 17:14:13,still
2016-03-16 17:35:38,still
2016-03-16 17:39:31,walking
2016-03-16 17:44:36,still
2016-03-16 17:51:42,walking
2016-03-16 18:03:57,still
2016-03-16 18:08:31,walking
2016-03-16 18:21:16,still
2016-03-16 18:33:50,walking
2016-03-16 18:37:07,still
2016-03-16 18:42:04,walking
2016-03-16 18:55:00,still
2016-03-16 18:57:33,in_vehicle
2016-03-16 19:13:48,walking
2016-03-16 19:27:45,walking
2016-03-16 19:33:06,still
2016-03-16 19:44:19,walking
2016-03-16 20:01:53,walking
2016-03-16 20:04:15,still
2016-03-16 20:22:41,still
2016-03-16 21:25:52,walking
2016-03-16 21:43:09,walking
2016-03-16 22:01:17,still
2016-03-16 22:08:41,walking
2016-03-16 22:22:39,still
2016-03-16 23:30:58,walking
2016-03-16 23:40:09,still
2016-03-16 23:46:32,walking
2016-03-16 23:53:02,still
2016-03-17 00:00:00,still
2016-03-17 01:13:43,walking
2016-03-17 01:22:53,walking
2016-03-17 01:28:42,in_vehicle
2016-03-17 01:35:45,still
2016-03-17 01:38:39,walking
2016-03-17 02:21:31,still
2016-03-17 13:03:19,still
2016-03-17 13:30:45,walking
2016-03-17 13:45:50,walking
2016-03-17 13:54:50,still
2016-03-17 14:04:05,still
2016-03-17 14:23:50,in_vehicle
2016-03-17 15:12:39,still
2016-03-17 15:16:15,in_vehicle
2016-03-17 15:18:07,walking
2016-03-17 16:04:59,still
2016-03-17 16:06:49,walking
2016-03-17 16:13:41,in_vehicle
2016-03-17 17:17:02,walking
2016-03-17 17:23:11,walking
2016-03-17 17:24:39,still
2016-03-17 18:10:03,walking
2016-03-17 18:11:21,still
2016-03-17 18:14:42,walking
2016-03-17 18:16:05,still
2016-03-17 18:19:32,in_vehicle
2016-03-17 18:41:28,still
2016-03-17 18:53:44,walking
2016-03-17 18:54:58,still
2016-03-17 19:10:13,walking
2016-03-17 19:22:35,still
2016-03-17 20:00:06,walking
2016-03-17 20:07:13,still
2016-03-17 20:12:25,walking
2016-03-17 20:31:01,walking
2016-03-17 20:37:54,still
2016-03-17 20:50:44,walking
2016-03-17 20:55:45,walking
2016-03-17 21:06:32,still
2016-03-17 21:07:56,walking
2016-03-17 21:09:03,walking
2016-03-17 21:47:29,still
2016-03-17 21:49:33,walking
2016-03-17 21:51:02,still
2016-03-17 23:07:51,walking
2016-03-17 23:09:32,still
2016-03-19 00:00:00,walking
2016-03-19 00:33:04,still
2016-03-19 00:43:25,walking
2016-03-19 01:07:52,walking
2016-03-19 01:19:25,still
2016-03-19 01:21:22,walking
2016-03-19 01:35:38,still
2016-03-19 06:45:18,still
2016-03-19 14:11:17,still
2016-03-19 15:14:20,still
2016-03-19 15:40:42,walking
2016-03-19 15:48:40,still
2016-03-19 16:03:53,walking
2016-03-19 16:27:03,still
2016-03-19 16:44:08,still
2016-03-19 18:39:10,walking
2016-03-19 19:07:37,still
2016-03-19 19:30:38,walking
2016-03-19 19:34:48,still
2016-03-19 20:25:08,walking
2016-03-19 20:48:17,still
2016-03-19 21:03:51,walking
2016-03-19 22:46:07,walking
2016-03-19 23:01:36,walking
2016-03-19 23:18:38,still
2016-03-19 23:24:44,walking
2016-03-19 23:38:25,walking
2016-03-19 23:48:29,walking
