date,ActivFit
2016-06-05 00:00:00,still
2016-06-05 12:40:44,walking
2016-06-05 12:46:29,still
2016-06-05 12:55:00,walking
2016-06-05 13:00:24,still
2016-06-05 15:04:19,walking
2016-06-05 15:14:15,still
2016-06-05 15:22:28,walking
2016-06-05 15:25:04,still
2016-06-05 21:07:43,still
2016-06-05 21:49:01,walking
2016-06-05 21:58:21,still
2016-06-05 22:00:17,walking
2016-06-05 22:01:45,still
2016-06-05 22:05:45,walking
2016-06-05 22:10:38,still
2016-06-06 00:00:00,still
2016-06-06 00:16:46,walking
2016-06-06 00:18:02,still
2016-06-06 08:45:14,walking
2016-06-06 08:46:55,walking
2016-06-06 08:57:07,walking
2016-06-06 08:59:39,still
2016-06-06 11:11:49,still
2016-06-06 12:23:03,walking
2016-06-06 12:30:03,still
2016-06-06 12:49:52,walking
2016-06-06 12:59:41,still
2016-06-06 17:51:20,walking
2016-06-06 17:56:48,still
2016-06-06 18:08:39,walking
2016-06-06 18:13:17,walking
2016-06-06 18:14:35,still
2016-06-06 19:45:16,walking
2016-06-06 19:47:03,still
2016-06-06 19:51:52,walking
2016-06-06 19:55:14,still
2016-06-06 20:16:15,walking
2016-06-06 20:20:55,still
2016-06-06 20:29:16,walking
2016-06-06 20:32:31,still
2016-06-06 20:49:46,still
