date,ActivFit
2016-02-28 00:00:00,still
2016-02-28 07:46:23,walking
2016-02-28 07:47:25,still
2016-02-28 08:04:42,walking
2016-02-28 08:06:15,still
2016-02-28 08:23:34,still
2016-02-28 08:31:18,walking
2016-02-28 08:36:29,still
2016-02-28 09:41:50,still
2016-02-28 09:54:45,walking
2016-02-28 09:57:21,walking
2016-02-28 10:02:01,walking
2016-02-28 10:04:32,still
2016-02-28 10:11:00,walking
2016-02-28 10:14:10,still
2016-02-28 10:15:45,in_vehicle
2016-02-28 11:32:17,still
2016-02-28 12:17:02,walking
2016-02-28 12:19:24,walking
2016-02-28 12:21:17,still
2016-02-28 12:27:18,in_vehicle
2016-02-28 12:50:25,still
2016-02-28 17:09:41,walking
2016-02-28 17:15:38,still
2016-02-28 17:24:44,walking
2016-02-28 17:25:49,still
2016-02-28 17:55:08,in_vehicle
2016-02-28 18:08:33,still
2016-02-28 18:54:53,walking
2016-02-28 18:57:13,still
2016-02-28 19:00:12,walking
2016-02-28 19:03:54,still
2016-02-28 19:07:05,walking
2016-02-28 19:08:44,still
2016-02-28 19:23:43,in_vehicle
2016-02-28 20:42:45,walking
2016-02-28 20:44:18,walking
2016-02-28 20:46:51,still
2016-02-28 22:34:13,still
2016-02-28 22:38:27,walking
2016-02-28 22:39:33,still
