date,ActivFit
2016-01-25 00:00:00,still
2016-01-25 07:32:32,walking
2016-01-25 07:33:33,still
2016-01-25 08:10:53,in_vehicle
2016-01-25 08:40:48,walking
2016-01-25 08:49:38,still
2016-01-25 16:58:34,walking
2016-01-25 17:02:34,walking
2016-01-25 20:33:56,walking
2016-01-26 08:06:46,walking
2016-01-26 08:51:33,walking
2016-01-26 10:56:33,walking
2016-01-26 17:00:30,walking
2016-01-26 17:05:31,walking
2016-02-19 00:00:00,still
2016-02-19 08:08:20,in_vehicle
2016-02-19 08:39:40,walking
2016-02-19 08:49:21,still
2016-02-19 09:31:11,walking
2016-02-19 09:32:41,still
2016-02-19 13:07:36,walking
2016-02-19 13:09:30,still
2016-02-19 15:26:59,walking
2016-02-19 15:29:31,still
2016-02-19 16:58:58,walking
2016-02-19 17:01:18,still
2016-02-19 17:06:02,walking
2016-02-19 17:11:16,in_vehicle
2016-02-19 17:56:59,walking
2016-02-19 17:57:59,in_vehicle
2016-02-19 18:21:30,still
2016-02-19 18:41:23,in_vehicle
2016-02-19 18:54:00,still
2016-02-19 22:08:03,still
2016-02-19 23:20:27,walking
2016-02-20 00:00:00,still
2016-02-20 10:43:06,walking
2016-02-20 10:50:21,walking
2016-02-20 10:53:44,still
2016-02-20 10:56:48,walking
2016-02-20 11:00:49,still
2016-02-20 13:24:25,walking
2016-02-20 13:28:02,in_vehicle
2016-02-20 13:41:29,walking
2016-02-20 13:43:25,walking
2016-02-20 13:53:26,still
2016-02-20 15:58:42,walking
2016-02-20 16:04:59,walking
2016-02-20 16:06:54,in_vehicle
2016-02-20 16:20:56,walking
2016-02-20 16:32:59,still
2016-02-20 16:41:36,walking
2016-02-20 16:46:51,still
2016-02-20 16:48:01,walking
2016-02-20 16:50:00,walking
2016-02-20 16:53:03,in_vehicle
2016-02-20 17:07:30,in_vehicle
2016-02-20 17:13:34,still
2016-02-20 18:02:16,in_vehicle
2016-02-20 18:22:31,still
2016-02-20 18:34:19,still
2016-02-20 21:29:44,still
2016-02-21 00:00:00,still
2016-02-21 09:11:52,in_vehicle
2016-02-21 09:22:52,still
2016-02-21 09:37:31,walking
2016-02-21 09:38:50,still
2016-02-21 09:47:48,in_vehicle
2016-02-21 10:20:54,still
2016-02-21 10:24:50,walking
2016-02-21 10:25:59,still
2016-02-21 10:34:58,in_vehicle
2016-02-21 11:46:31,still
2016-02-21 12:12:32,in_vehicle
2016-02-21 12:26:35,walking
2016-02-21 12:44:32,in_vehicle
2016-02-21 13:00:10,still
2016-02-21 14:31:31,walking
2016-02-21 14:39:13,still
2016-02-21 14:42:50,walking
2016-02-21 14:52:58,walking
2016-02-21 14:55:26,still
2016-02-21 14:57:52,in_vehicle
2016-02-21 15:04:12,walking
2016-02-21 15:12:05,still
2016-02-21 15:20:45,in_vehicle
2016-02-21 15:58:29,still
2016-02-21 17:27:59,walking
2016-02-21 17:29:45,still
2016-02-21 18:44:42,in_vehicle
2016-02-21 20:33:33,still
2016-02-21 21:02:00,walking
2016-02-21 21:04:41,still
2016-02-21 22:16:33,still
2016-02-21 23:24:50,walking
2016-02-22 00:00:00,still
2016-02-22 06:08:47,still
2016-02-22 08:01:30,in_vehicle
2016-02-22 08:34:45,still
2016-02-22 08:37:15,walking
2016-02-22 08:43:28,still
2016-02-22 08:47:01,walking
2016-02-22 08:48:33,still
2016-02-22 09:29:09,still
2016-02-22 10:54:54,walking
2016-02-22 10:56:24,still
