date,ActivFit
2016-03-15 00:00:00,still
2016-03-15 08:00:29,still
2016-03-15 12:04:26,still
2016-03-15 16:54:45,walking
2016-03-15 16:59:58,still
2016-03-15 17:04:53,still
2016-03-15 17:12:27,walking
2016-03-15 17:16:36,walking
2016-03-15 17:18:23,still
2016-03-15 17:22:29,walking
2016-03-15 17:24:59,still
2016-03-15 19:08:02,walking
2016-03-15 19:09:03,still
2016-03-15 19:11:37,walking
2016-03-15 19:13:49,still
2016-03-15 19:15:29,walking
2016-03-15 19:19:32,still
2016-03-15 19:28:05,walking
2016-03-15 19:34:07,still
2016-03-15 19:39:32,still
2016-03-15 23:36:17,still
2016-03-16 00:00:00,still
2016-03-16 09:19:42,walking
2016-03-16 09:21:29,walking
2016-03-16 09:48:07,still
2016-03-16 12:10:48,walking
2016-03-16 12:20:13,still
2016-03-16 14:26:07,walking
2016-03-16 14:47:32,walking
2016-03-16 14:53:14,still
2016-03-16 15:50:06,walking
2016-03-16 15:58:56,still
2016-03-16 16:00:30,biking
2016-03-16 16:07:30,still
2016-03-16 16:37:13,in_vehicle
2016-03-16 16:43:24,biking
2016-03-16 16:51:31,walking
2016-03-16 16:57:35,still
2016-03-16 17:02:52,still
2016-03-16 17:52:37,walking
2016-03-16 17:54:20,walking
2016-03-16 18:02:56,still
2016-03-16 22:51:40,still
2016-03-17 00:00:00,still
2016-03-17 05:57:27,sleep
2016-03-17 07:23:21,still
2016-03-17 08:32:03,walking
2016-03-17 08:35:41,in_vehicle
2016-03-17 08:57:25,still
2016-03-17 09:00:52,walking
2016-03-17 09:03:31,still
2016-03-17 09:06:24,still
2016-03-17 09:07:32,walking
2016-03-17 09:09:01,still
2016-03-17 09:12:02,walking
2016-03-17 09:15:02,still
2016-03-17 09:18:13,walking
2016-03-17 09:19:51,still
2016-03-17 09:45:40,walking
2016-03-17 09:46:55,still
2016-03-17 10:06:11,walking
2016-03-17 10:09:20,in_vehicle
2016-03-17 10:16:19,walking
2016-03-17 10:17:36,still
2016-03-17 10:23:42,in_vehicle
2016-03-17 10:52:38,walking
2016-03-17 10:57:57,walking
2016-03-17 10:59:00,still
2016-03-17 11:00:09,walking
2016-03-17 11:01:32,still
2016-03-17 11:27:02,still
2016-03-17 16:17:20,still
2016-03-17 17:20:41,still
2016-03-17 17:23:33,walking
2016-03-17 17:30:24,still
2016-03-17 18:50:49,walking
2016-03-17 19:05:23,walking
2016-03-17 19:11:55,still
2016-03-17 19:18:45,walking
2016-03-17 19:20:03,still
2016-03-17 19:32:26,walking
2016-03-17 19:38:18,walking
2016-03-17 19:40:10,in_vehicle
2016-03-17 19:50:12,still
2016-03-17 22:00:56,still
2016-03-18 00:00:00,still
2016-03-18 08:12:42,still
2016-03-18 10:23:05,walking
2016-03-18 10:27:26,walking
2016-03-18 10:38:51,still
2016-03-18 11:06:19,walking
2016-03-18 11:07:30,still
2016-03-18 11:21:00,walking
2016-03-18 11:22:39,walking
2016-03-18 11:34:02,still
2016-03-18 11:44:02,walking
2016-03-18 11:49:06,still
2016-03-18 17:15:52,walking
2016-03-18 17:26:32,still
2016-03-18 17:32:11,still
2016-03-18 17:33:44,walking
2016-03-18 17:38:52,still
2016-03-18 22:18:11,walking
2016-03-18 22:19:14,still
2016-03-19 00:00:00,still
2016-03-19 08:07:38,still
2016-03-19 08:59:45,in_vehicle
2016-03-19 09:15:42,walking
2016-03-19 09:21:42,still
2016-03-19 09:22:44,walking
2016-03-19 09:26:02,still
2016-03-19 09:27:51,still
2016-03-19 09:33:34,walking
2016-03-19 09:36:02,in_vehicle
2016-03-19 10:00:20,walking
2016-03-19 10:03:51,still
2016-03-19 10:27:55,walking
2016-03-19 10:32:02,still
2016-03-19 12:16:04,walking
2016-03-19 12:18:14,walking
2016-03-19 12:19:30,still
2016-03-19 12:24:33,walking
2016-03-19 12:30:42,in_vehicle
2016-03-19 12:56:37,still
2016-03-19 13:01:57,walking
2016-03-19 13:05:23,still
2016-03-19 13:09:20,walking
2016-03-19 13:16:04,walking
2016-03-19 13:17:08,still
2016-03-19 13:59:33,walking
2016-03-19 14:16:11,still
2016-03-19 16:04:31,still
2016-03-19 16:08:44,walking
2016-03-19 16:12:41,still
2016-03-19 16:20:04,walking
2016-03-19 16:35:15,walking
2016-03-19 16:37:28,walking
2016-03-19 16:56:19,walking
2016-03-19 17:00:24,walking
2016-03-19 17:01:28,walking
2016-03-19 17:07:11,walking
2016-03-19 17:20:26,walking
2016-03-19 17:22:01,still
2016-03-19 17:25:25,walking
2016-03-19 17:26:34,walking
2016-03-19 17:30:27,still
2016-03-19 17:39:09,walking
2016-03-19 17:49:45,still
2016-03-19 18:34:32,walking
2016-03-19 18:49:47,walking
2016-03-19 18:54:31,still
2016-03-19 20:23:07,walking
2016-03-19 20:24:10,still
2016-03-19 20:56:18,walking
2016-03-19 21:12:26,still
2016-03-19 21:15:54,walking
2016-03-19 21:17:36,still
2016-03-19 21:21:22,walking
2016-03-19 21:26:40,walking
2016-03-19 21:33:20,still
2016-03-19 22:02:46,still
2016-03-20 00:00:00,still
2016-03-20 10:54:57,still
2016-03-20 12:54:35,walking
2016-03-20 13:00:52,still
2016-03-20 13:37:59,walking
2016-03-20 13:41:11,walking
2016-03-20 13:46:10,still
2016-03-20 16:52:54,walking
2016-03-20 17:01:32,still
2016-03-20 17:43:16,walking
2016-03-20 17:52:18,still
2016-03-20 18:31:48,walking
2016-03-20 18:42:21,still
2016-03-20 18:48:55,walking
2016-03-20 18:57:12,walking
2016-03-20 18:59:55,still
2016-03-20 19:13:26,walking
2016-03-20 19:15:19,still
2016-03-21 01:00:00,still
2016-03-21 01:22:12,still
2016-03-21 01:53:02,sleep
2016-03-21 09:19:10,still
2016-03-21 11:45:37,biking
2016-03-21 11:53:32,still
2016-03-21 11:59:19,still
2016-03-21 12:40:15,walking
2016-03-21 12:43:04,biking
2016-03-21 12:52:26,still
2016-03-21 18:45:49,walking
2016-03-21 18:50:04,still
2016-03-21 18:54:38,walking
2016-03-21 18:58:49,still
2016-03-21 19:35:47,still
2016-03-21 21:20:40,still
2016-03-21 21:41:53,still
2016-03-22 01:00:00,still
