date,ActivFit
2016-02-19 00:00:00,still
2016-02-19 07:43:53,still
2016-02-19 08:08:18,in_vehicle
2016-02-19 08:15:26,walking
2016-02-19 08:17:37,still
2016-02-19 08:21:12,in_vehicle
2016-02-19 08:29:53,walking
2016-02-19 08:31:28,in_vehicle
2016-02-19 08:35:56,walking
2016-02-19 08:41:16,still
2016-02-19 08:54:24,still
2016-02-19 09:30:33,still
2016-02-19 10:03:45,in_vehicle
2016-02-19 10:17:56,still
2016-02-19 10:50:48,walking
2016-02-19 10:52:54,still
2016-02-19 10:54:24,walking
2016-02-19 10:56:32,still
2016-02-19 11:13:23,walking
2016-02-19 11:19:49,still
2016-02-19 12:14:24,still
2016-02-19 13:00:52,still
2016-02-19 14:30:36,walking
2016-02-19 14:31:36,still
2016-02-19 14:46:28,walking
2016-02-19 14:47:36,still
2016-02-19 15:34:39,walking
2016-02-19 15:36:09,still
2016-02-19 15:55:57,walking
2016-02-19 15:57:58,still
2016-02-19 16:05:52,still
2016-02-19 16:16:38,still
2016-02-19 16:30:40,walking
2016-02-19 16:33:16,still
2016-02-19 17:26:49,still
2016-02-19 17:46:03,walking
2016-02-19 17:50:31,walking
2016-02-19 17:51:32,walking
2016-02-19 17:52:33,walking
2016-02-19 17:54:03,in_vehicle
2016-02-19 18:17:29,still
2016-02-19 20:04:29,still
