date,ActivFit
2016-02-05 00:00:00,still
2016-02-05 06:09:15,walking
2016-02-05 06:10:59,in_vehicle
2016-02-05 06:54:07,walking
2016-02-05 06:58:41,still
2016-02-05 07:17:00,walking
2016-02-05 07:20:55,still
2016-02-05 07:27:58,still
2016-02-05 11:11:20,walking
2016-02-05 11:12:57,in_vehicle
2016-02-05 11:27:32,still
2016-02-05 12:37:29,still
2016-02-05 12:47:30,still
2016-02-05 13:02:54,walking
2016-02-05 13:04:38,in_vehicle
2016-02-05 13:13:07,still
2016-02-05 15:37:55,walking
2016-02-05 15:39:17,in_vehicle
2016-02-05 15:48:12,still
2016-02-05 18:01:55,still
2016-02-05 20:17:45,in_vehicle
2016-02-05 20:31:12,walking
2016-02-05 20:34:09,still
2016-02-05 23:11:28,in_vehicle
2016-02-05 23:29:12,walking
2016-02-05 23:33:05,still
2016-02-05 23:35:11,still
2016-02-07 00:00:00,still
2016-02-07 10:22:41,still
2016-02-07 10:26:08,walking
2016-02-07 10:27:52,walking
2016-02-07 10:29:51,in_vehicle
2016-02-07 10:53:32,walking
2016-02-07 10:57:12,still
2016-02-07 12:04:47,walking
2016-02-07 12:05:57,in_vehicle
2016-02-07 12:17:46,walking
2016-02-07 12:19:17,still
2016-02-07 12:37:09,walking
2016-02-07 12:39:18,still
2016-02-07 12:57:25,still
2016-02-07 13:03:31,walking
2016-02-07 13:12:50,walking
2016-02-07 13:22:57,still
2016-02-07 13:25:20,walking
2016-02-07 13:29:04,still
2016-02-07 13:31:19,walking
2016-02-07 13:33:34,still
2016-02-07 13:38:46,walking
2016-02-07 13:42:47,in_vehicle
2016-02-07 13:46:42,walking
2016-02-07 13:49:08,in_vehicle
2016-02-07 13:56:17,walking
2016-02-07 14:03:29,still
2016-02-07 14:05:49,walking
2016-02-07 14:16:18,still
2016-02-07 14:19:24,still
2016-02-07 14:24:01,in_vehicle
2016-02-07 14:35:01,walking
2016-02-07 14:37:45,still
2016-02-07 18:30:47,still
2016-02-07 18:53:26,still
2016-02-07 20:15:51,walking
2016-02-07 20:18:01,still
2016-02-07 20:33:56,walking
2016-02-07 20:38:44,still
2016-02-08 00:00:00,still
2016-02-08 06:04:36,walking
2016-02-08 06:06:01,in_vehicle
2016-02-08 06:29:28,still
2016-02-08 06:35:07,in_vehicle
2016-02-08 06:50:21,walking
2016-02-08 06:52:23,still
2016-02-08 07:04:44,walking
2016-02-08 07:07:19,still
2016-02-08 07:17:47,still
2016-02-08 08:12:33,still
2016-02-08 08:39:21,walking
2016-02-08 08:41:47,still
2016-02-08 08:53:10,walking
2016-02-08 08:58:00,still
2016-02-08 09:03:11,walking
2016-02-08 09:15:23,still
2016-02-08 09:17:33,walking
2016-02-08 09:20:33,still
2016-02-08 09:52:51,walking
2016-02-08 09:55:25,still
2016-02-08 10:45:13,walking
2016-02-08 10:53:52,still
2016-02-08 11:54:17,walking
2016-02-08 11:56:05,still
2016-02-08 12:07:51,still
2016-02-08 12:44:10,walking
2016-02-08 12:45:44,still
2016-02-08 13:08:42,walking
2016-02-08 13:14:17,still
2016-02-08 13:47:53,still
2016-02-08 17:21:29,walking
2016-02-08 17:22:37,still
2016-02-08 17:47:16,in_vehicle
2016-02-08 18:01:58,walking
2016-02-08 18:03:27,still
2016-02-08 18:06:12,in_vehicle
2016-02-08 18:13:22,still
2016-02-08 18:19:05,in_vehicle
2016-02-08 18:45:43,walking
2016-02-08 18:48:40,still
2016-02-09 00:00:00,still
2016-02-09 06:08:21,walking
2016-02-09 06:10:51,in_vehicle
2016-02-09 06:32:10,walking
2016-02-09 06:35:55,still
2016-02-09 06:38:52,in_vehicle
2016-02-09 06:55:05,walking
2016-02-09 06:56:59,still
2016-02-09 07:38:06,walking
2016-02-09 07:40:42,still
2016-02-09 11:52:45,walking
2016-02-09 11:56:03,still
2016-02-09 12:45:52,in_vehicle
2016-02-09 12:55:09,walking
2016-02-09 12:56:24,still
2016-02-09 16:25:39,walking
2016-02-09 16:27:45,still
2016-02-09 17:52:44,walking
2016-02-09 17:54:43,in_vehicle
2016-02-09 18:42:21,still
2016-02-09 18:48:29,walking
2016-02-09 18:49:36,in_vehicle
2016-02-09 19:17:21,still
2016-02-09 23:03:57,still
2016-02-10 00:00:00,still
2016-02-10 06:10:10,in_vehicle
2016-02-10 06:34:02,still
2016-02-10 06:41:07,in_vehicle
2016-02-10 06:57:38,still
2016-02-10 07:04:22,walking
2016-02-10 07:05:53,still
2016-02-10 07:31:33,still
2016-02-10 15:34:24,in_vehicle
2016-02-10 16:16:48,still
2016-02-10 16:21:03,walking
2016-02-10 16:32:35,in_vehicle
2016-02-10 17:44:31,walking
2016-02-10 17:47:41,still
2016-02-11 00:00:00,still
2016-02-11 04:06:48,walking
2016-02-11 04:09:55,in_vehicle
2016-02-11 05:24:50,walking
2016-02-11 05:30:31,still
2016-02-11 05:56:12,in_vehicle
2016-02-11 06:38:19,still
2016-02-11 06:42:42,walking
2016-02-11 06:44:19,still
2016-02-11 07:34:07,still
2016-02-11 09:55:12,walking
2016-02-11 10:04:44,still
2016-02-11 11:27:28,walking
2016-02-11 11:30:39,still
2016-02-11 12:29:52,walking
2016-02-11 12:37:58,walking
2016-02-11 12:40:16,walking
2016-02-11 12:41:58,still
2016-02-11 12:52:06,walking
2016-02-11 12:53:37,still
2016-02-11 14:00:57,still
2016-02-11 16:23:50,walking
2016-02-11 16:27:17,still
2016-02-11 16:46:39,walking
2016-02-11 16:48:21,in_vehicle
2016-02-11 17:04:45,walking
2016-02-11 17:05:52,still
2016-02-11 17:11:00,in_vehicle
2016-02-11 17:24:22,still
2016-02-11 17:26:29,in_vehicle
2016-02-11 17:52:09,walking
2016-02-11 17:56:20,still
2016-02-11 18:55:28,walking
2016-02-11 18:59:20,still
2016-02-11 19:04:41,walking
2016-02-11 19:15:51,still
2016-02-11 19:38:08,still
2016-02-11 23:07:06,still
2016-02-12 00:00:00,still
2016-02-12 06:05:22,in_vehicle
2016-02-12 06:28:31,walking
2016-02-12 06:31:45,in_vehicle
2016-02-12 06:49:02,walking
2016-02-12 06:50:49,still
2016-02-12 07:02:58,walking
2016-02-12 07:04:54,still
2016-02-12 07:08:03,walking
2016-02-12 07:10:48,still
2016-02-12 07:30:29,walking
2016-02-12 07:32:30,still
2016-02-12 14:28:55,walking
2016-02-12 14:30:35,still
2016-02-12 14:50:42,walking
2016-02-12 14:52:06,still
2016-02-12 15:40:13,in_vehicle
2016-02-12 16:16:56,walking
2016-02-12 16:26:20,still
2016-02-12 16:32:27,walking
2016-02-12 16:40:31,still
2016-02-12 16:52:28,still
2016-02-12 19:25:04,still
2016-02-12 20:10:46,walking
2016-02-12 20:12:53,in_vehicle
2016-02-12 20:26:13,walking
2016-02-12 20:27:43,still
2016-02-12 21:10:04,walking
2016-02-12 21:17:56,still
2016-02-12 21:23:22,walking
2016-02-12 21:27:56,still
2016-02-12 21:30:07,in_vehicle
2016-02-12 22:27:28,still
2016-02-13 00:00:00,still
2016-02-13 16:25:00,still
2016-02-13 17:14:21,in_vehicle
2016-02-13 18:01:12,walking
2016-02-13 18:03:15,still
2016-02-13 18:46:48,walking
2016-02-13 18:48:55,in_vehicle
2016-02-13 19:02:17,walking
2016-02-13 19:11:07,walking
2016-02-13 19:12:38,still
2016-02-13 19:59:53,still
2016-02-13 20:01:45,still
2016-02-13 21:34:13,still
2016-02-13 21:36:09,walking
2016-02-13 21:38:00,in_vehicle
2016-02-13 22:21:12,walking
2016-02-13 22:22:50,still
2016-02-19 00:00:00,still
2016-02-19 06:13:31,in_vehicle
2016-02-19 06:48:25,still
2016-02-19 15:26:23,walking
2016-02-19 15:29:40,still
2016-02-19 15:57:01,in_vehicle
2016-02-19 16:17:19,walking
2016-02-19 16:19:09,still
2016-02-19 17:36:04,still
2016-02-19 19:29:20,walking
2016-02-19 19:31:04,in_vehicle
2016-02-19 21:39:41,walking
2016-02-19 21:45:25,still
2016-02-19 22:07:14,in_vehicle
2016-02-20 00:00:00,still
2016-02-20 12:44:43,in_vehicle
2016-02-20 13:07:43,still
2016-02-20 13:45:34,still
2016-02-20 14:07:51,walking
2016-02-20 14:10:27,in_vehicle
2016-02-20 14:43:06,still
2016-02-20 16:17:28,walking
2016-02-20 16:18:40,in_vehicle
2016-02-20 16:32:25,still
2016-02-20 16:41:09,walking
2016-02-20 16:43:12,still
2016-02-20 18:35:04,still
2016-02-20 18:43:20,walking
2016-02-20 18:46:17,still
2016-02-20 19:05:34,still
2016-02-20 19:39:53,walking
2016-02-20 19:50:18,still
2016-02-20 23:14:25,still
2016-02-21 00:00:00,still
2016-02-21 12:14:17,in_vehicle
2016-02-21 12:31:00,still
2016-02-21 12:35:16,still
2016-02-21 12:56:12,walking
2016-02-21 13:04:32,still
2016-02-21 13:07:27,walking
2016-02-21 13:08:39,in_vehicle
2016-02-21 13:33:03,still
2016-02-21 18:53:21,walking
2016-02-21 18:55:24,still
2016-02-21 19:25:00,still
2016-02-21 20:47:28,walking
2016-02-21 20:53:57,walking
2016-02-21 20:55:03,still
2016-02-21 22:41:45,still
2016-02-22 00:00:00,still
2016-02-22 08:07:18,walking
2016-02-22 08:08:51,still
2016-02-22 08:12:47,in_vehicle
2016-02-22 12:41:03,in_vehicle
2016-02-22 13:07:43,walking
2016-02-22 13:14:02,in_vehicle
2016-02-22 14:13:42,walking
2016-02-22 14:19:25,walking
2016-02-22 14:20:54,still
2016-02-22 15:00:53,walking
2016-02-22 15:04:52,still
2016-02-22 15:11:48,walking
2016-02-22 15:13:37,walking
2016-02-22 15:18:35,still
2016-02-22 15:39:05,walking
2016-02-22 15:40:28,in_vehicle
2016-02-22 15:57:11,still
2016-02-22 17:31:08,still
2016-02-22 18:22:08,in_vehicle
2016-02-22 18:36:05,walking
2016-02-22 18:41:35,still
2016-02-22 18:42:52,in_vehicle
2016-02-22 18:51:09,still
2016-02-22 19:34:00,walking
2016-02-22 19:36:02,still
2016-02-22 19:47:04,still
2016-02-22 20:13:03,walking
2016-02-22 20:16:42,still
2016-02-22 20:35:32,walking
2016-02-22 20:42:22,in_vehicle
2016-02-22 20:49:57,walking
2016-02-22 20:53:24,still
2016-02-23 00:00:00,still
2016-02-23 06:06:01,walking
2016-02-23 06:08:59,in_vehicle
2016-02-23 06:33:31,walking
2016-02-23 06:36:58,in_vehicle
2016-02-23 06:57:00,still
2016-02-23 07:16:15,walking
2016-02-23 07:17:41,still
2016-02-23 07:23:23,walking
2016-02-23 07:24:50,still
2016-02-23 11:33:54,walking
2016-02-23 11:40:32,walking
2016-02-23 11:43:34,still
2016-02-23 12:44:16,walking
2016-02-23 12:46:31,in_vehicle
2016-02-23 13:06:17,walking
2016-02-23 13:08:40,still
2016-02-23 13:35:25,walking
2016-02-23 13:39:24,walking
2016-02-23 13:49:25,walking
2016-02-23 13:52:05,still
2016-02-23 14:36:42,walking
2016-02-23 14:38:09,still
2016-02-23 15:57:23,walking
2016-02-23 16:02:12,still
2016-02-23 16:35:11,in_vehicle
2016-02-23 17:11:25,walking
2016-02-23 17:13:55,still
2016-02-23 18:28:58,walking
2016-02-23 18:30:27,in_vehicle
2016-02-23 18:46:11,walking
2016-02-23 18:49:24,still
2016-02-23 18:52:34,walking
2016-02-23 18:53:54,in_vehicle
2016-02-23 19:35:50,in_vehicle
2016-02-23 19:38:33,walking
2016-02-23 19:41:55,in_vehicle
2016-02-23 20:06:53,walking
2016-02-23 20:09:03,still
2016-02-23 20:49:21,still
2016-02-23 21:14:00,still
2016-02-23 21:25:49,still
2016-02-23 23:49:52,walking
2016-02-23 23:51:26,still
2016-02-24 00:00:00,in_vehicle
2016-02-24 00:17:14,walking
2016-02-24 00:18:36,still
2016-02-24 06:00:05,walking
2016-02-24 06:02:54,in_vehicle
2016-02-24 06:14:43,walking
2016-02-24 06:19:12,still
2016-02-24 06:22:30,in_vehicle
2016-02-24 06:44:39,still
2016-02-24 20:26:27,walking
2016-02-24 20:31:40,still
2016-02-24 20:53:49,in_vehicle
2016-02-24 21:34:52,walking
2016-02-24 21:36:28,still
2016-02-25 00:00:00,still
2016-02-25 06:10:42,walking
2016-02-25 06:12:06,in_vehicle
2016-02-25 06:52:35,walking
2016-02-25 06:54:02,still
2016-02-25 08:03:51,walking
2016-02-25 08:10:26,still
2016-02-25 09:12:21,still
2016-02-25 11:32:42,walking
2016-02-25 11:33:58,still
2016-02-25 11:36:08,in_vehicle
2016-02-25 11:44:07,walking
2016-02-25 11:46:36,still
2016-02-25 12:46:45,walking
2016-02-25 12:49:57,still
