date,ActivFit
2016-03-26 23:00:00,still
2016-03-27 01:03:31,walking
2016-03-27 01:04:51,walking
2016-03-27 01:06:38,still
2016-03-27 03:28:03,walking
2016-03-27 03:29:16,still
2016-03-27 04:42:20,walking
2016-03-27 04:43:20,still
2016-03-27 05:02:00,still
2016-03-27 06:05:15,walking
2016-03-27 06:06:45,still
2016-03-27 07:05:27,still
2016-03-27 10:48:37,still
2016-03-27 11:42:44,walking
2016-03-27 11:45:03,still
2016-03-27 15:53:47,still
2016-03-27 17:36:03,still
2016-03-27 18:07:39,still
2016-03-27 18:10:40,walking
2016-03-27 18:13:51,still
2016-03-27 19:11:42,still
2016-03-27 19:35:26,walking
2016-03-27 19:37:08,still
2016-03-27 19:43:27,walking
2016-03-27 19:45:54,still
2016-03-27 19:48:39,walking
2016-03-27 19:50:25,walking
2016-03-27 19:53:35,in_vehicle
2016-03-27 20:03:05,still
2016-03-30 00:00:00,still
2016-04-04 00:00:00,still
2016-04-04 12:10:36,still
2016-04-07 00:00:00,still
2016-04-07 07:52:17,walking
2016-04-07 07:53:22,still
2016-04-07 08:40:13,walking
2016-04-07 08:41:18,still
2016-04-07 09:08:29,walking
2016-04-07 09:09:59,still
2016-04-07 11:07:21,walking
2016-04-07 11:08:26,still
2016-04-07 12:32:07,walking
2016-04-07 12:34:35,still
2016-04-07 12:43:25,walking
2016-04-07 12:45:26,walking
2016-04-07 12:49:03,still
2016-04-07 16:26:48,walking
2016-04-07 16:27:53,still
2016-04-07 16:54:27,still
2016-04-07 16:58:23,walking
2016-04-07 16:59:45,still
2016-04-07 17:05:49,walking
2016-04-07 17:08:30,still
2016-04-07 18:39:48,walking
2016-04-07 18:41:19,still
2016-04-07 18:52:34,still
2016-04-07 19:05:23,walking
2016-04-07 19:07:52,still
2016-04-07 19:14:51,still
2016-04-07 20:01:25,walking
2016-04-07 20:03:23,still
2016-04-07 21:15:43,walking
2016-04-07 21:18:22,still
2016-04-07 22:03:41,still
2016-04-07 22:45:17,walking
2016-04-07 22:46:21,still
2016-04-07 22:48:01,walking
2016-04-07 22:51:17,still
2016-04-07 22:56:21,walking
2016-04-07 23:00:29,walking
2016-04-07 23:09:28,walking
2016-04-07 23:10:53,still
2016-04-09 00:00:00,still
2016-04-09 14:57:23,walking
2016-04-09 14:58:23,still
2016-04-09 15:24:30,in_vehicle
2016-04-09 15:29:42,still
2016-04-09 16:01:41,still
2016-04-09 18:35:04,walking
2016-04-09 18:36:41,still
2016-04-09 18:54:23,walking
2016-04-09 18:55:54,walking
2016-04-09 18:59:31,walking
2016-04-09 19:01:36,still
2016-04-09 19:17:57,walking
2016-04-09 19:22:04,walking
2016-04-09 19:27:14,walking
2016-04-09 19:28:44,still
2016-04-10 00:00:40,still
2016-04-10 00:20:31,walking
2016-04-10 00:23:14,still
2016-04-10 00:53:52,still
2016-04-10 01:20:48,still
2016-04-10 03:05:07,walking
2016-04-10 03:07:41,still
2016-04-10 05:39:05,still
2016-04-10 06:04:59,walking
2016-04-10 06:11:01,still
2016-04-10 13:22:38,walking
2016-04-10 13:24:59,still
2016-04-10 13:26:00,walking
2016-04-10 13:36:52,still
2016-04-10 14:15:26,still
2016-04-10 14:27:04,walking
2016-04-10 14:28:34,still
2016-04-10 14:30:58,still
2016-04-10 14:54:31,walking
2016-04-10 14:55:56,still
2016-04-10 15:28:11,walking
2016-04-10 15:29:37,still
2016-04-10 15:47:56,walking
2016-04-10 15:48:56,still
2016-04-10 15:52:39,walking
2016-04-10 15:54:07,still
2016-04-10 15:55:32,walking
2016-04-10 15:58:11,still
2016-04-10 16:00:00,walking
2016-04-10 16:02:00,still
2016-04-10 16:37:37,walking
2016-04-10 16:39:41,still
2016-04-10 18:22:07,in_vehicle
2016-04-10 18:30:26,still
2016-04-10 18:39:34,walking
2016-04-10 18:44:47,in_vehicle
2016-04-10 18:54:15,still
2016-04-10 19:27:49,still
2016-04-10 19:37:09,still
2016-04-10 20:51:21,walking
2016-04-10 20:53:42,in_vehicle
2016-04-10 20:59:09,still
2016-04-10 21:03:07,walking
2016-04-10 21:04:07,still
2016-04-14 00:00:00,still
2016-04-14 14:00:59,still
2016-04-14 14:23:21,still
2016-04-14 14:35:47,walking
2016-04-14 14:37:47,still
2016-04-14 14:54:31,still
2016-04-14 15:37:58,walking
2016-04-14 15:38:59,still
2016-04-14 15:53:09,walking
2016-04-14 15:55:10,still
2016-04-14 16:00:17,still
2016-04-14 16:41:27,still
2016-04-14 17:30:37,walking
2016-04-14 17:33:13,still
2016-04-14 20:04:58,walking
2016-04-14 20:05:59,still
2016-04-14 20:43:08,walking
2016-04-14 20:45:14,still
2016-04-14 20:47:13,walking
2016-04-14 20:54:48,walking
2016-04-14 20:55:50,still
2016-04-17 00:00:00,still
2016-04-17 11:46:19,still
2016-04-17 11:57:26,still
2016-04-17 12:15:17,still
2016-04-17 14:45:03,still
2016-04-17 15:04:34,still
2016-04-17 15:35:04,still
2016-04-17 15:37:05,walking
2016-04-17 15:42:07,still
2016-04-17 15:54:51,still
2016-04-17 16:11:39,still
2016-04-17 17:18:53,still
2016-04-17 17:27:55,walking
2016-04-17 17:33:11,still
2016-04-17 19:15:25,walking
2016-04-17 19:29:46,still
2016-04-18 00:00:00,still
2016-04-18 07:54:00,walking
2016-04-18 07:55:31,still
2016-04-18 07:57:22,in_vehicle
2016-04-18 08:04:56,still
2016-04-18 08:21:25,still
2016-04-18 08:25:13,walking
2016-04-18 08:27:18,still
2016-04-18 08:55:45,walking
2016-04-18 08:57:19,still
2016-04-18 09:25:37,walking
2016-04-18 09:27:37,still
2016-04-18 09:39:51,still
2016-04-18 11:28:06,walking
2016-04-18 11:31:42,still
2016-04-18 11:58:51,walking
2016-04-18 12:01:33,still
2016-04-18 12:29:53,still
2016-04-18 13:54:30,still
2016-04-18 14:06:23,still
2016-04-18 14:28:25,still
2016-04-18 14:35:36,walking
