date,ActivFit
2016-08-24 00:00:00,still
2016-08-24 22:02:19,still
2016-08-25 00:00:00,still
2016-08-25 00:07:52,still
2016-10-10 00:00:00,still
2016-10-10 22:38:39,still
2016-10-12 00:00:00,still
2016-10-12 13:10:24,in_vehicle
2016-10-12 13:28:44,still
2016-10-12 14:28:50,in_vehicle
2016-10-12 14:46:17,walking
2016-10-12 14:48:51,still
2016-10-12 15:28:32,still
2016-10-14 00:00:00,still
2016-10-14 16:45:18,still
2016-10-14 20:15:52,still
2016-10-16 00:00:00,still
2016-10-16 07:47:27,in_vehicle
2016-10-16 09:08:45,walking
2016-10-16 09:12:57,still
2016-10-16 12:44:10,still
2016-10-16 17:01:42,in_vehicle
2016-10-16 18:02:44,still
2016-10-16 21:04:55,still
2016-11-05 00:00:00,still
2016-11-05 12:49:18,still
2016-11-05 14:05:22,in_vehicle
2016-11-05 15:38:49,still
2016-11-05 19:28:47,in_vehicle
2016-11-06 01:00:00,still
2016-11-06 11:48:53,in_vehicle
2016-11-06 11:57:08,still
2016-11-06 21:47:31,still
2016-11-28 00:00:00,still
2016-11-28 22:05:47,still
2016-12-01 00:00:00,still
2016-12-01 22:05:03,still
2016-12-02 00:00:00,still
2016-12-02 11:08:30,in_vehicle
2016-12-02 12:55:59,still
2016-12-02 13:00:04,in_vehicle
2016-12-02 13:20:47,still
2016-12-02 13:55:28,walking
2016-12-02 14:01:50,still
2016-12-02 15:48:09,in_vehicle
2016-12-02 15:58:34,walking
2016-12-02 16:00:04,still
2016-12-02 16:21:13,in_vehicle
2016-12-02 17:08:38,still
2016-12-02 23:35:03,still
2016-12-04 00:00:00,still
2016-12-04 21:01:42,still
2016-12-04 22:22:18,still
2016-12-05 00:00:00,still
2016-12-05 16:49:53,in_vehicle
2016-12-05 17:08:59,walking
2016-12-05 17:12:22,still
2016-12-05 17:23:30,walking
2016-12-05 17:27:16,still
2016-12-05 17:42:24,walking
2016-12-05 17:44:03,still
2016-12-05 17:46:28,walking
2016-12-05 17:48:36,in_vehicle
2016-12-05 18:00:05,walking
2016-12-05 18:03:34,still
2016-12-05 18:08:37,walking
2016-12-05 18:14:37,in_vehicle
2016-12-05 18:28:18,still
2016-12-05 21:48:46,still
2016-12-06 00:00:00,still
2016-12-06 11:04:23,in_vehicle
2016-12-06 11:22:07,walking
2016-12-06 11:24:28,still
2016-12-06 11:26:28,walking
2016-12-06 11:28:01,in_vehicle
2016-12-06 11:46:02,walking
2016-12-06 11:47:06,in_vehicle
2016-12-06 11:51:44,walking
2016-12-06 11:52:53,in_vehicle
2016-12-06 12:12:22,still
2016-12-06 22:02:53,still
2016-12-09 00:00:00,still
2016-12-09 11:28:18,still
2016-12-09 18:05:05,walking
2016-12-09 18:06:56,still
2016-12-09 19:15:32,walking
2016-12-09 19:16:41,still
2016-12-09 22:24:58,still
2016-12-10 00:00:00,still
2016-12-10 22:02:41,still
2016-12-11 00:00:00,still
2016-12-11 22:00:19,still
2016-12-12 00:00:00,still
2016-12-12 13:31:21,in_vehicle
2016-12-12 14:01:58,still
2016-12-12 14:51:52,in_vehicle
2016-12-12 15:28:24,walking
2016-12-12 15:32:05,still
2016-12-12 16:03:11,walking
2016-12-12 16:04:51,still
2016-12-12 16:07:38,walking
2016-12-12 16:08:49,in_vehicle
2016-12-12 16:16:05,walking
2016-12-12 16:17:28,still
2016-12-12 22:37:51,still
2016-12-14 00:00:00,still
2016-12-14 22:27:17,still
2016-12-15 00:00:00,still
2016-12-15 11:35:27,in_vehicle
2016-12-15 13:02:55,still
2016-12-15 13:40:27,walking
2016-12-15 13:41:35,still
2016-12-16 00:00:00,still
2016-12-17 00:00:00,still
2016-12-17 16:53:06,in_vehicle
2016-12-17 17:13:45,still
2016-12-17 18:01:07,still
2016-12-17 20:11:42,in_vehicle
2016-12-17 20:30:10,still
2016-12-17 22:01:33,still
2016-12-18 00:00:00,still
2016-12-18 10:56:13,still
2016-12-22 00:00:00,still
2016-12-22 22:44:39,still
2016-12-23 00:00:00,still
2016-12-23 11:06:10,in_vehicle
2016-12-23 11:19:08,walking
2016-12-23 11:22:43,still
2016-12-23 12:38:35,still
2016-12-23 12:57:19,walking
2016-12-23 12:59:22,in_vehicle
2016-12-23 13:31:03,still
2016-12-24 00:00:00,still
2016-12-25 00:00:00,still
2016-12-26 00:00:00,still
2016-12-26 16:37:33,in_vehicle
2016-12-26 16:50:47,still
2016-12-26 18:43:05,in_vehicle
2016-12-26 18:56:01,walking
2016-12-26 18:58:17,in_vehicle
2016-12-26 19:01:53,still
2016-12-27 00:00:00,still
2016-12-27 10:10:28,in_vehicle
2016-12-27 10:21:50,still
2016-12-28 00:00:00,still
2016-12-28 12:22:30,in_vehicle
2016-12-28 12:42:29,still
2016-12-28 13:39:42,walking
2016-12-28 13:43:21,walking
2016-12-28 13:46:26,walking
2016-12-28 13:51:18,walking
2016-12-28 13:59:36,walking
2016-12-28 14:00:36,in_vehicle
2016-12-28 14:09:48,still
2016-12-28 14:44:58,in_vehicle
2016-12-28 15:12:05,walking
2016-12-28 15:16:38,still
2016-12-30 00:00:00,still
2016-12-30 15:08:24,in_vehicle
2016-12-30 15:21:02,still
2016-12-30 16:26:45,in_vehicle
2016-12-30 16:56:50,walking
2016-12-30 17:06:20,still
2017-01-01 00:00:00,still
2017-01-01 01:19:21,in_vehicle
2017-01-01 01:27:26,walking
2017-01-01 01:34:12,still
2017-01-02 00:00:00,still
2017-01-02 09:17:55,still
2017-01-04 00:00:00,still
2017-01-05 00:00:00,still
2017-01-05 13:18:37,in_vehicle
2017-01-05 14:30:38,still
2017-01-05 16:03:14,in_vehicle
2017-01-05 16:12:10,still
2017-01-05 16:13:31,walking
2017-01-05 16:17:50,still
2017-01-05 16:23:07,in_vehicle
2017-01-05 17:01:01,still
2017-01-07 00:00:00,still
2017-01-09 00:00:00,still
2017-01-09 12:09:41,in_vehicle
2017-01-09 12:21:09,still
2017-01-09 15:28:46,walking
2017-01-09 15:29:54,in_vehicle
2017-01-09 15:43:58,walking
2017-01-09 15:45:14,still
2017-01-09 18:21:55,in_vehicle
2017-01-09 18:31:43,walking
2017-01-09 18:33:39,still
2017-01-09 19:32:59,walking
2017-01-09 19:34:09,still
2017-01-10 00:00:00,still
2017-01-12 00:00:00,still
2017-01-12 17:28:17,in_vehicle
2017-01-12 17:38:18,still
2017-01-12 18:05:06,still
2017-01-13 00:00:00,still
2017-01-14 00:00:00,still
2017-01-15 00:00:00,still
2017-01-15 07:05:03,in_vehicle
2017-01-15 08:00:45,still
2017-01-15 08:17:07,still
2017-01-15 09:12:46,in_vehicle
2017-01-15 11:43:08,still
2017-01-15 12:16:00,in_vehicle
2017-01-15 12:27:20,still
2017-01-15 13:06:28,in_vehicle
2017-01-15 13:47:14,still
2017-01-15 14:26:15,in_vehicle
2017-01-15 14:52:11,still
2017-01-15 15:20:55,in_vehicle
2017-01-15 15:29:26,still
2017-01-15 15:32:17,walking
2017-01-15 15:33:23,still
2017-01-15 16:01:48,walking
2017-01-15 16:03:22,in_vehicle
2017-01-15 16:23:25,still
2017-01-15 16:25:57,in_vehicle
2017-01-15 16:57:25,still
2017-01-16 00:00:00,still
2017-01-16 10:14:07,still
2017-01-16 10:15:38,in_vehicle
2017-01-16 10:48:18,still
2017-01-16 12:48:35,in_vehicle
2017-01-16 13:30:48,still
2017-01-17 00:00:00,still
2017-01-17 10:33:55,in_vehicle
2017-01-17 11:47:28,still
2017-01-17 12:51:00,in_vehicle
2017-01-17 14:19:12,still
2017-01-17 15:20:48,walking
2017-01-17 15:22:01,still
2017-01-17 22:20:15,walking
2017-01-17 22:21:51,still
2017-01-18 00:00:00,still
2017-01-19 00:00:00,still
2017-01-19 08:05:00,walking
2017-01-19 08:06:12,in_vehicle
2017-01-19 08:53:03,walking
2017-01-19 08:57:46,still
2017-01-19 09:51:52,still
2017-01-19 11:02:16,walking
2017-01-19 11:08:33,still
2017-01-19 11:51:13,still
2017-01-19 11:59:30,walking
2017-01-19 12:04:08,in_vehicle
2017-01-19 13:07:16,still
2017-01-20 00:00:00,still
2017-01-20 08:21:22,still
2017-01-20 12:17:15,in_vehicle
2017-01-20 12:26:21,still
2017-01-20 12:55:50,in_vehicle
2017-01-20 13:14:07,still
2017-01-20 14:18:00,in_vehicle
2017-01-20 14:45:38,still
2017-01-21 00:00:00,still
2017-01-21 08:09:45,in_vehicle
2017-01-21 08:24:57,still
2017-01-21 10:19:22,in_vehicle
2017-01-21 10:49:28,still
2017-01-21 10:53:34,still
2017-01-21 11:14:34,walking
2017-01-21 11:20:00,still
2017-01-21 11:29:29,still
2017-01-21 11:33:00,walking
2017-01-21 11:34:01,in_vehicle
2017-01-21 11:49:09,still
2017-01-21 12:21:36,in_vehicle
2017-01-21 12:52:30,still
2017-01-21 13:18:07,walking
2017-01-21 13:20:55,still
2017-01-22 00:00:00,still
2017-01-22 10:16:57,in_vehicle
2017-01-22 10:20:14,still
2017-01-22 10:48:12,still
2017-01-24 00:00:00,still
2017-01-26 00:00:00,still
2017-01-26 14:52:23,in_vehicle
2017-01-26 15:21:38,still
2017-01-26 17:01:21,in_vehicle
2017-01-26 18:06:06,still
2017-01-26 18:17:10,still
2017-01-26 19:13:21,in_vehicle
2017-01-26 20:03:05,still
