date,ActivFit
2016-11-22 00:01:34,still
2016-11-22 00:06:08,sleep
2016-11-22 02:40:09,sleep
2016-11-22 04:40:59,still
2016-11-22 07:53:38,in_vehicle
2016-11-22 08:17:34,still
2016-11-22 08:30:51,walking
2016-11-22 08:32:58,in_vehicle
2016-11-22 09:02:02,still
2016-11-22 10:12:05,walking
2016-11-22 10:13:56,still
2016-11-22 11:31:03,walking
2016-11-22 11:37:47,walking
2016-11-22 11:40:22,still
2016-11-22 11:53:14,walking
2016-11-22 12:03:32,still
2016-11-22 13:29:07,walking
2016-11-22 13:31:17,in_vehicle
2016-11-22 13:43:48,still
2016-11-22 14:47:19,in_vehicle
2016-11-22 14:54:46,still
2016-11-22 16:21:24,walking
2016-11-22 16:25:34,in_vehicle
2016-11-22 16:35:20,still
2016-11-22 17:40:31,still
2016-11-22 18:31:28,walking
2016-11-22 18:36:58,in_vehicle
2016-11-22 18:51:38,walking
2016-11-22 19:00:33,in_vehicle
2016-11-22 19:10:09,walking
2016-11-22 19:12:58,still
2016-11-23 00:00:00,still
2016-11-23 00:55:13,sleep
2016-11-23 03:25:03,sleep
2016-11-23 06:00:01,still
2016-11-23 07:52:58,in_vehicle
2016-11-23 08:23:50,still
2016-11-23 08:43:42,walking
2016-11-23 08:47:34,in_vehicle
2016-11-23 09:06:43,walking
2016-11-23 09:09:52,still
2016-11-23 09:19:31,walking
2016-11-23 09:20:53,still
2016-11-23 09:55:58,walking
2016-11-23 09:57:21,still
2016-11-23 10:20:12,walking
2016-11-23 10:22:33,still
2016-11-23 11:31:08,walking
2016-11-23 11:32:38,walking
2016-11-23 11:33:40,still
2016-11-23 11:44:31,still
2016-11-23 12:04:17,still
2016-11-23 13:26:22,walking
2016-11-23 13:28:23,still
2016-11-23 13:52:44,walking
2016-11-23 13:54:23,in_vehicle
2016-11-23 14:21:06,walking
2016-11-23 14:23:45,still
2016-11-23 14:47:02,walking
2016-11-23 14:48:56,still
2016-11-23 14:51:33,walking
2016-11-23 14:53:33,still
2016-11-23 15:10:57,walking
2016-11-23 15:14:14,still
2016-11-23 16:33:42,in_vehicle
2016-11-23 16:41:17,still
2016-11-23 18:08:58,walking
2016-11-23 18:16:24,in_vehicle
2016-11-23 18:42:07,walking
2016-11-23 18:49:15,still
2016-11-24 00:00:00,sleep
2016-11-24 01:25:16,sleep
2016-11-24 03:26:07,sleep
2016-11-24 05:26:59,still
2016-11-24 08:39:24,walking
2016-11-24 08:42:24,still
2016-11-24 08:58:11,walking
2016-11-24 09:01:00,still
2016-11-24 09:11:43,still
2016-11-24 10:14:55,still
2016-11-24 10:25:43,still
2016-11-24 11:43:18,in_vehicle
2016-11-24 11:47:35,still
2016-11-24 12:23:51,still
2016-11-24 12:26:01,walking
2016-11-24 12:27:21,walking
2016-11-24 12:32:17,still
2016-11-24 12:37:18,walking
2016-11-24 12:38:35,walking
2016-11-24 12:48:44,walking
2016-11-24 12:50:03,walking
2016-11-24 12:58:00,in_vehicle
2016-11-24 13:15:07,walking
2016-11-24 13:16:57,in_vehicle
2016-11-24 13:26:14,still
2016-11-24 14:35:30,in_vehicle
2016-11-24 15:02:27,walking
2016-11-24 15:30:17,still
2016-11-24 15:36:02,walking
2016-11-24 15:57:06,still
2016-11-24 16:00:36,walking
2016-11-24 16:12:34,walking
2016-11-24 16:29:37,still
2016-11-25 00:00:00,still
2016-11-25 01:16:13,sleep
2016-11-25 03:18:31,sleep
2016-11-25 05:19:22,still
2016-11-25 08:52:07,walking
