date,ActivFit
2016-04-13 00:00:00,still
2016-04-13 06:36:20,walking
2016-04-13 06:37:55,walking
2016-04-13 06:43:16,in_vehicle
2016-04-13 06:52:03,walking
2016-04-13 06:55:02,walking
2016-04-13 07:00:08,still
2016-04-13 14:55:37,still
2016-04-13 15:00:25,walking
2016-04-13 15:02:36,in_vehicle
2016-04-13 15:13:49,still
2016-04-13 15:15:14,walking
2016-04-13 15:18:31,still
2016-04-13 16:12:18,still
2016-04-13 16:15:59,walking
2016-04-13 16:29:06,still
2016-04-13 16:37:37,in_vehicle
2016-04-13 16:49:01,still
2016-04-13 20:28:42,still
2016-10-08 00:00:00,still
2016-10-08 20:08:00,walking
2016-10-08 20:37:55,still
2016-10-08 21:09:38,still
2016-10-09 00:00:00,still
2016-10-09 00:15:41,walking
2016-10-09 00:23:36,still
2016-10-09 00:27:33,still
2016-10-10 00:00:00,still
2016-10-10 20:20:21,walking
2016-10-10 20:27:58,still
2016-10-10 20:51:10,walking
2016-10-10 20:52:20,walking
2016-10-10 21:12:34,walking
2016-10-10 21:21:55,walking
2016-10-10 21:25:03,still
2016-10-10 21:30:55,walking
2016-10-10 21:39:32,still
2016-10-10 22:30:21,still
2016-10-12 00:00:00,still
2016-10-12 10:46:12,walking
2016-10-12 10:49:13,still
2016-10-12 10:56:01,walking
2016-10-12 11:04:43,still
2016-10-12 14:30:00,walking
2016-10-12 14:51:20,still
2016-10-12 14:55:21,walking
2016-10-12 15:05:00,still
2016-10-12 15:11:10,walking
2016-10-12 15:35:09,still
2016-10-12 15:39:14,walking
2016-10-12 15:41:16,in_vehicle
2016-10-12 15:52:30,walking
2016-10-12 15:59:53,in_vehicle
2016-10-12 16:07:24,still
2016-10-12 16:10:48,walking
2016-10-12 16:35:09,still
2016-10-12 16:39:53,walking
2016-10-12 16:44:29,still
2016-10-12 20:48:55,still
2016-10-13 00:00:00,still
2016-10-13 12:09:59,walking
2016-10-13 12:14:16,walking
2016-10-13 12:16:48,still
2016-10-13 12:23:25,in_vehicle
2016-10-13 12:49:29,walking
2016-10-13 12:54:34,in_vehicle
2016-10-13 13:04:14,walking
2016-10-13 13:11:00,still
2016-10-13 13:14:06,walking
2016-10-13 13:32:40,still
2016-10-13 13:34:48,in_vehicle
2016-10-13 13:55:19,walking
2016-10-13 14:08:11,still
2016-10-13 14:12:49,still
2016-10-13 14:18:24,walking
2016-10-13 14:23:04,still
2016-10-13 14:25:29,in_vehicle
2016-10-13 14:42:36,still
2016-10-13 14:45:00,walking
2016-10-13 14:46:03,walking
2016-10-13 14:54:21,still
2016-10-13 14:57:06,walking
2016-10-13 15:05:16,still
2016-10-13 15:28:40,walking
2016-10-13 15:34:55,still
2016-10-13 18:05:01,still
2016-10-13 18:22:07,walking
2016-10-13 18:29:16,still
2016-10-13 19:28:42,still
2016-10-13 20:26:18,still
2016-10-13 21:45:25,still
2016-10-13 21:57:49,still
2016-10-13 22:17:47,walking
2016-10-13 22:25:03,still
2016-10-13 22:40:35,still
2016-10-13 23:20:08,walking
2016-10-13 23:26:14,still
2016-10-14 00:00:00,still
2016-10-14 10:42:18,walking
2016-10-14 10:47:52,still
2016-10-14 11:04:30,walking
2016-10-14 11:09:26,still
2016-10-14 11:15:15,in_vehicle
2016-10-14 11:42:57,walking
2016-10-14 11:48:13,walking
2016-10-14 11:49:15,walking
2016-10-14 11:50:47,in_vehicle
2016-10-14 12:24:51,walking
2016-10-14 12:26:00,walking
2016-10-14 12:33:24,still
2016-10-14 12:37:33,still
2016-10-14 12:49:04,in_vehicle
2016-10-14 13:01:36,still
2016-10-14 13:29:14,walking
2016-10-14 13:30:49,walking
2016-10-14 13:40:01,walking
2016-10-14 13:41:05,walking
2016-10-14 13:59:26,walking
2016-10-14 14:03:27,walking
2016-10-14 14:11:05,still
2016-10-14 14:22:04,still
2016-10-14 14:28:55,walking
2016-10-14 14:36:41,still
2016-10-14 14:41:55,walking
2016-10-14 14:52:39,still
2016-10-14 22:26:23,still
2016-10-15 00:00:00,still
2016-10-15 07:03:04,still
2016-10-15 10:04:53,walking
2016-10-15 10:07:24,in_vehicle
2016-10-16 00:00:00,still
2016-10-16 14:38:57,still
2016-10-16 14:40:49,walking
