date,ActivFit
2017-01-11 00:00:00,still
2017-01-11 09:18:22,in_vehicle
2017-01-11 09:57:38,walking
2017-01-11 10:03:45,still
2017-01-11 11:29:45,walking
2017-01-11 11:31:17,still
2017-01-11 11:38:17,walking
2017-01-11 11:39:45,still
2017-01-11 11:42:42,in_vehicle
2017-01-11 11:56:54,still
2017-01-11 12:32:59,still
2017-01-11 12:36:19,walking
2017-01-11 12:41:59,in_vehicle
2017-01-11 12:51:17,still
2017-01-11 13:33:23,walking
2017-01-11 13:34:29,still
2017-01-11 13:37:04,in_vehicle
2017-01-11 13:46:58,walking
2017-01-11 13:54:16,still
2017-01-11 16:22:56,walking
2017-01-11 16:24:59,in_vehicle
2017-01-11 16:30:59,walking
2017-01-11 16:32:28,still
2017-01-11 17:17:43,walking
2017-01-11 17:20:48,still
2017-01-11 17:27:52,in_vehicle
2017-01-11 18:08:51,still
2017-01-11 18:11:08,walking
2017-01-11 18:12:48,still
2017-01-11 18:45:07,walking
2017-01-11 18:48:39,in_vehicle
2017-01-11 18:57:56,walking
2017-01-11 18:59:07,still
2017-01-11 20:33:03,in_vehicle
2017-01-11 20:45:19,in_vehicle
2017-01-11 22:36:06,still
2017-01-11 22:46:19,walking
2017-01-11 22:58:41,still
2017-01-12 00:00:00,still
2017-01-12 02:11:13,still
2017-01-12 07:25:27,in_vehicle
2017-01-12 07:48:24,still
2017-01-12 08:25:42,in_vehicle
2017-01-12 08:50:42,walking
2017-01-12 08:52:13,in_vehicle
2017-01-12 09:31:12,still
2017-01-12 09:36:48,walking
2017-01-12 09:42:00,still
2017-01-12 11:20:07,walking
2017-01-12 11:22:33,still
2017-01-12 12:49:00,walking
2017-01-12 12:53:00,still
2017-01-12 14:09:57,walking
2017-01-12 14:12:56,walking
2017-01-12 14:20:40,still
2017-01-12 19:15:11,walking
2017-01-12 19:21:47,in_vehicle
2017-01-12 19:59:09,walking
2017-01-12 20:04:05,still
2017-01-12 23:20:02,still
2017-01-12 23:29:15,walking
2017-01-12 23:45:03,still
2017-01-12 23:58:24,walking
2017-01-13 00:00:00,walking
2017-01-13 00:04:52,still
2017-01-13 08:11:13,walking
2017-01-13 08:12:52,in_vehicle
2017-01-13 08:55:13,still
2017-01-13 08:59:58,still
2017-01-13 10:37:57,still
2017-01-13 10:41:00,walking
2017-01-13 10:46:38,still
2017-01-13 10:52:33,walking
2017-01-13 10:53:34,still
2017-01-13 11:09:46,still
2017-01-13 11:47:07,in_vehicle
2017-01-13 12:04:36,still
2017-01-13 12:08:37,walking
2017-01-13 12:14:12,still
2017-01-13 14:07:53,walking
2017-01-13 14:11:21,still
2017-01-13 14:47:43,walking
2017-01-13 14:49:59,still
2017-01-13 18:04:36,walking
2017-01-13 18:07:55,in_vehicle
2017-01-13 19:19:41,still
2017-01-13 20:53:03,in_vehicle
2017-01-13 21:12:10,still
2017-01-13 22:04:50,still
