date,ActivFit
2016-01-22 00:00:00,still
2016-01-22 11:52:53,still
2016-01-22 11:54:56,in_vehicle
2016-01-22 12:15:47,walking
2016-01-22 12:19:05,still
2016-01-22 12:25:31,walking
2016-01-22 12:27:25,still
2016-01-22 12:33:43,walking
2016-01-22 12:38:59,still
2016-01-22 12:45:59,walking
2016-01-22 12:48:00,in_vehicle
2016-01-22 12:56:02,walking
2016-01-22 12:57:19,still
2016-01-22 15:44:07,still
2016-01-22 15:45:26,still
2016-01-22 17:16:45,still
2016-01-23 00:00:00,still
2016-01-23 07:41:55,running
2016-01-23 09:28:53,walking
2016-01-23 09:29:54,still
2016-01-23 10:50:09,in_vehicle
2016-01-23 11:08:10,still
2016-01-23 11:11:20,still
2016-01-23 11:16:40,walking
2016-01-23 11:18:50,still
2016-01-23 11:42:58,walking
2016-01-23 11:46:15,still
2016-01-23 12:14:29,in_vehicle
2016-01-23 12:33:28,still
2016-01-23 12:35:06,walking
2016-01-23 12:48:29,walking
2016-01-23 13:12:31,walking
2016-01-23 13:14:32,in_vehicle
2016-01-23 13:27:10,walking
2016-01-23 13:30:13,still
2016-01-24 00:00:00,still
2016-01-24 09:56:00,walking
2016-01-24 09:57:30,still
2016-01-24 10:04:54,in_vehicle
2016-01-24 10:42:16,walking
2016-01-24 10:46:56,still
2016-01-24 11:30:45,walking
2016-01-24 11:36:28,still
2016-01-24 11:56:08,walking
2016-01-24 11:57:10,still
2016-01-24 11:59:11,walking
2016-01-24 12:01:19,still
2016-01-24 12:35:54,walking
2016-01-24 12:39:36,still
2016-01-24 12:45:35,still
2016-01-24 12:49:54,walking
2016-01-24 12:52:56,still
2016-01-24 13:03:02,still
2016-01-24 13:05:03,walking
2016-01-24 13:06:37,in_vehicle
2016-01-24 13:15:35,still
2016-01-24 13:18:17,still
2016-01-24 13:24:05,walking
2016-01-24 13:25:11,still
2016-01-24 13:36:56,still
2016-01-24 13:42:15,still
2016-01-24 13:44:55,in_vehicle
2016-01-24 13:58:15,walking
2016-01-24 13:59:46,still
2016-01-24 14:16:37,still
2016-01-24 14:34:49,in_vehicle
2016-01-24 15:10:03,still
2016-01-24 18:19:37,in_vehicle
2016-01-24 18:29:55,still
2016-01-24 22:07:28,still
2016-01-25 00:00:00,still
2016-01-25 07:51:25,in_vehicle
2016-01-25 08:18:14,still
2016-01-25 08:21:39,walking
2016-01-25 08:22:40,in_vehicle
2016-01-25 09:45:54,walking
2016-01-25 09:51:55,still
2016-01-25 09:53:46,walking
2016-01-25 09:57:18,in_vehicle
2016-01-25 10:14:50,walking
2016-01-25 10:29:55,still
2016-01-25 12:42:54,walking
2016-01-25 12:56:31,walking
2016-01-25 12:59:02,walking
2016-01-25 13:04:35,in_vehicle
2016-01-25 13:18:32,walking
2016-01-25 13:21:33,still
2016-01-25 13:27:58,walking
2016-01-25 13:29:36,still
2016-01-25 13:39:01,in_vehicle
2016-01-25 14:38:00,walking
2016-01-25 14:40:29,still
2016-01-25 14:59:52,in_vehicle
2016-01-25 15:11:07,walking
2016-01-25 15:12:43,in_vehicle
2016-01-25 15:30:02,still
2016-01-25 15:32:03,walking
2016-01-25 15:41:50,in_vehicle
2016-01-25 15:56:13,still
2016-01-26 00:00:00,still
2016-01-26 06:32:59,in_vehicle
2016-01-26 08:44:25,still
2016-01-26 08:59:56,walking
2016-01-26 09:01:19,walking
2016-01-26 09:02:19,still
2016-01-26 09:04:25,still
2016-01-26 09:59:47,walking
2016-01-26 10:03:14,still
2016-01-26 10:36:37,still
2016-01-26 10:39:13,still
2016-01-26 15:00:44,walking
2016-01-26 15:02:16,still
2016-01-26 16:41:07,still
2016-01-26 17:15:52,still
2016-01-26 17:17:28,still
2016-01-26 18:51:02,walking
2016-01-26 18:56:21,still
2016-01-26 18:59:21,still
2016-01-26 19:24:41,walking
2016-01-26 19:28:42,still
2016-01-26 19:36:07,walking
2016-01-26 19:43:27,still
2016-01-28 00:00:00,still
2016-01-28 07:36:24,walking
2016-01-28 07:38:04,still
2016-01-28 08:05:54,walking
2016-01-28 08:06:55,still
2016-01-28 08:21:42,in_vehicle
2016-01-28 08:35:37,still
2016-01-28 12:20:16,running
2016-01-28 13:16:59,still
2016-01-28 13:21:25,still
2016-01-28 17:03:32,still
2016-01-28 17:08:38,still
2016-01-28 21:47:18,still
2016-01-29 00:00:00,still
2016-01-29 07:31:03,still
2016-01-29 07:41:14,still
2016-01-29 08:23:35,walking
2016-01-29 08:26:13,in_vehicle
2016-01-29 08:36:29,still
2016-01-29 12:12:35,in_vehicle
2016-01-29 12:23:48,walking
2016-01-29 12:27:59,still
2016-01-29 12:43:35,walking
2016-01-29 12:45:06,in_vehicle
2016-01-29 12:54:53,still
2016-01-29 16:27:02,still
2016-01-29 16:28:05,still
2016-01-29 19:06:05,walking
2016-01-29 19:08:51,in_vehicle
2016-01-29 19:16:43,walking
2016-01-29 19:19:27,still
2016-01-29 19:22:02,in_vehicle
2016-01-29 19:48:04,still
2016-01-29 22:23:56,still
2016-01-30 00:00:00,still
2016-01-30 10:42:08,still
2016-01-30 11:26:14,in_vehicle
2016-01-30 11:33:08,walking
2016-01-30 11:34:39,still
2016-01-30 11:58:01,walking
2016-01-30 11:59:01,still
2016-01-30 12:05:05,walking
2016-01-30 12:27:14,still
2016-01-30 12:30:19,walking
2016-01-30 13:05:37,still
2016-01-30 13:12:46,walking
2016-01-30 13:14:51,in_vehicle
2016-01-30 13:27:36,walking
2016-01-30 13:31:21,still
2016-01-30 13:57:30,running
2016-01-30 14:29:30,in_vehicle
2016-01-30 14:35:54,still
2016-01-30 15:04:08,still
2016-01-30 20:22:00,still
2016-01-31 00:00:00,still
2016-01-31 10:03:20,in_vehicle
2016-01-31 10:05:37,still
2016-01-31 10:25:50,still
2016-01-31 15:41:19,still
2016-01-31 21:53:45,still
2016-02-02 00:00:00,still
2016-02-02 08:16:16,still
2016-02-02 08:25:50,in_vehicle
2016-02-02 10:14:04,walking
2016-02-02 10:15:45,still
2016-02-02 10:57:44,walking
2016-02-02 11:00:27,walking
2016-02-02 11:01:28,walking
2016-02-02 11:02:37,walking
2016-02-02 11:04:41,still
2016-02-02 11:07:11,walking
2016-02-02 11:08:31,running
2016-02-02 11:09:32,walking
2016-02-02 11:11:12,still
2016-02-02 11:14:13,walking
2016-02-02 11:16:14,still
2016-02-02 11:26:39,in_vehicle
2016-02-02 12:17:01,walking
2016-02-02 12:20:02,in_vehicle
2016-02-02 12:36:47,walking
2016-02-02 12:38:59,in_vehicle
2016-02-02 12:54:58,walking
2016-02-02 13:01:53,still
2016-02-02 13:59:53,walking
2016-02-02 14:02:49,still
2016-02-02 14:09:57,still
2016-02-02 14:46:50,walking
2016-02-02 14:50:09,still
2016-02-02 15:36:08,walking
2016-02-02 15:45:58,walking
2016-02-02 15:49:28,in_vehicle
2016-02-02 16:02:47,walking
2016-02-02 16:11:09,still
2016-02-02 16:14:21,in_vehicle
2016-02-02 17:03:49,walking
2016-02-02 17:13:22,still
2016-02-02 18:02:57,still
2016-02-02 18:40:25,walking
2016-02-02 18:42:02,still
2016-02-02 18:44:04,walking
2016-02-02 18:49:07,still
2016-02-02 20:10:22,walking
2016-02-02 20:21:26,still
2016-02-02 21:54:27,still
2016-02-03 00:00:00,still
2016-02-03 08:14:03,walking
2016-02-03 08:19:16,still
2016-02-03 09:56:38,still
2016-02-03 09:59:13,still
2016-02-03 10:06:22,walking
2016-02-03 10:08:24,still
2016-02-03 13:38:20,walking
2016-02-03 13:42:32,still
2016-02-03 13:49:01,walking
2016-02-03 13:52:28,still
2016-02-03 13:54:02,still
2016-02-03 15:50:42,walking
2016-02-03 15:51:47,still
2016-02-03 16:21:49,still
2016-02-03 16:36:49,still
2016-02-03 17:53:37,still
2016-02-03 19:06:09,walking
2016-02-03 19:10:52,still
2016-02-03 19:16:31,walking
2016-02-03 19:22:34,still
2016-02-03 19:25:40,walking
2016-02-03 19:29:26,still
2016-02-03 19:32:55,still
2016-02-03 22:24:50,still
2016-02-04 00:00:00,still
2016-02-04 08:19:29,walking
2016-02-04 08:24:49,still
2016-02-04 10:03:09,still
2016-02-04 10:06:57,still
2016-02-04 10:09:54,walking
2016-02-04 10:12:19,walking
2016-02-04 10:13:42,still
2016-02-04 10:27:30,still
2016-02-04 10:31:22,still
2016-02-04 12:01:17,walking
2016-02-04 12:03:18,still
2016-02-04 12:35:06,walking
2016-02-04 12:36:21,in_vehicle
2016-02-04 13:20:41,still
2016-02-04 13:24:21,in_vehicle
2016-02-04 14:20:56,walking
2016-02-04 14:24:35,still
2016-02-04 14:40:53,walking
2016-02-04 14:44:59,still
2016-02-04 14:45:59,still
2016-02-04 15:32:34,in_vehicle
2016-02-04 15:39:30,still
2016-02-04 15:42:02,walking
2016-02-04 15:44:04,still
2016-02-04 15:48:35,walking
2016-02-04 15:52:18,still
2016-02-04 15:53:51,in_vehicle
2016-02-04 17:29:20,walking
2016-02-04 17:36:01,still
2016-02-04 17:38:36,in_vehicle
2016-02-04 17:50:19,still
2016-02-04 17:54:05,still
2016-02-04 19:21:45,walking
2016-02-04 19:22:51,still
2016-02-05 00:00:00,still
2016-02-05 08:27:50,in_vehicle
2016-02-05 08:42:52,still
2016-02-05 13:03:44,running
2016-02-05 13:58:01,still
2016-02-05 14:01:48,still
2016-02-06 00:00:00,still
2016-02-06 09:18:32,in_vehicle
2016-02-06 09:40:28,still
2016-02-06 09:57:46,still
2016-02-06 09:58:57,still
2016-02-06 10:37:41,still
2016-02-06 10:38:52,in_vehicle
2016-02-06 11:01:08,still
2016-02-06 11:13:56,walking
2016-02-06 11:16:35,still
2016-02-06 11:33:02,still
2016-02-06 11:40:29,still
2016-02-06 11:45:27,still
2016-02-06 11:51:57,still
2016-02-06 12:15:53,walking
2016-02-06 12:17:58,in_vehicle
2016-02-06 12:35:08,walking
2016-02-06 12:37:21,still
2016-02-06 12:40:56,still
2016-02-06 13:09:20,still
2016-02-06 13:10:30,still
2016-02-06 13:35:24,in_vehicle
2016-02-06 13:48:14,still
2016-02-07 00:00:00,still
2016-02-07 09:44:56,still
2016-02-07 09:47:37,still
2016-02-07 10:58:33,in_vehicle
2016-02-07 11:57:57,walking
2016-02-07 12:01:35,still
2016-02-07 12:04:41,walking
2016-02-07 12:05:42,still
2016-02-07 12:12:50,still
2016-02-07 12:23:32,still
2016-02-07 12:28:54,still
2016-02-07 12:52:03,walking
2016-02-07 12:54:19,still
2016-02-07 13:06:12,walking
2016-02-07 13:07:45,still
2016-02-07 13:11:28,in_vehicle
2016-02-07 13:24:46,still
2016-02-07 13:42:18,walking
2016-02-07 13:43:33,walking
2016-02-07 13:46:39,still
2016-02-07 13:47:41,still
2016-02-07 13:50:53,walking
2016-02-07 13:52:02,walking
2016-02-07 13:53:05,still
2016-02-07 14:10:34,in_vehicle
2016-02-07 14:20:45,still
2016-02-07 14:25:57,walking
2016-02-07 14:30:09,still
2016-02-07 14:43:52,walking
2016-02-07 14:49:03,still
2016-02-07 14:51:11,walking
