date,ActivFit
2016-01-30 00:00:00,still
2016-01-30 00:32:22,still
2016-01-30 01:38:22,still
2016-01-30 01:52:07,still
2016-01-30 09:55:11,still
2016-01-30 10:37:01,still
2016-01-30 10:54:00,still
2016-01-30 11:03:32,walking
2016-01-30 11:05:41,still
2016-01-30 11:13:39,walking
2016-01-30 11:20:05,walking
2016-01-30 11:32:21,walking
2016-01-30 11:34:56,walking
2016-01-30 11:36:18,in_vehicle
2016-01-30 12:04:52,still
2016-01-30 12:10:56,walking
2016-01-30 12:15:04,still
2016-01-30 12:29:42,in_vehicle
2016-01-30 12:36:52,still
2016-01-30 12:50:21,walking
2016-01-30 13:41:03,walking
2016-01-30 13:44:40,still
2016-01-30 13:54:01,walking
2016-01-30 13:55:37,in_vehicle
2016-01-30 14:05:41,still
2016-01-30 14:53:18,walking
2016-01-30 15:14:14,still
2016-01-30 15:30:19,still
2016-01-30 15:34:19,walking
2016-01-30 15:35:51,in_vehicle
2016-01-30 15:43:04,walking
2016-01-30 15:44:13,still
2016-01-30 17:18:53,still
2016-01-30 19:20:06,still
2016-01-30 20:06:37,walking
2016-01-30 20:10:15,walking
2016-01-30 20:20:48,walking
2016-01-30 20:23:44,still
2016-01-30 22:31:48,still
2016-01-31 00:00:00,still
2016-01-31 11:18:04,still
2016-01-31 11:32:36,still
2016-01-31 11:37:15,walking
2016-01-31 11:43:11,still
2016-01-31 12:01:37,still
2016-01-31 12:23:47,walking
2016-01-31 12:36:59,walking
2016-01-31 12:39:26,still
2016-01-31 12:45:02,walking
2016-01-31 14:19:47,in_vehicle
2016-01-31 14:32:05,still
2016-01-31 14:43:29,still
2016-01-31 14:58:31,walking
2016-01-31 14:59:41,still
2016-01-31 15:11:47,still
2016-01-31 15:56:45,still
2016-01-31 16:04:07,walking
2016-01-31 16:15:32,still
2016-01-31 17:00:49,walking
2016-01-31 17:07:53,still
2016-01-31 17:39:08,still
2016-01-31 19:44:56,still
2016-01-31 20:48:32,still
2016-01-31 22:03:42,in_vehicle
2016-01-31 22:12:52,still
2016-01-31 22:14:47,walking
2016-01-31 22:15:55,still
2016-02-04 00:00:00,still
2016-02-04 07:33:47,still
2016-02-04 08:06:00,walking
2016-02-04 08:07:12,still
2016-02-04 08:25:58,walking
2016-02-04 08:27:09,still
2016-02-04 08:47:45,walking
2016-02-04 08:55:26,in_vehicle
2016-02-04 08:58:43,walking
2016-02-04 08:59:57,in_vehicle
2016-02-04 09:04:24,walking
2016-02-04 09:07:07,still
2016-02-04 09:10:58,walking
2016-02-04 09:13:09,still
2016-02-04 09:57:32,still
2016-02-04 10:54:00,still
2016-02-04 12:03:48,still
2016-02-04 13:42:49,walking
2016-02-04 13:44:07,still
2016-02-04 13:46:09,walking
2016-02-04 13:47:42,still
2016-02-04 14:04:50,still
2016-02-04 16:01:28,walking
2016-02-04 16:02:40,still
2016-02-04 16:31:13,still
2016-02-04 16:43:35,walking
2016-02-04 16:45:44,still
2016-02-04 18:02:19,walking
2016-02-04 18:03:43,still
2016-02-04 18:43:28,still
2016-02-04 18:54:12,in_vehicle
2016-02-04 19:52:18,still
2016-02-04 21:10:37,in_vehicle
2016-02-04 21:27:57,still
2016-02-04 23:14:45,still
2016-02-05 00:00:00,still
2016-02-05 00:16:48,still
2016-02-05 00:46:06,still
2016-02-05 07:39:00,walking
2016-02-05 07:40:03,still
2016-02-05 07:49:15,still
2016-02-05 08:14:30,walking
2016-02-05 08:15:37,still
2016-02-05 08:48:22,in_vehicle
2016-02-05 08:49:59,still
2016-02-06 00:00:00,still
2016-02-06 12:48:45,walking
2016-02-06 12:50:12,still
2016-02-06 12:52:25,in_vehicle
2016-02-06 13:23:14,walking
2016-02-06 13:24:55,walking
2016-02-06 13:26:27,still
2016-02-06 13:55:16,still
2016-02-06 15:52:49,walking
2016-02-06 15:54:07,still
2016-02-06 16:00:31,walking
2016-02-06 16:01:31,still
2016-02-06 17:08:22,walking
2016-02-06 17:14:27,still
2016-02-06 17:18:33,walking
2016-02-06 17:21:02,still
2016-02-06 18:44:44,still
2016-02-06 21:43:14,still
2016-02-06 23:06:21,in_vehicle
2016-02-06 23:09:32,in_vehicle
2016-02-07 00:00:00,still
2016-02-07 01:22:42,still
2016-02-07 01:25:48,in_vehicle
2016-02-07 01:41:00,walking
2016-02-07 01:44:08,still
2016-02-07 11:22:26,walking
2016-02-07 11:24:28,in_vehicle
2016-02-07 12:06:07,walking
2016-02-07 12:21:38,still
2016-02-07 12:23:38,walking
2016-02-07 12:31:22,still
2016-02-07 12:46:24,walking
2016-02-07 12:58:53,walking
2016-02-07 13:08:41,in_vehicle
2016-02-07 13:17:03,walking
2016-02-07 13:28:00,still
2016-02-07 13:56:28,still
2016-02-07 14:23:58,in_vehicle
2016-02-07 14:34:02,still
2016-02-07 15:18:44,walking
2016-02-07 15:20:25,still
2016-02-07 16:26:58,still
2016-02-07 16:51:17,still
2016-02-07 17:19:12,walking
2016-02-07 17:20:46,still
2016-02-07 17:37:09,still
2016-02-07 18:08:37,still
2016-02-07 19:01:45,still
2016-02-07 19:03:20,walking
2016-02-07 19:08:00,still
2016-02-20 00:00:00,still
2016-02-20 00:49:05,still
2016-02-20 10:20:46,still
2016-02-20 10:44:24,still
2016-02-20 11:02:05,walking
2016-02-20 11:03:21,walking
2016-02-20 11:04:30,walking
2016-02-20 11:05:55,walking
2016-02-20 11:06:59,still
2016-02-20 11:22:18,walking
2016-02-20 11:23:29,still
2016-02-20 11:24:46,walking
2016-02-20 11:30:50,still
2016-02-20 11:34:02,walking
2016-02-20 11:37:48,walking
2016-02-20 11:41:15,still
2016-02-20 11:42:53,walking
2016-02-20 11:45:13,walking
2016-02-20 11:46:19,still
2016-02-20 11:52:17,walking
2016-02-20 11:59:22,still
2016-02-20 12:04:34,still
2016-02-20 12:35:44,walking
2016-02-20 12:39:10,still
2016-02-20 12:42:48,walking
2016-02-20 12:46:21,walking
2016-02-20 12:51:32,walking
2016-02-20 12:56:40,walking
2016-02-20 12:57:57,walking
2016-02-20 13:12:26,walking
2016-02-20 13:17:30,still
2016-02-20 13:20:30,walking
2016-02-20 13:21:32,walking
2016-02-20 13:25:42,still
2016-02-20 13:49:35,in_vehicle
2016-02-20 13:58:35,still
2016-02-20 14:26:36,walking
2016-02-20 14:27:42,still
2016-02-20 14:39:24,walking
2016-02-20 14:43:29,still
2016-02-20 15:09:43,still
2016-02-20 15:18:53,still
2016-02-20 15:38:08,walking
2016-02-23 00:00:00,still
2016-02-23 07:34:48,still
2016-02-23 07:37:02,in_vehicle
2016-02-23 07:44:13,still
2016-02-23 07:47:20,still
2016-02-23 08:08:32,walking
2016-02-23 08:17:12,still
2016-02-23 08:46:52,still
2016-02-23 08:52:03,walking
2016-02-23 09:00:20,walking
2016-02-23 09:05:45,walking
2016-02-23 09:08:57,still
2016-02-23 09:44:18,still
2016-02-23 11:53:57,walking
2016-02-23 11:55:54,in_vehicle
2016-02-23 12:14:11,still
2016-02-23 12:21:02,walking
2016-02-23 12:22:39,still
2016-02-23 12:29:22,walking
2016-02-23 12:30:23,still
2016-02-23 15:59:16,walking
2016-02-23 16:02:36,still
2016-02-23 16:19:08,walking
2016-02-23 16:22:31,still
2016-02-23 18:18:11,walking
2016-02-23 18:20:24,still
2016-02-23 18:40:01,walking
2016-02-23 18:42:23,still
2016-02-23 18:46:54,walking
2016-02-23 18:47:55,still
2016-02-23 18:50:30,in_vehicle
2016-02-23 18:58:54,still
2016-02-23 19:26:25,walking
2016-02-23 19:27:49,still
2016-02-23 19:36:05,walking
2016-02-23 19:43:29,still
2016-02-23 20:41:59,walking
2016-02-23 20:43:31,still
2016-02-23 21:17:32,still
2016-02-23 21:48:49,still
2016-02-28 00:00:00,walking
2016-02-28 00:04:50,still
2016-02-28 01:22:43,still
2016-02-28 14:05:33,in_vehicle
2016-02-28 14:13:43,still
2016-02-28 15:19:34,walking
2016-02-28 15:33:24,still
2016-02-28 17:20:57,walking
2016-02-28 17:22:00,still
2016-02-28 17:39:25,walking
2016-02-28 17:41:04,still
2016-02-28 18:35:48,still
2016-02-28 19:35:24,still
2016-02-28 20:40:18,still
2016-02-28 20:45:33,in_vehicle
2016-02-28 20:52:52,still
2016-02-29 00:00:00,still
2016-02-29 00:04:29,walking
2016-02-29 00:06:08,walking
2016-02-29 00:07:13,still
2016-02-29 07:41:00,walking
2016-02-29 07:44:23,in_vehicle
2016-02-29 07:55:28,still
2016-02-29 08:17:30,still
2016-02-29 08:19:00,walking
2016-02-29 08:20:04,in_vehicle
2016-02-29 08:26:17,still
2016-02-29 08:29:03,walking
2016-02-29 08:30:19,still
2016-02-29 08:34:47,walking
2016-02-29 08:36:16,still
2016-02-29 09:08:25,walking
2016-02-29 09:09:33,still
2016-02-29 10:10:40,walking
2016-02-29 10:12:11,in_vehicle
2016-02-29 10:22:56,still
2016-02-29 12:12:55,walking
2016-02-29 12:14:27,in_vehicle
2016-02-29 12:23:49,still
2016-02-29 14:10:21,still
2016-02-29 14:25:30,walking
2016-02-29 14:28:31,still
2016-02-29 19:14:46,still
2016-02-29 20:01:14,still
2016-02-29 20:25:59,still
2016-03-01 00:00:00,still
2016-03-01 07:47:05,in_vehicle
2016-03-01 08:10:28,still
2016-03-01 08:57:56,walking
2016-03-01 08:59:59,still
2016-03-01 09:04:30,walking
2016-03-01 09:06:31,walking
2016-03-01 09:08:45,in_vehicle
2016-03-01 09:24:35,walking
2016-03-01 09:29:37,in_vehicle
2016-03-01 10:02:14,walking
2016-03-01 10:04:46,still
2016-03-01 11:02:31,walking
2016-03-01 11:03:49,in_vehicle
2016-03-01 11:10:04,still
