date,ActivFit
2016-01-16 00:00:00,still
2016-01-16 09:25:04,still
2016-01-16 09:43:06,in_vehicle
2016-01-16 09:50:03,still
2016-01-16 09:56:13,walking
2016-01-16 10:02:36,still
2016-01-16 10:44:12,still
2016-01-16 14:30:14,still
2016-01-16 15:23:03,walking
2016-01-16 15:29:07,still
2016-01-16 16:01:50,still
2016-01-16 17:08:40,walking
2016-01-16 17:09:41,still
2016-01-16 17:11:12,in_vehicle
2016-01-16 17:37:20,walking
2016-01-16 17:43:41,walking
2016-01-16 17:46:05,walking
2016-01-16 17:52:22,still
2016-01-16 18:01:04,walking
2016-01-16 18:08:13,still
2016-01-16 18:29:38,walking
2016-01-16 18:32:20,still
2016-01-16 18:51:39,walking
2016-01-16 18:54:40,still
2016-01-16 19:03:09,walking
2016-01-16 19:07:41,walking
2016-01-16 19:10:13,in_vehicle
2016-01-16 19:40:07,walking
2016-01-16 19:43:04,still
2016-01-16 21:14:49,still
2016-01-16 21:37:31,still
2016-01-18 00:00:00,still
2016-01-18 08:02:59,in_vehicle
2016-01-18 08:21:26,still
2016-01-18 08:50:01,walking
2016-01-18 08:58:04,walking
2016-01-18 09:03:55,in_vehicle
2016-01-18 09:20:53,walking
2016-01-18 09:22:23,still
2016-01-18 09:26:49,walking
2016-01-18 09:30:08,still
2016-01-18 09:39:11,walking
2016-01-18 09:47:05,still
2016-01-18 09:48:52,walking
2016-01-18 09:49:52,still
2016-01-18 11:11:56,still
2016-01-18 11:35:07,still
2016-01-18 14:10:04,walking
2016-01-18 14:12:37,in_vehicle
2016-01-18 14:29:32,still
2016-01-18 14:32:09,walking
2016-01-18 14:33:40,still
2016-01-18 17:32:40,still
2016-01-18 19:14:28,still
2016-01-18 22:12:30,still
2016-01-18 22:21:24,still
2016-01-20 00:00:00,still
2016-01-20 00:49:18,walking
2016-01-20 00:56:34,still
2016-01-20 01:08:41,walking
2016-01-20 01:13:20,still
2016-01-20 01:14:51,in_vehicle
2016-01-20 01:24:07,walking
2016-01-20 01:29:35,still
