date,ActivFit
2016-01-09 01:00:44,walking
2016-01-09 11:27:06,walking
2016-01-09 14:19:12,walking
2016-01-09 16:14:58,walking
2016-01-09 16:15:59,walking
2016-01-09 17:02:26,walking
2016-01-09 17:03:31,walking
2016-01-09 18:18:58,walking
2016-01-10 18:38:31,walking
2016-01-11 06:58:17,walking
2016-01-11 07:03:55,walking
2016-01-11 08:25:02,walking
2016-01-11 08:38:27,walking
2016-01-11 09:01:56,walking
2016-01-11 09:12:56,walking
2016-01-11 09:44:53,walking
2016-01-11 09:50:20,walking
2016-01-11 09:58:47,walking
2016-01-11 09:59:56,walking
2016-01-11 11:01:57,walking
2016-01-11 11:08:58,walking
2016-01-11 11:11:31,walking
2016-01-11 13:25:25,walking
2016-01-11 13:34:03,walking
2016-01-11 13:42:56,walking
2016-01-11 15:01:58,walking
2016-01-11 15:18:42,walking
2016-01-11 17:36:58,walking
2016-01-11 18:06:58,walking
2016-01-11 20:53:54,walking
2016-01-12 07:09:56,walking
2016-01-12 08:24:14,walking
2016-01-12 10:03:08,walking
2016-01-12 10:08:41,walking
2016-01-12 10:19:15,walking
2016-01-12 10:20:18,walking
2016-01-12 10:34:37,walking
2016-01-12 10:35:57,walking
2016-01-12 11:04:14,walking
2016-01-12 11:11:53,walking
2016-01-12 11:14:32,walking
2016-01-12 11:19:36,walking
2016-01-12 12:27:52,walking
2016-01-12 12:58:35,walking
2016-01-12 13:20:19,walking
2016-01-12 13:38:13,walking
2016-01-12 13:44:13,walking
2016-01-12 13:49:31,walking
2016-01-12 15:05:10,walking
2016-01-12 16:15:49,walking
2016-01-20 07:28:17,walking
2016-01-20 07:32:32,walking
2016-01-20 10:10:58,walking
2016-01-20 10:17:32,walking
2016-01-20 10:47:36,walking
2016-01-20 11:19:55,walking
2016-01-20 11:20:59,walking
2016-01-20 11:29:47,walking
2016-01-20 12:35:59,walking
2016-01-20 13:42:57,walking
2016-01-20 14:07:36,walking
2016-01-20 14:09:01,walking
2016-01-20 14:16:45,walking
2016-01-20 15:36:03,walking
2016-01-21 07:28:49,walking
2016-01-21 07:31:29,walking
2016-01-21 07:34:20,walking
2016-01-21 09:09:24,walking
2016-01-21 09:10:50,walking
2016-01-21 09:20:40,walking
2016-01-21 09:38:40,walking
2016-01-21 09:42:01,walking
2016-01-21 09:46:09,walking
2016-01-21 09:50:57,walking
2016-01-21 11:02:55,walking
2016-01-21 11:11:14,walking
2016-01-21 11:14:54,walking
2016-01-21 13:32:04,walking
2016-01-21 13:41:50,walking
2016-01-21 15:04:34,walking
2016-01-21 15:14:42,walking
2016-01-21 15:50:00,walking
2016-01-21 15:54:21,walking
2016-01-27 07:43:31,walking
2016-01-27 07:52:00,walking
2016-01-27 07:54:00,walking
2016-01-27 10:17:00,walking
2016-01-27 11:20:00,walking
2016-01-27 11:23:02,walking
2016-01-27 11:30:48,walking
2016-01-27 12:40:48,walking
2016-01-27 12:42:14,walking
2016-01-27 12:46:14,walking
2016-01-27 13:09:00,walking
2016-01-27 13:38:41,walking
2016-01-27 13:49:10,walking
2016-01-27 14:01:35,walking
2016-01-27 14:03:43,walking
2016-01-27 14:53:50,walking
2016-01-27 15:00:37,walking
2016-01-27 15:17:33,walking
2016-01-27 15:49:48,walking
2016-02-07 14:46:58,walking
2016-02-07 14:48:00,walking
2016-02-07 14:59:00,walking
2016-02-07 15:02:00,walking
2016-02-10 06:51:05,walking
2016-02-10 06:53:51,walking
2016-02-10 06:55:00,walking
2016-02-10 08:04:05,walking
2016-02-10 10:12:48,walking
2016-02-10 10:18:04,walking
2016-02-10 11:13:45,walking
2016-02-10 11:20:07,walking
2016-02-10 11:25:48,walking
2016-02-10 11:31:57,walking
2016-02-10 11:34:06,walking
2016-02-10 11:36:15,walking
2016-02-10 11:41:00,walking
2016-02-10 11:43:26,walking
2016-02-10 11:53:23,walking
2016-02-10 13:01:00,walking
2016-02-10 13:02:48,walking
2016-02-10 13:09:24,walking
2016-02-10 14:13:48,walking
2016-02-10 14:15:00,walking
2016-02-10 14:23:26,walking
2016-02-10 14:27:47,walking
2016-02-10 14:34:36,walking
2016-02-10 14:35:48,walking
2016-02-10 14:39:27,walking
2016-02-10 14:49:29,walking
2016-02-10 15:51:48,walking
2016-02-10 18:33:47,walking
2016-02-10 18:49:48,walking
2016-02-11 06:52:00,walking
2016-02-11 08:33:20,walking
2016-02-11 08:38:00,walking
2016-02-11 09:03:32,walking
2016-02-11 09:14:38,walking
2016-02-11 09:20:40,walking
2016-02-11 09:27:00,walking
2016-02-11 09:36:36,walking
2016-02-11 09:55:12,walking
2016-02-11 09:58:33,walking
2016-02-11 10:09:52,walking
2016-02-11 10:30:01,walking
2016-02-11 10:33:12,walking
2016-02-11 10:43:22,walking
2016-02-11 11:03:46,walking
2016-02-11 11:06:00,walking
2016-02-11 11:11:13,walking
2016-02-11 11:15:00,walking
2016-02-11 12:23:39,walking
2016-02-11 12:24:45,walking
2016-02-11 12:34:32,walking
2016-02-11 12:52:18,walking
2016-02-11 12:58:43,walking
2016-02-11 13:55:30,walking
2016-02-11 13:58:00,walking
2016-02-11 14:12:00,walking
2016-02-11 15:03:48,walking
2016-02-11 15:42:49,walking
2016-02-11 15:55:00,walking
2016-02-17 11:06:31,walking
2016-02-17 14:15:24,walking
2016-02-17 14:16:25,walking
2016-02-17 14:18:00,walking
2016-02-17 14:45:00,walking
2016-02-17 17:40:58,walking
2016-02-17 17:42:23,walking
2016-02-17 18:00:23,walking
2016-02-17 19:22:53,walking
2016-02-17 21:08:53,walking
2016-02-17 21:12:21,walking
2016-02-18 12:22:31,walking
2016-02-18 12:38:07,walking
2016-02-18 12:43:44,walking
2016-02-18 13:44:40,walking
2016-02-18 14:39:41,walking
2016-02-18 15:15:53,walking
2016-02-18 15:18:48,walking
2016-02-18 15:42:00,walking
2016-02-18 15:51:53,walking
2016-02-18 15:54:01,walking
2016-02-18 15:55:09,walking
2016-02-18 15:57:33,walking
2016-02-18 16:02:00,walking
2016-02-18 16:06:33,walking
2016-02-18 16:10:00,walking
2016-02-18 16:15:33,walking
2016-02-18 20:35:48,walking
2016-02-18 21:45:30,walking
2016-02-20 16:50:32,walking
2016-02-20 20:20:00,walking
2016-02-20 22:15:35,walking
2016-02-20 22:20:49,walking
2016-02-20 22:25:28,walking
2016-03-09 06:58:56,walking
2016-03-09 07:27:35,walking
2016-03-09 07:54:41,walking
2016-03-09 07:55:52,walking
2016-03-09 08:30:49,walking
2016-03-09 08:37:30,walking
2016-03-09 08:39:57,walking
2016-03-09 08:42:21,walking
2016-03-09 09:57:00,walking
2016-03-09 10:04:57,walking
2016-03-09 10:17:25,walking
2016-03-09 11:26:49,walking
2016-03-09 11:30:38,walking
2016-03-09 12:04:36,walking
2016-03-09 13:45:22,walking
2016-03-09 14:40:21,walking
2016-03-09 14:47:01,walking
2016-03-09 14:51:58,walking
2016-03-09 14:56:37,walking
2016-03-09 17:19:28,walking
2016-03-09 20:10:54,walking
2016-03-09 21:13:58,walking
2016-03-09 21:32:45,walking
2016-03-09 22:38:37,walking
2016-03-09 23:10:21,walking
2016-03-10 07:24:27,walking
2016-03-10 07:41:00,walking
2016-03-10 07:45:11,walking
2016-03-10 09:00:00,walking
2016-03-10 09:18:37,walking
2016-03-10 09:56:22,walking
2016-03-10 11:03:37,walking
2016-03-10 11:05:28,walking
2016-03-10 11:10:21,walking
2016-03-10 11:12:19,walking
2016-03-10 11:16:30,walking
2016-03-10 12:53:37,walking
2016-03-10 13:02:18,walking
2016-03-10 13:05:37,walking
2016-03-10 13:29:37,walking
2016-03-10 13:50:00,walking
2016-03-10 13:56:12,walking
2016-03-10 15:30:00,walking
2016-03-10 15:36:02,walking
2016-03-10 15:38:00,walking
2016-03-10 16:08:57,walking
