date,ActivFit
2016-01-20 00:00:00,still
2016-01-20 09:24:00,still
2016-01-20 09:37:44,walking
2016-01-20 09:55:12,in_vehicle
2016-01-20 10:04:59,walking
2016-01-20 10:06:09,still
2016-01-20 10:16:43,walking
2016-01-20 10:18:48,still
2016-01-20 10:26:03,walking
2016-01-20 10:30:09,still
2016-01-20 11:07:59,walking
2016-01-20 11:09:43,still
2016-01-20 11:25:46,walking
2016-01-20 11:31:01,still
2016-01-20 12:44:27,still
2016-01-20 12:47:55,walking
2016-01-20 12:48:57,still
2016-01-20 14:39:51,walking
2016-01-20 14:40:57,still
2016-01-20 14:58:59,walking
2016-01-20 15:00:00,still
2016-01-20 16:01:20,still
2016-01-20 19:02:52,walking
2016-01-20 19:03:58,still
2016-01-20 20:06:38,walking
2016-01-20 20:10:51,still
2016-01-20 20:14:00,walking
2016-01-20 20:19:12,still
2016-01-20 20:29:01,walking
2016-01-20 20:47:49,still
2016-01-20 22:09:52,walking
2016-01-20 22:10:58,still
2016-01-20 23:07:51,still
2016-01-21 00:00:00,still
2016-01-21 07:57:58,walking
2016-01-21 08:01:04,in_vehicle
2016-01-21 08:10:51,walking
2016-01-21 08:11:56,in_vehicle
2016-01-21 08:21:53,walking
2016-01-21 08:24:18,in_vehicle
2016-01-21 08:52:42,walking
2016-01-21 09:08:22,still
2016-01-21 10:08:46,still
2016-01-21 10:23:44,walking
2016-01-21 10:26:21,still
2016-01-21 11:20:46,still
2016-01-21 11:24:36,still
2016-01-21 11:25:38,walking
2016-01-21 11:35:16,still
2016-01-21 11:39:29,still
2016-01-21 11:57:51,walking
2016-01-21 11:58:56,still
2016-01-21 12:21:10,walking
2016-01-21 12:22:24,still
2016-01-21 12:31:43,still
2016-01-21 12:39:12,walking
2016-01-21 12:41:17,still
2016-01-21 12:42:57,walking
2016-01-21 12:44:18,walking
2016-01-21 12:46:50,still
2016-01-21 15:29:05,still
2016-01-21 15:35:46,walking
2016-01-21 15:37:49,walking
2016-01-21 15:43:48,still
2016-01-21 15:47:21,in_vehicle
2016-01-21 15:56:38,still
2016-01-21 16:26:41,in_vehicle
2016-01-21 16:33:15,still
2016-01-21 17:08:38,still
2016-01-21 18:52:00,walking
2016-01-21 18:53:06,walking
2016-01-21 19:05:20,in_vehicle
2016-01-21 19:35:04,walking
2016-01-21 19:38:28,in_vehicle
2016-01-21 19:43:32,walking
2016-01-21 20:02:08,still
2016-01-21 20:37:16,walking
2016-01-21 20:41:51,still
2016-01-21 20:53:19,in_vehicle
2016-01-21 21:13:03,still
2016-01-21 22:14:59,walking
2016-01-21 22:16:49,still
