date,ActivFit
2016-06-14 14:40:50,walking
2016-06-16 08:25:01,walking
2016-06-16 10:18:53,walking
2016-06-16 12:31:50,walking
2016-06-16 16:35:38,walking
2016-06-16 17:24:18,walking
2016-06-16 18:31:46,walking
2016-06-16 20:26:01,walking
2016-06-16 21:47:00,walking
2016-06-16 22:34:01,walking
2016-06-16 23:39:01,walking
2016-06-16 23:40:01,walking
2016-06-17 09:44:57,walking
2016-06-17 09:59:57,walking
2016-06-17 10:04:57,walking
2016-06-17 10:57:25,walking
2016-06-17 10:59:57,walking
2016-06-17 12:01:35,walking
2016-06-17 12:03:58,walking
2016-06-17 16:18:59,walking
2016-06-17 18:01:26,walking
2016-06-17 18:23:57,walking
2016-06-17 18:25:02,walking
2016-06-17 18:26:59,walking
2016-06-17 22:47:58,walking
2016-06-17 22:49:58,walking
2016-06-18 01:39:55,walking
2016-06-18 01:43:00,walking
2016-06-18 09:26:58,walking
2016-06-18 10:13:57,walking
2016-06-18 12:52:58,walking
2016-06-18 20:01:13,walking
2016-06-18 20:13:37,walking
2016-06-18 20:26:01,walking
2016-06-18 20:32:17,walking
2016-06-18 21:51:47,walking
2016-06-18 23:08:00,walking
2016-06-19 22:24:00,walking
2016-06-19 23:01:00,walking
2016-06-19 23:04:01,walking
2016-06-20 10:12:57,walking
2016-06-20 10:25:13,walking
2016-06-20 10:42:01,walking
2016-06-20 11:05:00,walking
2016-06-20 11:09:01,walking
2016-06-20 11:16:03,walking
2016-06-20 11:22:58,walking
2016-06-20 15:41:26,walking
2016-06-20 15:50:59,walking
2016-06-20 16:00:01,walking
2016-06-20 16:06:01,walking
2016-06-20 16:18:01,walking
2016-06-20 16:22:01,walking
2016-06-20 16:28:37,walking
2016-06-20 16:35:12,walking
2016-06-22 12:41:46,walking
