date,ActivFit
2016-01-20 00:00:00,still
2016-01-20 08:00:14,walking
2016-01-20 08:02:23,still
2016-01-20 08:26:50,walking
2016-01-20 08:36:10,still
2016-01-20 08:43:05,walking
2016-01-20 08:47:12,in_vehicle
2016-01-20 08:58:23,walking
2016-01-20 09:08:10,still
2016-01-20 12:27:38,walking
2016-01-20 12:30:47,still
2016-01-20 12:55:14,walking
2016-01-20 13:00:09,still
2016-01-20 18:05:21,walking
2016-01-20 18:11:13,in_vehicle
2016-01-20 18:27:27,walking
2016-01-20 18:35:35,in_vehicle
2016-01-20 18:50:43,walking
2016-01-20 18:57:25,still
2016-01-20 19:03:06,in_vehicle
2016-01-20 19:10:21,running
2016-01-20 19:11:30,walking
2016-01-20 19:13:13,in_vehicle
2016-01-20 19:47:36,still
2016-01-20 20:10:54,walking
2016-01-20 20:11:58,still
2016-01-20 20:14:48,walking
2016-01-20 20:19:58,in_vehicle
2016-01-20 20:26:35,walking
2016-01-20 20:32:08,still
2016-01-20 20:40:22,walking
2016-01-20 20:44:18,still
2016-01-21 00:00:00,still
2016-01-21 07:56:38,walking
2016-01-21 08:00:02,in_vehicle
2016-01-21 08:05:54,walking
2016-01-21 08:10:23,still
2016-01-21 08:18:58,walking
2016-01-21 08:25:21,in_vehicle
2016-01-21 08:36:57,still
2016-01-21 08:40:14,walking
2016-01-21 08:48:58,still
2016-01-21 12:14:52,walking
2016-01-21 12:17:32,still
2016-01-21 12:42:48,walking
2016-01-21 12:46:13,still
2016-01-21 17:47:59,still
2016-01-21 18:10:43,walking
2016-01-21 18:14:41,walking
2016-01-21 18:19:38,in_vehicle
2016-01-21 18:36:03,walking
2016-01-21 18:43:11,still
2016-01-21 18:52:31,walking
2016-01-21 19:13:25,still
2016-01-24 00:00:00,still
2016-01-24 04:50:05,still
2016-01-25 00:00:00,still
2016-01-25 07:54:50,in_vehicle
2016-01-25 08:13:14,walking
2016-01-25 08:16:14,walking
2016-01-25 08:17:37,still
2016-01-25 08:27:05,walking
2016-01-25 08:30:47,walking
2016-01-25 08:34:47,in_vehicle
2016-01-25 08:47:43,walking
2016-01-25 08:49:40,still
2016-01-25 08:51:48,walking
2016-01-25 08:52:54,walking
2016-01-25 08:58:19,still
2016-01-25 12:17:03,walking
2016-01-25 12:20:50,still
2016-01-25 12:30:30,walking
2016-01-25 12:34:30,still
2016-01-25 18:17:49,walking
2016-01-25 18:22:52,walking
2016-01-25 18:27:07,in_vehicle
2016-01-25 18:37:20,walking
2016-01-25 18:39:08,walking
2016-01-25 18:46:38,in_vehicle
2016-01-25 19:09:36,walking
2016-01-25 19:17:20,still
2016-01-26 00:00:00,still
2016-01-26 08:08:49,in_vehicle
2016-01-26 08:21:03,still
2016-01-26 08:31:46,walking
2016-01-26 08:32:54,walking
2016-01-26 08:34:56,walking
2016-01-26 08:38:04,in_vehicle
2016-01-26 08:51:12,walking
2016-01-26 08:58:33,still
2016-01-26 12:03:42,walking
2016-01-26 12:11:10,walking
2016-01-26 12:14:24,still
2016-01-26 12:39:14,walking
2016-01-26 12:46:10,walking
2016-01-26 12:50:18,walking
2016-01-26 12:51:34,still
2016-01-26 18:02:53,walking
2016-01-26 18:17:06,walking
2016-01-26 18:18:47,still
2016-01-26 18:28:22,in_vehicle
2016-01-26 18:44:22,still
2016-01-26 18:48:19,walking
2016-01-26 18:51:08,walking
2016-01-26 18:54:18,still
2016-01-26 19:06:51,walking
2016-01-26 19:08:32,walking
2016-01-26 19:20:03,in_vehicle
2016-01-26 19:31:56,walking
2016-01-26 19:35:00,still
2016-01-27 00:00:00,still
2016-01-27 07:50:59,in_vehicle
2016-01-27 07:59:52,walking
2016-01-27 08:04:39,walking
2016-01-27 08:08:25,still
2016-01-27 08:18:36,walking
2016-01-27 08:21:10,walking
2016-01-27 08:23:50,walking
2016-01-27 08:25:29,in_vehicle
2016-01-27 08:37:24,walking
2016-01-27 08:38:52,walking
2016-01-27 08:40:04,walking
2016-01-27 08:44:26,walking
2016-01-27 08:47:09,still
2016-01-27 12:09:02,walking
2016-01-27 12:23:10,walking
2016-01-27 12:30:02,walking
2016-01-27 12:34:24,still
2016-01-27 12:55:43,walking
2016-01-27 12:59:50,walking
2016-01-27 13:04:22,still
2016-01-27 18:09:48,walking
2016-01-27 18:15:55,walking
2016-01-27 18:18:56,in_vehicle
2016-01-27 18:27:34,walking
2016-01-27 18:30:02,walking
2016-01-27 18:32:44,walking
2016-01-27 18:34:21,still
2016-01-27 18:43:01,walking
2016-01-27 18:49:29,still
2016-01-27 19:25:59,in_vehicle
2016-01-27 19:43:58,walking
2016-01-27 19:44:59,walking
2016-01-27 19:56:48,still
2016-01-27 22:51:18,still
2016-01-28 00:00:00,still
2016-01-28 07:41:44,in_vehicle
2016-01-28 07:49:21,walking
2016-01-28 07:54:56,walking
2016-01-28 07:57:54,still
