date,ActivFit
2016-01-25 22:02:10,still
2016-01-25 22:31:44,still
2016-01-26 00:00:00,still
2016-01-26 08:10:26,still
2016-01-26 08:15:35,walking
2016-01-26 08:22:53,still
2016-01-26 08:30:00,in_vehicle
2016-01-26 10:16:22,walking
2016-01-26 10:17:46,in_vehicle
2016-01-26 11:08:25,still
2016-01-26 11:11:48,in_vehicle
2016-01-26 12:43:19,still
2016-01-26 13:25:24,in_vehicle
2016-01-26 14:02:37,still
2016-01-26 14:09:01,in_vehicle
2016-01-26 15:35:15,still
2016-01-26 16:13:48,still
2016-01-26 16:50:13,walking
2016-01-26 16:51:45,still
2016-01-26 18:23:15,walking
2016-01-26 18:30:02,still
2016-01-26 18:36:18,walking
2016-01-26 18:45:00,still
2016-01-26 19:11:04,still
2016-01-26 20:52:48,still
2016-01-26 22:55:23,still
2016-01-27 00:00:00,still
2016-01-27 00:32:05,still
2016-01-27 06:10:04,still
2016-01-27 06:14:53,in_vehicle
2016-01-27 06:18:53,in_vehicle
2016-01-27 06:38:15,still
2016-01-27 06:47:50,walking
2016-01-27 06:50:09,in_vehicle
2016-01-27 07:35:28,still
2016-01-27 07:40:18,still
2016-01-27 07:48:23,walking
2016-01-27 07:53:44,still
2016-01-27 07:55:47,walking
2016-01-27 08:15:38,still
2016-01-27 08:19:46,walking
2016-01-27 08:24:54,still
2016-01-27 08:32:45,in_vehicle
2016-01-27 09:21:09,in_vehicle
2016-01-27 11:06:54,walking
2016-01-27 11:07:57,in_vehicle
2016-01-27 15:44:33,still
2016-01-27 16:12:12,still
2016-01-27 16:25:42,in_vehicle
2016-01-27 16:39:28,still
2016-01-27 16:59:04,still
2016-01-27 17:18:07,walking
2016-01-27 17:22:53,still
2016-01-27 17:36:33,walking
2016-01-27 17:40:34,still
2016-01-27 17:59:56,still
2016-01-27 18:24:59,walking
2016-01-27 18:26:27,in_vehicle
2016-01-27 19:08:46,walking
2016-01-27 19:14:56,still
2016-01-27 22:53:46,still
2016-01-28 00:00:00,still
2016-01-28 08:32:27,still
2016-01-28 11:36:48,in_vehicle
2016-01-28 11:55:29,walking
2016-01-28 12:04:18,still
2016-01-28 12:06:50,walking
2016-01-28 12:17:03,still
2016-01-28 13:51:56,still
2016-01-28 14:13:51,walking
2016-01-28 14:17:50,in_vehicle
2016-01-28 15:02:46,walking
2016-01-28 15:08:20,still
2016-01-28 15:22:22,in_vehicle
2016-01-28 15:58:06,walking
2016-01-28 15:59:57,in_vehicle
2016-01-28 16:09:12,walking
2016-01-28 16:10:55,still
2016-01-28 16:18:00,in_vehicle
2016-01-28 16:53:57,walking
2016-01-28 16:56:55,walking
2016-01-28 17:00:57,still
2016-01-28 17:36:18,walking
2016-01-28 17:38:25,still
2016-01-28 17:49:55,still
2016-01-28 18:13:03,still
2016-01-28 18:26:11,walking
2016-01-28 18:29:13,still
2016-01-28 19:05:18,walking
2016-01-28 19:31:10,still
2016-01-28 19:34:44,walking
2016-01-28 19:35:45,still
2016-01-28 19:46:52,in_vehicle
2016-01-28 19:49:19,walking
2016-01-28 19:50:23,in_vehicle
2016-01-28 20:25:24,walking
2016-01-28 20:26:32,in_vehicle
2016-01-28 20:29:51,walking
2016-01-28 20:44:51,still
2016-01-28 20:48:05,still
2016-01-28 21:00:27,still
2016-01-28 22:07:12,still
2016-01-28 22:53:56,still
2016-01-28 23:09:59,walking
2016-01-28 23:12:22,still
2016-01-29 00:00:00,still
2016-01-29 07:39:57,still
2016-01-29 07:43:59,walking
2016-01-29 07:52:40,still
2016-01-29 08:24:55,walking
2016-01-29 08:27:33,in_vehicle
2016-01-29 09:15:16,walking
2016-01-29 09:16:45,in_vehicle
2016-01-29 10:44:21,still
2016-01-29 10:47:57,in_vehicle
2016-01-29 11:00:39,walking
2016-01-29 11:01:53,in_vehicle
2016-01-29 11:04:13,walking
2016-01-29 11:05:17,in_vehicle
2016-01-29 11:29:49,walking
2016-01-29 11:31:18,in_vehicle
2016-01-29 12:38:49,walking
2016-01-29 12:42:12,still
2016-01-29 12:44:57,in_vehicle
2016-01-29 13:59:12,walking
2016-01-29 14:01:21,in_vehicle
2016-01-29 15:49:14,still
2016-01-29 15:53:29,in_vehicle
2016-01-29 16:17:01,still
2016-01-29 16:31:03,still
2016-01-29 16:50:12,in_vehicle
2016-01-29 17:39:33,walking
2016-01-29 17:44:03,still
2016-01-29 17:49:47,walking
2016-01-29 17:53:56,still
2016-01-29 18:16:27,still
2016-01-29 18:23:28,walking
2016-01-29 18:28:20,still
2016-01-29 18:57:25,still
2016-01-29 19:04:38,still
2016-01-29 19:58:19,walking
2016-01-29 20:00:22,in_vehicle
2016-01-29 20:07:35,walking
2016-01-29 20:08:39,still
2016-01-29 20:28:28,still
2016-01-29 21:00:37,walking
2016-01-29 21:06:05,still
2016-01-29 21:09:23,still
2016-01-29 21:12:49,in_vehicle
2016-01-29 21:22:42,still
2016-01-29 21:39:44,still
2016-01-30 00:00:00,still
2016-01-30 01:19:36,still
2016-01-30 09:03:04,still
2016-01-30 09:05:05,still
2016-01-30 09:27:19,still
2016-01-31 00:00:00,still
2016-01-31 09:51:49,still
2016-01-31 09:57:18,walking
2016-01-31 09:59:50,still
2016-01-31 10:47:45,still
2016-01-31 10:57:18,walking
2016-01-31 11:00:51,still
2016-01-31 11:05:38,still
2016-01-31 11:44:24,walking
2016-01-31 11:46:25,still
2016-01-31 12:08:22,still
2016-01-31 12:24:58,still
2016-01-31 12:26:29,in_vehicle
2016-01-31 12:45:20,still
2016-01-31 12:47:33,walking
2016-01-31 12:49:36,still
2016-01-31 13:56:23,still
2016-01-31 14:35:32,still
2016-01-31 14:37:00,in_vehicle
2016-01-31 14:52:59,walking
2016-01-31 14:56:20,still
2016-01-31 15:26:48,still
2016-01-31 16:12:06,still
2016-01-31 16:26:17,still
2016-01-31 16:27:51,walking
2016-01-31 16:28:53,still
2016-01-31 16:31:31,in_vehicle
2016-01-31 17:20:26,in_vehicle
2016-01-31 17:34:25,still
2016-01-31 17:59:03,walking
2016-01-31 18:07:51,walking
2016-01-31 18:10:56,still
2016-01-31 18:23:38,walking
2016-01-31 18:29:54,still
2016-01-31 22:56:35,still
2016-02-02 00:00:00,still
2016-02-02 01:01:21,still
2016-02-03 00:00:00,still
2016-02-03 07:43:59,still
2016-02-03 07:57:08,still
2016-02-03 08:23:38,in_vehicle
2016-02-03 10:13:48,walking
2016-02-03 10:14:57,in_vehicle
2016-02-03 11:22:56,walking
2016-02-03 11:24:06,in_vehicle
2016-02-03 12:05:16,walking
2016-02-03 12:06:31,in_vehicle
2016-02-03 12:07:42,walking
2016-02-03 12:08:55,in_vehicle
2016-02-03 12:29:53,walking
2016-02-03 12:30:55,in_vehicle
2016-02-03 12:38:03,walking
2016-02-03 12:39:15,in_vehicle
2016-02-03 14:07:00,in_vehicle
2016-02-03 16:37:38,walking
2016-02-03 16:43:21,still
2016-02-03 16:44:54,walking
2016-02-03 16:45:58,still
2016-02-03 17:05:59,walking
2016-02-03 17:11:20,still
2016-02-03 17:15:15,walking
2016-02-03 17:21:44,still
2016-02-03 17:30:09,in_vehicle
2016-02-03 18:14:42,walking
2016-02-03 18:22:58,still
2016-02-03 18:41:40,still
2016-02-03 19:22:06,still
2016-02-03 20:31:15,walking
2016-02-03 20:40:22,still
2016-02-03 21:06:26,still
2016-02-03 21:48:17,still
2016-02-03 22:54:07,walking
2016-02-03 22:56:39,still
2016-02-03 23:08:46,still
2016-02-04 00:00:00,still
2016-02-04 07:53:10,still
2016-02-04 08:04:50,walking
2016-02-04 08:06:23,still
2016-02-04 09:28:27,still
2016-02-04 10:50:53,still
2016-02-04 14:11:52,walking
2016-02-04 14:28:45,walking
2016-02-04 14:32:48,in_vehicle
2016-02-04 17:44:14,walking
2016-02-04 17:46:05,still
2016-02-04 18:24:38,walking
2016-02-04 18:39:49,still
2016-02-04 18:41:19,in_vehicle
2016-02-04 18:57:29,walking
2016-02-04 18:59:43,still
2016-02-04 19:02:46,walking
2016-02-04 19:06:51,still
2016-02-04 19:11:55,walking
2016-02-04 19:24:21,still
2016-02-04 20:18:51,still
2016-02-04 20:28:01,still
2016-02-04 20:36:16,still
2016-02-04 20:48:46,still
2016-02-04 22:25:55,still
2016-02-05 00:00:00,still
2016-02-05 01:20:39,still
2016-02-05 05:35:37,still
2016-02-05 06:06:21,walking
2016-02-05 06:09:00,in_vehicle
2016-02-05 06:48:53,still
2016-02-05 07:07:21,walking
2016-02-05 07:29:18,walking
2016-02-05 07:43:49,still
2016-02-05 07:44:50,in_vehicle
2016-02-05 09:58:29,in_vehicle
2016-02-05 11:37:34,walking
2016-02-05 11:43:20,in_vehicle
2016-02-05 11:59:53,still
2016-02-05 12:05:29,in_vehicle
2016-02-05 12:21:57,walking
2016-02-05 12:26:18,in_vehicle
2016-02-05 12:35:01,walking
2016-02-05 12:39:06,still
2016-02-05 12:41:06,walking
2016-02-05 12:42:36,in_vehicle
2016-02-05 12:50:34,walking
2016-02-05 12:51:42,still
2016-02-05 12:58:34,walking
2016-02-05 12:59:43,still
2016-02-05 14:01:55,still
2016-02-05 14:07:55,walking
2016-02-05 14:09:25,in_vehicle
2016-02-05 16:52:24,still
2016-02-05 16:56:31,still
2016-02-05 16:58:03,in_vehicle
2016-02-05 18:26:49,still
2016-02-05 19:27:31,still
2016-02-05 19:33:06,still
2016-02-05 19:36:08,walking
2016-02-05 19:38:40,still
2016-02-05 19:46:51,walking
2016-02-05 19:58:59,walking
2016-02-05 20:01:42,still
2016-02-06 00:00:00,still
2016-02-06 09:50:16,still
2016-02-06 10:15:39,walking
2016-02-06 10:31:48,still
2016-02-06 10:45:12,still
2016-02-06 10:51:18,walking
2016-02-06 10:52:59,still
2016-02-06 11:39:51,walking
2016-02-06 11:41:21,still
2016-02-06 12:35:27,still
2016-02-06 12:41:02,still
2016-02-06 12:46:13,walking
2016-02-06 12:51:27,still
2016-02-06 13:05:34,still
2016-02-06 14:54:45,still
2016-02-06 15:00:18,walking
2016-02-06 15:01:50,walking
2016-02-06 15:28:01,still
