date,ActivFit
2016-03-03 00:00:00,still
2016-03-03 09:08:21,walking
2016-03-03 09:14:23,in_vehicle
2016-03-03 09:40:55,still
2016-03-03 11:24:28,still
2016-03-03 13:10:11,still
2016-03-03 13:40:08,still
2016-03-03 13:48:31,walking
2016-03-03 14:00:44,walking
2016-03-03 14:05:12,still
2016-03-03 14:08:19,walking
2016-03-03 14:12:52,still
2016-03-03 14:14:32,walking
2016-03-03 14:17:48,still
2016-03-03 14:57:37,still
2016-03-03 17:10:04,still
2016-03-03 17:34:51,walking
2016-03-03 17:40:55,still
2016-03-03 17:47:06,in_vehicle
2016-03-03 18:10:31,walking
2016-03-03 18:24:14,in_vehicle
2016-03-03 18:26:51,still
2016-03-03 18:42:57,still
2016-03-03 20:14:54,in_vehicle
2016-03-03 20:23:09,still
2016-03-03 21:18:09,still
2016-03-03 21:49:42,still
2016-03-03 21:56:08,still
