date,ActivFit
2016-03-02 00:00:00,still
2016-03-02 06:28:54,still
2016-03-02 07:07:19,still
2016-03-02 07:45:11,walking
2016-03-02 07:46:12,still
2016-03-02 07:53:01,in_vehicle
2016-03-02 08:24:23,walking
2016-03-02 08:27:21,still
2016-03-03 00:00:00,still
2016-03-03 06:58:16,in_vehicle
2016-03-03 07:15:40,still
2016-03-03 07:42:55,still
2016-03-03 07:50:44,walking
2016-03-03 07:54:23,in_vehicle
2016-03-03 08:25:56,walking
2016-03-03 08:29:06,still
2016-03-03 08:37:01,walking
2016-03-03 08:39:08,still
2016-03-03 08:56:48,still
2016-03-03 09:36:28,walking
2016-03-03 09:38:04,still
2016-03-03 09:47:38,walking
2016-03-03 09:52:37,still
2016-03-03 09:54:56,walking
2016-03-03 09:56:08,walking
2016-03-03 09:59:29,still
2016-03-03 10:44:21,walking
2016-03-03 10:46:51,still
2016-03-03 10:58:43,walking
2016-03-03 10:59:46,still
2016-03-03 11:02:05,walking
2016-03-03 11:03:38,still
2016-03-03 11:18:42,still
2016-03-03 11:34:36,still
2016-03-03 12:05:42,still
2016-03-03 12:55:17,still
2016-03-03 13:01:40,still
2016-03-03 13:32:10,walking
2016-03-03 13:34:57,still
2016-03-03 13:48:36,walking
2016-03-03 13:55:35,still
2016-03-03 15:55:22,walking
2016-03-03 15:56:29,still
2016-03-03 15:59:14,walking
2016-03-03 16:12:44,walking
2016-03-03 16:24:08,still
2016-03-03 16:40:58,still
2016-03-03 16:45:34,in_vehicle
2016-03-03 17:22:27,still
2016-03-03 17:27:31,in_vehicle
2016-03-03 17:41:52,still
2016-03-03 17:52:15,still
2016-03-03 18:15:00,still
2016-03-03 18:18:59,in_vehicle
2016-03-03 18:30:57,walking
2016-03-03 18:32:40,in_vehicle
2016-03-03 18:47:08,still
2016-03-03 18:53:17,walking
2016-03-03 18:54:55,still
2016-03-03 19:02:44,still
2016-03-03 22:03:37,still
2016-03-03 22:56:17,in_vehicle
2016-03-03 23:06:55,still
2016-03-04 00:00:00,still
2016-03-04 06:58:22,still
2016-03-04 07:00:59,in_vehicle
2016-03-04 07:21:34,still
2016-03-04 07:30:04,still
2016-03-04 07:37:33,still
2016-03-04 07:51:13,walking
2016-03-04 07:57:39,in_vehicle
2016-03-04 08:29:59,walking
2016-03-04 08:40:34,still
2016-03-04 08:53:34,walking
2016-03-04 09:05:27,walking
2016-03-04 09:07:28,still
2016-03-04 09:58:40,walking
2016-03-04 10:00:06,walking
2016-03-04 10:19:02,walking
2016-03-04 10:27:00,still
2016-03-04 10:35:45,still
2016-03-04 11:02:57,walking
2016-03-04 11:09:50,still
2016-03-04 11:13:12,walking
2016-03-04 11:19:52,still
2016-03-04 12:17:51,still
2016-03-04 12:52:12,walking
2016-03-04 12:53:35,still
2016-03-04 13:02:18,walking
2016-03-04 13:03:37,walking
2016-03-04 13:07:48,still
2016-03-04 13:23:19,walking
2016-03-04 13:27:26,still
2016-03-04 14:09:30,still
2016-03-04 14:54:14,walking
2016-03-04 14:56:30,still
2016-03-04 15:27:31,walking
2016-03-04 15:28:41,still
2016-03-04 15:33:14,walking
2016-03-04 15:38:38,walking
2016-03-04 15:40:04,in_vehicle
2016-03-04 15:56:31,still
2016-03-04 17:07:33,in_vehicle
2016-03-04 17:20:23,walking
2016-03-04 17:23:22,still
2016-03-04 17:25:28,in_vehicle
2016-03-04 17:40:21,still
2016-03-04 20:10:04,still
2016-03-04 22:27:09,still
2016-03-04 23:15:36,in_vehicle
2016-03-04 23:28:16,still
2016-03-05 00:00:00,still
2016-03-05 08:15:57,still
2016-03-05 12:46:15,still
2016-03-05 12:58:34,still
2016-03-05 13:26:56,still
2016-03-05 13:36:40,still
2016-03-05 13:38:48,walking
2016-03-05 13:40:35,still
2016-03-05 13:48:18,still
2016-03-05 13:57:04,in_vehicle
2016-03-05 14:45:10,walking
2016-03-05 15:00:30,walking
2016-03-05 15:06:09,in_vehicle
2016-03-05 15:25:32,walking
2016-03-05 15:29:46,still
2016-03-05 15:39:54,still
2016-03-05 15:46:16,walking
2016-03-05 15:53:15,still
2016-03-05 16:03:39,walking
2016-03-05 16:06:35,still
2016-03-05 16:21:34,walking
2016-03-05 16:23:58,still
2016-03-05 16:45:06,walking
2016-03-05 16:49:13,still
2016-03-05 16:54:43,in_vehicle
2016-03-05 17:05:43,walking
2016-03-05 17:08:11,still
2016-03-05 17:10:59,walking
2016-03-05 17:22:01,still
2016-03-05 17:25:15,walking
2016-03-05 17:26:49,in_vehicle
2016-03-05 17:34:39,walking
2016-03-05 17:37:26,walking
2016-03-05 17:41:06,still
2016-03-05 18:43:33,still
2016-03-05 18:45:59,in_vehicle
2016-03-05 19:05:54,still
2016-03-05 19:15:52,in_vehicle
2016-03-05 19:34:57,still
2016-03-05 20:51:45,still
2016-03-05 22:12:52,still
2016-03-05 23:06:09,still
2016-03-07 02:54:13,still
2016-03-07 07:46:09,walking
2016-03-07 07:47:12,walking
2016-03-07 07:50:33,in_vehicle
2016-03-07 08:27:19,walking
2016-03-07 08:32:26,still
2016-03-07 08:39:59,walking
2016-03-07 08:42:03,still
2016-03-07 08:50:34,walking
2016-03-07 08:52:06,still
2016-03-07 08:56:18,walking
2016-03-07 09:15:05,still
2016-03-07 09:49:41,still
2016-03-07 10:02:26,walking
2016-03-07 10:03:45,walking
2016-03-07 10:04:46,walking
2016-03-07 10:16:41,still
2016-03-07 10:28:23,still
2016-03-07 10:34:25,walking
2016-03-07 10:36:57,still
2016-03-07 10:59:55,still
2016-03-07 11:07:24,walking
2016-03-07 11:09:21,still
2016-03-07 11:29:45,walking
2016-03-07 11:32:31,still
2016-03-07 13:21:19,walking
2016-03-07 13:23:59,still
2016-03-07 13:37:44,walking
2016-03-07 13:38:53,still
2016-03-07 14:16:56,walking
2016-03-07 14:23:29,still
2016-03-07 15:57:06,walking
2016-03-07 15:58:47,still
2016-03-07 16:00:17,in_vehicle
2016-03-07 16:35:58,walking
2016-03-07 16:43:43,still
2016-03-07 16:56:28,in_vehicle
2016-03-07 17:23:48,walking
2016-03-07 17:39:38,still
2016-03-07 18:14:16,still
2016-03-07 19:11:35,walking
2016-03-07 19:15:23,still
2016-03-07 20:02:39,still
2016-03-07 22:17:41,in_vehicle
2016-03-07 22:21:42,still
2016-03-07 22:23:42,in_vehicle
2016-03-07 22:42:46,still
2016-03-08 00:00:00,still
2016-03-08 06:03:19,still
2016-03-08 06:21:32,walking
2016-03-08 06:23:51,running
2016-03-08 06:24:55,running
2016-03-08 06:38:26,walking
2016-03-08 06:51:01,still
2016-03-08 06:57:39,still
2016-03-08 06:58:55,in_vehicle
2016-03-08 07:40:16,still
2016-03-08 07:53:36,in_vehicle
2016-03-08 08:27:30,walking
2016-03-08 08:30:18,still
2016-03-08 08:40:01,walking
2016-03-08 08:42:13,still
2016-03-08 08:48:46,walking
2016-03-08 08:50:14,still
2016-03-08 09:08:32,still
2016-03-08 09:21:55,still
2016-03-08 09:32:41,still
2016-03-08 09:59:52,walking
