date,ActivFit
2017-02-14 00:00:00,still
2017-02-14 08:32:48,aerobics
2017-02-14 09:10:11,still
2017-02-14 13:07:03,walking
2017-02-14 13:08:12,still
2017-02-14 15:11:38,still
2017-02-14 15:30:37,in_vehicle
2017-02-14 16:09:36,walking
2017-02-14 16:10:54,walking
2017-02-14 16:22:02,walking
2017-02-14 16:31:30,still
2017-02-14 16:32:30,in_vehicle
2017-02-14 16:53:42,still
2017-02-14 16:54:42,walking
2017-02-14 17:13:49,still
2017-02-14 18:30:02,walking
2017-02-14 18:31:17,walking
2017-02-14 18:36:21,aerobics
2017-02-14 19:29:51,in_vehicle
2017-02-14 19:37:53,aerobics
2017-02-14 19:49:00,still
2017-02-14 20:05:35,aerobics
2017-02-14 20:09:51,in_vehicle
2017-02-14 20:15:03,still
2017-02-14 20:31:03,still
2017-02-14 20:32:35,in_vehicle
2017-02-14 20:56:20,still
2017-02-14 22:12:51,still
2017-02-15 00:00:00,still
2017-02-15 09:55:04,still
2017-02-15 10:57:17,still
2017-02-15 11:30:31,in_vehicle
2017-02-15 13:01:36,still
2017-02-15 15:01:22,still
2017-02-15 15:40:20,still
2017-02-15 16:37:48,walking
2017-02-15 16:40:13,still
2017-02-15 17:25:04,still
2017-02-15 17:26:28,in_vehicle
2017-02-15 18:00:04,still
2017-02-15 18:01:04,in_vehicle
2017-02-15 18:18:17,in_vehicle
2017-02-15 19:01:03,in_vehicle
2017-02-15 19:27:51,in_vehicle
2017-02-15 20:32:51,still
2017-02-15 20:34:14,walking
2017-02-15 20:39:55,aerobics
2017-02-15 21:02:31,walking
2017-02-15 21:03:32,still
2017-02-15 21:05:56,aerobics
2017-02-15 21:32:44,still
2017-02-15 21:35:34,aerobics
2017-02-15 21:38:18,in_vehicle
2017-02-15 21:51:10,walking
2017-02-15 21:52:11,in_vehicle
2017-02-15 22:09:22,other
2017-02-15 22:15:34,in_vehicle
2017-02-16 00:25:53,still
2017-02-16 15:06:54,walking
2017-02-16 15:08:30,still
2017-02-16 15:10:21,walking
2017-02-16 15:12:31,still
2017-02-16 15:16:14,walking
2017-02-16 15:17:18,still
2017-02-16 15:23:15,walking
2017-02-16 15:26:34,walking
2017-02-16 15:31:56,still
2017-02-16 15:52:19,walking
2017-02-16 15:53:32,still
2017-02-16 16:31:01,walking
2017-02-16 16:32:02,still
2017-02-16 17:22:59,walking
2017-02-16 17:24:37,still
2017-02-16 18:28:39,walking
2017-02-16 18:29:42,still
2017-02-16 19:15:22,still
2017-02-18 00:00:00,still
2017-02-18 00:59:34,aerobics
2017-02-18 01:13:02,still
2017-02-18 09:37:17,still
2017-02-18 10:13:34,walking
2017-02-18 10:14:59,walking
2017-02-18 10:25:51,walking
2017-02-18 10:32:56,still
2017-02-18 10:34:40,aerobics
2017-02-18 10:36:40,still
2017-02-18 10:54:51,aerobics
2017-02-18 10:57:29,still
2017-02-18 12:08:49,walking
2017-02-18 12:11:23,still
2017-02-18 13:31:19,walking
2017-02-18 13:34:55,still
2017-02-18 13:39:16,walking
2017-02-18 13:53:34,still
2017-02-18 14:17:24,in_vehicle
2017-02-18 14:38:04,in_vehicle
2017-02-18 15:07:29,still
2017-02-18 19:02:23,walking
2017-02-18 19:03:26,still
2017-02-19 00:00:00,still
2017-02-19 09:53:21,still
2017-02-19 10:56:58,in_vehicle
2017-02-19 11:14:40,in_vehicle
2017-02-19 11:41:41,in_vehicle
2017-02-19 12:59:18,still
