date,ActivFit
2015-12-29 00:00:00,still
2015-12-29 09:57:57,in_vehicle
2015-12-29 10:20:40,still
2015-12-29 10:23:51,walking
2015-12-29 10:25:32,in_vehicle
2015-12-29 10:46:32,still
2015-12-29 11:12:53,still
2015-12-29 11:19:00,walking
2015-12-29 11:22:32,in_vehicle
2015-12-29 11:43:00,still
2015-12-29 11:47:31,walking
2015-12-29 11:53:13,still
2015-12-29 14:44:12,in_vehicle
2015-12-29 15:03:07,still
2015-12-29 16:33:56,walking
2015-12-29 16:36:43,in_vehicle
2015-12-29 16:45:46,still
2015-12-29 16:46:53,walking
2015-12-29 16:50:53,in_vehicle
2015-12-29 17:02:15,still
2015-12-29 17:03:42,walking
2015-12-29 17:08:24,in_vehicle
2015-12-29 17:58:44,walking
2015-12-29 17:59:48,in_vehicle
2015-12-29 18:06:38,walking
2015-12-29 18:10:14,still
2015-12-29 18:16:52,walking
2015-12-29 18:22:12,running
2015-12-29 18:23:13,walking
2015-12-29 18:42:25,still
2015-12-29 19:46:00,walking
2015-12-29 19:51:41,in_vehicle
2015-12-29 20:00:42,walking
2015-12-29 20:03:35,in_vehicle
2015-12-30 00:00:00,still
2015-12-30 07:41:42,still
2015-12-30 09:17:42,walking
2015-12-30 09:21:33,in_vehicle
2015-12-30 09:30:14,walking
2015-12-30 09:35:19,in_vehicle
2015-12-30 09:51:37,walking
2015-12-30 09:52:52,in_vehicle
2015-12-30 10:00:00,walking
2015-12-30 10:13:10,still
2015-12-30 10:18:17,walking
2015-12-30 10:26:35,still
2015-12-30 10:41:23,walking
2015-12-30 10:43:48,in_vehicle
2015-12-30 11:01:02,walking
2015-12-30 11:04:57,walking
2015-12-30 11:09:40,walking
2015-12-30 11:15:45,walking
2015-12-30 11:18:41,walking
2015-12-30 11:21:48,walking
2015-12-30 11:31:13,walking
2015-12-30 11:32:53,walking
2015-12-30 11:47:40,in_vehicle
2015-12-30 11:57:39,walking
2015-12-30 11:59:23,walking
2015-12-30 12:05:57,still
2015-12-30 12:14:45,walking
2015-12-30 12:17:39,walking
2015-12-30 12:25:33,walking
2015-12-30 12:28:08,walking
2015-12-30 12:33:03,in_vehicle
2015-12-30 13:02:01,still
2015-12-30 13:36:47,walking
2015-12-30 14:00:46,walking
2015-12-30 14:10:40,in_vehicle
2015-12-30 14:26:11,walking
2015-12-30 14:28:14,in_vehicle
2015-12-30 14:35:13,walking
2015-12-30 14:36:26,still
2015-12-30 16:01:22,still
2015-12-31 00:00:00,still
2015-12-31 16:29:07,in_vehicle
2015-12-31 16:42:17,still
2015-12-31 18:58:54,walking
2015-12-31 19:05:11,walking
2015-12-31 19:09:05,in_vehicle
2015-12-31 19:25:18,walking
2015-12-31 19:34:59,still
2015-12-31 19:57:54,in_vehicle
2015-12-31 20:04:13,walking
2015-12-31 20:06:51,still
2015-12-31 20:18:50,still
2015-12-31 20:21:37,walking
2015-12-31 20:34:11,in_vehicle
2015-12-31 20:50:29,walking
2015-12-31 20:55:01,in_vehicle
2016-01-01 00:00:00,in_vehicle
2016-01-01 00:22:01,walking
2016-01-01 00:23:19,walking
2016-01-01 00:36:56,walking
2016-01-01 01:00:43,in_vehicle
2016-01-01 01:14:35,walking
2016-01-01 01:19:12,in_vehicle
2016-01-01 01:30:12,walking
2016-01-01 01:31:34,still
2016-01-01 11:26:18,walking
2016-01-01 11:28:49,in_vehicle
2016-01-01 11:34:58,walking
2016-01-01 11:48:37,walking
2016-01-01 12:49:29,walking
2016-01-01 12:51:21,walking
2016-01-01 12:58:18,still
2016-01-01 13:57:49,walking
2016-01-01 14:02:41,walking
2016-01-01 14:25:53,still
2016-01-01 14:33:20,still
2016-01-01 14:37:28,walking
2016-01-01 14:39:49,walking
2016-01-01 14:46:59,still
2016-01-01 14:51:01,walking
2016-01-01 14:53:02,still
2016-01-01 15:06:02,walking
2016-01-01 15:12:03,still
2016-01-01 15:26:39,in_vehicle
2016-01-01 15:42:36,walking
2016-01-01 15:51:54,still
2016-01-01 15:55:15,walking
2016-01-01 15:57:25,in_vehicle
2016-01-02 00:00:00,still
2016-01-02 17:22:36,walking
2016-01-02 17:25:00,in_vehicle
2016-01-02 17:35:21,walking
2016-01-02 17:40:14,in_vehicle
2016-01-02 17:53:58,walking
2016-01-02 17:56:32,walking
2016-01-02 17:58:35,still
2016-01-02 18:07:45,walking
2016-01-02 18:09:11,walking
2016-01-02 18:14:25,still
2016-01-02 18:15:53,walking
2016-01-02 18:30:08,still
2016-01-02 18:37:39,walking
2016-01-02 18:42:23,still
2016-01-02 18:43:53,walking
2016-01-02 18:45:28,walking
2016-01-02 18:49:35,still
2016-01-02 18:50:54,walking
2016-01-02 19:03:46,still
2016-01-02 19:12:28,still
2016-01-02 19:36:53,walking
2016-01-02 19:44:48,still
2016-01-02 19:55:56,walking
2016-01-02 20:09:53,walking
2016-01-02 20:49:03,walking
2016-01-02 20:54:34,walking
2016-01-02 21:07:41,still
2016-01-02 21:43:25,still
2016-01-02 22:21:13,walking
2016-01-02 22:37:50,in_vehicle
2016-01-05 00:00:00,still
2016-01-05 12:25:32,still
2016-01-05 13:01:53,walking
