date,ActivFit
2016-02-29 12:53:08,still
2016-02-29 12:56:30,walking
2016-02-29 12:58:30,walking
2016-02-29 13:12:35,still
2016-02-29 13:20:26,in_vehicle
2016-02-29 13:33:01,in_vehicle
2016-02-29 14:53:39,in_vehicle
2016-02-29 15:38:42,still
2016-03-02 00:00:00,still
2016-03-02 06:10:50,in_vehicle
2016-03-02 07:00:07,in_vehicle
2016-03-02 07:51:22,in_vehicle
2016-03-02 07:59:53,walking
2016-03-02 08:01:01,in_vehicle
2016-03-02 08:02:27,in_vehicle
2016-03-02 08:07:34,walking
2016-03-02 08:18:44,in_vehicle
2016-03-02 08:32:38,walking
2016-03-02 08:47:29,still
2016-03-02 09:13:36,walking
2016-03-02 09:24:56,still
2016-03-02 11:10:45,walking
2016-03-02 11:15:28,walking
2016-03-02 11:18:12,still
2016-03-02 12:12:19,walking
2016-03-02 12:17:38,still
2016-03-02 12:26:00,walking
2016-03-02 12:27:15,still
2016-03-02 12:28:33,in_vehicle
2016-03-02 14:48:03,walking
2016-03-03 00:00:00,still
2016-03-03 06:10:27,walking
2016-03-03 06:18:44,still
2016-03-03 06:23:43,in_vehicle
2016-03-03 07:51:37,in_vehicle
2016-03-03 08:45:30,still
2016-03-03 11:01:00,walking
2016-03-03 11:02:06,still
2016-03-03 12:12:13,in_vehicle
2016-03-03 12:24:12,in_vehicle
2016-03-03 12:25:12,still
2016-03-03 13:10:19,walking
2016-03-03 13:11:54,still
2016-03-03 13:22:30,walking
2016-03-03 13:23:35,in_vehicle
2016-03-04 00:00:00,still
2016-03-04 06:22:17,in_vehicle
2016-03-04 07:38:51,walking
2016-03-04 07:45:45,in_vehicle
2016-03-04 08:32:23,still
2016-03-04 10:26:13,walking
2016-03-04 10:30:45,in_vehicle
2016-03-04 10:46:03,walking
2016-03-04 10:51:36,in_vehicle
2016-03-07 00:00:00,still
2016-03-07 05:17:41,still
2016-03-07 06:17:36,in_vehicle
2016-03-07 07:57:29,in_vehicle
2016-03-07 08:37:57,in_vehicle
2016-03-07 08:38:57,still
2016-03-07 10:06:16,in_vehicle
2016-03-07 10:14:13,running
2016-03-07 10:15:25,in_vehicle
2016-03-07 10:21:57,walking
2016-03-07 10:23:01,in_vehicle
2016-03-07 10:43:45,in_vehicle
2016-03-07 11:25:57,running
2016-03-07 11:27:00,in_vehicle
2016-03-07 11:37:04,in_vehicle
2016-03-07 11:38:04,still
2016-03-07 11:58:34,walking
2016-03-07 12:15:31,still
2016-03-07 12:17:42,in_vehicle
2016-03-07 12:23:24,walking
2016-03-07 12:25:26,in_vehicle
2016-03-08 00:00:00,still
2016-03-08 05:48:17,in_vehicle
2016-03-08 05:51:40,still
2016-03-08 06:07:41,still
2016-03-08 06:20:48,still
2016-03-08 06:24:01,in_vehicle
2016-03-08 07:01:10,in_vehicle
2016-03-08 07:41:01,walking
2016-03-08 07:46:16,in_vehicle
2016-03-08 07:47:16,still
2016-03-08 08:01:59,walking
2016-03-08 08:06:01,walking
2016-03-08 08:31:59,walking
2016-03-08 08:46:45,still
2016-03-08 09:44:37,still
2016-03-08 11:00:00,walking
2016-03-08 11:01:01,still
2016-03-08 13:31:20,in_vehicle
2016-03-08 13:45:46,in_vehicle
2016-03-08 13:46:50,in_vehicle
2016-03-09 00:00:00,still
2016-03-09 05:49:12,still
2016-03-09 05:50:12,in_vehicle
2016-03-09 07:21:50,in_vehicle
2016-03-09 07:49:56,in_vehicle
2016-03-09 08:07:41,walking
2016-03-09 08:09:35,still
2016-03-09 10:14:59,walking
2016-03-09 10:15:59,still
2016-03-09 10:59:48,walking
2016-03-09 11:59:44,walking
2016-03-09 12:00:44,in_vehicle
2016-03-09 12:10:01,walking
2016-03-09 12:11:51,in_vehicle
2016-03-09 12:23:28,walking
2016-03-09 12:25:14,in_vehicle
2016-03-10 00:00:00,still
2016-03-10 06:04:40,in_vehicle
2016-03-10 08:04:00,walking
2016-03-10 08:05:19,still
2016-03-10 10:28:00,still
2016-03-10 11:00:08,walking
2016-03-10 11:01:10,still
2016-03-10 11:05:47,walking
2016-03-10 11:29:46,walking
2016-03-10 11:30:46,still
2016-03-10 12:08:33,in_vehicle
2016-03-10 12:32:47,in_vehicle
2016-03-10 12:33:47,still
2016-03-10 13:10:59,walking
2016-03-10 13:12:32,still
2016-03-10 13:22:20,in_vehicle
2016-03-10 14:55:07,in_vehicle
2016-03-14 00:00:00,still
2016-03-14 07:09:35,in_vehicle
2016-03-14 07:39:29,in_vehicle
2016-03-14 07:42:59,walking
2016-03-14 07:45:20,in_vehicle
2016-03-14 08:03:40,walking
2016-03-14 08:05:39,still
2016-03-14 10:13:06,in_vehicle
2016-03-15 00:00:00,still
2016-03-15 06:03:17,still
2016-03-15 06:10:16,in_vehicle
2016-03-15 07:45:52,walking
2016-03-15 08:09:07,in_vehicle
2016-03-15 08:38:04,in_vehicle
2016-03-15 08:39:04,still
2016-03-15 11:00:54,walking
2016-03-15 11:01:56,still
2016-03-15 11:04:49,walking
2016-03-15 11:06:16,still
2016-03-15 11:17:10,walking
2016-03-15 11:18:26,still
2016-03-15 11:23:40,in_vehicle
2016-03-15 12:26:51,in_vehicle
2016-03-16 00:00:00,still
2016-03-16 06:13:22,in_vehicle
2016-03-16 08:04:58,walking
2016-03-16 08:06:16,in_vehicle
2016-03-16 08:16:41,still
2016-03-16 11:00:02,walking
2016-03-16 11:01:13,walking
2016-03-16 11:10:59,walking
2016-03-16 11:15:51,still
2016-03-16 11:33:21,walking
2016-03-16 11:36:28,still
2016-03-16 13:08:36,walking
2016-03-16 13:11:19,still
2016-03-16 13:19:41,in_vehicle
2016-03-16 15:03:56,still
2016-03-21 00:00:00,still
2016-03-21 07:16:49,still
2016-03-21 08:41:28,in_vehicle
2016-03-21 08:53:08,still
2016-03-21 09:01:57,walking
2016-03-21 09:06:38,in_vehicle
2016-03-21 09:16:22,walking
2016-03-21 09:20:18,in_vehicle
2016-03-21 09:29:34,still
2016-03-21 09:46:54,walking
2016-03-21 09:59:43,in_vehicle
2016-03-21 10:21:56,walking
2016-03-21 10:25:21,in_vehicle
2016-03-21 10:48:12,walking
2016-03-21 10:53:30,still
