date,ActivFit
2016-05-12 09:19:28,walking
2016-05-12 09:21:58,walking
2016-05-12 09:49:07,walking
2016-05-12 10:10:59,walking
2016-05-12 12:06:59,walking
2016-05-12 12:08:59,walking
2016-05-12 12:15:54,walking
2016-05-12 16:43:59,walking
2016-05-12 17:46:59,walking
2016-05-12 18:20:00,walking
2016-05-12 19:10:59,walking
2016-05-12 19:21:51,walking
2016-05-12 19:41:20,walking
2016-05-12 19:44:00,walking
2016-05-12 19:46:39,walking
2016-05-12 20:13:00,walking
2016-05-12 20:21:00,walking
2016-05-12 20:25:42,walking
2016-05-12 20:27:00,walking
2016-05-12 20:31:59,walking
2016-05-12 20:36:00,walking
2016-05-12 20:51:58,walking
2016-05-12 23:20:00,walking
2016-05-13 09:19:23,walking
2016-05-13 09:45:00,walking
2016-05-13 09:46:28,walking
2016-05-13 10:08:58,walking
2016-05-13 12:03:00,walking
2016-05-13 12:08:59,walking
2016-05-13 12:34:13,walking
2016-05-13 13:07:29,walking
2016-05-13 15:01:00,walking
2016-05-13 15:20:51,walking
2016-05-13 16:12:59,walking
2016-05-13 16:31:00,walking
2016-05-13 18:21:59,walking
2016-05-13 18:56:00,walking
2016-05-13 19:00:00,walking
2016-05-13 19:09:59,walking
2016-05-13 20:36:00,walking
2016-05-13 23:02:59,walking
2016-05-15 00:59:01,walking
2016-05-15 17:55:42,walking
2016-05-15 18:15:30,walking
2016-05-15 20:25:36,walking
2016-05-15 20:26:37,walking
2016-05-15 20:29:01,walking
2016-05-16 01:36:49,walking
2016-05-16 01:45:00,walking
2016-05-16 18:14:22,walking
2016-05-16 18:55:30,walking
2016-05-16 18:56:36,walking
2016-05-16 19:01:32,walking
2016-05-16 19:20:29,walking
2016-05-16 19:22:00,walking
2016-05-16 21:58:17,walking
2016-05-16 22:00:59,walking
2016-05-16 22:17:00,walking
2016-05-16 22:18:27,walking
2016-05-16 22:23:45,walking
2016-05-17 08:32:14,walking
2016-05-17 08:46:14,walking
2016-05-17 08:49:00,walking
2016-05-17 08:56:00,walking
2016-05-17 10:25:59,walking
2016-05-17 10:53:54,walking
2016-05-17 10:55:00,walking
2016-05-17 12:12:25,walking
2016-05-17 12:32:00,walking
2016-05-17 15:14:59,walking
2016-05-17 16:51:53,walking
2016-05-17 17:16:33,walking
2016-05-17 17:27:13,walking
2016-05-17 17:30:47,walking
2016-05-17 17:34:22,walking
2016-05-17 17:47:33,walking
2016-05-17 17:50:21,walking
2016-05-17 17:54:54,walking
2016-05-17 17:56:01,walking
2016-05-17 21:09:27,walking
2016-05-17 21:15:56,walking
2016-05-17 21:32:53,walking
2016-05-17 21:36:01,walking
2016-05-17 21:40:40,walking
2016-05-17 22:47:58,walking
2016-05-17 22:49:02,walking
2016-05-17 22:51:43,walking
2016-05-17 22:55:26,walking
2016-05-17 23:09:01,walking
2016-05-18 08:09:30,walking
2016-05-18 08:13:15,walking
2016-05-18 08:15:54,walking
2016-05-18 08:43:47,walking
2016-05-18 10:09:26,walking
2016-05-18 12:17:55,walking
2016-05-18 14:25:40,walking
2016-05-18 14:33:00,walking
2016-05-18 14:35:34,walking
2016-05-18 16:41:36,walking
2016-05-18 17:04:56,walking
2016-05-18 17:11:01,walking
2016-05-18 19:23:09,walking
2016-05-18 19:26:23,walking
2016-05-18 19:27:28,walking
2016-05-18 19:40:00,walking
2016-05-18 21:30:28,walking
2016-05-18 21:32:12,walking
2016-05-18 21:33:13,walking
2016-05-18 21:35:17,walking
2016-05-18 21:36:23,running
2016-05-18 21:38:01,walking
2016-05-18 21:53:00,walking
2016-05-18 22:17:21,walking
2016-05-19 09:01:25,walking
2016-05-19 09:03:53,walking
2016-05-19 09:26:51,walking
2016-05-19 12:50:20,walking
2016-05-19 16:15:33,walking
2016-05-19 16:23:52,walking
2016-05-19 16:26:01,walking
2016-05-19 19:40:55,walking
2016-05-19 20:07:01,walking
2016-05-19 20:27:01,walking
2016-05-19 20:34:00,walking
2016-05-23 08:50:01,walking
2016-05-23 09:13:59,walking
2016-05-23 09:38:01,walking
2016-05-23 11:01:01,walking
2016-05-23 11:07:40,walking
2016-05-23 11:28:01,walking
2016-05-23 11:30:01,walking
2016-05-23 11:33:52,walking
2016-05-23 11:35:01,walking
2016-05-23 15:15:49,walking
2016-05-23 16:34:57,walking
2016-05-23 17:28:15,walking
2016-05-23 17:30:01,walking
2016-05-23 17:36:01,walking
2016-05-23 17:56:01,walking
2016-05-23 17:59:34,walking
2016-05-23 19:01:29,walking
2016-05-23 19:02:39,walking
2016-05-23 19:18:01,walking
2016-05-23 19:21:01,walking
2016-05-23 19:30:28,walking
2016-05-23 19:31:57,walking
2016-05-23 19:33:00,walking
2016-05-23 23:41:31,walking
2016-05-25 08:17:26,walking
2016-05-25 08:19:01,walking
2016-05-25 08:23:39,walking
2016-05-25 09:00:43,walking
2016-05-25 10:25:01,walking
2016-05-25 11:53:39,walking
2016-05-25 11:58:01,walking
2016-05-25 12:04:01,walking
2016-05-25 12:05:01,walking
2016-05-25 12:10:01,walking
2016-05-25 12:55:44,walking
2016-05-25 16:30:12,walking
2016-05-25 17:55:39,walking
2016-05-25 17:58:28,walking
2016-05-25 17:59:46,walking
2016-05-25 18:18:56,walking
2016-05-25 18:33:01,walking
2016-05-25 19:14:19,walking
2016-05-25 19:27:01,walking
2016-05-25 19:31:01,walking
2016-05-25 19:37:01,walking
2016-05-25 19:39:00,walking
2016-05-25 19:45:34,walking
2016-05-25 21:59:11,walking
2016-05-25 22:02:43,walking
2016-05-25 22:10:31,walking
2016-05-25 22:19:17,walking
2016-05-25 22:20:59,walking
2016-05-25 22:26:01,walking
2016-05-25 22:28:48,walking
2016-05-26 18:00:01,walking
2016-05-26 18:51:01,walking
2016-05-26 19:24:01,walking
2016-05-26 20:34:50,walking
2016-05-26 20:42:01,walking
2016-05-26 21:36:01,walking
2016-05-26 23:10:01,walking
2016-05-26 23:16:18,walking
2016-05-30 08:59:18,walking
2016-05-30 09:04:46,walking
2016-05-30 09:08:01,running
2016-05-30 09:09:28,walking
2016-05-30 09:26:53,walking
2016-05-30 12:07:01,walking
2016-05-30 12:16:01,walking
2016-05-30 12:18:10,running
2016-05-30 17:28:09,walking
2016-05-30 17:33:13,walking
2016-05-30 17:37:46,walking
2016-05-30 17:49:01,walking
2016-05-30 17:52:00,walking
2016-05-30 17:59:28,walking
2016-05-30 20:37:37,walking
2016-05-30 20:39:21,walking
2016-05-30 20:48:00,walking
2016-05-30 20:53:01,walking
2016-05-30 21:01:00,walking
2016-05-30 21:03:33,walking
2016-05-30 21:06:17,walking
2016-05-31 07:51:31,walking
2016-05-31 07:53:00,walking
2016-05-31 07:54:05,walking
2016-05-31 07:58:20,walking
2016-05-31 08:21:26,walking
2016-05-31 12:21:53,walking
2016-05-31 12:30:51,walking
2016-05-31 12:33:01,walking
2016-05-31 14:23:59,walking
2016-05-31 15:59:22,walking
2016-05-31 16:34:18,walking
2016-05-31 16:35:19,walking
