date,ActivFit
2016-12-17 00:00:00,still
2016-12-17 08:44:13,in_vehicle
2016-12-17 09:17:56,still
2016-12-17 10:40:45,in_vehicle
2016-12-17 11:18:08,still
2016-12-17 11:31:21,walking
2016-12-17 11:32:27,still
2016-12-17 11:58:46,in_vehicle
2016-12-17 12:32:25,still
2016-12-17 16:35:04,in_vehicle
2016-12-17 17:03:30,still
2016-12-17 20:19:59,still
2016-12-17 20:33:01,still
2016-12-18 00:00:00,still
2016-12-18 09:21:44,still
2016-12-18 12:13:02,walking
2016-12-18 12:14:04,still
2016-12-18 13:36:24,walking
2016-12-18 13:39:19,still
2016-12-18 19:31:08,still
2016-12-18 20:37:01,walking
2016-12-18 20:39:05,still
2016-12-19 00:00:00,still
2016-12-19 22:27:54,still
2016-12-22 00:00:00,still
2016-12-22 07:51:30,walking
2016-12-22 07:53:30,still
2016-12-22 07:58:52,in_vehicle
2016-12-22 08:45:58,still
2016-12-22 08:49:57,in_vehicle
2016-12-22 09:04:04,still
2016-12-22 09:05:24,walking
2016-12-22 09:11:21,still
2016-12-22 09:24:18,walking
2016-12-22 09:25:20,in_vehicle
2016-12-22 09:58:02,walking
2016-12-22 10:04:02,still
2016-12-22 10:10:05,walking
2016-12-22 10:21:24,still
2016-12-22 10:29:25,walking
2016-12-22 10:33:29,still
2016-12-22 11:01:42,walking
2016-12-22 11:05:34,still
2016-12-22 11:08:56,walking
2016-12-22 11:12:56,in_vehicle
2016-12-22 11:53:45,still
2016-12-22 14:36:33,walking
2016-12-22 14:38:14,still
2016-12-22 20:41:24,still
2016-12-24 00:00:00,still
2016-12-24 07:25:32,walking
2016-12-24 07:29:52,still
2016-12-24 08:11:02,still
2016-12-24 14:22:36,still
2016-12-25 00:00:00,still
2016-12-25 08:50:16,still
2016-12-25 10:04:38,walking
2016-12-25 10:06:11,still
2016-12-25 13:34:07,walking
2016-12-25 13:36:01,still
2016-12-25 16:42:46,still
2016-12-25 20:34:10,still
2016-12-27 00:00:00,still
2016-12-27 16:39:14,biking
2016-12-27 17:16:14,walking
2016-12-27 17:17:53,still
2016-12-27 20:33:32,still
2016-12-27 20:42:25,still
2016-12-28 00:00:00,still
2016-12-28 10:10:29,walking
2016-12-28 10:11:56,still
2016-12-28 10:47:49,walking
2016-12-28 10:48:58,still
2016-12-28 11:22:41,in_vehicle
2016-12-28 11:37:56,still
2016-12-28 14:01:41,still
2016-12-28 17:58:15,still
2016-12-28 21:36:48,still
2016-12-30 00:00:00,still
2016-12-30 10:30:53,walking
2016-12-30 10:32:28,still
2016-12-30 13:23:38,still
