date,ActivFit
2016-01-02 00:00:00,still
2016-01-02 10:40:37,strength_training
2016-01-02 10:42:05,still
2016-01-02 11:02:53,strength_training
2016-01-02 11:05:36,still
2016-01-02 13:09:14,walking
2016-01-02 13:11:50,still
2016-01-02 15:19:34,running
2016-01-02 15:20:51,running
2016-01-02 15:27:22,running
2016-01-02 15:39:30,walking
2016-01-02 15:44:55,running
2016-01-02 15:51:05,walking
2016-01-02 15:52:10,running
2016-01-02 16:07:58,running
2016-01-02 16:14:14,walking
2016-01-02 16:15:16,running
2016-01-02 16:25:53,in_vehicle
2016-01-02 17:23:15,still
2016-01-02 17:47:11,walking
2016-01-02 17:51:37,still
2016-01-02 17:52:53,walking
2016-01-02 17:55:16,in_vehicle
2016-01-02 18:46:20,still
2016-01-02 20:52:33,in_vehicle
2016-01-02 20:55:20,still
2016-01-02 21:43:16,still
2016-01-02 21:50:11,still
2016-01-02 21:51:57,in_vehicle
2016-01-02 22:46:39,still
2016-01-02 23:24:46,still
2016-01-03 00:00:00,still
2016-01-03 01:08:50,walking
2016-01-03 01:09:58,still
2016-01-03 03:47:43,still
2016-01-03 08:13:13,still
2016-01-03 09:09:23,still
2016-01-03 09:41:35,in_vehicle
2016-01-03 10:01:40,walking
2016-01-03 10:11:53,walking
2016-01-03 10:13:32,still
2016-01-03 10:14:33,in_vehicle
2016-01-03 10:30:33,still
2016-01-03 10:33:36,walking
2016-01-03 10:35:13,still
2016-01-03 10:36:39,in_vehicle
2016-01-03 10:40:43,walking
2016-01-03 10:42:26,still
2016-01-03 10:45:18,walking
2016-01-03 10:46:48,running
2016-01-03 10:47:58,walking
2016-01-03 10:52:36,walking
2016-01-03 10:55:11,running
2016-01-03 10:56:11,walking
2016-01-03 10:59:47,running
2016-01-03 12:05:25,walking
2016-01-03 12:11:08,walking
2016-01-03 12:13:29,still
2016-01-03 12:26:47,walking
2016-01-03 12:35:14,still
2016-01-03 12:38:32,in_vehicle
2016-01-03 12:52:46,still
2016-01-03 13:55:46,strength_training
2016-01-03 13:59:33,still
2016-01-03 14:01:51,strength_training
2016-01-03 14:04:19,still
2016-01-03 15:11:26,in_vehicle
2016-01-03 15:59:09,walking
2016-01-03 17:10:24,in_vehicle
2016-01-03 17:38:09,still
2016-01-03 17:44:42,walking
2016-01-03 17:47:16,still
2016-01-03 17:51:08,walking
2016-01-03 17:56:17,in_vehicle
2016-01-03 18:19:24,still
2016-01-03 19:42:19,still
2016-01-04 00:00:00,still
2016-01-04 08:04:56,strength_training
2016-01-04 08:06:34,still
2016-01-04 08:26:57,walking
2016-01-04 08:28:49,still
2016-01-04 08:30:07,walking
2016-01-04 08:31:44,still
2016-01-04 08:34:12,in_vehicle
2016-01-04 09:58:13,walking
2016-01-04 10:05:38,still
2016-01-04 12:03:09,walking
2016-01-04 12:04:46,still
2016-01-04 12:06:50,in_vehicle
2016-01-04 12:16:06,walking
2016-01-04 12:17:29,still
2016-01-04 13:19:19,still
2016-01-04 13:46:29,walking
2016-01-04 13:48:47,still
2016-01-04 14:59:32,still
2016-01-04 15:00:57,walking
2016-01-04 15:03:47,still
2016-01-04 16:56:03,strength_training
2016-01-04 16:58:45,still
2016-01-04 17:08:05,walking
2016-01-04 17:09:51,still
2016-01-04 17:59:04,walking
2016-01-04 18:03:19,in_vehicle
2016-01-04 19:37:20,still
2016-01-04 19:50:03,walking
2016-01-04 19:53:10,still
2016-01-04 19:57:09,walking
2016-01-04 20:01:27,biking
2016-01-04 21:38:46,still
2016-01-04 21:58:26,walking
2016-01-04 21:59:40,still
2016-01-04 22:14:25,walking
2016-01-04 22:18:31,in_vehicle
2016-01-04 22:27:51,still
2016-01-04 22:57:23,still
2016-01-04 22:58:23,in_vehicle
2016-01-04 23:24:25,in_vehicle
2016-01-04 23:40:26,still
2016-01-07 00:00:00,still
2016-01-07 05:38:41,still
2016-01-07 07:24:02,walking
2016-01-07 07:25:10,still
2016-01-07 07:41:43,in_vehicle
2016-01-07 09:14:29,still
2016-01-07 09:18:19,walking
2016-01-07 09:24:43,in_vehicle
2016-01-07 09:41:47,still
2016-01-07 09:52:53,in_vehicle
2016-01-07 11:48:48,still
2016-01-07 12:33:44,in_vehicle
2016-01-07 13:08:10,still
2016-01-07 13:09:51,in_vehicle
2016-01-07 13:18:38,still
2016-01-07 13:29:47,in_vehicle
2016-01-07 14:37:35,still
2016-01-07 15:54:05,in_vehicle
2016-01-07 16:24:10,still
2016-01-07 18:49:52,walking
2016-01-07 18:51:55,in_vehicle
2016-01-07 19:02:06,walking
2016-01-07 19:03:43,still
2016-01-07 19:11:48,walking
2016-01-07 19:13:46,still
2016-01-07 19:18:31,biking
2016-01-07 19:30:40,still
2016-01-07 19:49:21,walking
2016-01-07 19:51:31,walking
2016-01-07 19:52:31,still
2016-01-07 20:40:51,walking
2016-01-07 20:43:57,still
2016-01-07 20:51:37,walking
2016-01-07 20:52:54,still
2016-01-07 20:59:12,walking
2016-01-07 21:00:30,still
2016-01-07 21:06:35,walking
2016-01-07 21:07:35,still
2016-01-07 21:21:40,still
2016-01-07 21:47:52,walking
2016-01-07 21:48:53,still
2016-01-07 22:14:44,walking
2016-01-07 22:15:46,still
2016-01-07 22:32:16,still
2016-01-07 22:42:02,walking
2016-01-07 22:44:57,in_vehicle
2016-01-07 22:52:36,still
2016-01-08 00:00:00,still
2016-01-08 00:18:19,walking
2016-01-08 00:22:44,still
2016-01-08 08:39:53,walking
2016-01-08 08:41:05,in_vehicle
2016-01-08 09:54:14,still
2016-01-08 09:56:36,walking
2016-01-08 09:58:41,still
2016-01-08 10:03:53,walking
2016-01-08 10:05:51,still
2016-01-08 11:00:05,still
2016-01-08 12:39:58,walking
2016-01-08 12:42:04,still
2016-01-08 12:44:26,in_vehicle
2016-01-08 12:56:06,walking
2016-01-08 12:57:57,still
2016-01-08 13:36:18,walking
2016-01-08 13:38:15,in_vehicle
2016-01-08 13:44:46,still
2016-01-08 14:06:56,still
2016-01-08 16:57:48,in_vehicle
2016-01-08 17:06:53,walking
2016-01-08 17:10:16,still
2016-01-08 17:23:46,walking
2016-01-08 17:24:54,still
2016-01-08 17:29:11,in_vehicle
2016-01-08 18:47:27,still
2016-01-08 22:58:12,in_vehicle
2016-01-08 23:32:31,in_vehicle
2016-01-08 23:34:57,still
