date,ActivFit
2016-12-23 06:56:54,still
2016-12-23 11:44:01,still
2016-12-23 11:55:01,in_vehicle
2016-12-23 13:42:04,still
2016-12-23 13:49:08,walking
2016-12-23 14:14:01,in_vehicle
2016-12-23 15:03:55,still
2016-12-23 16:37:58,walking
2016-12-23 16:49:52,walking
2016-12-23 17:06:52,walking
2016-12-23 17:15:25,walking
2016-12-23 17:27:57,walking
2016-12-23 17:39:57,walking
2016-12-23 18:00:52,walking
2016-12-23 18:10:57,walking
2016-12-24 09:41:36,walking
2016-12-24 09:53:55,walking
2016-12-24 10:00:01,walking
2016-12-24 10:22:55,walking
2016-12-24 10:29:55,walking
2016-12-24 10:34:54,walking
2016-12-24 10:42:00,walking
2016-12-24 10:54:55,walking
2016-12-24 11:21:01,walking
2016-12-24 11:46:55,walking
2016-12-24 12:41:39,walking
2016-12-24 18:40:04,still
2016-12-25 00:00:00,still
2016-12-25 04:59:17,still
2016-12-25 11:22:08,walking
2016-12-25 11:42:12,walking
2016-12-25 11:45:53,walking
2016-12-25 12:11:59,walking
2016-12-27 00:00:00,still
2016-12-27 08:23:52,walking
2016-12-27 08:36:25,walking
2016-12-27 08:42:01,still
2016-12-27 10:07:57,walking
2016-12-27 10:08:57,still
2016-12-27 10:13:03,walking
2016-12-27 10:24:52,walking
2016-12-27 10:25:57,still
2016-12-27 11:59:33,walking
2016-12-27 12:06:25,walking
2016-12-27 12:24:43,walking
2016-12-27 12:42:05,still
2016-12-27 12:58:42,still
2016-12-27 13:01:50,in_vehicle
2016-12-27 13:18:39,walking
2016-12-27 13:21:22,still
2016-12-27 14:46:57,walking
2016-12-27 14:49:20,walking
2016-12-27 14:50:53,still
2016-12-27 16:02:19,walking
2016-12-27 16:11:25,walking
2016-12-27 16:23:47,walking
2016-12-27 16:28:53,still
2016-12-27 18:44:46,still
2016-12-29 00:00:00,still
2016-12-29 00:46:25,still
2016-12-29 01:28:33,still
2016-12-29 12:29:29,still
2016-12-29 15:08:52,walking
2016-12-29 15:26:52,walking
2016-12-29 15:27:57,still
2016-12-29 15:29:10,walking
2016-12-29 15:34:52,still
2016-12-29 15:36:26,walking
2016-12-29 16:01:25,still
2016-12-29 17:01:57,walking
2016-12-29 17:03:52,still
2016-12-29 17:05:27,walking
2016-12-29 18:02:57,walking
2016-12-29 18:06:52,walking
2016-12-29 18:24:52,walking
2016-12-29 18:27:57,still
2016-12-29 18:48:47,walking
2016-12-29 19:00:58,walking
2016-12-29 19:05:27,walking
2016-12-29 21:31:26,still
2016-12-30 00:00:00,still
2016-12-30 12:52:51,walking
2016-12-30 12:54:51,still
2016-12-30 13:21:25,still
2016-12-30 14:16:51,walking
2016-12-30 14:30:51,still
2016-12-30 14:33:56,walking
2016-12-30 14:35:51,still
2016-12-30 14:37:51,walking
2016-12-30 14:38:56,still
2016-12-30 14:41:56,walking
2016-12-30 14:43:51,still
2016-12-30 14:59:54,walking
2016-12-30 15:25:54,walking
2016-12-30 15:39:51,walking
2016-12-30 16:04:56,walking
2016-12-30 16:41:51,walking
2016-12-30 16:46:56,walking
2016-12-30 16:54:51,walking
2016-12-30 17:10:56,still
2016-12-30 17:41:18,in_vehicle
2016-12-30 17:50:25,still
2016-12-30 20:00:16,still
2016-12-30 20:45:25,still
2016-12-31 00:00:00,still
2016-12-31 14:24:09,still
