date,ActivFit
2016-05-28 00:00:00,still
2016-05-28 00:30:05,in_vehicle
2016-05-28 00:47:46,still
2016-05-28 01:14:25,in_vehicle
2016-05-28 01:22:11,still
2016-05-28 09:19:50,walking
2016-05-28 09:21:13,still
2016-05-28 09:36:31,still
2016-05-28 10:07:36,walking
2016-05-28 10:08:45,still
2016-05-28 10:16:50,walking
2016-05-28 10:18:14,still
2016-05-28 11:23:46,in_vehicle
2016-05-28 11:30:55,still
2016-05-28 11:34:48,walking
2016-05-28 11:37:27,still
2016-05-28 11:50:31,walking
2016-05-28 11:52:47,in_vehicle
2016-05-28 12:16:14,still
2016-05-28 12:18:25,in_vehicle
2016-05-28 12:25:02,still
2016-05-28 12:42:10,walking
2016-05-28 12:43:21,in_vehicle
2016-05-28 12:50:48,walking
2016-05-28 12:56:31,still
2016-05-28 13:03:43,still
2016-05-28 13:12:55,walking
2016-05-28 13:15:52,in_vehicle
2016-05-28 13:24:50,walking
2016-05-28 13:30:34,still
2016-05-28 13:43:17,walking
2016-05-28 13:44:30,still
2016-05-28 13:59:53,walking
2016-05-28 14:02:13,still
2016-05-28 17:19:07,walking
2016-05-28 17:23:34,walking
2016-05-28 17:25:43,still
2016-05-28 17:39:00,walking
2016-05-28 17:40:09,still
2016-05-28 17:50:56,walking
2016-05-28 17:53:34,still
2016-05-28 18:01:40,walking
2016-05-28 18:03:21,still
2016-05-28 18:28:18,in_vehicle
2016-05-28 19:02:53,still
2016-05-28 19:06:14,walking
2016-05-28 19:10:37,still
2016-05-28 20:15:10,walking
2016-05-28 20:16:27,still
2016-05-28 20:23:16,walking
2016-05-28 20:26:25,in_vehicle
2016-05-28 20:40:17,walking
2016-05-28 20:42:50,still
2016-05-28 21:19:26,walking
2016-05-28 21:22:07,still
2016-05-28 21:44:55,in_vehicle
2016-05-28 21:52:46,still
2016-05-29 00:00:00,still
2016-05-29 07:25:40,still
2016-05-29 08:23:34,walking
2016-05-29 08:24:48,still
2016-05-29 08:49:18,still
2016-05-29 11:07:27,walking
2016-05-29 11:08:40,walking
2016-05-29 11:09:51,still
2016-05-29 12:28:28,still
2016-05-29 12:31:44,in_vehicle
2016-05-29 12:45:54,still
2016-05-29 12:47:15,walking
2016-05-29 12:52:04,still
2016-05-29 13:21:32,walking
2016-05-29 13:24:06,still
2016-05-29 13:29:23,walking
2016-05-29 13:32:11,still
2016-05-29 13:42:51,still
2016-05-29 13:46:03,walking
2016-05-29 13:49:06,still
2016-05-29 13:51:18,in_vehicle
2016-05-29 13:58:44,still
2016-05-29 14:14:09,still
2016-05-29 14:40:37,still
2016-05-29 16:49:27,walking
2016-05-29 16:54:00,still
2016-05-29 16:56:30,walking
2016-05-29 16:57:53,still
2016-05-29 17:33:51,walking
2016-05-29 17:34:56,still
2016-05-29 18:13:40,running.treadmill
2016-05-29 18:16:36,still
2016-05-29 18:24:39,walking
2016-05-29 18:27:32,still
2016-05-29 19:47:21,walking
2016-05-29 19:48:51,still
2016-05-29 20:00:48,walking
2016-05-29 20:05:38,still
2016-05-29 20:26:59,walking
2016-05-29 20:29:31,still
2016-05-29 22:32:49,still
2016-05-29 22:41:31,walking
2016-05-29 22:42:42,still
2016-05-31 03:37:07,still
2016-05-31 05:55:24,walking
2016-05-31 05:57:35,still
2016-05-31 06:15:34,in_vehicle
2016-05-31 06:50:55,still
2016-05-31 06:53:11,walking
2016-05-31 06:55:34,still
2016-05-31 08:36:01,walking
2016-05-31 08:38:03,still
2016-05-31 09:39:16,still
2016-05-31 10:52:58,walking
2016-05-31 10:54:46,still
2016-05-31 11:03:21,walking
2016-05-31 11:04:51,still
2016-05-31 12:11:46,walking
2016-05-31 12:13:48,walking
2016-05-31 12:15:18,still
2016-05-31 12:37:36,walking
2016-05-31 12:38:39,still
2016-05-31 12:58:08,walking
2016-05-31 13:00:58,still
2016-05-31 13:18:30,still
2016-05-31 17:39:07,walking
2016-05-31 17:56:57,walking
2016-05-31 18:06:44,still
2016-05-31 19:30:35,walking
2016-05-31 19:32:02,still
2016-05-31 19:41:08,walking
2016-05-31 19:45:23,still
2016-05-31 21:03:44,walking
2016-05-31 21:08:43,still
2016-05-31 21:29:47,walking
2016-05-31 21:36:19,walking
2016-05-31 21:37:30,still
2016-05-31 21:44:09,in_vehicle
2016-06-02 00:00:00,still
2016-06-02 06:02:22,in_vehicle
2016-06-02 06:40:36,still
2016-06-02 08:26:21,walking
2016-06-02 08:33:53,still
2016-06-02 10:32:17,walking
2016-06-02 10:33:48,still
2016-06-02 12:01:47,walking
2016-06-02 12:03:58,still
2016-06-02 12:13:38,walking
2016-06-02 12:17:15,still
2016-06-02 12:23:46,walking
2016-06-02 12:28:39,still
2016-06-02 13:05:55,walking
2016-06-02 13:20:13,still
2016-06-02 13:25:21,walking
2016-06-02 13:28:53,still
2016-06-02 14:25:46,still
2016-06-02 16:51:57,walking
2016-06-02 16:54:00,still
2016-06-02 16:56:45,still
2016-06-02 17:48:39,walking
2016-06-02 17:50:12,still
2016-06-02 18:11:46,walking
2016-06-02 18:14:11,in_vehicle
2016-06-02 18:30:43,still
2016-06-02 18:52:54,in_vehicle
2016-06-02 19:10:50,still
2016-06-02 20:14:07,still
2016-06-02 20:16:35,still
2016-06-02 20:24:08,in_vehicle
2016-06-02 20:34:43,still
2016-06-02 20:53:41,walking
2016-06-02 20:55:15,in_vehicle
2016-06-02 21:08:13,still
2016-06-02 21:09:31,walking
2016-06-02 21:12:01,still
2016-06-04 00:00:00,still
2016-06-04 08:39:01,walking
2016-06-04 08:41:01,still
2016-06-04 09:23:09,still
2016-06-04 13:01:19,walking
2016-06-04 13:06:28,still
2016-06-04 13:13:02,in_vehicle
2016-06-04 13:35:21,walking
2016-06-04 13:39:01,still
2016-06-04 13:52:04,in_vehicle
2016-06-04 14:04:26,still
2016-06-04 14:19:10,walking
2016-06-04 14:24:54,still
2016-06-04 14:29:57,walking
2016-06-04 14:34:10,still
2016-06-04 14:35:29,in_vehicle
2016-06-04 14:46:37,walking
2016-06-04 14:49:01,still
2016-06-04 14:57:23,walking
2016-06-04 14:59:24,still
2016-06-04 17:57:36,walking
2016-06-04 17:59:06,still
2016-06-04 18:09:01,walking
2016-06-04 18:10:01,still
2016-06-04 20:18:56,walking
2016-06-04 20:21:28,still
2016-06-04 20:23:18,in_vehicle
2016-06-04 20:36:25,walking
2016-06-04 20:38:04,still
2016-06-04 21:34:00,in_vehicle
2016-06-04 21:41:11,walking
2016-06-04 21:43:49,in_vehicle
2016-06-04 21:56:46,still
2016-06-04 22:11:53,walking
2016-06-04 22:14:29,still
2016-06-05 00:00:00,still
2016-06-05 10:55:58,walking
2016-06-05 10:59:29,still
2016-06-05 12:56:48,walking
2016-06-05 12:59:03,still
2016-06-05 13:01:19,walking
2016-06-05 13:03:29,in_vehicle
2016-06-05 13:09:16,still
2016-06-05 13:33:17,still
2016-06-05 13:36:49,in_vehicle
2016-06-05 14:19:40,walking
2016-06-05 14:43:46,walking
2016-06-05 14:46:31,still
2016-06-05 14:49:01,in_vehicle
2016-06-05 15:04:39,still
2016-06-05 15:48:43,still
2016-06-05 17:10:15,walking
2016-06-05 17:13:07,still
2016-06-05 18:14:34,still
2016-06-05 19:26:35,walking
2016-06-05 19:31:34,still
2016-06-05 20:16:50,still
2016-06-05 21:28:04,walking
2016-06-05 21:29:40,still
2016-06-06 00:00:00,still
2016-06-06 06:05:05,in_vehicle
2016-06-06 06:34:54,still
2016-06-06 06:36:04,walking
2016-06-06 06:40:42,still
2016-06-06 09:16:29,walking
2016-06-06 09:18:27,still
2016-06-06 10:07:44,walking
2016-06-06 10:09:15,still
2016-06-06 10:44:03,walking
2016-06-06 10:48:41,still
2016-06-06 12:04:05,walking
2016-06-06 12:09:00,still
2016-06-06 12:27:25,walking
2016-06-06 12:30:34,still
2016-06-06 12:40:43,in_vehicle
2016-06-06 12:57:01,still
2016-06-06 13:02:32,walking
2016-06-06 13:09:10,still
2016-06-06 14:55:20,walking
2016-06-06 14:57:05,still
2016-06-06 16:16:50,still
2016-06-06 18:21:00,walking
2016-06-06 18:22:00,still
2016-06-06 18:26:57,in_vehicle
2016-06-06 18:49:14,still
2016-06-06 20:41:16,walking
2016-06-06 20:42:41,still
2016-06-06 21:25:22,walking
2016-06-06 21:29:21,still
2016-06-06 22:00:53,walking
2016-06-06 22:03:55,still
2016-06-08 00:00:22,still
2016-06-08 06:14:02,in_vehicle
2016-06-08 06:50:47,still
2016-06-08 06:54:49,walking
2016-06-08 06:55:58,still
2016-06-08 06:57:59,still
2016-06-08 07:08:27,still
2016-06-08 07:55:10,still
2016-06-08 09:03:23,still
2016-06-08 09:06:40,still
2016-06-08 09:22:59,walking
2016-06-08 09:24:11,still
2016-06-08 10:23:32,walking
2016-06-08 10:25:30,still
2016-06-08 11:47:31,still
2016-06-08 11:52:57,walking
2016-06-08 11:54:11,still
2016-06-08 11:57:34,in_vehicle
2016-06-08 12:39:59,still
2016-06-08 12:55:25,walking
2016-06-08 12:57:13,still
2016-06-08 13:01:38,in_vehicle
2016-06-08 13:13:31,walking
2016-06-08 13:20:38,walking
2016-06-08 13:24:10,in_vehicle
2016-06-08 13:52:08,still
2016-06-08 14:10:57,still
2016-06-08 14:13:36,in_vehicle
2016-06-08 14:31:53,still
2016-06-08 14:37:52,walking
2016-06-08 14:44:00,walking
2016-06-08 14:50:09,still
2016-06-08 15:25:00,walking
2016-06-08 15:31:00,still
2016-06-08 15:36:00,walking
2016-06-08 15:37:20,still
2016-06-08 15:40:17,walking
2016-06-08 15:41:29,still
2016-06-08 15:45:00,walking
2016-06-08 15:46:00,still
2016-06-08 15:55:12,walking
2016-06-08 15:57:19,still
2016-06-08 16:06:01,walking
2016-06-08 16:07:16,still
2016-06-08 19:09:37,still
2016-06-08 19:48:06,still
2016-06-09 00:07:48,still
2016-06-09 05:46:40,walking
2016-06-09 05:47:46,still
2016-06-09 06:05:35,still
2016-06-09 06:11:29,in_vehicle
2016-06-09 06:44:35,still
2016-06-09 06:51:09,walking
2016-06-09 06:52:36,still
2016-06-09 08:02:54,still
2016-06-09 08:06:15,in_vehicle
2016-06-09 08:16:33,still
2016-06-09 08:46:35,still
2016-06-09 08:58:51,still
2016-06-09 09:21:40,walking
2016-06-09 09:25:12,still
2016-06-09 09:30:20,walking
2016-06-09 09:31:51,still
2016-06-09 10:09:14,still
2016-06-09 10:48:11,walking
2016-06-09 10:50:00,still
2016-06-09 12:03:49,walking
2016-06-09 12:05:42,still
2016-06-09 12:09:21,walking
2016-06-09 12:11:23,walking
2016-06-09 12:12:29,walking
2016-06-09 12:15:23,still
2016-06-09 12:43:28,walking
2016-06-09 12:50:01,still
2016-06-09 12:53:55,in_vehicle
2016-06-09 13:03:36,still
2016-06-09 13:58:17,still
2016-06-09 14:19:22,walking
2016-06-09 14:25:15,still
2016-06-09 15:11:33,walking
2016-06-09 15:15:45,still
2016-06-09 15:35:18,still
2016-06-09 15:37:40,still
2016-06-09 15:40:00,walking
2016-06-09 15:43:18,still
2016-06-09 15:45:11,still
2016-06-09 17:25:39,still
2016-06-09 18:04:35,in_vehicle
2016-06-09 18:15:52,still
2016-06-09 18:40:14,still
2016-06-09 18:41:14,in_vehicle
2016-06-09 19:28:10,still
2016-06-09 19:32:19,in_vehicle
2016-06-09 19:41:17,still
2016-06-09 19:44:14,still
2016-06-09 20:50:45,in_vehicle
2016-06-09 20:57:47,still
2016-06-09 22:20:26,still
2016-06-09 22:26:20,still
2016-06-10 00:00:00,still
2016-06-10 00:02:06,walking
2016-06-10 00:03:25,in_vehicle
2016-06-10 00:13:44,still
2016-06-10 06:45:01,walking
2016-06-10 06:48:39,in_vehicle
2016-06-10 07:41:57,still
2016-06-10 07:44:19,walking
2016-06-10 07:46:13,walking
2016-06-10 07:48:01,still
2016-06-10 09:28:44,walking
2016-06-10 09:30:35,in_vehicle
2016-06-10 09:37:53,still
2016-06-10 09:40:31,still
2016-06-10 11:10:38,still
2016-06-10 11:15:29,still
2016-06-10 12:02:49,walking
2016-06-10 12:04:12,still
2016-06-10 12:06:04,walking
2016-06-10 12:07:42,still
2016-06-10 12:13:24,walking
2016-06-10 12:19:01,still
2016-06-10 12:38:27,walking
2016-06-10 12:44:56,still
2016-06-10 12:49:13,walking
2016-06-10 12:50:46,still
2016-06-10 12:56:39,walking
2016-06-10 12:57:41,still
2016-06-10 14:32:30,still
2016-06-10 15:49:33,still
2016-06-10 16:45:08,walking
2016-06-10 16:46:19,still
2016-06-10 17:28:37,still
2016-06-10 18:09:29,in_vehicle
2016-06-10 18:21:32,walking
2016-06-10 18:23:01,in_vehicle
2016-06-10 20:38:18,still
2016-06-10 21:33:25,still
2016-06-10 21:34:40,walking
2016-06-10 21:35:57,still
2016-06-10 21:57:37,walking
2016-06-10 21:59:31,still
2016-06-10 22:01:23,in_vehicle
2016-06-10 22:12:30,still
2016-06-10 22:15:49,still
2016-06-11 00:00:00,still
2016-06-11 00:32:01,walking
2016-06-11 00:35:01,still
2016-06-11 00:42:00,running
2016-06-11 00:43:01,still
2016-06-11 00:47:00,walking
2016-06-11 00:48:01,still
2016-06-11 00:49:01,walking
2016-06-11 00:58:01,still
2016-06-11 01:03:00,walking
2016-06-11 01:04:00,still
2016-06-11 01:05:01,walking
2016-06-11 01:06:26,still
2016-06-11 09:06:55,still
2016-06-11 09:36:08,walking
2016-06-11 09:37:20,still
2016-06-11 09:51:45,walking
2016-06-11 09:54:54,still
2016-06-11 10:02:02,still
2016-06-11 11:46:31,in_vehicle
2016-06-11 12:21:48,still
2016-06-11 13:02:31,in_vehicle
2016-06-11 13:40:12,still
2016-06-11 13:48:27,walking
2016-06-11 13:55:34,still
2016-06-11 14:01:23,walking
2016-06-11 14:03:57,still
2016-06-11 14:08:55,walking
2016-06-11 14:10:26,in_vehicle
2016-06-11 14:19:26,walking
2016-06-11 14:22:43,still
2016-06-11 14:33:51,still
2016-06-11 16:53:24,walking
2016-06-11 16:57:21,still
2016-06-11 17:02:25,in_vehicle
2016-06-11 17:41:51,walking
2016-06-11 17:46:09,still
2016-06-11 17:49:37,walking
2016-06-11 17:52:18,still
2016-06-11 17:58:03,walking
2016-06-11 18:02:46,still
2016-06-11 20:33:44,still
2016-06-11 20:40:54,walking
2016-06-11 20:44:57,still
2016-06-11 21:12:21,walking
2016-06-11 21:14:35,still
2016-06-11 21:16:30,walking
2016-06-11 21:19:01,in_vehicle
2016-06-11 21:41:37,still
2016-06-11 21:46:08,walking
2016-06-11 21:47:41,still
2016-06-11 22:45:23,walking
2016-06-11 22:47:06,still
2016-06-12 00:00:00,still
2016-06-12 08:06:36,still
2016-06-12 08:47:06,still
2016-06-12 08:49:59,still
2016-06-12 08:52:52,still
