date,ActivFit
2016-07-27 00:00:00,still
2016-07-27 10:18:13,in_vehicle
2016-07-27 10:50:07,in_vehicle
2016-07-27 11:04:59,still
2016-07-27 11:19:05,still
2016-07-27 11:44:52,still
2016-07-27 13:30:30,walking
2016-07-27 13:50:32,still
2016-07-27 14:00:42,walking
2016-07-27 14:39:30,still
2016-07-27 15:05:33,still
2016-07-27 18:29:20,still
2016-07-27 19:09:36,walking
2016-07-27 19:15:17,still
2016-07-27 20:11:57,walking
2016-07-27 20:29:22,still
2016-07-27 22:53:22,still
2016-10-09 00:00:00,still
2016-10-09 09:03:10,walking
2016-10-09 09:09:48,walking
2016-10-09 09:26:43,still
2016-10-09 10:29:09,walking
2016-10-09 10:42:37,in_vehicle
2016-10-09 10:48:40,still
2016-10-09 11:09:21,still
2016-10-09 13:19:35,still
2016-10-09 17:50:49,walking
2016-10-09 17:52:07,still
2016-10-09 21:50:05,still
2016-10-10 00:00:00,still
2016-10-10 06:44:08,walking
2016-10-10 06:54:08,walking
2016-10-10 06:59:38,in_vehicle
2016-10-10 07:51:58,walking
2016-10-10 07:59:18,walking
2016-10-10 08:24:10,still
2016-10-10 11:05:00,walking
2016-10-10 11:19:25,still
2016-10-10 11:59:44,walking
2016-10-10 12:19:47,still
2016-10-10 13:01:10,walking
2016-10-10 13:12:21,still
2016-10-10 13:15:39,walking
2016-10-10 13:23:58,walking
2016-10-10 13:27:54,still
2016-10-10 15:23:36,walking
2016-10-10 15:24:38,walking
2016-10-10 16:09:24,still
2016-10-10 17:00:35,walking
2016-10-10 17:02:12,walking
2016-10-10 17:10:27,still
2016-10-10 18:02:27,in_vehicle
2016-10-10 18:40:17,walking
2016-10-10 18:45:21,walking
2016-10-10 18:54:54,still
2016-10-10 22:50:34,still
2016-10-11 00:00:00,still
2016-10-11 06:50:20,still
2016-10-11 07:41:50,walking
2016-10-11 07:48:25,walking
2016-10-11 07:54:42,in_vehicle
2016-10-11 08:10:42,in_vehicle
2016-10-11 08:46:58,walking
2016-10-11 09:31:16,still
2016-10-11 11:22:24,still
2016-10-11 11:24:59,walking
2016-10-11 11:26:00,still
2016-10-11 11:56:13,walking
2016-10-11 12:10:51,still
2016-10-11 12:39:44,walking
2016-10-11 12:50:17,still
2016-10-11 13:01:51,walking
2016-10-11 13:03:23,still
2016-10-11 13:18:25,in_vehicle
2016-10-11 13:30:59,in_vehicle
2016-10-11 13:50:34,in_vehicle
2016-10-11 14:10:59,walking
2016-10-11 14:14:49,in_vehicle
2016-10-11 14:16:00,walking
2016-10-11 14:29:02,still
2016-10-11 15:28:12,walking
2016-10-11 15:33:43,still
2016-10-11 15:52:46,walking
2016-10-11 16:10:39,still
2016-10-11 16:16:40,walking
2016-10-11 16:25:12,still
2016-10-11 16:30:53,in_vehicle
2016-10-11 17:05:55,still
2016-10-11 19:33:14,walking
2016-10-11 19:35:27,still
2016-10-11 22:50:04,still
2016-10-12 00:00:00,still
2016-10-12 06:33:22,walking
2016-10-12 06:45:00,walking
2016-10-12 06:57:00,in_vehicle
2016-10-12 07:16:00,walking
2016-10-12 07:18:13,in_vehicle
2016-10-12 07:56:16,walking
2016-10-12 07:57:50,in_vehicle
2016-10-12 08:20:59,in_vehicle
2016-10-12 08:55:08,in_vehicle
2016-10-12 09:20:53,walking
2016-10-12 09:26:52,in_vehicle
2016-10-12 09:56:31,still
2016-10-12 10:20:31,walking
2016-10-12 10:39:23,still
2016-10-12 12:16:25,walking
2016-10-12 12:26:52,walking
2016-10-12 12:29:27,walking
2016-10-12 12:39:10,walking
2016-10-12 12:43:58,walking
2016-10-12 12:59:17,walking
2016-10-12 13:03:55,still
2016-10-12 13:07:33,in_vehicle
2016-10-12 14:19:01,in_vehicle
2016-10-12 15:50:27,in_vehicle
2016-10-12 16:54:42,in_vehicle
2016-10-12 17:44:22,walking
2016-10-12 17:48:40,in_vehicle
2016-10-12 17:52:59,walking
2016-10-12 17:54:28,in_vehicle
2016-10-12 18:00:49,walking
2016-10-12 18:02:57,in_vehicle
2016-10-12 18:53:00,walking
2016-10-12 18:56:22,walking
2016-10-12 19:17:28,still
2016-10-12 19:49:24,walking
2016-10-12 19:52:42,still
2016-10-12 19:59:55,biking
2016-10-12 20:15:44,still
2016-10-12 21:50:12,biking
2016-10-12 22:19:31,still
2016-10-14 00:00:00,still
2016-10-14 07:49:56,walking
2016-10-14 07:58:37,walking
2016-10-14 08:01:59,walking
2016-10-14 08:06:50,still
2016-10-14 10:48:29,in_vehicle
2016-10-14 10:56:48,still
2016-10-14 12:43:46,walking
2016-10-14 12:48:24,walking
2016-10-14 13:08:05,still
2016-10-14 13:20:59,walking
2016-10-14 13:22:06,walking
2016-10-14 13:30:19,still
2016-10-14 14:33:30,walking
2016-10-14 14:40:40,walking
2016-10-14 14:41:46,still
2016-10-14 16:23:01,still
2016-10-14 16:30:22,walking
2016-10-14 16:40:40,walking
2016-10-14 16:47:00,still
2016-10-14 17:38:21,walking
2016-10-14 17:50:50,in_vehicle
2016-10-14 18:21:05,in_vehicle
2016-10-14 19:50:20,in_vehicle
2016-10-14 20:38:39,in_vehicle
2016-10-14 21:11:38,in_vehicle
2016-10-14 21:19:53,still
2016-10-14 21:43:27,still
2016-10-14 22:11:31,still
2016-10-16 00:00:00,still
2016-10-16 07:17:12,still
2016-10-16 08:43:00,walking
2016-10-16 08:45:39,walking
2016-10-16 08:49:43,walking
2016-10-16 08:59:02,walking
2016-10-16 09:10:46,walking
2016-10-16 09:36:14,still
2016-10-16 10:41:19,in_vehicle
2016-10-16 11:19:30,walking
2016-10-16 11:29:53,still
2016-10-16 12:32:00,walking
2016-10-16 13:01:00,still
2016-10-16 13:28:13,in_vehicle
2016-10-16 14:30:03,in_vehicle
2016-10-16 15:32:40,still
2016-10-16 15:33:40,in_vehicle
2016-10-16 16:00:06,in_vehicle
2016-10-16 16:31:33,in_vehicle
2016-10-16 16:51:44,walking
2016-10-16 16:52:46,in_vehicle
2016-10-16 17:30:34,still
2016-10-16 22:50:04,still
2016-10-18 00:00:00,still
2016-10-18 07:17:41,walking
2016-10-18 07:21:05,walking
2016-10-18 07:34:07,still
2016-10-18 07:48:37,in_vehicle
2016-10-18 08:10:49,still
2016-10-18 08:18:15,walking
2016-10-18 08:39:40,still
2016-10-18 09:22:21,still
2016-10-18 09:36:03,walking
2016-10-18 09:50:19,walking
2016-10-18 09:58:31,still
2016-10-18 09:59:46,in_vehicle
2016-10-18 10:09:08,still
2016-10-18 10:29:31,still
2016-10-18 10:40:41,walking
2016-10-18 11:00:31,still
2016-10-18 12:09:59,walking
2016-10-18 12:12:00,still
2016-10-18 12:17:00,walking
2016-10-18 12:30:38,in_vehicle
2016-10-18 12:40:57,still
2016-10-18 14:15:50,walking
2016-10-18 14:19:38,walking
2016-10-18 14:40:03,walking
2016-10-18 14:41:42,in_vehicle
2016-10-18 15:09:53,still
2016-10-18 15:20:31,walking
2016-10-18 15:33:23,still
2016-10-18 15:54:59,walking
2016-10-18 15:56:47,still
2016-10-18 16:04:00,walking
2016-10-18 16:06:12,still
2016-10-18 16:15:15,walking
2016-10-18 16:19:59,still
2016-10-18 17:26:20,walking
2016-10-18 17:49:21,still
2016-10-18 18:39:00,walking
2016-10-18 18:40:14,still
2016-10-18 19:12:38,walking
2016-10-18 19:14:10,still
2016-10-18 19:41:57,still
2016-10-19 01:00:00,still
2016-10-19 07:39:35,still
2016-10-19 09:10:37,in_vehicle
2016-10-19 09:26:57,still
2016-10-19 09:50:47,still
2016-10-19 11:21:55,walking
2016-10-19 11:32:42,walking
2016-10-19 11:59:04,in_vehicle
2016-10-19 12:10:31,in_vehicle
2016-10-19 12:21:31,in_vehicle
2016-10-19 14:08:16,still
2016-10-19 14:24:47,walking
2016-10-19 14:31:44,still
2016-10-19 17:20:23,in_vehicle
2016-10-19 18:24:26,still
2016-10-19 18:50:31,in_vehicle
2016-10-19 19:29:35,still
2016-10-19 19:51:04,still
2016-10-19 20:51:43,still
2016-10-19 21:51:45,walking
2016-10-19 22:26:05,still
2016-10-19 22:57:57,still
2016-10-19 23:07:50,still
2016-10-20 01:00:00,still
2016-10-20 10:03:16,in_vehicle
2016-10-20 10:23:45,walking
2016-10-20 10:40:01,in_vehicle
2016-10-20 11:05:56,walking
2016-10-20 11:24:23,walking
2016-10-20 11:42:13,still
2016-10-20 12:07:30,in_vehicle
2016-10-20 12:51:30,still
2016-10-20 12:54:30,still
2016-10-20 15:00:53,in_vehicle
2016-10-20 15:59:55,in_vehicle
2016-10-20 16:01:26,walking
2016-10-20 16:30:05,still
2016-10-20 17:09:26,walking
2016-10-20 17:21:05,still
2016-10-20 17:40:24,in_vehicle
2016-10-20 17:50:48,still
2016-10-20 18:09:11,still
2016-10-20 20:20:42,still
2016-10-21 01:00:00,still
