date,ActivFit
2016-06-20 00:00:00,still
2016-06-20 04:48:47,still
2016-06-20 13:39:29,walking
2016-06-20 13:41:17,still
2016-06-20 14:17:19,still
2016-06-20 14:19:02,still
2016-06-20 14:24:54,in_vehicle
2016-06-20 14:40:31,still
2016-06-20 14:58:47,still
2016-06-20 15:11:09,still
2016-06-20 15:12:36,in_vehicle
2016-06-20 15:50:46,still
2016-06-20 18:38:21,in_vehicle
2016-06-20 18:49:28,still
2016-06-20 22:06:26,still
2016-06-21 07:20:58,still
2016-06-21 07:45:45,walking
2016-06-21 07:46:45,in_vehicle
2016-06-21 08:07:26,walking
2016-06-21 08:08:42,still
2016-06-21 09:03:39,still
2016-06-21 09:09:20,walking
2016-06-21 09:10:41,still
2016-06-21 09:34:29,walking
2016-06-21 09:38:58,still
2016-06-21 09:54:42,still
2016-06-21 09:59:15,still
2016-06-21 12:13:05,walking
2016-06-21 12:14:24,still
2016-06-21 12:15:33,walking
2016-06-21 12:17:58,still
2016-06-21 13:25:09,still
2016-06-21 14:43:48,walking
2016-06-21 14:44:59,still
2016-06-21 14:47:25,walking
2016-06-21 14:48:44,still
2016-06-21 16:02:56,still
2016-06-21 16:05:19,still
2016-06-21 17:16:59,still
2016-06-21 17:21:16,still
2016-06-21 17:53:23,in_vehicle
2016-06-21 18:00:44,still
2016-06-21 18:29:05,still
2016-06-21 18:30:55,walking
2016-06-21 18:32:29,still
2016-06-21 20:00:08,walking
2016-06-21 20:04:03,in_vehicle
2016-06-21 20:25:51,still
2016-06-21 21:01:10,still
2016-06-21 23:31:17,still
