date,ActivFit
2016-01-27 00:00:00,still
2016-01-27 06:22:12,walking
2016-01-27 06:28:39,in_vehicle
2016-01-27 06:46:44,walking
2016-01-27 06:51:15,still
2016-01-27 07:51:01,running
2016-01-27 07:52:43,still
2016-01-27 08:45:33,walking
2016-01-27 08:46:35,still
2016-01-27 08:48:01,walking
2016-01-27 08:49:46,still
2016-01-27 10:13:01,walking
2016-01-27 10:14:44,still
2016-01-27 11:11:01,walking
2016-01-27 11:16:01,still
2016-01-27 12:19:32,still
2016-01-27 12:21:09,walking
2016-01-27 12:28:24,still
2016-01-27 13:33:03,walking
2016-01-27 13:35:03,walking
2016-01-27 13:37:01,still
2016-01-27 14:43:34,walking
2016-01-27 14:44:49,still
2016-01-27 14:47:15,walking
2016-01-27 15:00:32,still
2016-01-27 15:27:37,still
2016-01-27 15:52:25,still
2016-01-27 16:51:07,walking
2016-01-27 16:59:27,in_vehicle
2016-01-27 17:18:43,walking
2016-01-27 17:22:57,still
2016-01-27 17:27:15,in_vehicle
2016-01-27 17:53:01,still
2016-01-27 20:14:19,walking
2016-01-27 20:15:20,still
2016-01-27 20:18:01,walking
2016-01-27 20:19:33,still
2016-01-27 21:48:22,walking
2016-01-27 21:49:54,still
2016-01-27 21:52:01,walking
2016-01-27 21:53:14,still
2016-01-27 22:15:01,walking
2016-01-27 22:16:03,still
2016-01-27 22:29:01,walking
2016-01-27 22:30:03,still
2016-01-27 22:31:39,walking
2016-01-27 22:35:34,walking
2016-01-27 22:37:34,still
2016-01-27 22:41:03,walking
2016-01-27 22:42:53,still
2016-01-28 00:00:00,still
2016-01-28 07:50:16,still
2016-01-28 07:58:11,walking
2016-01-28 07:59:34,running
2016-01-28 08:01:11,in_vehicle
2016-01-28 08:19:14,walking
2016-01-28 08:25:08,still
2016-01-28 08:38:12,walking
2016-01-28 08:40:37,still
2016-01-28 12:30:01,walking
2016-01-28 12:32:01,still
2016-01-28 13:02:34,walking
2016-01-28 13:03:52,still
2016-01-28 13:12:01,walking
2016-01-28 13:14:01,still
2016-01-28 13:55:01,walking
2016-01-28 13:58:01,still
2016-01-28 14:39:05,walking
2016-01-28 14:44:29,walking
2016-01-28 14:47:09,walking
2016-01-28 14:49:44,in_vehicle
2016-01-28 15:03:45,walking
2016-01-28 15:04:50,in_vehicle
2016-01-28 15:42:40,walking
2016-01-28 15:44:46,in_vehicle
2016-01-28 15:46:19,walking
2016-01-28 15:47:22,in_vehicle
2016-01-28 15:48:22,walking
2016-01-28 15:59:47,in_vehicle
2016-01-28 16:01:31,still
2016-01-28 16:36:24,walking
2016-01-28 16:37:28,still
2016-01-28 16:54:55,in_vehicle
2016-01-28 18:14:32,walking
2016-01-28 18:16:11,in_vehicle
2016-01-28 18:38:09,still
2016-01-28 19:01:16,in_vehicle
2016-01-28 19:36:26,still
2016-01-28 20:02:22,still
2016-01-28 20:45:01,walking
2016-01-28 20:46:01,still
2016-01-28 21:13:43,in_vehicle
2016-01-28 21:34:49,walking
2016-01-28 21:38:22,still
2016-01-28 22:11:51,still
2016-01-29 00:00:00,still
2016-01-29 07:13:41,walking
2016-01-29 07:16:01,still
2016-01-29 07:20:07,still
2016-01-29 07:23:42,walking
2016-01-29 07:26:16,in_vehicle
2016-01-29 07:43:14,walking
2016-01-29 07:48:21,still
2016-01-29 08:43:19,walking
2016-01-29 08:45:12,still
2016-01-29 10:07:56,walking
2016-01-29 10:16:07,still
2016-01-29 12:26:01,walking
2016-01-29 12:27:01,still
2016-01-29 12:28:48,walking
2016-01-29 12:29:50,still
2016-01-29 12:49:17,walking
2016-01-29 12:51:01,still
2016-01-29 12:54:10,walking
2016-01-29 12:55:38,still
2016-01-29 13:30:55,walking
2016-01-29 13:32:38,still
2016-01-29 13:35:50,walking
2016-01-29 14:02:01,still
2016-01-29 15:46:36,walking
2016-01-29 15:57:18,still
2016-01-29 17:01:06,still
2016-01-29 17:04:08,walking
2016-01-29 17:13:23,walking
2016-01-29 17:14:54,still
2016-01-29 17:37:25,walking
2016-01-29 17:52:44,still
2016-01-29 20:07:21,walking
2016-01-29 20:08:47,in_vehicle
2016-01-29 20:16:37,walking
2016-01-29 20:19:31,in_vehicle
2016-01-29 20:27:47,still
2016-01-29 23:21:19,still
2016-01-30 00:00:00,still
2016-01-30 08:42:00,walking
2016-01-30 08:44:01,still
2016-01-30 09:22:11,walking
2016-01-30 09:26:45,in_vehicle
2016-01-30 09:42:40,walking
2016-01-30 09:52:44,walking
2016-01-30 09:54:45,still
2016-01-30 10:43:01,walking
2016-01-30 10:46:01,still
2016-01-30 12:04:03,walking
2016-01-30 12:05:40,still
2016-01-30 12:25:33,walking
2016-01-30 12:29:01,still
2016-01-30 13:00:49,walking
2016-01-30 13:02:07,walking
2016-01-30 13:03:19,still
2016-01-30 13:37:12,in_vehicle
2016-01-30 13:44:56,walking
2016-01-30 13:46:15,in_vehicle
2016-01-30 14:53:37,still
2016-01-30 14:57:14,in_vehicle
2016-01-30 15:12:01,still
2016-01-30 16:13:55,walking
2016-01-30 16:26:30,still
2016-01-30 16:33:17,walking
2016-01-30 16:37:31,still
2016-01-30 19:35:01,walking
2016-01-30 19:37:01,still
2016-01-30 19:39:07,walking
2016-01-30 19:40:12,still
2016-01-30 19:55:37,walking
2016-01-30 20:03:24,still
2016-01-30 20:07:26,walking
2016-01-30 20:17:36,still
2016-01-30 20:26:47,biking
2016-01-30 20:40:18,still
2016-01-30 20:58:00,walking
2016-01-30 20:59:01,still
2016-01-30 21:12:01,walking
2016-01-30 21:13:36,still
2016-01-30 21:51:09,walking
2016-01-30 21:55:02,walking
2016-01-30 21:58:52,walking
2016-01-30 22:00:29,still
2016-02-01 00:00:00,still
2016-02-01 07:40:54,walking
2016-02-01 07:50:01,in_vehicle
2016-02-01 08:06:40,walking
2016-02-01 08:11:33,still
2016-02-01 09:10:32,walking
2016-02-01 09:12:01,still
2016-02-01 09:29:01,walking
2016-02-01 09:31:17,still
2016-02-01 11:51:52,walking
2016-02-01 11:57:27,walking
2016-02-01 11:59:28,still
2016-02-01 12:55:36,walking
2016-02-01 13:00:42,still
2016-02-01 14:43:59,walking
2016-02-01 14:49:38,still
2016-02-01 15:38:32,walking
2016-02-01 15:39:40,still
2016-02-01 15:41:01,walking
2016-02-01 15:42:13,still
2016-02-01 15:47:39,walking
2016-02-01 15:49:31,walking
2016-02-01 15:54:04,still
2016-02-01 17:05:50,biking
2016-02-01 17:16:13,still
2016-02-01 17:18:41,still
2016-02-01 17:49:01,walking
2016-02-01 17:50:31,still
2016-02-01 19:46:57,walking
2016-02-01 19:48:00,still
2016-02-01 19:49:19,walking
2016-02-01 19:50:20,still
2016-02-01 20:26:56,still
2016-02-01 20:59:10,walking
2016-02-01 21:03:04,walking
2016-02-01 21:06:40,walking
2016-02-01 21:07:41,still
2016-02-01 21:08:56,walking
2016-02-01 21:10:19,still
2016-02-01 21:12:44,walking
2016-02-01 21:14:50,still
2016-02-01 21:17:01,walking
2016-02-01 21:18:27,still
2016-02-01 21:31:35,walking
2016-02-01 21:33:28,still
2016-02-01 21:34:28,walking
2016-02-01 21:35:38,still
2016-02-01 21:40:58,walking
2016-02-01 21:42:57,still
2016-02-02 00:00:00,still
2016-02-02 07:03:49,walking
2016-02-02 07:04:54,walking
2016-02-02 07:06:31,walking
2016-02-02 07:17:56,in_vehicle
2016-02-02 07:31:59,walking
2016-02-02 07:34:08,walking
2016-02-02 07:36:39,still
2016-02-02 07:38:40,walking
2016-02-02 07:52:16,still
2016-02-02 09:12:48,walking
2016-02-02 09:19:32,still
2016-02-02 09:39:01,walking
2016-02-02 09:41:20,still
2016-02-02 13:30:56,walking
2016-02-02 13:32:01,still
2016-02-02 14:54:15,walking
2016-02-02 14:59:51,walking
2016-02-02 15:02:24,still
2016-02-02 15:49:27,walking
2016-02-02 15:56:46,walking
2016-02-02 15:57:46,still
2016-02-02 15:59:22,walking
2016-02-02 16:00:24,still
2016-02-02 18:31:43,walking
2016-02-02 18:33:01,still
2016-02-02 19:06:31,walking
2016-02-02 19:14:08,still
2016-02-02 19:51:17,walking
2016-02-02 19:54:37,in_vehicle
2016-02-02 20:02:52,still
2016-02-02 20:30:06,still
2016-02-02 21:54:14,in_vehicle
2016-02-02 22:03:32,walking
2016-02-02 22:05:25,still
2016-02-02 22:42:03,still
