date,ActivFit
2016-02-22 00:00:00,still
2016-02-22 06:59:12,in_vehicle
2016-02-22 07:15:32,still
2016-02-22 08:47:47,walking
2016-02-22 08:52:17,in_vehicle
2016-02-22 09:08:19,walking
2016-02-22 09:36:46,in_vehicle
2016-02-22 10:26:29,still
2016-02-22 10:35:32,walking
2016-02-22 10:38:15,walking
2016-02-22 11:12:40,in_vehicle
2016-02-22 11:31:37,walking
2016-02-22 11:35:22,still
2016-02-22 11:36:51,in_vehicle
2016-02-22 12:05:42,in_vehicle
2016-02-22 12:32:54,walking
2016-02-22 12:38:34,still
2016-02-22 12:41:37,walking
2016-02-22 12:42:38,in_vehicle
2016-02-22 12:52:07,walking
2016-02-22 12:53:56,still
2016-02-22 13:20:55,in_vehicle
2016-02-22 14:03:29,still
2016-02-22 14:37:57,in_vehicle
2016-02-22 14:49:59,still
2016-02-22 16:54:21,in_vehicle
2016-02-22 17:48:29,walking
2016-02-22 17:50:00,in_vehicle
2016-02-22 17:59:27,still
2016-02-22 20:36:56,still
2016-02-23 00:00:00,still
2016-02-23 06:16:57,in_vehicle
2016-02-23 07:12:42,walking
2016-02-23 07:14:14,still
2016-02-23 07:35:23,in_vehicle
2016-02-23 08:11:26,still
2016-02-23 08:21:30,in_vehicle
2016-02-23 08:35:05,still
2016-02-23 09:36:59,still
2016-02-23 09:56:39,in_vehicle
2016-02-23 10:14:57,walking
2016-02-23 10:15:59,in_vehicle
2016-02-23 10:17:55,still
2016-02-23 11:00:27,in_vehicle
2016-02-23 12:12:48,still
2016-02-23 12:41:46,in_vehicle
2016-02-23 13:36:19,still
2016-02-23 13:45:47,still
2016-02-23 14:00:35,in_vehicle
2016-02-23 14:10:36,still
2016-02-23 16:04:44,walking
2016-02-23 16:08:32,still
2016-02-23 17:36:34,in_vehicle
2016-02-23 18:00:16,walking
2016-02-23 18:01:18,still
2016-02-23 18:25:50,walking
2016-02-23 18:26:57,in_vehicle
2016-02-23 18:51:42,still
2016-02-24 00:00:00,still
2016-02-24 05:58:16,still
2016-02-24 05:59:40,in_vehicle
2016-02-24 07:24:37,still
2016-02-24 08:21:53,walking
2016-02-24 08:23:36,walking
2016-02-24 08:27:58,still
2016-02-24 09:28:42,walking
2016-02-24 09:32:59,walking
2016-02-24 09:35:17,still
2016-02-24 09:37:06,in_vehicle
2016-02-24 09:55:06,still
2016-02-24 11:55:31,in_vehicle
2016-02-24 12:04:58,walking
2016-02-24 12:05:59,in_vehicle
2016-02-24 12:16:41,still
2016-02-24 12:53:52,in_vehicle
2016-02-24 14:10:55,walking
2016-02-24 14:11:58,in_vehicle
2016-02-24 14:26:53,walking
2016-02-24 14:28:26,still
2016-02-24 14:51:20,in_vehicle
2016-02-24 15:02:43,still
2016-02-24 17:29:26,still
2016-02-24 17:30:27,walking
2016-02-24 17:31:31,still
2016-02-24 17:55:24,in_vehicle
2016-02-24 18:21:26,still
2016-02-24 23:20:36,walking
2016-02-24 23:22:18,still
2016-02-24 23:25:18,still
2016-02-25 00:00:00,still
2016-02-25 07:27:24,still
2016-02-25 08:07:07,walking
2016-02-25 08:08:47,in_vehicle
2016-02-25 08:20:52,walking
2016-02-25 08:22:00,still
2016-02-25 08:56:04,in_vehicle
2016-02-25 09:32:57,still
2016-02-25 10:11:50,in_vehicle
2016-02-25 10:19:56,walking
2016-02-25 10:21:31,still
2016-02-25 10:40:23,walking
2016-02-25 10:42:06,in_vehicle
2016-02-25 11:02:16,still
2016-02-25 12:29:39,in_vehicle
2016-02-25 12:53:13,still
2016-02-25 14:14:15,walking
2016-02-25 14:24:03,still
2016-02-25 14:31:31,still
2016-02-25 14:33:33,in_vehicle
2016-02-25 14:48:19,walking
2016-02-25 14:49:45,still
2016-02-25 14:52:48,walking
2016-02-25 14:54:38,still
2016-02-25 15:26:39,still
2016-02-25 15:43:56,still
2016-02-25 16:10:52,still
2016-02-25 17:47:23,still
2016-02-26 00:00:00,still
2016-02-26 07:00:29,in_vehicle
2016-02-26 07:15:41,still
2016-02-26 08:24:38,in_vehicle
2016-02-26 08:54:32,still
2016-02-26 09:49:09,in_vehicle
2016-02-26 10:10:10,still
2016-02-26 10:13:40,walking
2016-02-26 10:20:18,still
2016-02-26 10:28:24,walking
2016-02-26 10:31:52,still
2016-02-26 10:34:54,walking
2016-02-26 10:39:47,walking
2016-02-26 10:42:55,in_vehicle
2016-02-26 10:56:28,in_vehicle
2016-02-26 11:06:53,walking
2016-02-26 11:08:09,in_vehicle
2016-02-26 11:20:32,still
2016-02-26 11:56:09,still
2016-02-26 12:54:07,in_vehicle
2016-02-26 13:09:22,still
2016-02-26 13:42:37,still
2016-02-26 14:01:28,in_vehicle
2016-02-26 14:11:28,walking
2016-02-26 14:13:20,still
2016-02-26 15:37:47,walking
2016-02-26 15:39:50,in_vehicle
2016-02-26 17:32:31,still
2016-02-26 23:06:17,still
2016-02-27 00:00:00,still
2016-02-27 08:15:24,walking
2016-02-27 08:17:32,walking
2016-02-27 08:19:33,still
2016-02-27 08:25:33,walking
2016-02-27 08:27:27,still
2016-02-27 09:10:51,walking
2016-02-27 09:12:21,in_vehicle
2016-02-27 09:24:22,walking
2016-02-27 09:25:32,walking
2016-02-27 09:29:49,in_vehicle
2016-02-27 09:45:10,walking
2016-02-27 09:54:01,still
2016-02-27 09:58:01,walking
2016-02-27 10:02:12,still
2016-02-27 10:07:43,in_vehicle
2016-02-27 10:51:06,walking
2016-02-27 10:52:44,in_vehicle
2016-02-27 10:56:29,walking
2016-02-27 10:57:32,in_vehicle
2016-02-27 11:26:26,walking
2016-02-27 11:27:33,in_vehicle
2016-02-27 12:13:44,walking
2016-02-27 12:15:37,in_vehicle
2016-02-27 12:25:43,walking
2016-02-27 12:27:26,in_vehicle
2016-02-27 12:37:54,walking
2016-02-27 12:39:55,in_vehicle
2016-02-27 12:51:28,walking
2016-02-27 12:53:21,in_vehicle
2016-02-27 12:56:29,walking
2016-02-27 12:59:46,walking
2016-02-27 13:01:16,in_vehicle
2016-02-27 13:18:29,walking
2016-02-27 13:20:55,walking
2016-02-27 13:23:42,in_vehicle
2016-02-27 13:34:37,still
2016-02-27 17:04:31,in_vehicle
2016-02-27 17:20:14,still
2016-02-27 20:07:37,still
2016-02-27 22:16:33,still
2016-02-28 00:00:00,still
2016-02-28 07:46:35,walking
2016-02-28 07:52:16,still
2016-02-28 07:53:39,walking
2016-02-28 07:57:46,walking
2016-02-28 07:59:48,still
2016-02-28 08:12:54,in_vehicle
2016-02-28 08:32:26,walking
2016-02-28 08:37:07,in_vehicle
2016-02-28 08:53:46,walking
2016-02-28 09:02:00,still
2016-02-28 09:18:07,walking
2016-02-28 09:20:07,in_vehicle
2016-02-28 09:22:34,walking
2016-02-28 09:24:13,in_vehicle
2016-02-28 09:55:03,biking
2016-02-28 09:56:46,biking
2016-02-28 10:00:39,biking
2016-02-28 10:02:43,in_vehicle
2016-02-28 10:09:22,walking
2016-02-28 10:10:38,in_vehicle
2016-02-28 10:12:37,walking
2016-02-28 10:14:21,in_vehicle
2016-02-28 10:20:21,walking
2016-02-28 10:25:46,in_vehicle
2016-02-28 10:36:59,walking
2016-02-28 10:40:07,walking
2016-02-28 10:44:40,in_vehicle
2016-02-28 10:54:19,walking
2016-02-28 10:57:35,walking
2016-02-28 10:59:18,in_vehicle
2016-02-28 11:06:12,walking
2016-02-28 11:09:10,walking
2016-02-28 11:11:07,in_vehicle
2016-02-28 11:13:44,still
2016-02-28 11:36:46,walking
2016-02-28 11:37:47,in_vehicle
2016-02-28 11:47:42,walking
2016-02-28 11:51:44,walking
2016-02-28 11:52:48,in_vehicle
2016-02-28 12:00:59,walking
2016-02-28 12:02:47,in_vehicle
2016-02-28 12:12:31,walking
2016-02-28 12:13:52,in_vehicle
2016-02-28 12:15:13,walking
2016-02-28 12:18:59,in_vehicle
2016-02-28 12:27:56,walking
2016-02-28 12:31:35,in_vehicle
2016-02-28 12:45:23,still
2016-02-28 13:28:59,walking
2016-02-28 13:32:21,in_vehicle
2016-02-28 13:47:54,walking
2016-02-28 13:50:40,in_vehicle
2016-02-28 14:10:11,still
2016-02-28 15:10:58,in_vehicle
2016-02-28 17:06:12,still
2016-02-28 18:30:55,in_vehicle
2016-02-28 18:51:45,still
2016-02-28 21:55:50,still
2016-02-29 00:00:00,still
2016-02-29 06:37:41,in_vehicle
2016-02-29 07:15:46,still
2016-02-29 07:55:12,in_vehicle
2016-02-29 09:11:24,still
2016-02-29 13:48:11,walking
2016-02-29 13:49:55,in_vehicle
2016-02-29 13:57:00,walking
