date,ActivFit
2015-12-15 00:00:00,still
2015-12-15 09:27:07,in_vehicle
2015-12-15 09:28:41,still
2015-12-15 09:46:21,still
2015-12-15 09:48:24,in_vehicle
2015-12-15 10:56:15,walking
2015-12-15 10:58:35,still
2015-12-15 11:01:53,walking
2015-12-15 11:03:36,in_vehicle
2015-12-15 11:24:04,walking
2015-12-15 11:25:08,in_vehicle
2015-12-15 11:32:10,walking
2015-12-15 11:33:17,in_vehicle
2015-12-15 11:36:57,still
2015-12-15 11:40:09,walking
2015-12-15 11:43:46,still
2015-12-15 12:17:20,still
2015-12-17 00:02:00,in_vehicle
2015-12-17 00:29:52,in_vehicle
2015-12-17 01:12:27,in_vehicle
2015-12-17 01:30:49,in_vehicle
2015-12-17 02:25:26,in_vehicle
2015-12-17 02:48:54,still
2015-12-17 05:10:58,in_vehicle
2015-12-17 05:41:05,in_vehicle
2015-12-17 05:57:31,walking
2015-12-17 05:59:01,still
2015-12-17 06:03:22,walking
2015-12-17 06:09:29,still
2015-12-17 06:29:45,walking
2015-12-17 06:34:15,walking
2015-12-17 06:36:12,still
2015-12-17 06:50:31,in_vehicle
2015-12-17 07:41:02,still
2015-12-17 08:00:13,in_vehicle
2015-12-17 08:34:44,walking
2015-12-17 08:36:29,still
2015-12-17 09:31:08,in_vehicle
2015-12-17 09:48:13,walking
2015-12-17 09:53:01,still
2015-12-17 10:30:27,walking
2015-12-17 10:54:20,still
2015-12-17 11:19:42,walking
2015-12-17 11:23:54,still
2015-12-17 11:57:27,walking
2015-12-17 12:01:05,still
2015-12-17 12:55:40,in_vehicle
2015-12-17 13:39:16,still
2015-12-17 15:42:08,walking
2015-12-17 15:45:53,still
2015-12-17 15:58:41,walking
2015-12-17 16:20:13,still
2015-12-17 16:24:18,still
2015-12-17 17:23:45,still
2015-12-17 17:28:32,walking
2015-12-17 17:30:13,still
2015-12-17 17:35:47,still
2015-12-17 18:15:21,still
2015-12-17 18:17:59,walking
2015-12-17 18:22:42,still
2015-12-17 18:23:44,in_vehicle
2015-12-17 18:49:46,still
2015-12-17 19:02:04,walking
2015-12-17 19:04:29,still
2015-12-17 19:10:40,walking
2015-12-17 19:12:54,still
2015-12-17 20:21:31,in_vehicle
2015-12-17 21:58:40,walking
2015-12-17 22:01:09,walking
2015-12-17 22:05:06,still
2015-12-17 22:10:58,walking
2015-12-17 22:13:16,in_vehicle
2015-12-17 22:21:54,walking
2015-12-17 22:28:34,still
2015-12-17 22:29:41,walking
2015-12-17 22:34:11,still
2015-12-17 22:35:55,walking
2015-12-17 22:37:46,walking
2015-12-17 22:39:08,in_vehicle
2015-12-17 22:55:21,walking
2015-12-17 22:58:09,still
2015-12-18 00:00:00,still
2015-12-18 00:20:55,walking
2015-12-18 00:23:25,in_vehicle
2015-12-18 00:40:33,still
2015-12-18 11:32:17,in_vehicle
2015-12-18 11:43:30,walking
2015-12-18 11:44:34,still
2015-12-18 12:03:10,walking
2015-12-18 12:04:59,still
2015-12-18 12:54:00,still
2015-12-18 13:32:54,still
2015-12-18 13:51:15,in_vehicle
2015-12-18 14:01:49,walking
2015-12-18 14:04:59,still
2015-12-18 14:29:15,walking
2015-12-18 14:48:55,still
2015-12-18 14:51:44,walking
2015-12-18 14:53:19,still
2015-12-18 15:19:00,walking
2015-12-18 15:23:59,in_vehicle
2015-12-18 16:54:49,still
2015-12-18 16:59:49,walking
2015-12-18 17:16:11,still
2015-12-18 17:19:17,walking
2015-12-18 18:02:49,in_vehicle
2015-12-18 18:19:14,still
2015-12-18 18:21:05,walking
2015-12-18 18:26:31,walking
2015-12-18 18:44:41,still
2015-12-18 18:46:38,walking
2015-12-18 19:12:25,still
2015-12-18 19:14:59,walking
2015-12-18 19:17:07,in_vehicle
2015-12-18 19:56:28,walking
2015-12-18 20:07:51,still
2015-12-18 20:13:46,still
2015-12-18 20:17:49,walking
2015-12-18 20:18:50,walking
2015-12-18 20:27:29,walking
2015-12-18 20:29:46,in_vehicle
2015-12-18 20:46:23,walking
2015-12-18 20:49:08,walking
2015-12-18 20:54:45,still
2015-12-18 21:05:22,walking
2015-12-18 21:11:26,still
2015-12-18 21:32:46,still
2015-12-18 22:11:47,still
2015-12-18 22:14:59,still
2015-12-18 22:56:11,still
2015-12-18 23:19:09,in_vehicle
2015-12-18 23:39:52,still
2015-12-22 00:00:00,still
2015-12-22 00:28:19,walking
2015-12-22 00:32:14,still
2015-12-22 10:03:47,still
2015-12-22 10:07:49,walking
2015-12-22 10:32:32,still
2015-12-22 10:34:51,walking
2015-12-22 10:44:11,still
2015-12-22 11:03:22,walking
2015-12-22 11:11:00,in_vehicle
2015-12-22 11:23:07,walking
2015-12-22 11:41:02,still
2015-12-22 11:54:40,in_vehicle
2015-12-22 12:36:33,walking
2015-12-29 03:00:00,still
2015-12-29 03:58:42,in_vehicle
2015-12-29 04:12:17,still
2015-12-29 04:32:26,still
2015-12-29 11:10:20,in_vehicle
2015-12-29 11:29:28,still
2015-12-29 13:24:21,still
2015-12-29 13:31:08,still
2015-12-29 13:46:23,still
2015-12-29 13:48:41,in_vehicle
2015-12-29 15:44:09,walking
2015-12-29 15:48:29,walking
2015-12-29 15:52:32,still
2015-12-29 15:56:10,walking
2015-12-29 16:00:53,still
2015-12-29 16:05:00,walking
2015-12-29 16:08:35,still
2015-12-29 16:44:15,walking
2015-12-29 16:47:56,still
2015-12-29 16:53:14,in_vehicle
2015-12-30 00:00:00,in_vehicle
2015-12-30 01:35:32,still
2015-12-30 01:42:58,still
2015-12-30 18:02:13,still
2015-12-31 00:00:00,still
2015-12-31 00:39:42,in_vehicle
2015-12-31 01:22:11,still
2015-12-31 01:54:02,in_vehicle
2015-12-31 02:04:27,still
2015-12-31 08:12:37,still
2015-12-31 15:02:57,in_vehicle
2015-12-31 15:10:25,still
2015-12-31 15:57:46,still
2015-12-31 23:08:51,still
2016-01-04 00:00:00,still
2016-01-04 00:49:16,walking
2016-01-04 00:59:33,still
2016-01-04 01:01:04,walking
2016-01-04 01:04:48,still
2016-01-04 01:11:02,walking
2016-01-04 01:12:32,still
2016-01-04 01:16:02,walking
2016-01-04 01:20:00,still
2016-01-04 01:28:43,in_vehicle
2016-01-04 01:39:28,still
2016-01-04 10:37:58,in_vehicle
2016-01-04 11:16:25,walking
2016-01-04 11:18:00,in_vehicle
2016-01-04 11:22:00,walking
2016-01-04 11:24:45,in_vehicle
2016-01-04 11:31:41,still
2016-01-04 11:33:38,walking
2016-01-04 11:48:33,still
2016-01-04 13:29:45,walking
2016-01-04 13:40:28,still
2016-01-04 13:56:00,walking
2016-01-04 14:03:28,still
2016-01-04 14:39:53,walking
2016-01-04 14:45:37,still
2016-01-04 14:52:56,walking
2016-01-04 14:54:09,still
2016-01-04 16:53:43,still
2016-01-04 18:23:11,walking
2016-01-04 18:24:52,still
2016-01-04 18:35:07,walking
2016-01-04 18:37:55,still
2016-01-04 18:59:13,still
2016-01-04 19:09:30,walking
2016-01-04 19:12:53,still
2016-01-04 20:46:19,still
2016-01-04 20:57:51,walking
2016-01-04 21:14:00,still
2016-01-04 22:02:11,walking
2016-01-04 22:03:56,in_vehicle
2016-01-04 22:37:32,still
2016-01-05 00:00:00,still
2016-01-05 01:07:29,still
2016-01-05 05:31:09,still
2016-01-06 00:00:00,still
2016-01-06 10:16:19,walking
2016-01-06 10:54:04,still
2016-01-06 12:08:20,walking
2016-01-06 12:09:24,still
2016-01-06 12:21:08,walking
2016-01-06 12:29:14,still
2016-01-06 14:40:34,still
2016-01-06 14:59:25,walking
2016-01-06 15:00:30,still
2016-01-06 15:27:33,walking
2016-01-06 15:32:35,still
2016-01-06 16:04:39,walking
2016-01-06 16:10:29,still
2016-01-06 16:23:27,walking
2016-01-06 16:27:25,still
2016-01-06 16:29:16,walking
2016-01-06 16:33:25,in_vehicle
2016-01-06 16:53:57,still
2016-01-06 17:24:42,still
2016-01-06 19:00:59,still
