date,ActivFit
2016-05-13 00:00:00,still
2016-05-13 08:01:06,in_vehicle
2016-05-13 08:20:26,still
2016-05-13 09:19:23,walking
2016-05-13 09:20:30,still
2016-05-13 09:59:37,walking
2016-05-13 10:00:38,still
2016-05-13 10:08:14,walking
2016-05-13 10:10:00,still
2016-05-13 10:13:25,walking
2016-05-13 10:15:00,still
2016-05-13 10:27:26,walking
2016-05-13 10:29:00,walking
2016-05-13 10:31:00,still
2016-05-13 10:36:00,walking
2016-05-13 10:38:09,still
2016-05-13 10:39:38,in_vehicle
2016-05-13 11:14:40,still
2016-05-13 12:02:25,walking
2016-05-13 12:13:04,still
2016-05-13 12:30:59,walking
2016-05-13 12:32:46,still
2016-05-13 13:26:10,in_vehicle
2016-05-13 13:56:32,walking
2016-05-13 13:58:30,still
2016-05-13 15:50:14,still
2016-05-13 15:53:15,walking
2016-05-13 16:02:14,in_vehicle
2016-05-13 16:12:18,walking
2016-05-13 16:14:32,still
2016-05-13 16:19:21,walking
2016-05-13 16:21:14,still
2016-05-13 17:06:04,walking
2016-05-13 17:12:10,walking
2016-05-13 17:15:23,still
2016-05-13 17:16:37,in_vehicle
2016-05-13 18:18:57,walking
2016-05-13 18:20:53,still
2016-05-13 18:27:45,still
2016-05-13 18:43:34,walking
2016-05-13 18:44:53,walking
2016-05-13 18:52:37,walking
2016-05-13 21:31:49,still
2016-05-14 00:00:00,still
2016-05-14 08:57:27,walking
2016-05-14 08:59:01,in_vehicle
2016-05-14 09:18:48,walking
2016-05-14 09:28:22,still
2016-05-14 09:51:18,walking
2016-05-14 09:54:01,in_vehicle
2016-05-14 10:49:12,walking
2016-05-14 10:53:41,still
2016-05-14 10:56:01,walking
2016-05-14 10:57:13,still
2016-05-14 11:05:51,walking
2016-05-14 11:11:10,walking
2016-05-14 11:14:19,still
2016-05-14 11:39:16,walking
2016-05-14 11:58:49,walking
2016-05-14 12:00:14,still
2016-05-14 12:31:21,walking
2016-05-14 12:37:11,walking
2016-05-14 12:38:50,in_vehicle
2016-05-14 12:49:51,walking
2016-05-14 13:08:47,still
2016-05-14 13:22:01,walking
2016-05-14 13:24:36,still
2016-05-14 13:31:30,in_vehicle
2016-05-14 13:49:12,walking
2016-05-14 13:53:10,still
2016-05-14 13:57:01,walking
2016-05-14 13:58:01,still
2016-05-14 15:17:13,walking
2016-05-14 15:19:01,still
2016-05-14 16:37:01,walking
2016-05-14 16:38:01,still
2016-05-14 18:06:31,walking
2016-05-14 18:12:54,walking
2016-05-14 19:16:00,walking
2016-05-14 22:51:23,still
