date,ActivFit
2017-04-18 00:00:00,still
2017-04-18 00:01:35,walking
2017-04-18 00:02:41,still
2017-04-18 00:32:07,walking
2017-04-18 00:33:09,still
2017-04-18 00:43:17,walking
2017-04-18 00:45:55,still
2017-04-18 01:07:01,walking
2017-04-18 01:09:34,still
2017-04-18 01:14:19,in_vehicle
2017-04-18 01:27:48,still
2017-04-18 05:00:41,still
2017-04-18 06:33:16,still
2017-04-18 06:40:20,still
2017-04-18 06:42:50,still
2017-04-18 07:14:38,still
2017-04-18 07:21:00,still
2017-04-18 07:25:44,walking
2017-04-18 07:34:24,in_vehicle
2017-04-18 08:31:03,walking
2017-04-18 08:34:48,still
2017-04-18 15:34:52,still
2017-04-18 16:40:25,walking
2017-04-18 16:41:45,in_vehicle
2017-04-18 17:29:41,walking
2017-04-18 17:32:46,still
2017-04-18 17:35:00,still
2017-04-18 18:55:46,walking
2017-04-18 18:58:18,still
2017-04-18 19:00:06,walking
2017-04-18 19:04:58,still
2017-04-18 20:54:06,walking
2017-04-18 20:55:24,still
2017-04-18 20:57:05,walking
2017-04-18 20:58:08,still
2017-04-18 23:33:52,still
2017-04-18 23:39:29,still
2017-04-19 00:02:05,still
2017-04-19 00:04:54,walking
2017-04-19 00:05:59,still
2017-04-19 00:09:54,walking
2017-04-19 00:16:56,still
2017-04-19 00:21:32,still
2017-04-19 00:28:57,still
2017-04-19 00:36:20,walking
2017-04-19 00:37:37,walking
2017-04-19 00:39:38,still
2017-04-19 00:47:55,still
2017-04-19 00:50:56,walking
2017-04-19 00:52:44,still
2017-04-19 01:44:22,still
2017-04-19 01:51:09,still
2017-04-19 01:56:01,still
2017-04-19 02:03:41,walking
2017-04-19 02:06:30,still
2017-04-19 02:10:59,walking
2017-04-19 02:13:39,still
2017-04-19 02:22:57,walking
2017-04-19 02:23:58,still
2017-04-19 02:47:36,still
2017-04-19 02:49:30,walking
2017-04-19 02:55:26,still
2017-04-19 03:04:58,walking
2017-04-19 03:06:22,still
2017-04-19 03:13:43,walking
2017-04-19 03:19:35,still
2017-04-19 03:45:09,still
2017-04-19 03:57:38,still
2017-04-19 05:08:57,walking
2017-04-19 05:11:26,walking
2017-04-19 05:17:03,still
2017-04-19 06:32:47,walking
2017-04-19 06:36:56,still
2017-04-19 06:53:22,still
2017-04-19 07:05:47,walking
2017-04-19 07:07:25,walking
2017-04-19 07:10:18,still
2017-04-19 07:12:53,in_vehicle
2017-04-19 07:46:45,walking
2017-04-19 08:31:24,walking
2017-04-19 08:43:32,still
2017-04-19 22:06:28,still
2017-04-21 00:00:00,still
2017-04-21 16:14:02,still
2017-04-21 17:30:26,still
2017-04-21 17:37:07,walking
2017-04-21 17:38:07,in_vehicle
2017-04-21 18:31:13,walking
2017-04-21 18:34:32,still
2017-04-21 18:51:57,walking
2017-04-21 18:56:34,still
2017-04-21 19:31:22,walking
2017-04-21 19:35:03,still
2017-04-21 20:30:38,still
2017-04-21 20:39:11,still
2017-04-21 21:10:15,walking
2017-04-21 21:17:09,still
2017-04-21 21:32:05,still
2017-04-21 21:52:47,still
2017-04-21 21:56:05,walking
2017-04-21 21:58:25,still
2017-04-21 22:01:09,still
2017-04-21 22:13:25,still
2017-04-21 22:51:16,walking
2017-04-21 22:52:37,still
2017-04-21 23:36:24,walking
2017-04-21 23:37:48,still
2017-04-23 00:00:00,still
2017-04-23 01:07:52,still
2017-04-23 01:13:11,still
2017-04-23 01:14:44,walking
2017-04-23 01:18:21,walking
2017-04-23 01:22:50,walking
2017-04-23 01:24:40,still
2017-04-23 01:28:17,still
2017-04-23 01:33:01,walking
2017-04-23 01:35:31,still
2017-04-23 01:41:21,walking
2017-04-23 01:48:25,still
2017-04-23 01:51:32,walking
2017-04-23 01:54:57,still
2017-04-23 03:02:41,walking
2017-04-23 03:04:28,still
2017-04-23 03:14:19,walking
2017-04-23 03:16:16,still
2017-04-23 03:18:03,walking
2017-04-23 03:21:02,still
2017-04-23 03:29:12,walking
2017-04-23 03:30:33,still
2017-04-23 03:39:04,walking
2017-04-23 03:45:18,still
2017-04-23 03:49:20,still
2017-04-23 03:51:49,walking
2017-04-23 03:53:52,still
2017-04-23 04:09:23,walking
2017-04-23 04:12:12,still
2017-04-23 05:16:02,still
2017-04-23 05:23:01,walking
2017-04-23 05:25:44,still
2017-04-23 05:51:46,walking
2017-04-23 05:53:16,still
2017-04-23 06:08:06,walking
2017-04-23 06:11:36,still
2017-04-23 07:07:34,walking
2017-04-23 07:12:22,still
2017-04-23 07:13:53,in_vehicle
2017-04-23 08:00:27,walking
2017-04-23 08:02:48,still
2017-04-23 08:05:17,still
2017-04-23 16:24:45,still
2017-04-23 17:29:36,walking
2017-04-23 17:30:38,still
2017-04-23 17:36:08,walking
2017-04-23 17:37:29,in_vehicle
2017-04-23 18:26:34,still
2017-04-23 19:21:17,walking
2017-04-23 19:24:17,walking
2017-04-23 19:38:27,still
2017-04-23 19:58:17,walking
2017-04-23 19:59:28,still
2017-04-23 20:37:53,walking
2017-04-23 20:39:14,still
2017-04-23 20:41:55,walking
2017-04-23 20:42:57,still
2017-04-23 21:24:55,still
2017-04-23 21:54:18,walking
2017-04-23 21:55:20,still
2017-04-23 21:57:01,walking
2017-04-23 21:58:14,walking
2017-04-23 22:00:04,still
2017-04-23 22:40:02,walking
2017-04-23 22:41:41,still
2017-04-23 22:42:51,walking
2017-04-23 22:43:57,still
2017-04-23 22:49:01,walking
2017-04-23 22:51:43,still
2017-04-23 22:56:10,walking
2017-04-23 23:00:48,still
2017-04-23 23:36:37,walking
2017-04-23 23:44:32,still
2017-04-24 00:00:00,still
2017-04-24 01:32:04,walking
2017-04-24 01:35:01,walking
2017-04-24 01:37:11,still
2017-04-24 02:23:29,walking
2017-04-24 02:24:31,still
2017-04-24 03:31:20,walking
2017-04-24 03:32:56,still
2017-04-24 05:30:55,walking
2017-04-24 05:32:22,still
2017-04-24 07:01:01,walking
2017-04-24 07:03:05,still
2017-04-24 07:06:30,walking
2017-04-24 07:12:01,still
2017-04-24 07:13:12,in_vehicle
2017-04-24 08:03:46,still
2017-04-24 08:06:18,walking
2017-04-24 08:08:00,still
2017-04-24 15:56:25,in_vehicle
2017-04-24 16:03:39,walking
2017-04-24 16:05:37,still
2017-04-24 16:16:44,walking
2017-04-24 16:17:57,still
2017-04-24 16:34:01,walking
2017-04-24 16:36:27,still
2017-04-24 16:54:22,still
2017-04-24 16:55:51,walking
2017-04-24 16:57:52,still
2017-04-24 17:02:11,walking
2017-04-24 17:04:27,in_vehicle
2017-04-24 17:11:31,walking
2017-04-24 17:18:57,still
2017-04-24 22:21:56,still
2017-04-25 00:00:00,still
2017-04-25 22:21:56,still
2017-04-27 00:00:00,still
2017-04-27 00:07:23,still
2017-04-27 00:12:22,still
2017-04-27 00:32:31,still
2017-04-27 00:36:25,walking
2017-04-27 00:40:01,still
2017-04-27 00:41:41,walking
2017-04-27 00:44:53,still
2017-04-27 00:48:00,walking
2017-04-27 00:51:40,walking
2017-04-27 00:57:43,still
2017-04-27 01:30:43,walking
2017-04-27 01:32:29,still
2017-04-27 03:03:55,walking
2017-04-27 03:04:57,still
2017-04-27 03:14:07,walking
2017-04-27 03:16:13,still
2017-04-27 03:37:45,walking
2017-04-27 03:38:53,still
2017-04-27 04:29:56,walking
2017-04-27 04:31:09,still
2017-04-27 04:39:13,walking
2017-04-27 04:42:18,still
2017-04-27 04:51:21,still
2017-04-27 05:02:50,walking
2017-04-27 05:06:13,walking
2017-04-27 05:08:49,still
2017-04-27 05:13:48,walking
2017-04-27 05:16:50,still
2017-04-27 05:17:57,walking
2017-04-27 05:21:46,walking
2017-04-27 05:25:48,still
2017-04-27 05:49:10,walking
2017-04-27 05:52:20,still
2017-04-27 05:58:59,walking
2017-04-27 06:01:27,still
2017-04-27 06:26:27,walking
2017-04-27 06:34:03,walking
2017-04-27 06:37:50,still
2017-04-27 07:08:20,walking
2017-04-27 07:13:12,in_vehicle
2017-04-27 08:04:14,walking
2017-04-27 08:09:06,still
2017-04-27 16:14:56,still
2017-04-27 17:16:04,in_vehicle
2017-04-27 18:05:41,walking
2017-04-27 18:07:27,still
2017-04-27 18:09:57,still
2017-04-27 18:37:49,walking
2017-04-27 18:40:04,still
2017-04-27 18:42:47,walking
2017-04-27 18:49:03,still
2017-04-27 19:05:28,walking
2017-04-27 19:09:26,still
2017-04-27 19:11:45,walking
2017-04-27 19:12:58,still
2017-04-27 19:53:02,walking
2017-04-27 19:54:04,still
2017-04-27 19:59:09,walking
2017-04-27 20:02:00,still
2017-04-27 20:20:45,walking
2017-04-27 20:21:52,still
2017-04-27 21:35:42,walking
2017-04-27 21:37:29,still
2017-04-27 22:47:31,walking
2017-04-27 22:48:32,still
2017-04-27 22:55:05,walking
2017-04-27 22:56:55,still
2017-04-29 00:00:00,still
2017-04-29 10:30:27,walking
2017-04-29 10:32:31,still
2017-04-29 10:35:19,in_vehicle
2017-04-29 10:48:24,walking
2017-04-29 10:50:15,in_vehicle
2017-04-29 10:53:57,still
2017-04-29 11:02:25,walking
2017-04-29 11:08:36,still
2017-04-29 11:19:39,still
2017-04-29 11:21:03,walking
2017-04-29 11:22:06,in_vehicle
2017-04-29 11:33:24,walking
2017-04-29 11:38:53,still
2017-04-29 11:43:39,walking
2017-04-29 11:47:20,still
2017-04-29 11:51:33,in_vehicle
2017-04-29 12:02:12,still
2017-04-29 13:05:19,walking
2017-04-29 13:06:31,still
2017-04-29 13:30:45,still
2017-04-29 13:35:29,walking
2017-04-29 13:39:55,still
2017-04-29 13:44:19,walking
2017-04-29 13:45:44,still
2017-04-29 13:48:52,still
2017-04-29 13:51:46,in_vehicle
2017-04-29 14:14:21,still
2017-04-29 14:15:41,walking
2017-04-29 14:21:06,walking
2017-04-29 14:22:47,walking
2017-04-29 14:25:39,still
2017-04-29 14:29:45,walking
2017-04-29 14:30:47,still
2017-04-29 14:39:24,walking
2017-04-29 14:46:47,still
2017-04-29 14:48:50,walking
2017-04-29 14:50:36,still
2017-04-29 14:56:00,walking
2017-04-29 14:57:30,in_vehicle
2017-04-29 15:40:43,still
2017-04-29 15:45:31,in_vehicle
2017-04-29 15:53:06,still
2017-04-29 18:50:57,in_vehicle
2017-04-29 19:05:16,still
2017-04-29 20:07:21,running
2017-04-29 20:09:47,still
2017-05-01 00:00:00,still
2017-05-01 17:41:21,in_vehicle
2017-05-01 18:35:33,walking
2017-05-01 18:38:52,still
2017-05-01 18:48:46,walking
2017-05-01 18:52:34,still
2017-05-01 19:30:26,walking
2017-05-01 19:31:30,still
2017-05-01 19:57:28,walking
2017-05-01 19:58:33,still
2017-05-01 21:29:49,walking
2017-05-01 21:31:05,still
2017-05-01 21:42:48,walking
2017-05-01 21:44:07,still
2017-05-01 21:48:06,walking
2017-05-01 21:52:38,still
2017-05-01 22:26:50,walking
2017-05-01 22:27:58,still
2017-05-01 22:38:27,walking
2017-05-01 22:44:41,still
2017-05-01 23:04:49,walking
2017-05-01 23:06:04,still
2017-05-02 00:00:00,still
2017-05-02 01:01:17,walking
2017-05-02 01:03:57,walking
2017-05-02 01:05:23,still
2017-05-02 01:15:19,walking
2017-05-02 01:16:55,still
2017-05-02 01:27:23,walking
2017-05-02 01:29:05,still
2017-05-02 01:52:09,still
2017-05-02 01:56:53,still
2017-05-02 02:30:28,walking
2017-05-02 02:33:33,still
2017-05-02 02:51:13,still
2017-05-02 03:17:21,still
2017-05-02 03:37:47,walking
2017-05-02 03:40:37,walking
2017-05-02 03:42:33,still
2017-05-02 04:05:35,walking
2017-05-02 04:10:59,still
2017-05-02 04:18:39,walking
2017-05-02 04:20:50,still
2017-05-02 04:26:02,walking
2017-05-02 04:31:04,still
2017-05-02 04:41:39,still
2017-05-02 04:48:27,walking
2017-05-02 04:53:40,walking
2017-05-02 04:57:10,still
2017-05-02 05:04:53,still
2017-05-02 05:07:35,walking
2017-05-02 05:12:47,still
2017-05-02 05:17:00,walking
2017-05-02 05:27:42,still
2017-05-02 05:33:28,still
2017-05-02 05:35:44,walking
2017-05-02 05:37:59,still
2017-05-02 05:40:53,walking
2017-05-02 05:43:37,still
2017-05-02 06:43:07,still
2017-05-02 06:45:56,walking
2017-05-02 06:48:03,still
2017-05-02 07:04:36,walking
2017-05-02 07:06:08,walking
2017-05-02 07:09:33,in_vehicle
2017-05-02 07:44:51,walking
2017-05-02 07:47:43,still
2017-05-02 07:58:00,walking
2017-05-02 07:59:16,in_vehicle
2017-05-02 08:22:47,still
2017-05-02 08:24:20,walking
2017-05-02 08:27:48,still
2017-05-02 17:32:12,still
2017-05-02 17:36:39,still
2017-05-02 17:37:40,in_vehicle
2017-05-02 18:32:07,walking
2017-05-02 18:35:22,still
2017-05-02 18:49:19,walking
2017-05-02 18:54:02,still
2017-05-02 20:05:25,walking
2017-05-02 20:07:23,still
2017-05-02 20:09:15,walking
2017-05-02 20:10:23,still
2017-05-02 20:31:49,walking
2017-05-02 20:33:41,walking
2017-05-02 20:36:23,still
2017-05-02 20:41:22,walking
2017-05-02 20:42:42,still
2017-05-02 20:46:24,walking
2017-05-02 20:48:04,still
2017-05-02 22:06:45,walking
2017-05-02 22:08:25,still
2017-05-02 22:40:33,walking
2017-05-02 22:43:52,walking
2017-05-02 22:45:42,still
2017-05-02 22:47:45,still
2017-05-03 00:00:00,still
2017-05-03 01:07:29,walking
2017-05-03 01:09:11,walking
2017-05-03 01:10:45,still
2017-05-03 01:18:20,walking
2017-05-03 01:22:38,still
2017-05-03 01:37:21,walking
2017-05-03 01:38:50,still
2017-05-03 01:40:33,still
2017-05-03 01:46:48,still
2017-05-03 01:50:45,still
2017-05-03 02:13:51,walking
