date,ActivFit
2016-03-07 07:15:09,walking
2016-03-07 07:50:06,walking
2016-03-07 16:47:22,walking
2016-03-07 17:34:46,walking
2016-03-07 17:44:01,walking
2016-03-08 07:18:34,walking
2016-03-08 07:50:48,walking
2016-03-08 10:58:47,walking
2016-03-08 11:10:15,walking
2016-03-09 07:14:44,walking
2016-03-09 07:15:44,walking
2016-03-09 08:05:01,walking
2016-03-09 10:39:28,walking
2016-03-09 10:42:28,walking
2016-03-09 10:52:47,walking
2016-03-09 11:32:25,walking
2016-03-09 11:37:39,walking
2016-03-09 12:05:01,walking
2016-03-09 12:09:18,walking
2016-03-09 12:13:25,walking
2016-03-10 07:10:54,running
2016-03-10 07:12:46,running
2016-03-10 07:14:33,running
2016-03-10 07:40:59,walking
2016-03-10 07:41:59,walking
2016-03-10 08:58:08,walking
2016-03-10 09:24:21,walking
2016-03-10 09:30:30,walking
2016-03-10 11:00:24,walking
2016-03-10 12:12:10,walking
2016-03-10 15:48:30,walking
2016-03-10 16:31:10,walking
2016-03-10 17:08:37,walking
2016-03-10 17:19:31,walking
2016-03-10 17:57:48,walking
2016-03-10 18:10:24,walking
2016-03-10 18:13:02,walking
2016-03-10 18:37:21,walking
2016-03-10 18:41:26,walking
2016-03-10 18:44:27,walking
2016-03-10 19:20:07,walking
2016-03-11 06:55:18,walking
2016-03-11 07:09:41,walking
2016-03-11 07:13:24,running
2016-03-11 07:55:56,walking
2016-03-11 08:51:01,walking
2016-03-11 08:58:50,walking
2016-03-11 14:05:19,walking
2016-03-11 14:17:59,walking
2016-03-11 14:23:21,walking
2016-03-11 16:30:44,walking
2016-03-11 16:54:03,walking
2016-03-11 16:58:14,walking
2016-03-11 17:02:03,walking
2016-03-11 17:05:24,walking
2016-03-11 18:58:26,walking
2016-03-11 19:03:15,walking
2016-03-11 19:08:58,walking
2016-03-11 20:08:10,walking
2016-03-13 05:58:47,walking
2016-03-13 07:04:32,walking
2016-03-13 07:46:13,walking
2016-03-13 09:11:41,walking
2016-03-13 09:13:08,walking
2016-03-13 09:39:28,walking
2016-03-13 09:42:23,walking
2016-03-13 10:19:15,walking
2016-03-13 10:28:19,walking
2016-03-13 11:04:42,walking
2016-03-13 13:48:51,walking
2016-03-13 13:51:03,walking
2016-03-13 14:12:44,walking
2016-03-14 07:06:01,walking
2016-03-14 07:46:46,walking
2016-03-14 15:26:41,walking
2016-03-14 16:37:52,walking
2016-03-14 16:46:35,walking
2016-03-14 17:18:37,walking
2016-03-14 17:26:00,walking
2016-03-16 07:04:35,walking
2016-03-16 07:34:22,walking
2016-03-16 08:03:21,walking
2016-03-16 08:04:45,walking
2016-03-16 10:41:41,walking
2016-03-16 10:46:53,walking
2016-03-16 11:13:16,walking
2016-03-16 16:01:56,walking
2016-03-16 16:33:49,walking
2016-03-16 17:31:41,walking
2016-03-17 07:08:27,walking
2016-03-17 08:03:53,walking
2016-03-18 07:02:16,walking
2016-03-18 07:14:44,walking
2016-03-18 07:39:48,walking
2016-03-18 12:40:09,walking
2016-03-18 13:12:03,walking
2016-03-18 13:19:52,walking
2016-03-18 14:07:41,walking
2016-03-18 14:11:35,walking
2016-03-18 14:13:53,walking
2016-03-18 16:32:37,walking
2016-03-18 16:35:16,walking
