date,ActivFit
2016-02-15 06:41:30,walking
2016-02-15 06:51:45,walking
2016-02-15 07:51:27,walking
2016-02-15 07:52:31,walking
2016-02-15 08:19:00,walking
2016-02-15 09:44:00,walking
2016-02-15 09:46:57,walking
2016-02-15 10:16:36,walking
2016-02-15 12:15:19,walking
2016-02-15 15:20:23,walking
2016-02-15 15:23:18,walking
2016-02-15 15:31:36,walking
2016-02-15 16:17:19,walking
2016-02-15 16:19:06,walking
2016-02-15 16:30:38,walking
2016-02-15 17:03:17,walking
2016-02-15 17:10:29,walking
2016-02-15 17:15:18,walking
2016-02-15 17:56:10,walking
2016-02-15 18:02:40,walking
2016-02-16 10:29:57,walking
2016-02-16 10:37:16,walking
2016-02-16 12:46:11,walking
2016-02-16 12:47:36,walking
2016-02-16 12:48:44,walking
2016-02-16 13:03:26,walking
2016-02-16 13:11:18,walking
2016-02-16 13:15:19,walking
2016-02-16 16:35:18,walking
2016-02-16 18:19:46,walking
2016-02-16 18:24:00,walking
2016-02-16 18:46:56,walking
2016-02-16 19:27:18,walking
2016-02-16 20:11:59,walking
2016-02-17 06:53:07,walking
2016-02-17 06:58:20,walking
2016-02-17 07:00:05,walking
2016-02-17 08:50:45,walking
2016-02-17 08:52:46,walking
2016-02-17 09:07:19,walking
2016-02-17 09:09:22,walking
2016-02-17 12:07:16,walking
2016-02-17 13:50:21,walking
2016-02-17 15:18:47,walking
2016-02-17 15:41:08,walking
2016-02-17 16:24:54,walking
2016-02-17 16:25:57,walking
2016-02-17 17:17:40,walking
2016-02-17 17:19:26,walking
2016-02-17 18:33:26,walking
2016-02-17 19:44:41,walking
2016-02-17 20:03:27,walking
2016-02-17 20:06:35,walking
2016-02-17 20:14:22,walking
2016-02-17 20:17:16,walking
2016-02-17 20:24:41,walking
2016-02-17 20:27:26,walking
2016-02-17 20:31:45,walking
2016-02-17 20:34:41,walking
2016-02-17 20:39:58,walking
2016-02-18 06:52:08,walking
2016-02-18 06:53:16,walking
2016-02-18 06:58:12,walking
2016-02-18 08:47:37,walking
2016-02-18 09:57:17,walking
2016-02-18 11:27:49,walking
2016-02-18 13:18:40,walking
2016-02-18 13:29:45,walking
2016-02-18 13:44:36,walking
2016-02-18 14:39:31,walking
2016-02-18 16:13:26,walking
2016-02-18 16:32:40,walking
2016-02-18 17:08:58,walking
2016-02-18 17:31:24,walking
2016-02-18 19:09:00,walking
2016-02-19 06:28:15,walking
2016-02-19 06:47:22,walking
2016-02-19 06:50:53,walking
2016-02-19 09:38:03,walking
2016-02-19 09:42:29,walking
2016-02-19 09:57:44,walking
2016-02-19 13:14:18,still
2016-02-19 13:20:42,walking
2016-02-19 13:28:12,walking
2016-02-19 13:29:39,walking
2016-02-19 13:34:46,still
2016-02-19 14:35:42,still
2016-02-19 14:56:25,walking
2016-02-19 14:58:10,still
2016-02-19 15:08:13,walking
2016-02-19 15:11:33,in_vehicle
2016-02-19 15:52:30,walking
2016-02-19 16:00:43,still
2016-02-19 16:13:16,walking
2016-02-19 16:16:01,in_vehicle
2016-02-19 16:24:18,walking
2016-02-19 16:28:43,walking
2016-02-19 16:43:17,still
2016-02-19 16:46:32,in_vehicle
2016-02-19 17:00:10,still
2016-02-19 18:41:19,still
2016-02-19 19:11:35,walking
2016-02-19 19:19:08,still
2016-02-19 19:28:51,walking
2016-02-19 19:31:50,still
2016-02-19 20:36:29,in_vehicle
2016-02-19 20:50:46,still
2016-02-19 21:55:32,walking
2016-02-19 21:56:39,still
2016-02-19 23:23:20,still
2016-02-19 23:32:39,walking
2016-02-19 23:34:25,still
2016-02-19 23:35:34,walking
2016-02-20 00:00:00,still
2016-02-20 09:22:35,walking
2016-02-20 09:24:47,still
2016-02-20 09:50:50,still
2016-02-20 09:53:00,in_vehicle
2016-02-20 10:19:08,still
2016-02-20 10:22:12,walking
2016-02-20 10:29:12,still
2016-02-20 10:30:15,walking
2016-02-20 10:32:05,in_vehicle
2016-02-20 12:14:00,still
2016-02-20 12:17:16,still
2016-02-20 12:47:47,walking
2016-02-20 12:50:07,still
2016-02-20 13:01:07,in_vehicle
2016-02-20 13:38:48,still
2016-02-20 13:41:47,still
2016-02-20 14:56:06,walking
2016-02-20 14:57:12,still
2016-02-20 15:03:32,still
2016-02-20 15:37:30,walking
2016-02-20 15:46:08,walking
2016-02-20 15:48:38,still
2016-02-20 15:50:05,in_vehicle
2016-02-20 16:27:45,walking
2016-02-20 16:30:26,still
2016-02-20 18:37:05,still
2016-02-20 19:55:35,walking
2016-02-20 19:57:52,in_vehicle
2016-02-20 21:57:31,still
2016-02-20 21:59:42,walking
2016-02-20 22:01:02,still
2016-02-20 22:10:14,walking
2016-02-20 22:11:50,still
2016-02-20 22:32:08,walking
2016-02-20 22:34:48,still
2016-02-20 22:53:32,still
2016-02-21 00:00:00,still
2016-02-21 09:24:51,still
2016-02-21 09:59:48,still
2016-02-21 10:36:35,walking
2016-02-21 10:38:07,still
2016-02-21 10:48:42,still
2016-02-21 10:59:35,walking
2016-02-21 11:02:30,still
2016-02-21 13:33:12,walking
2016-02-21 13:41:15,still
2016-02-21 13:43:44,walking
2016-02-21 13:44:48,still
2016-02-21 14:02:33,walking
2016-02-21 14:03:56,still
2016-02-21 14:06:53,walking
2016-02-21 14:07:58,still
2016-02-21 14:44:05,still
2016-02-21 15:09:09,still
2016-02-21 16:34:40,still
2016-02-21 16:44:58,walking
2016-02-21 16:47:32,still
2016-02-21 17:45:08,still
2016-02-21 18:56:24,still
2016-02-21 22:52:35,still
2016-02-22 00:00:00,still
2016-02-22 06:23:26,in_vehicle
2016-02-22 06:52:14,walking
2016-02-22 07:01:35,walking
2016-02-22 07:05:42,walking
2016-02-22 07:06:42,still
2016-02-22 08:17:58,walking
2016-02-22 08:23:25,still
2016-02-22 08:34:34,walking
2016-02-22 08:36:42,still
2016-02-22 10:08:14,walking
2016-02-22 10:09:31,walking
2016-02-22 10:10:52,walking
2016-02-22 10:13:58,still
2016-02-22 10:23:08,walking
2016-02-22 10:25:08,still
2016-02-22 11:19:12,walking
2016-02-22 11:24:31,still
2016-02-22 11:52:54,walking
2016-02-22 11:56:01,still
2016-02-22 12:12:26,walking
2016-02-22 12:13:26,still
2016-02-22 13:50:37,still
2016-02-22 14:04:04,walking
2016-02-22 14:05:49,still
2016-02-22 14:07:21,walking
2016-02-22 14:09:36,still
2016-02-22 14:39:38,walking
2016-02-22 14:45:54,still
2016-02-22 16:03:16,still
2016-02-22 16:14:30,walking
2016-02-22 16:15:32,still
2016-02-22 16:30:20,walking
2016-02-22 16:32:02,in_vehicle
2016-02-22 17:08:09,still
2016-02-22 17:23:10,walking
2016-02-22 17:24:11,still
2016-02-22 21:55:54,still
2016-02-22 22:11:46,still
2016-02-22 22:18:29,still
2016-02-23 00:00:00,still
2016-02-23 06:25:25,in_vehicle
2016-02-23 06:55:40,walking
2016-02-23 06:59:11,still
2016-02-23 07:03:17,walking
2016-02-23 07:08:52,still
2016-02-23 07:40:03,still
2016-02-23 07:56:11,walking
2016-02-23 07:58:05,still
2016-02-23 10:06:26,walking
2016-02-23 10:08:15,walking
2016-02-23 10:13:00,still
2016-02-23 11:28:52,walking
2016-02-23 11:36:12,still
2016-02-23 12:03:48,walking
2016-02-23 12:08:07,still
2016-02-23 12:11:42,still
2016-02-23 13:31:46,walking
2016-02-23 13:37:00,walking
2016-02-23 13:40:38,in_vehicle
2016-02-23 13:49:27,walking
2016-02-23 13:53:01,still
2016-02-23 14:32:46,walking
2016-02-23 14:35:27,in_vehicle
2016-02-23 15:38:53,still
2016-02-23 22:31:04,still
2016-02-24 00:00:00,still
2016-02-24 14:06:51,walking
2016-02-24 14:09:51,still
2016-02-24 16:43:55,walking
2016-02-24 16:45:57,still
2016-02-24 17:24:20,walking
2016-02-24 17:25:36,still
2016-02-24 17:27:58,still
2016-02-24 17:36:20,walking
2016-02-24 17:39:42,in_vehicle
2016-02-24 17:59:33,walking
2016-02-24 18:02:01,walking
2016-02-24 18:09:30,still
2016-02-24 21:58:33,still
2016-02-25 00:00:00,still
2016-02-25 05:59:31,walking
2016-02-25 06:00:34,still
2016-02-25 06:04:34,walking
2016-02-25 06:06:35,in_vehicle
2016-02-25 06:46:30,walking
2016-02-25 06:51:26,still
2016-02-25 07:32:12,walking
