date,ActivFit
2016-01-20 00:00:00,still
2016-01-20 00:08:13,walking
2016-01-20 00:13:22,still
2016-01-20 09:50:32,in_vehicle
2016-01-20 10:07:22,walking
2016-01-20 10:08:58,in_vehicle
2016-01-20 10:09:59,walking
2016-01-20 10:11:45,walking
2016-01-20 10:13:18,in_vehicle
2016-01-20 10:20:30,walking
2016-01-20 10:22:00,walking
2016-01-20 10:23:05,walking
2016-01-20 10:29:34,walking
2016-01-20 10:34:16,walking
2016-01-20 10:35:18,walking
2016-01-20 10:36:19,in_vehicle
2016-01-20 10:41:02,walking
2016-01-20 10:42:36,walking
2016-01-20 10:49:21,still
2016-01-20 11:01:49,walking
2016-01-20 11:03:04,in_vehicle
2016-01-20 11:07:27,walking
2016-01-20 11:08:31,in_vehicle
2016-01-20 11:13:20,walking
2016-01-20 11:15:43,still
2016-01-20 11:18:40,walking
2016-01-20 11:23:41,walking
2016-01-20 11:27:28,in_vehicle
2016-01-20 11:33:33,walking
2016-01-20 11:34:38,in_vehicle
2016-01-20 11:36:59,walking
2016-01-20 11:38:00,in_vehicle
2016-01-20 11:39:46,walking
2016-01-20 11:43:36,in_vehicle
2016-01-20 11:58:59,walking
2016-01-20 12:00:04,in_vehicle
2016-01-20 12:24:00,walking
2016-01-20 12:25:22,running
2016-01-20 12:26:23,still
2016-01-20 12:29:22,walking
2016-01-20 12:31:31,walking
2016-01-20 12:34:13,in_vehicle
2016-01-20 12:55:47,still
2016-01-20 13:07:48,in_vehicle
2016-01-20 13:32:27,walking
2016-01-20 13:34:11,in_vehicle
2016-01-20 13:39:58,still
2016-01-20 14:12:20,walking
2016-01-20 14:22:17,walking
2016-01-20 14:27:52,still
2016-01-20 14:30:40,walking
2016-01-20 14:32:09,still
2016-01-20 15:12:58,walking
2016-01-20 15:14:48,walking
2016-01-20 15:16:58,still
2016-01-20 15:58:49,still
2016-01-20 16:09:29,walking
2016-01-20 16:10:58,still
2016-01-20 16:12:42,walking
2016-01-20 16:15:32,still
2016-01-20 16:42:20,walking
2016-01-20 16:43:21,still
2016-01-20 17:29:54,walking
2016-01-20 17:31:34,still
2016-01-20 17:53:45,in_vehicle
2016-01-20 17:58:25,walking
2016-01-20 17:59:28,in_vehicle
2016-01-20 18:02:46,walking
2016-01-20 18:05:48,in_vehicle
2016-01-20 18:06:52,walking
2016-01-20 18:11:48,still
2016-01-20 18:48:00,walking
2016-01-20 18:49:51,still
2016-01-20 19:02:56,biking
2016-01-20 19:22:14,still
2016-01-20 19:25:29,walking
2016-01-20 19:27:46,still
2016-01-20 20:24:29,still
2016-01-20 20:57:48,walking
2016-01-20 20:59:01,still
2016-01-20 21:00:34,walking
2016-01-20 21:01:57,still
2016-01-20 21:36:24,still
2016-01-20 21:41:09,walking
2016-01-20 21:42:26,still
2016-01-20 22:10:05,in_vehicle
2016-01-20 22:26:24,walking
2016-01-20 22:27:29,still
