date,ActivFit
2016-01-27 07:13:51,walking
2016-01-27 08:24:08,walking
2016-01-27 08:26:54,walking
2016-01-27 08:27:58,walking
2016-01-27 13:53:24,walking
2016-01-27 15:20:26,walking
2016-01-27 15:21:47,walking
2016-01-27 15:23:53,walking
2016-01-27 20:12:11,walking
2016-01-27 20:15:53,walking
2016-01-27 20:17:46,walking
2016-01-29 05:47:58,walking
2016-01-31 08:38:45,walking
2016-01-31 08:39:53,walking
2016-01-31 08:42:38,walking
2016-01-31 09:41:25,walking
2016-01-31 10:16:51,walking
2016-01-31 10:23:02,walking
2016-01-31 10:24:05,walking
2016-01-31 10:26:50,walking
2016-01-31 10:55:50,walking
2016-01-31 11:52:47,walking
2016-01-31 13:51:45,walking
2016-01-31 14:52:53,walking
2016-01-31 15:40:15,walking
2016-01-31 15:44:08,walking
2016-01-31 16:03:32,walking
2016-01-31 16:08:15,walking
2016-01-31 16:12:02,walking
2016-01-31 16:53:11,walking
2016-01-31 16:54:39,walking
2016-01-31 16:55:59,walking
2016-01-31 17:07:55,walking
2016-01-31 17:23:52,walking
2016-01-31 17:29:41,walking
2016-01-31 17:51:35,walking
2016-01-31 17:53:40,walking
2016-01-31 17:58:59,walking
2016-01-31 18:01:24,walking
2016-01-31 18:04:32,walking
2016-01-31 18:06:25,walking
2016-01-31 18:10:56,walking
2016-01-31 18:14:43,walking
2016-01-31 18:16:24,walking
2016-01-31 18:18:40,walking
2016-01-31 18:24:52,walking
2016-01-31 18:30:53,walking
2016-01-31 18:31:54,walking
2016-01-31 18:33:10,walking
2016-01-31 18:35:52,walking
2016-01-31 18:37:35,walking
2016-01-31 18:48:35,walking
2016-01-31 18:52:18,walking
2016-01-31 18:54:50,walking
2016-01-31 18:56:30,walking
2016-01-31 19:04:09,walking
2016-01-31 19:07:03,walking
2016-01-31 19:10:00,walking
2016-01-31 19:33:10,walking
2016-01-31 19:36:36,walking
2016-01-31 19:44:52,walking
2016-01-31 19:47:06,walking
2016-01-31 20:04:21,walking
2016-01-31 20:20:55,walking
2016-01-31 20:24:38,walking
2016-01-31 20:28:25,walking
2016-01-31 20:34:19,walking
2016-01-31 20:35:56,walking
2016-01-31 20:39:25,walking
2016-01-31 20:40:26,walking
2016-01-31 20:42:55,walking
2016-01-31 20:44:52,walking
2016-01-31 20:51:38,walking
2016-01-31 20:54:54,walking
2016-01-31 20:57:53,walking
2016-01-31 21:03:41,walking
2016-01-31 21:04:52,walking
2016-01-31 21:28:12,walking
2016-01-31 21:59:29,walking
2016-01-31 22:07:03,walking
2016-01-31 22:23:47,walking
2016-02-01 10:53:51,walking
2016-02-01 11:04:48,walking
2016-02-01 12:03:45,walking
2016-02-01 12:05:50,walking
2016-02-01 12:08:52,walking
2016-02-01 12:13:22,walking
2016-02-01 12:16:25,walking
2016-02-01 12:29:51,walking
2016-02-01 12:59:55,walking
2016-02-01 13:03:30,walking
2016-02-01 13:08:41,walking
2016-02-01 13:41:01,walking
2016-02-01 13:47:20,walking
2016-02-01 13:49:21,walking
2016-02-01 15:32:14,walking
2016-02-01 15:34:51,walking
2016-02-01 15:52:29,walking
2016-02-01 15:56:11,walking
2016-02-01 16:12:38,walking
2016-02-01 16:16:43,walking
2016-02-01 17:26:12,walking
2016-02-01 17:31:06,walking
2016-02-01 18:26:18,walking
2016-02-01 18:27:20,walking
2016-02-01 19:12:11,walking
2016-02-01 19:14:40,walking
2016-02-01 19:16:17,walking
2016-02-01 19:31:49,walking
2016-02-01 19:38:56,walking
2016-02-01 19:43:06,walking
2016-02-01 19:45:35,walking
2016-02-01 19:49:17,walking
2016-02-01 19:55:09,walking
2016-02-01 19:59:07,walking
2016-02-01 20:00:09,walking
2016-02-01 20:06:51,walking
2016-02-01 20:19:02,walking
2016-02-01 20:24:17,walking
2016-02-01 20:47:16,walking
2016-02-01 20:48:50,walking
2016-02-01 20:53:19,walking
2016-02-01 20:54:43,walking
2016-02-01 20:55:52,walking
2016-02-01 20:59:27,walking
2016-02-01 21:00:44,walking
2016-02-01 21:07:20,walking
2016-02-01 21:16:43,walking
2016-02-01 21:18:51,walking
2016-02-01 21:37:37,walking
2016-02-01 21:43:34,walking
2016-02-01 21:47:33,walking
2016-02-01 22:07:35,walking
2016-02-02 01:11:35,walking
2016-02-02 02:20:49,walking
2016-02-02 02:25:33,walking
2016-02-02 02:34:15,walking
2016-02-02 02:35:23,walking
2016-02-02 02:41:28,walking
2016-02-02 03:22:24,walking
2016-02-02 03:26:20,walking
2016-02-02 03:29:05,walking
2016-02-02 09:38:41,walking
2016-02-02 09:47:29,walking
2016-02-03 09:13:42,walking
2016-02-03 10:34:57,walking
2016-02-03 10:37:06,walking
2016-02-03 11:58:34,walking
2016-02-03 12:06:55,walking
2016-02-03 12:14:52,walking
2016-02-03 12:21:00,walking
