date,ActivFit
2017-03-22 00:00:00,running
2017-03-22 00:05:37,still
2017-03-22 00:59:24,still
2017-03-22 01:05:31,sleep
2017-03-22 06:50:30,still
2017-03-22 07:50:37,running
2017-03-22 08:38:46,still
2017-03-22 08:59:29,walking
2017-03-22 09:00:56,still
2017-03-22 09:02:38,in_vehicle
2017-03-22 09:41:42,still
2017-03-22 10:26:42,walking
2017-03-22 10:27:42,still
2017-03-22 11:13:42,walking
2017-03-22 11:14:42,still
2017-03-22 12:03:11,hiking
2017-03-22 12:24:42,still
2017-03-22 18:03:36,walking
2017-03-22 18:04:36,in_vehicle
2017-03-22 18:44:43,still
2017-03-22 18:45:48,still
2017-03-22 18:50:25,still
2017-03-22 18:52:11,walking
2017-03-22 18:54:16,still
2017-03-22 19:46:00,walking
2017-03-22 19:50:59,still
2017-03-22 19:53:06,walking
2017-03-22 19:54:11,walking
2017-03-22 19:55:36,still
2017-03-22 19:57:23,still
2017-03-22 20:03:33,still
2017-03-22 20:06:25,still
2017-03-22 22:06:20,still
2017-03-22 23:51:07,walking
2017-03-23 00:00:00,still
2017-03-23 07:18:11,running
2017-03-23 08:05:38,still
2017-03-23 08:23:38,still
2017-03-23 08:31:01,still
2017-03-23 08:37:05,still
2017-03-23 08:42:06,still
2017-03-23 08:46:17,still
2017-03-23 08:51:35,still
2017-03-23 08:58:49,still
2017-03-23 09:03:04,walking
2017-03-23 09:04:38,still
2017-03-23 09:06:19,in_vehicle
2017-03-23 09:42:34,walking
2017-03-23 09:44:36,still
2017-03-23 09:45:49,still
2017-03-23 09:47:36,walking
2017-03-23 09:48:36,still
2017-03-23 10:39:36,walking
2017-03-23 10:40:36,still
2017-03-23 12:07:39,hiking
2017-03-23 12:50:04,still
2017-03-23 13:09:36,walking
2017-03-23 13:10:36,still
2017-03-23 15:03:39,still
2017-03-23 15:07:46,walking
2017-03-23 15:08:54,still
2017-03-23 17:05:36,walking
2017-03-23 17:06:36,still
2017-03-23 18:08:36,walking
2017-03-23 18:09:36,still
2017-03-23 18:52:23,walking
2017-03-23 18:53:33,in_vehicle
2017-03-23 19:11:36,walking
2017-03-23 19:58:36,walking
2017-03-23 20:37:36,walking
2017-03-23 21:04:33,walking
2017-03-23 22:05:26,still
