date,ActivFit
2017-03-24 00:00:00,sleep
2017-03-24 07:04:02,still
2017-03-24 08:10:46,walking
2017-03-24 08:27:05,still
2017-03-24 08:53:35,in_vehicle
2017-03-24 09:08:07,still
2017-03-24 10:45:55,strength_training
2017-03-24 10:52:08,still
2017-03-24 11:39:32,walking
2017-03-24 11:49:11,walking
2017-03-24 11:54:25,still
2017-03-24 12:08:09,walking
2017-03-24 12:25:42,walking
2017-03-24 12:35:05,still
2017-03-24 12:58:44,sleep
2017-03-24 13:16:40,still
2017-03-24 14:48:06,still
2017-03-24 15:00:41,still
2017-03-24 15:48:51,still
2017-03-24 15:50:26,in_vehicle
2017-03-24 16:56:38,still
2017-03-24 17:27:00,walking
2017-03-24 17:28:05,walking
2017-03-24 17:31:24,still
2017-03-24 17:50:38,walking
2017-03-24 18:09:54,still
2017-03-24 18:47:32,walking
2017-03-24 18:49:22,in_vehicle
2017-03-24 18:55:48,still
2017-03-24 18:57:34,walking
2017-03-24 19:08:54,still
2017-03-24 19:26:39,walking
2017-03-24 19:29:27,still
2017-03-24 19:45:46,walking
2017-03-24 19:47:11,still
2017-03-24 20:35:48,still
2017-03-25 23:00:00,sleep
2017-03-26 08:00:55,still
2017-03-26 08:19:30,walking
2017-03-26 08:22:17,still
2017-03-26 10:29:54,walking
2017-03-26 10:39:06,walking
2017-03-26 10:41:48,still
2017-03-26 11:12:30,walking
2017-03-26 11:38:01,walking
2017-03-26 11:46:16,still
2017-03-26 12:00:01,walking
2017-03-26 12:01:11,still
2017-03-26 14:46:21,walking
2017-03-26 14:48:45,still
2017-03-26 15:12:42,walking
2017-03-26 15:15:16,still
2017-03-26 16:12:47,still
2017-03-26 16:25:13,still
2017-03-26 16:29:47,walking
2017-03-26 16:44:10,still
2017-03-26 17:26:39,still
2017-03-26 18:05:50,walking
2017-03-26 18:07:37,still
2017-03-26 18:23:36,walking
2017-03-26 18:27:32,still
2017-03-26 19:26:23,walking
2017-03-26 19:31:25,walking
2017-03-26 19:57:01,still
2017-03-26 20:21:43,still
2017-03-27 00:00:00,sleep
2017-03-27 07:23:44,still
2017-03-27 08:06:46,in_vehicle
2017-03-27 08:49:53,walking
2017-03-27 08:53:02,still
2017-03-27 09:24:52,walking
2017-03-27 09:26:17,still
2017-03-27 09:39:17,still
2017-03-27 10:33:03,still
2017-03-27 10:44:27,still
2017-03-27 11:00:14,strength_training
2017-03-27 11:04:41,still
2017-03-27 11:57:03,walking
2017-03-27 11:58:44,still
2017-03-27 12:22:02,walking
2017-03-27 12:44:40,still
2017-03-27 13:52:19,walking
2017-03-27 13:54:44,still
2017-03-27 14:06:47,still
2017-03-27 15:03:37,walking
2017-03-27 15:05:34,still
2017-03-27 15:08:53,in_vehicle
2017-03-27 15:46:16,walking
2017-03-27 15:53:33,still
2017-03-27 16:32:13,still
2017-03-27 17:27:03,still
2017-03-27 18:37:14,walking
2017-03-27 18:45:28,still
2017-03-27 18:56:37,walking
2017-03-27 18:58:01,walking
2017-03-27 19:22:33,walking
2017-03-27 19:34:04,still
2017-03-27 21:19:31,still
2017-03-27 21:48:14,walking
2017-03-27 21:52:28,still
2017-03-28 00:00:00,sleep
2017-03-28 08:00:13,still
2017-03-28 09:16:11,still
2017-03-28 11:16:39,strength_training
2017-03-28 11:18:59,still
2017-03-28 12:04:53,walking
2017-03-28 12:23:18,still
2017-03-28 12:28:42,walking
2017-03-28 12:29:43,walking
2017-03-28 12:36:07,still
2017-03-28 15:09:46,walking
2017-03-28 15:25:27,walking
2017-03-28 15:45:00,still
2017-03-28 16:59:01,still
2017-03-28 18:19:38,walking
2017-03-28 18:21:07,still
2017-03-28 18:22:07,running
2017-03-28 18:40:26,still
2017-03-28 18:43:13,running
2017-03-28 19:04:32,still
2017-03-28 19:12:14,running
2017-03-28 19:17:23,still
2017-03-28 19:31:22,still
2017-03-28 19:51:25,in_vehicle
2017-03-28 19:56:25,still
2017-03-28 20:24:48,still
2017-03-28 20:28:08,still
2017-03-28 21:03:15,still
2017-03-28 21:35:55,in_vehicle
2017-03-28 21:49:36,still
2017-03-29 00:00:00,sleep
2017-03-29 05:42:17,still
2017-03-29 06:19:31,still
2017-03-29 06:28:19,still
2017-03-29 06:30:59,in_vehicle
2017-03-29 06:57:01,still
2017-03-29 07:03:32,walking
2017-03-29 07:17:34,still
2017-03-29 08:01:15,walking
2017-03-29 08:05:16,still
2017-03-29 08:30:00,in_vehicle
2017-03-29 08:40:39,still
2017-03-29 09:32:03,walking
2017-03-29 09:36:23,in_vehicle
2017-03-29 09:53:21,still
2017-03-29 09:54:43,walking
2017-03-29 10:01:01,still
2017-03-29 10:26:54,walking
2017-03-29 10:29:22,still
2017-03-29 11:10:48,walking
2017-03-29 11:13:41,still
2017-03-29 11:39:05,walking
2017-03-29 11:46:34,still
2017-03-29 14:40:14,walking
2017-03-29 14:42:27,still
2017-03-29 16:36:19,walking
2017-03-29 16:38:24,in_vehicle
2017-03-29 16:58:34,walking
2017-03-29 17:00:01,still
2017-03-29 17:01:26,in_vehicle
2017-03-29 17:08:32,walking
2017-03-29 17:16:23,still
