date,ActivFit
2016-05-06 00:00:00,still
2016-05-06 12:48:01,walking
2016-05-06 12:51:01,still
2016-05-06 14:08:41,in_vehicle
2016-05-06 14:19:23,still
2016-05-06 17:10:01,walking
2016-05-06 17:12:01,in_vehicle
2016-05-06 17:29:08,walking
2016-05-06 17:32:08,still
2016-05-06 21:32:17,still
2016-05-07 00:00:00,still
2016-05-07 10:26:40,in_vehicle
2016-05-07 11:02:01,still
2016-05-07 12:42:25,walking
2016-05-07 12:44:01,still
2016-05-07 22:28:07,still
2016-05-08 00:00:00,still
2016-05-08 06:20:01,walking
2016-05-08 06:21:07,still
2016-05-08 06:32:56,walking
2016-05-08 06:37:33,in_vehicle
2016-05-08 07:23:31,walking
2016-05-08 07:25:22,still
2016-05-08 16:10:38,walking
2016-05-08 16:14:35,in_vehicle
2016-05-08 16:34:16,still
2016-05-08 16:36:07,walking
2016-05-08 16:38:31,still
2016-05-08 16:40:45,walking
2016-05-08 16:43:05,still
2016-05-08 23:14:37,still
2016-05-09 00:00:00,still
2016-05-09 06:23:15,in_vehicle
2016-05-09 07:21:49,walking
2016-05-09 07:23:28,still
2016-05-09 14:13:59,walking
2016-05-09 14:15:58,still
2016-05-09 14:57:59,walking
2016-05-09 14:59:00,walking
2016-05-09 15:04:19,walking
2016-05-09 15:06:55,still
2016-05-09 16:13:26,walking
2016-05-09 16:15:37,in_vehicle
2016-05-09 16:17:00,walking
2016-05-09 16:18:00,in_vehicle
2016-05-09 16:34:20,walking
2016-05-09 16:42:31,still
2016-05-09 19:02:01,walking
2016-05-09 19:03:07,still
2016-05-09 19:05:01,walking
2016-05-09 19:07:01,walking
2016-05-09 19:09:01,still
2016-05-09 19:19:01,walking
2016-05-09 19:21:01,still
2016-05-09 20:44:38,walking
2016-05-09 20:46:01,walking
2016-05-09 20:49:01,still
2016-05-09 21:07:01,walking
2016-05-09 21:11:01,still
2016-05-09 23:33:29,still
2016-05-10 00:00:00,still
2016-05-10 04:32:29,in_vehicle
2016-05-10 04:50:27,still
2016-05-10 06:32:08,in_vehicle
2016-05-10 07:32:34,walking
2016-05-10 07:35:01,still
2016-05-10 09:53:53,walking
2016-05-10 09:56:03,still
2016-05-10 10:01:41,walking
2016-05-10 10:03:22,still
2016-05-10 16:15:29,walking
2016-05-10 16:17:25,still
2016-05-10 16:18:43,in_vehicle
2016-05-10 16:34:39,walking
2016-05-10 16:36:08,still
2016-05-10 23:31:55,still
2016-05-11 00:00:00,still
2016-05-11 06:30:45,walking
2016-05-11 06:32:15,in_vehicle
2016-05-11 07:36:01,walking
2016-05-11 07:37:39,still
2016-05-11 10:38:14,still
2016-05-11 13:41:55,walking
2016-05-11 13:42:56,still
2016-05-11 14:19:48,walking
2016-05-11 14:20:48,still
2016-05-11 16:10:59,walking
2016-05-11 16:12:45,still
2016-05-11 16:15:59,in_vehicle
2016-05-11 16:33:03,walking
2016-05-11 16:35:08,still
2016-05-11 23:04:38,still
2016-05-12 00:00:00,still
2016-05-12 06:06:01,walking
2016-05-12 06:07:22,still
2016-05-12 06:19:27,in_vehicle
2016-05-12 07:24:46,walking
2016-05-12 07:27:17,still
2016-05-12 10:28:18,still
2016-05-12 11:43:24,walking
2016-05-12 11:49:39,still
2016-05-12 14:59:06,walking
2016-05-12 15:01:01,still
2016-05-12 15:04:01,walking
2016-05-12 15:05:01,still
2016-05-12 17:10:55,walking
2016-05-12 17:13:08,in_vehicle
2016-05-12 17:37:53,still
2016-05-12 17:40:04,walking
2016-05-12 17:42:30,still
2016-05-12 19:01:01,walking
2016-05-12 19:05:08,still
2016-05-12 19:24:01,walking
2016-05-12 19:27:01,still
2016-05-12 19:30:00,in_vehicle
2016-05-12 19:44:01,walking
2016-05-12 19:45:01,in_vehicle
2016-05-12 19:46:34,still
2016-05-12 21:31:08,still
2016-05-13 00:00:00,still
2016-05-13 04:34:58,in_vehicle
2016-05-13 04:50:34,still
2016-05-13 05:03:07,in_vehicle
2016-05-13 05:21:36,still
2016-05-13 05:34:40,in_vehicle
2016-05-13 06:24:12,still
2016-05-13 10:34:24,in_vehicle
2016-05-13 10:49:41,still
2016-05-13 16:34:14,still
2016-05-13 19:55:07,walking
2016-05-13 19:56:17,still
2016-05-13 23:09:31,still
2016-05-14 00:00:00,still
2016-05-14 07:07:32,in_vehicle
2016-05-14 08:04:54,walking
2016-05-14 08:06:57,still
2016-05-14 11:13:06,walking
2016-05-14 11:15:42,in_vehicle
2016-05-14 11:58:15,still
2016-05-14 12:00:03,walking
2016-05-14 12:01:29,still
2016-05-14 12:02:44,walking
2016-05-14 12:07:45,still
2016-05-14 13:32:30,in_vehicle
2016-05-14 13:55:50,still
2016-05-14 23:32:43,still
2016-05-15 00:00:00,still
2016-05-15 04:20:54,still
2016-05-15 04:51:56,still
2016-05-15 05:23:04,still
2016-05-15 05:42:01,still
2016-05-15 06:52:40,in_vehicle
2016-05-15 07:46:26,walking
2016-05-15 07:54:11,still
2016-05-15 11:32:36,still
2016-05-15 11:34:00,walking
2016-05-15 11:36:04,still
2016-05-15 12:52:57,walking
2016-05-15 12:58:17,still
2016-05-15 13:09:24,still
2016-05-15 13:57:37,walking
2016-05-15 14:03:02,still
2016-05-15 14:06:51,in_vehicle
2016-05-15 14:19:01,walking
2016-05-15 14:22:01,in_vehicle
2016-05-15 14:24:55,still
2016-05-15 14:33:46,walking
2016-05-15 14:38:39,still
2016-05-15 15:14:36,in_vehicle
2016-05-15 15:33:01,walking
2016-05-15 15:35:01,in_vehicle
2016-05-15 15:42:44,still
2016-05-15 15:58:22,in_vehicle
2016-05-15 16:01:02,walking
2016-05-15 16:03:01,in_vehicle
2016-05-15 16:21:46,walking
2016-05-15 16:25:34,still
2016-05-15 19:37:14,in_vehicle
2016-05-15 19:49:49,still
2016-05-15 20:09:06,still
2016-05-15 21:53:13,still
2016-05-16 00:00:00,still
2016-05-16 04:51:01,still
2016-05-16 06:31:05,in_vehicle
2016-05-16 06:35:01,walking
2016-05-16 06:36:04,in_vehicle
2016-05-16 07:39:01,walking
2016-05-16 07:40:03,still
2016-05-16 10:56:09,walking
2016-05-16 11:00:38,still
2016-05-16 11:09:32,walking
2016-05-16 11:10:57,still
2016-05-16 11:19:01,walking
2016-05-16 11:20:01,still
2016-05-16 12:58:59,walking
2016-05-16 13:00:00,still
2016-05-16 14:11:03,still
2016-05-16 16:24:25,walking
2016-05-16 16:28:28,still
2016-05-16 16:33:31,in_vehicle
2016-05-16 16:45:26,walking
2016-05-16 16:47:53,still
2016-05-16 21:33:57,still
2016-05-17 00:00:00,still
2016-05-17 06:29:42,walking
2016-05-17 06:32:40,still
2016-05-17 06:37:48,in_vehicle
2016-05-17 07:27:52,walking
2016-05-17 07:29:38,still
2016-05-17 09:12:31,walking
2016-05-17 09:24:36,still
2016-05-17 15:19:02,walking
2016-05-17 15:20:11,still
2016-05-17 16:24:17,walking
2016-05-17 16:32:59,still
2016-05-17 16:34:18,in_vehicle
2016-05-17 16:50:48,walking
2016-05-17 16:52:01,in_vehicle
2016-05-17 18:49:25,still
2016-05-17 21:29:07,still
2016-05-18 00:00:00,still
2016-05-18 06:24:01,walking
2016-05-18 06:25:01,still
2016-05-18 06:27:17,walking
2016-05-18 06:34:00,in_vehicle
2016-05-18 07:23:32,still
2016-05-18 07:27:31,walking
2016-05-18 07:31:15,still
2016-05-18 10:08:01,walking
2016-05-18 10:12:09,still
2016-05-18 10:16:10,walking
2016-05-18 10:18:56,still
2016-05-18 13:25:16,still
2016-05-18 15:23:37,walking
2016-05-18 15:26:09,still
2016-05-18 15:28:13,in_vehicle
2016-05-18 15:39:44,in_vehicle
2016-05-18 15:50:30,walking
2016-05-18 15:52:43,still
2016-05-18 17:06:05,in_vehicle
2016-05-18 18:06:24,still
2016-05-18 20:32:16,still
2016-05-19 00:00:00,still
2016-05-19 04:33:25,in_vehicle
2016-05-19 05:44:15,still
2016-05-19 06:36:44,walking
2016-05-19 06:42:29,still
2016-05-19 06:47:00,in_vehicle
2016-05-19 07:37:07,walking
2016-05-19 07:39:12,still
2016-05-19 13:54:30,walking
2016-05-19 13:57:24,in_vehicle
2016-05-19 14:44:50,walking
2016-05-19 14:48:34,still
2016-05-19 15:57:36,walking
2016-05-19 16:03:48,walking
2016-05-19 16:04:53,walking
2016-05-19 16:06:11,in_vehicle
2016-05-19 17:03:08,walking
2016-05-19 17:07:36,still
2016-05-19 17:10:01,walking
2016-05-19 17:11:39,still
2016-05-19 18:02:08,still
2016-05-21 00:00:00,still
2016-05-21 04:59:36,still
2016-05-21 16:31:11,walking
2016-05-21 16:32:32,still
2016-05-21 18:46:17,walking
2016-05-21 18:47:36,still
2016-05-21 21:06:41,in_vehicle
2016-05-21 21:10:27,walking
2016-05-21 21:12:27,walking
2016-05-21 21:13:29,in_vehicle
2016-05-21 21:18:06,still
2016-05-21 23:02:18,still
