date,ActivFit
2016-12-13 00:00:00,still
2016-12-13 06:43:09,walking
2016-12-13 06:44:50,still
2016-12-13 06:52:14,in_vehicle
2016-12-13 07:10:51,walking
2016-12-13 07:12:52,still
2016-12-13 07:37:19,walking
2016-12-13 07:40:01,still
2016-12-13 07:51:42,walking
2016-12-13 07:52:43,still
2016-12-13 08:07:06,walking
2016-12-13 08:09:50,walking
2016-12-13 08:11:21,walking
2016-12-13 08:13:23,still
2016-12-13 08:15:26,walking
2016-12-13 08:16:26,still
2016-12-13 08:43:45,walking
2016-12-13 08:44:46,still
2016-12-13 08:45:47,walking
2016-12-13 08:50:54,still
2016-12-13 08:57:01,walking
2016-12-13 09:02:01,still
2016-12-13 09:42:00,walking
2016-12-13 09:44:01,still
2016-12-13 10:06:01,walking
2016-12-13 10:07:01,still
2016-12-13 10:17:00,walking
2016-12-13 10:18:00,still
2016-12-13 10:21:00,walking
2016-12-13 10:23:07,still
2016-12-13 10:51:57,walking
2016-12-13 10:53:43,still
2016-12-13 11:52:03,walking
2016-12-13 11:54:07,in_vehicle
2016-12-13 12:23:08,still
2016-12-13 12:24:55,walking
2016-12-13 12:26:31,still
2016-12-13 12:40:00,walking
2016-12-13 12:41:35,in_vehicle
2016-12-13 13:16:51,still
2016-12-13 13:45:01,walking
2016-12-13 13:47:03,still
2016-12-13 13:51:01,walking
2016-12-13 13:52:01,still
2016-12-13 14:00:00,walking
2016-12-13 14:02:46,still
2016-12-13 14:04:01,walking
2016-12-13 14:05:31,still
2016-12-13 14:08:00,walking
2016-12-13 14:10:05,still
2016-12-13 14:13:00,walking
2016-12-13 14:15:35,still
2016-12-13 14:25:01,walking
2016-12-13 14:27:01,still
2016-12-13 14:31:51,walking
2016-12-13 14:41:01,still
2016-12-13 14:43:17,walking
2016-12-13 14:46:01,walking
2016-12-13 14:48:00,still
2016-12-13 15:06:21,still
2016-12-13 15:57:42,walking
2016-12-13 16:00:57,in_vehicle
2016-12-13 16:29:40,walking
2016-12-13 16:36:22,walking
2016-12-13 16:50:33,still
2016-12-13 16:59:14,in_vehicle
2016-12-13 17:13:44,walking
2016-12-13 17:14:46,still
2016-12-13 17:20:01,walking
2016-12-13 17:22:01,still
2016-12-13 18:21:55,still
2016-12-13 18:40:52,walking
2016-12-13 18:42:12,still
2016-12-14 00:00:00,still
2016-12-14 01:52:33,still
2016-12-14 09:21:26,still
2016-12-14 09:25:49,walking
2016-12-14 09:29:55,walking
2016-12-14 09:33:25,still
2016-12-14 09:35:49,in_vehicle
2016-12-14 09:54:37,still
2016-12-14 10:02:35,still
2016-12-14 10:29:50,walking
2016-12-14 10:31:01,still
2016-12-14 10:43:49,in_vehicle
2016-12-14 11:03:29,still
2016-12-14 11:05:35,walking
2016-12-14 11:07:00,still
2016-12-14 12:27:40,still
2016-12-14 12:34:06,still
2016-12-14 13:28:20,still
2016-12-14 14:08:00,running
2016-12-14 14:09:01,still
2016-12-14 14:50:00,walking
2016-12-14 15:02:00,in_vehicle
2016-12-14 15:35:20,walking
2016-12-14 15:46:00,walking
2016-12-14 15:53:00,walking
2016-12-14 15:59:08,still
2016-12-14 16:07:16,still
2016-12-14 16:10:19,in_vehicle
2016-12-14 16:20:01,walking
2016-12-14 16:21:01,in_vehicle
2016-12-14 16:58:01,walking
2016-12-14 16:59:01,in_vehicle
2016-12-14 17:11:01,walking
2016-12-14 18:46:44,still
2016-12-14 19:28:00,still
2016-12-14 19:51:17,walking
2016-12-14 19:52:24,still
2016-12-14 22:49:27,walking
2016-12-14 22:50:54,still
2016-12-15 00:00:00,still
2016-12-15 06:25:44,walking
2016-12-15 06:26:59,still
2016-12-15 06:39:42,in_vehicle
2016-12-15 07:01:35,walking
2016-12-15 07:03:05,still
2016-12-15 07:14:09,walking
2016-12-15 07:19:22,still
2016-12-15 07:47:42,still
2016-12-15 07:54:41,still
2016-12-15 08:09:43,still
2016-12-15 08:23:05,walking
2016-12-15 08:24:21,still
2016-12-15 08:32:49,walking
2016-12-15 08:33:50,still
2016-12-15 09:00:59,walking
2016-12-15 09:02:00,still
2016-12-15 09:06:21,walking
2016-12-15 09:07:26,still
2016-12-15 09:26:09,walking
2016-12-15 09:27:44,still
2016-12-15 09:35:28,still
2016-12-15 09:54:03,still
2016-12-15 10:13:38,still
2016-12-15 10:22:47,still
2016-12-15 10:46:37,still
2016-12-15 10:48:37,walking
2016-12-15 10:50:00,still
2016-12-15 10:54:16,walking
2016-12-15 10:57:53,still
2016-12-15 11:05:37,walking
2016-12-15 11:10:59,still
2016-12-15 11:15:31,walking
2016-12-15 11:23:41,walking
2016-12-15 11:31:04,still
2016-12-15 11:46:37,still
2016-12-15 11:53:46,walking
2016-12-15 11:59:11,still
2016-12-15 12:07:38,walking
2016-12-15 12:11:59,still
2016-12-15 12:14:45,in_vehicle
2016-12-15 12:35:38,still
2016-12-15 12:59:08,walking
2016-12-15 13:03:16,still
2016-12-15 13:47:36,walking
2016-12-15 13:49:07,still
2016-12-15 15:20:00,walking
2016-12-15 15:24:01,still
2016-12-15 15:45:31,walking
2016-12-15 15:48:32,walking
2016-12-15 15:53:01,still
2016-12-15 16:11:01,walking
2016-12-15 16:12:01,still
2016-12-15 16:20:07,walking
2016-12-15 16:25:12,still
2016-12-15 20:00:32,still
2016-12-15 20:08:32,walking
2016-12-15 20:11:05,still
2016-12-15 20:25:09,still
2016-12-15 21:00:29,walking
2016-12-15 21:01:31,in_vehicle
2016-12-15 21:18:48,still
2016-12-15 21:23:48,still
2016-12-15 21:57:12,walking
2016-12-15 22:00:13,still
2016-12-15 22:06:44,in_vehicle
2016-12-15 22:16:00,walking
2016-12-15 22:17:01,in_vehicle
2016-12-15 22:22:00,walking
2016-12-15 22:23:00,in_vehicle
2016-12-15 22:27:00,walking
2016-12-15 22:28:00,in_vehicle
2016-12-15 22:52:10,walking
2016-12-15 22:54:18,still
2016-12-15 22:55:48,in_vehicle
2016-12-15 23:21:47,walking
2016-12-15 23:31:50,still
2016-12-15 23:33:34,still
2016-12-15 23:36:18,walking
2016-12-15 23:38:54,still
2016-12-16 00:00:00,still
2016-12-16 06:17:49,in_vehicle
2016-12-16 06:36:44,walking
2016-12-16 06:42:01,still
2016-12-16 07:50:02,still
2016-12-16 07:51:03,walking
2016-12-16 07:52:47,still
2016-12-16 07:58:12,walking
2016-12-16 08:07:02,still
2016-12-16 08:09:06,walking
2016-12-16 08:11:09,still
2016-12-16 08:23:01,walking
2016-12-16 08:27:33,still
2016-12-16 08:36:05,walking
2016-12-16 08:43:00,still
2016-12-16 09:10:08,still
2016-12-16 09:15:09,still
2016-12-16 09:25:39,walking
2016-12-16 09:44:05,still
2016-12-16 09:50:00,still
2016-12-16 09:59:04,walking
2016-12-16 10:04:11,still
2016-12-16 10:10:10,walking
2016-12-16 10:20:00,in_vehicle
2016-12-16 10:50:17,still
2016-12-16 10:53:02,in_vehicle
2016-12-16 11:47:21,still
2016-12-16 13:52:30,walking
2016-12-16 13:55:05,walking
2016-12-16 13:56:41,still
2016-12-16 18:10:34,in_vehicle
2016-12-16 18:23:24,walking
2016-12-16 18:33:07,still
2016-12-16 18:36:05,walking
2016-12-16 18:41:02,in_vehicle
2016-12-16 18:52:25,still
2016-12-16 19:11:19,still
2016-12-16 19:13:48,walking
2016-12-16 19:17:07,still
2016-12-16 20:14:18,walking
2016-12-16 20:16:59,in_vehicle
2016-12-16 20:27:00,walking
2016-12-16 20:28:01,in_vehicle
2016-12-16 20:32:06,still
2016-12-16 20:36:42,walking
2016-12-16 20:51:00,walking
2016-12-16 20:59:09,still
2016-12-16 21:13:30,still
