date,ActivFit
2016-09-18 11:12:19,walking
2016-09-18 11:47:20,walking
2016-09-18 11:51:17,walking
2016-09-18 11:57:46,walking
2016-09-18 12:01:28,walking
2016-09-21 00:00:18,in_vehicle
2016-09-21 00:18:24,still
2016-09-21 00:25:06,walking
2016-09-21 00:26:21,still
2016-09-21 00:32:53,walking
2016-09-21 00:35:02,still
2016-09-21 01:04:42,still
2016-09-21 07:27:02,in_vehicle
2016-09-21 07:42:04,still
2016-09-21 08:18:14,walking
2016-09-21 08:20:19,in_vehicle
2016-09-21 08:37:45,still
2016-09-21 14:30:50,walking
2016-09-21 14:32:14,in_vehicle
2016-09-21 15:07:09,walking
2016-09-21 15:11:46,still
2016-09-21 16:36:47,walking
2016-09-21 16:40:20,in_vehicle
2016-09-21 16:52:24,still
2016-09-21 18:46:16,still
2016-09-21 19:01:18,in_vehicle
2016-09-21 19:15:53,still
2016-09-21 20:30:24,still
2016-09-21 23:24:01,walking
2016-09-21 23:26:41,still
2016-09-22 00:00:00,still
2016-09-22 07:38:51,in_vehicle
2016-09-22 07:46:16,still
2016-09-22 08:07:57,walking
2016-09-22 08:09:56,still
2016-09-22 08:12:20,walking
2016-09-22 08:14:32,in_vehicle
2016-09-22 08:30:10,still
2016-09-22 10:00:25,walking
2016-09-22 10:02:25,in_vehicle
2016-09-22 10:30:02,still
2016-09-22 12:27:01,in_vehicle
2016-09-22 12:58:19,walking
2016-09-22 13:04:03,still
2016-09-22 13:05:21,in_vehicle
2016-09-22 13:08:36,still
2016-09-22 13:16:43,walking
2016-09-22 13:18:36,still
2016-09-22 13:25:17,walking
2016-09-22 13:26:20,still
2016-09-22 14:20:22,walking
2016-09-22 14:23:36,walking
2016-09-22 14:35:07,still
2016-09-22 14:43:35,walking
2016-09-22 14:48:44,still
2016-09-22 17:16:36,walking
2016-09-22 17:18:04,still
2016-09-22 18:01:16,walking
2016-09-22 18:02:54,still
2016-09-22 20:50:34,walking
2016-09-22 20:52:34,still
2016-09-22 20:57:48,in_vehicle
2016-09-22 21:52:48,walking
2016-09-22 21:58:11,still
2016-09-22 22:15:22,still
2016-09-23 00:00:00,still
2016-09-23 08:14:48,in_vehicle
2016-09-23 08:29:00,walking
2016-09-23 08:34:34,still
2016-09-23 08:37:18,in_vehicle
2016-09-23 08:47:25,still
2016-09-23 08:55:30,still
2016-09-23 10:31:08,walking
2016-09-23 10:33:10,still
2016-09-23 11:39:36,walking
2016-09-23 11:49:22,still
2016-09-23 12:30:40,in_vehicle
2016-09-23 12:45:56,walking
