date,ActivFit
2016-01-20 00:00:00,still
2016-01-20 06:16:29,still
2016-01-20 06:18:26,in_vehicle
2016-01-20 06:34:14,still
2016-01-20 07:05:04,still
2016-01-20 07:37:44,in_vehicle
2016-01-20 08:24:18,walking
2016-01-20 08:29:55,still
2016-01-20 09:32:44,still
2016-01-20 09:54:31,still
2016-01-20 12:00:48,walking
2016-01-20 12:16:27,still
2016-01-20 12:54:07,walking
2016-01-20 13:11:18,still
2016-01-20 14:03:57,still
2016-01-20 14:21:49,still
2016-01-20 15:10:31,still
2016-01-20 16:02:59,still
2016-01-20 16:30:28,walking
2016-01-20 16:33:09,in_vehicle
2016-01-20 16:41:32,walking
2016-01-20 16:44:48,still
2016-01-20 16:46:23,walking
2016-01-20 16:59:04,still
2016-01-20 17:11:11,walking
2016-01-20 17:14:51,in_vehicle
2016-01-20 17:20:14,walking
2016-01-20 17:23:20,in_vehicle
2016-01-20 17:42:58,still
2016-01-20 17:45:06,walking
2016-01-20 17:47:04,walking
2016-01-20 17:54:21,in_vehicle
2016-01-20 18:45:21,still
2016-01-20 18:48:40,in_vehicle
2016-01-20 19:03:30,still
2016-01-20 19:18:08,still
2016-01-20 20:39:36,walking
2016-01-20 20:51:24,still
2016-01-20 21:03:31,still
2016-01-20 22:26:35,still
2016-01-20 22:28:38,still
2016-01-21 00:00:00,still
2016-01-21 07:31:43,still
2016-01-21 08:11:14,walking
2016-01-21 08:15:11,still
2016-01-21 08:16:18,in_vehicle
2016-01-21 08:59:56,walking
2016-01-21 09:04:14,still
2016-01-21 09:35:39,walking
2016-01-21 09:38:11,still
2016-01-21 09:57:16,walking
2016-01-21 09:59:22,still
2016-01-21 10:27:51,still
2016-01-21 12:02:53,walking
2016-01-21 12:05:25,in_vehicle
2016-01-21 12:14:38,walking
2016-01-21 12:18:21,still
2016-01-21 12:39:59,walking
2016-01-21 12:42:02,still
2016-01-21 12:48:50,walking
2016-01-21 12:53:04,in_vehicle
2016-01-21 13:02:49,still
2016-01-21 14:18:33,still
2016-01-21 15:02:08,walking
2016-01-21 15:04:20,still
2016-01-21 16:14:47,walking
2016-01-21 16:17:05,in_vehicle
2016-01-21 16:19:24,walking
2016-01-21 16:21:19,in_vehicle
2016-01-21 17:08:11,walking
2016-01-21 17:09:55,still
2016-01-21 19:39:25,still
2016-01-21 20:03:35,still
2016-01-21 20:13:46,still
2016-01-21 20:31:10,still
2016-01-21 21:13:25,still
2016-01-21 21:26:08,walking
2016-01-21 21:30:22,still
2016-01-21 23:20:38,still
2016-01-23 00:00:00,still
2016-01-23 12:01:12,still
2016-01-23 12:42:15,walking
2016-01-23 12:44:22,still
2016-01-23 13:20:40,walking
2016-01-23 13:22:00,still
2016-01-23 13:32:43,walking
2016-01-23 13:36:25,still
2016-01-23 13:40:10,walking
2016-01-23 13:41:27,in_vehicle
2016-01-23 13:44:13,walking
2016-01-23 13:49:20,still
2016-01-23 14:18:23,walking
2016-01-23 14:20:29,still
2016-01-23 14:53:56,walking
2016-01-23 14:58:33,still
2016-01-23 15:12:27,still
2016-01-23 19:55:23,still
2016-01-23 20:05:42,still
2016-01-23 20:21:56,walking
2016-01-23 20:23:48,still
2016-01-23 20:29:10,walking
2016-01-23 20:32:19,still
2016-01-23 20:49:48,walking
2016-01-23 20:52:50,still
2016-01-23 22:05:10,still
2016-01-23 22:58:03,still
2016-01-24 00:00:00,still
2016-01-24 09:08:38,walking
2016-01-24 09:09:41,still
2016-01-24 11:18:51,still
2016-01-24 12:13:07,walking
2016-01-24 12:14:37,still
2016-01-24 13:45:00,walking
2016-01-24 13:47:13,in_vehicle
2016-01-24 13:51:30,still
2016-01-24 14:25:31,still
2016-01-24 15:26:16,walking
2016-01-24 15:27:46,still
2016-01-24 15:31:00,in_vehicle
2016-01-24 15:40:02,still
2016-01-24 17:05:43,walking
2016-01-24 17:08:04,still
2016-01-24 17:43:45,still
2016-01-24 20:10:16,walking
2016-01-24 20:11:27,still
2016-01-24 20:43:03,still
2016-01-24 21:45:11,still
2016-01-24 22:13:23,still
2016-01-25 00:00:00,still
2016-01-25 07:09:47,walking
2016-01-25 07:12:25,still
2016-01-25 07:18:24,walking
2016-01-25 07:20:27,still
2016-01-25 07:44:19,walking
2016-01-25 07:45:41,still
2016-01-25 08:02:07,still
2016-01-25 08:18:06,still
2016-01-25 08:27:12,walking
2016-01-25 08:32:35,still
2016-01-25 08:34:40,in_vehicle
2016-01-25 09:14:23,walking
2016-01-25 09:17:30,still
2016-01-25 10:49:38,still
2016-01-25 11:51:16,walking
2016-01-25 11:52:17,still
2016-01-25 12:06:11,walking
2016-01-25 12:16:49,still
2016-01-25 12:31:05,walking
2016-01-25 12:32:38,still
2016-01-25 12:49:19,walking
2016-01-25 13:02:27,still
2016-01-25 14:49:04,walking
2016-01-25 14:50:05,still
2016-01-25 15:10:48,walking
2016-01-25 15:20:40,still
2016-01-25 15:38:02,still
2016-01-25 16:30:42,walking
2016-01-25 16:32:08,still
2016-01-25 16:34:10,walking
2016-01-25 16:36:34,in_vehicle
2016-01-25 17:18:17,walking
2016-01-25 17:24:15,still
2016-01-25 18:06:28,walking
2016-01-25 18:11:34,still
2016-01-25 18:23:35,still
2016-01-25 18:28:36,walking
2016-01-25 18:29:36,still
2016-01-25 18:39:45,walking
2016-01-25 18:42:55,in_vehicle
2016-01-25 18:55:40,walking
2016-01-25 18:56:59,walking
2016-01-25 19:02:40,still
2016-01-25 19:06:35,walking
2016-01-25 19:09:34,walking
2016-01-25 19:39:50,walking
2016-01-25 19:42:11,walking
2016-01-25 19:46:50,in_vehicle
2016-01-25 20:28:29,still
2016-01-25 21:01:17,still
2016-01-25 21:07:07,walking
2016-01-25 21:08:52,walking
2016-01-25 21:11:11,in_vehicle
2016-01-25 21:27:20,still
2016-01-25 21:30:46,walking
2016-01-25 21:32:00,still
2016-01-25 22:03:33,still
2016-01-27 00:00:00,still
2016-01-27 06:19:33,in_vehicle
2016-01-27 06:38:21,still
2016-01-27 06:54:45,walking
2016-01-27 06:55:53,still
2016-01-27 07:39:22,walking
2016-01-27 07:48:09,still
2016-01-27 07:51:07,walking
2016-01-27 07:53:06,in_vehicle
2016-01-27 08:36:48,walking
2016-01-27 08:42:24,still
2016-01-27 11:55:06,still
2016-01-27 11:59:10,walking
2016-01-27 12:13:27,still
2016-01-27 12:26:05,still
2016-01-27 12:32:45,walking
2016-01-27 12:36:38,still
2016-01-27 12:41:34,walking
2016-01-27 12:48:23,still
2016-01-27 13:20:45,walking
2016-01-27 13:23:09,still
2016-01-27 15:04:10,walking
2016-01-27 15:11:11,still
2016-01-27 15:27:01,walking
2016-01-27 15:28:35,still
2016-01-27 15:41:03,walking
2016-01-27 15:43:04,still
2016-01-27 16:16:04,walking
2016-01-27 16:18:40,in_vehicle
2016-01-27 16:31:23,walking
2016-01-27 16:37:17,still
2016-01-27 16:47:46,walking
2016-01-27 16:49:03,still
2016-01-27 16:56:29,walking
2016-01-27 17:00:53,still
2016-01-27 17:02:39,in_vehicle
2016-01-27 18:01:09,walking
2016-01-27 18:02:31,still
2016-01-27 22:48:33,still
2016-02-05 00:00:00,still
2016-02-05 06:07:39,still
2016-02-05 06:54:17,walking
2016-02-05 06:55:29,still
2016-02-05 07:09:48,still
2016-02-05 07:42:42,still
2016-02-05 07:44:18,still
2016-02-05 08:00:25,walking
2016-02-05 08:07:49,still
2016-02-05 08:36:51,in_vehicle
2016-02-05 09:34:02,walking
2016-02-05 09:42:01,still
2016-02-05 10:51:02,walking
2016-02-05 10:54:41,still
2016-02-05 11:51:42,still
2016-02-05 11:58:37,still
2016-02-05 13:34:07,still
2016-02-05 13:55:09,still
2016-02-05 15:11:43,walking
2016-02-05 15:13:57,in_vehicle
2016-02-05 16:08:26,walking
2016-02-05 16:12:13,still
